ORF	hap a | protein aggregates (synphilin-1) | standard [standard] | Zhao L~Liu B, 2016
YAR002W	0.012
YCL011C	0.004
YCR077C	0.009
YOL009C	0.001
YBR195C	0.008
YHL020C	0.037
YDL065C	0.003
YNL302C	0.014
YHR047C	0.027
YBR048W	0.013
YBR057C	0.004
YCR073W-A	0.032
YMR141C	0.010
YDR260C	0.004
YFL025C	0.011
YCL032W	0.044
YML059C	0.008
YKL032C	0.020
YCR089W	0.030
YCR033W	0.022
YNL051W	0.042
YJL165C	0.022
YBR131W	0.006
YBR084C-A	0.023
YGR035C	0.007
YER095W	0.014
YJR033C	0.040
YNL099C	0.022
YGL213C	0.005
YKL184W	0.016
YJL144W	0.015
YBR187W	0.019
YPR057W	0.007
YLR319C	0.024
YOR183W	0.008
YJR087W	0.008
YMR036C	0.016
YBR212W	0.035
YOR349W	0.003
YJL092W	0.015
YLR193C	0.011
YIL134W	0.030
YLR374C	0.014
YGR051C	0.028
YDR008C	0.013
YAL056W	0.031
YDL157C	0.015
YOR202W	0.441
YDL134C-A	0.026
YPL024W	0.002
YNL175C	0.013
YKR059W	0.045
YBR104W	0.002
YNL021W	0.036
YLR373C	0.007
YML007W	0.005
YGL227W	0.005
YHL023C	0.017
YOR021C	0.008
YDR525W	0.024
YHL025W	0.016
YKL206C	0.018
YGR028W	0.028
YER060W-A	0.041
YDR005C	0.009
YCR019W	0.019
YGL249W	0.005
YPL256C	0.000
YML111W	0.028
YOR001W	0.000
YKR047W	0.011
YBR250W	0.001
YDL190C	0.045
YJL016W	0.041
YDR071C	0.018
YKL202W	0.006
YBR090C	0.047
YOR058C	0.022
YGL215W	0.010
YBR093C	0.044
YLR370C	0.005
YNL206C	0.036
YBR277C	0.009
YLL006W	0.008
YNR031C	0.047
YMR144W	0.015
YJL218W	0.022
YIR002C	0.033
YKL053W	0.009
YMR158C-B	0.002
YMR223W	0.001
YDR274C	0.031
YPL157W	0.038
YBL104C	0.011
YNL242W	0.022
YIL013C	0.048
YNL241C	0.022
YBL083C	0.015
YJR011C	0.020
YKR010C	0.008
YBL082C	0.006
YDR310C	0.033
YDR424C	0.030
YKL200C	0.037
YLR024C	0.017
YDL243C	0.011
YGL035C	0.029
YMR167W	0.004
YCL033C	0.034
YIL119C	0.017
YBL066C	0.005
YMR166C	0.034
YLR082C	0.013
YBL024W	0.004
YIL008W	0.026
YDL216C	0.018
