orf	hap a | expression level of a gene (prTPK1-GFP) | standard | None | Pautasso C~Rossi S, 2016	hap a | expression level of a gene (prTPK2-GFP) | standard | None | Pautasso C~Rossi S, 2016	hap a | expression level of a gene (prTPK3-GFP) | standard | None | Pautasso C~Rossi S, 2016	hap a | expression level of a gene (prBCY1-GFP) | standard | None | Pautasso C~Rossi S, 2016
YAL016W	-1.0	0.0	0.0	0.0
YAL035W	-1.0	-1.0	-1.0	0.0
YAR015W	-1.0	0.0	0.0	0.0
YBL007C	-1.0	0.0	0.0	0.0
YBL011W	-1.0	0.0	0.0	0.0
YBL047C	-1.0	0.0	0.0	0.0
YBL058W	-1.0	-1.0	0.0	0.0
YBL079W	1.0	0.0	0.0	0.0
YBL100C	-1.0	0.0	0.0	0.0
YBL103C	-1.0	0.0	-1.0	0.0
YBR011C	-1.0	0.0	-1.0	-1.0
YBR035C	-1.0	0.0	0.0	0.0
YBR077C	-1.0	-1.0	-1.0	0.0
YBR115C	-1.0	0.0	0.0	0.0
YBR132C	1.0	0.0	0.0	0.0
YBR165W	-1.0	0.0	0.0	0.0
YBR204C	1.0	1.0	0.0	0.0
YBR209W	-1.0	0.0	-1.0	-1.0
YBR300C	-1.0	0.0	0.0	0.0
YCL005W-A	-1.0	-1.0	0.0	0.0
YCL023C	-1.0	0.0	0.0	0.0
YCL035C	-1.0	0.0	0.0	0.0
YCR031C	-1.0	0.0	0.0	0.0
YCR033W	-1.0	-1.0	0.0	0.0
YCR034W	1.0	-1.0	0.0	0.0
YCR037C	-1.0	-1.0	-1.0	0.0
YCR049C	-1.0	-1.0	-1.0	0.0
YCR071C	-1.0	0.0	0.0	0.0
YCR087C-A	-1.0	0.0	0.0	0.0
YCR087W	-1.0	0.0	-1.0	0.0
YDL005C	-1.0	-1.0	-1.0	0.0
YDL073W	-1.0	0.0	0.0	0.0
YDL122W	-1.0	0.0	0.0	0.0
YDL160C	-1.0	0.0	0.0	0.0
YDL179W	-1.0	0.0	0.0	0.0
YDR017C	-1.0	-1.0	-1.0	0.0
YDR027C	-1.0	-1.0	0.0	-1.0
YDR065W	-1.0	0.0	0.0	0.0
YDR069C	-1.0	0.0	0.0	0.0
YDR078C	1.0	0.0	0.0	0.0
YDR114C	-1.0	-1.0	-1.0	0.0
YDR115W	-1.0	0.0	0.0	0.0
YDR123C	-1.0	0.0	0.0	0.0
YDR132C	-1.0	0.0	0.0	0.0
YDR148C	1.0	1.0	1.0	0.0
YDR173C	-1.0	0.0	-1.0	0.0
YDR175C	-1.0	0.0	0.0	0.0
YDR186C	-1.0	0.0	0.0	0.0
YDR195W	-1.0	-1.0	-1.0	-1.0
YDR207C	-1.0	0.0	0.0	0.0
YDR247W	-1.0	-1.0	0.0	0.0
YDR300C	-1.0	0.0	0.0	0.0
YDR320C	-1.0	0.0	0.0	0.0
YDR323C	-1.0	0.0	-1.0	-1.0
YDR337W	-1.0	0.0	0.0	0.0
YDR345C	-1.0	0.0	0.0	0.0
YDR388W	-1.0	0.0	0.0	-1.0
YDR392W	-1.0	-1.0	-1.0	0.0
YDR435C	1.0	1.0	1.0	0.0
YDR455C	-1.0	0.0	0.0	-1.0
YDR456W	-1.0	-1.0	0.0	-1.0
YDR469W	-1.0	0.0	0.0	-1.0
YDR470C	-1.0	0.0	-1.0	0.0
YDR484W	-1.0	0.0	0.0	0.0
YDR532C	-1.0	-1.0	0.0	0.0
YDR536W	-1.0	-1.0	0.0	0.0
YDR539W	-1.0	0.0	0.0	0.0
YDR540C	-1.0	0.0	0.0	0.0
YEL029C	1.0	0.0	0.0	0.0
YEL031W	-1.0	0.0	0.0	0.0
YEL036C	-1.0	0.0	0.0	0.0
YEL045C	-1.0	0.0	-1.0	-1.0
YEL046C	-1.0	0.0	-1.0	0.0
YER014C-A	1.0	-1.0	-1.0	0.0
YER014W	-1.0	0.0	-1.0	-1.0
YER019W	-1.0	0.0	0.0	0.0
YER031C	-1.0	0.0	0.0	0.0
YER035W	-1.0	0.0	0.0	0.0
YER037W	-1.0	0.0	0.0	0.0
YER044C	-1.0	0.0	0.0	0.0
YER046W	-1.0	0.0	0.0	0.0
YER060W-A	-1.0	-1.0	-1.0	0.0
YER063W	-1.0	0.0	0.0	0.0
YER066W	-1.0	0.0	0.0	0.0
YER084W	-1.0	0.0	0.0	-1.0
YER086W	-1.0	0.0	-1.0	-1.0
YER113C	-1.0	0.0	0.0	-1.0
YER119C-A	-1.0	-1.0	-1.0	-1.0
YER120W	-1.0	-1.0	-1.0	-1.0
YER122C	-1.0	0.0	-1.0	-1.0
YER132C	-1.0	0.0	0.0	-1.0
YER141W	-1.0	0.0	-1.0	-1.0
YER158C	-1.0	0.0	0.0	-1.0
YER173W	-1.0	0.0	0.0	-1.0
YER179W	-1.0	0.0	-1.0	-1.0
YFL001W	1.0	0.0	0.0	0.0
YFL023W	-1.0	0.0	-1.0	0.0
YFR010W	-1.0	0.0	0.0	0.0
YFR023W	-1.0	0.0	0.0	0.0
YFR032C	-1.0	0.0	0.0	0.0
YFR041C	-1.0	0.0	0.0	0.0
YFR043C	-1.0	0.0	0.0	0.0
YFR053C	-1.0	0.0	0.0	0.0
YFR054C	-1.0	0.0	0.0	0.0
YGL002W	-1.0	0.0	0.0	0.0
YGL020C	-1.0	-1.0	0.0	-1.0
YGL023C	-1.0	-1.0	-1.0	-1.0
YGL033W	-1.0	0.0	0.0	0.0
YGL058W	-1.0	0.0	0.0	0.0
YGL066W	-1.0	0.0	0.0	0.0
YGL070C	-1.0	0.0	0.0	0.0
YGL076C	-1.0	-1.0	0.0	0.0
YGL105W	-1.0	-1.0	-1.0	0.0
YGL108C	-1.0	0.0	0.0	0.0
YGL110C	-1.0	0.0	0.0	0.0
YGL121C	-1.0	0.0	0.0	0.0
YGL126W	-1.0	-1.0	0.0	0.0
YGL127C	-1.0	-1.0	0.0	0.0
YGL129C	-1.0	0.0	0.0	0.0
YGL135W	-1.0	-1.0	0.0	0.0
YGL170C	-1.0	0.0	0.0	0.0
YGL173C	-1.0	0.0	-1.0	0.0
YGL197W	-1.0	0.0	-1.0	0.0
YGL199C	-1.0	0.0	0.0	0.0
YGL218W	-1.0	-1.0	0.0	0.0
YGL219C	-1.0	-1.0	0.0	-1.0
YGL227W	-1.0	0.0	0.0	0.0
YGL240W	-1.0	0.0	0.0	0.0
YGL244W	-1.0	-1.0	-1.0	-1.0
YGL246C	-1.0	-1.0	-1.0	-1.0
YGL252C	-1.0	-1.0	-1.0	0.0
