ORF	hap a | expression level of a gene (prTPK1-GFP) | standard | None | Pautasso C~Rossi S, 2016	hap a | expression level of a gene (prTPK2-GFP) | standard | None | Pautasso C~Rossi S, 2016	hap a | expression level of a gene (prTPK3-GFP) | standard | None | Pautasso C~Rossi S, 2016	hap a | expression level of a gene (prBCY1-GFP) | standard | None | Pautasso C~Rossi S, 2016
YAL009W	0.000	0.000	-1.000	0.000
YAL010C	0.000	-1.000	-1.000	0.000
YAL016W	-1.000	0.000	0.000	0.000
YAL035W	-1.000	-1.000	-1.000	0.000
YAL040C	0.000	0.000	0.000	-1.000
YAR015W	-1.000	0.000	0.000	0.000
YAR050W	0.000	-1.000	0.000	0.000
YBL007C	-1.000	0.000	0.000	0.000
YBL011W	-1.000	0.000	0.000	0.000
YBL038W	0.000	0.000	-1.000	0.000
YBL047C	-1.000	0.000	0.000	0.000
YBL058W	-1.000	-1.000	0.000	0.000
YBL079W	1.000	0.000	0.000	0.000
YBL083C	0.000	1.000	0.000	0.000
YBL090W	0.000	-1.000	0.000	0.000
YBL091C-A	0.000	0.000	-1.000	0.000
YBL100C	-1.000	0.000	0.000	0.000
YBL103C	-1.000	0.000	-1.000	0.000
YBR011C	-1.000	0.000	-1.000	-1.000
YBR035C	-1.000	0.000	0.000	0.000
YBR077C	-1.000	-1.000	-1.000	0.000
YBR115C	-1.000	0.000	0.000	0.000
YBR127C	0.000	0.000	-1.000	0.000
YBR132C	1.000	0.000	0.000	0.000
YBR165W	-1.000	0.000	0.000	0.000
YBR166C	0.000	-1.000	-1.000	0.000
YBR173C	0.000	0.000	-1.000	0.000
YBR183W	0.000	-1.000	0.000	0.000
YBR191W	0.000	-1.000	-1.000	0.000
YBR194W	0.000	-1.000	0.000	0.000
YBR204C	1.000	1.000	0.000	0.000
YBR209W	-1.000	0.000	-1.000	-1.000
YBR227C	0.000	1.000	0.000	0.000
YBR245C	0.000	1.000	0.000	0.000
YBR249C	0.000	1.000	0.000	0.000
YBR263W	0.000	1.000	0.000	0.000
YBR266C	0.000	-1.000	0.000	0.000
YBR269C	0.000	0.000	0.000	-1.000
YBR273C	0.000	0.000	-1.000	0.000
YBR277C	0.000	-1.000	0.000	0.000
YBR278W	0.000	0.000	-1.000	0.000
YBR283C	0.000	-1.000	0.000	0.000
YBR291C	0.000	0.000	-1.000	0.000
YBR293W	0.000	0.000	-1.000	0.000
YBR297W	0.000	0.000	-1.000	-1.000
YBR298C	0.000	0.000	-1.000	0.000
YBR300C	-1.000	0.000	0.000	0.000
YCL001W-A	0.000	-1.000	-1.000	-1.000
YCL005W-A	-1.000	-1.000	0.000	0.000
YCL023C	-1.000	0.000	0.000	0.000
YCL035C	-1.000	0.000	0.000	0.000
YCL038C	0.000	0.000	-1.000	0.000
YCL074W	0.000	-1.000	0.000	0.000
YCL076W	0.000	-1.000	0.000	0.000
YCR020W-B	0.000	0.000	0.000	-1.000
YCR024C-A	0.000	0.000	-1.000	0.000
YCR025C	0.000	0.000	-1.000	0.000
YCR031C	-1.000	0.000	0.000	0.000
YCR033W	-1.000	-1.000	0.000	0.000
YCR034W	1.000	-1.000	0.000	0.000
YCR037C	-1.000	-1.000	-1.000	0.000
YCR043C	0.000	0.000	-1.000	0.000
YCR044C	0.000	0.000	-1.000	0.000
YCR047C	0.000	0.000	-1.000	0.000
YCR049C	-1.000	-1.000	-1.000	0.000
YCR053W	0.000	-1.000	0.000	0.000
YCR071C	-1.000	0.000	0.000	0.000
YCR081W	0.000	0.000	-1.000	0.000
YCR086W	0.000	0.000	-1.000	0.000
YCR087C-A	-1.000	0.000	0.000	0.000
YCR087W	-1.000	0.000	-1.000	0.000
YCR092C	0.000	0.000	-1.000	0.000
YCR094W	0.000	0.000	-1.000	0.000
YCR099C	0.000	0.000	-1.000	0.000
YCR100C	0.000	0.000	-1.000	0.000
YCR102C	0.000	-1.000	0.000	0.000
YCR106W	0.000	-1.000	0.000	0.000
YDL005C	-1.000	-1.000	-1.000	0.000
YDL006W	0.000	-1.000	0.000	0.000
YDL045W-A	0.000	-1.000	0.000	0.000
YDL052C	0.000	1.000	0.000	0.000
YDL053C	0.000	1.000	0.000	0.000
YDL073W	-1.000	0.000	0.000	0.000
YDL085W	0.000	1.000	0.000	0.000
YDL113C	0.000	1.000	0.000	0.000
YDL114W	0.000	1.000	0.000	0.000
YDL121C	0.000	1.000	0.000	0.000
YDL122W	-1.000	0.000	0.000	0.000
YDL125C	0.000	1.000	0.000	0.000
YDL128W	0.000	1.000	0.000	0.000
YDL129W	0.000	1.000	0.000	0.000
YDL131W	0.000	1.000	0.000	0.000
YDL134C	0.000	1.000	0.000	0.000
YDL138W	0.000	1.000	0.000	0.000
YDL144C	0.000	1.000	0.000	0.000
YDL155W	0.000	1.000	0.000	0.000
YDL157C	0.000	1.000	0.000	0.000
YDL160C	-1.000	0.000	0.000	0.000
YDL161W	0.000	1.000	0.000	0.000
YDL167C	0.000	1.000	0.000	0.000
YDL168W	0.000	1.000	0.000	0.000
YDL170W	0.000	1.000	0.000	0.000
YDL171C	0.000	1.000	0.000	0.000
YDL179W	-1.000	0.000	0.000	0.000
YDL184C	0.000	1.000	0.000	0.000
YDL185W	0.000	0.000	-1.000	0.000
YDL186W	0.000	1.000	0.000	0.000
YDL189W	0.000	1.000	0.000	0.000
YDL197C	0.000	1.000	0.000	0.000
YDL199C	0.000	1.000	0.000	0.000
YDL203C	0.000	1.000	0.000	0.000
YDL204W	0.000	1.000	0.000	0.000
YDL206W	0.000	1.000	0.000	0.000
YDL210W	0.000	1.000	0.000	0.000
YDL223C	0.000	1.000	0.000	0.000
YDL230W	0.000	1.000	0.000	0.000
YDL240W	0.000	1.000	0.000	0.000
YDL242W	0.000	1.000	0.000	0.000
YDR003W	0.000	1.000	0.000	0.000
YDR009W	0.000	1.000	0.000	0.000
YDR010C	0.000	1.000	0.000	0.000
YDR014W	0.000	1.000	0.000	0.000
YDR015C	0.000	1.000	0.000	0.000
YDR017C	-1.000	-1.000	-1.000	0.000
YDR018C	0.000	1.000	0.000	0.000
YDR027C	-1.000	-1.000	0.000	-1.000
YDR029W	0.000	1.000	0.000	0.000
YDR033W	0.000	1.000	0.000	0.000
YDR035W	0.000	1.000	0.000	0.000
YDR042C	0.000	1.000	0.000	0.000
YDR046C	0.000	1.000	0.000	0.000
YDR055W	0.000	1.000	0.000	0.000
YDR056C	0.000	1.000	0.000	0.000
YDR063W	0.000	1.000	0.000	0.000
YDR065W	-1.000	0.000	0.000	0.000
YDR066C	0.000	1.000	0.000	0.000
YDR069C	-1.000	0.000	0.000	0.000
YDR078C	1.000	0.000	0.000	0.000
YDR095C	0.000	1.000	0.000	0.000
YDR099W	0.000	1.000	0.000	0.000
YDR100W	0.000	1.000	0.000	0.000
YDR104C	0.000	1.000	0.000	0.000
YDR111C	0.000	1.000	0.000	0.000
YDR112W	0.000	1.000	0.000	0.000
YDR114C	-1.000	-1.000	-1.000	0.000
YDR115W	-1.000	0.000	0.000	0.000
YDR119W	0.000	1.000	0.000	0.000
YDR121W	0.000	1.000	0.000	0.000
YDR123C	-1.000	0.000	0.000	0.000
YDR125C	0.000	1.000	0.000	0.000
YDR126W	0.000	-1.000	0.000	0.000
YDR127W	0.000	-1.000	-1.000	-1.000
YDR128W	0.000	1.000	0.000	0.000
YDR132C	-1.000	0.000	0.000	0.000
YDR133C	0.000	1.000	0.000	0.000
YDR134C	0.000	1.000	0.000	0.000
YDR147W	0.000	1.000	0.000	-1.000
YDR148C	1.000	1.000	1.000	0.000
YDR154C	0.000	1.000	0.000	0.000
YDR165W	0.000	1.000	0.000	0.000
YDR173C	-1.000	0.000	-1.000	0.000
YDR175C	-1.000	0.000	0.000	0.000
YDR181C	0.000	1.000	0.000	0.000
YDR186C	-1.000	0.000	0.000	0.000
YDR195W	-1.000	-1.000	-1.000	-1.000
YDR206W	0.000	1.000	0.000	0.000
YDR207C	-1.000	0.000	0.000	0.000
YDR209C	0.000	1.000	0.000	0.000
YDR214W	0.000	1.000	0.000	0.000
YDR217C	0.000	1.000	0.000	0.000
YDR218C	0.000	1.000	0.000	0.000
YDR219C	0.000	1.000	0.000	0.000
YDR222W	0.000	1.000	0.000	0.000
YDR226W	0.000	1.000	0.000	0.000
YDR229W	0.000	1.000	0.000	0.000
YDR233C	0.000	1.000	0.000	0.000
YDR247W	-1.000	-1.000	0.000	0.000
YDR266C	0.000	1.000	0.000	0.000
YDR268W	0.000	-1.000	0.000	0.000
YDR275W	0.000	1.000	0.000	0.000
YDR278C	0.000	1.000	0.000	0.000
YDR279W	0.000	1.000	0.000	0.000
YDR291W	0.000	1.000	0.000	0.000
YDR296W	0.000	-1.000	0.000	0.000
YDR300C	-1.000	0.000	0.000	0.000
YDR314C	0.000	1.000	0.000	0.000
YDR315C	0.000	1.000	0.000	0.000
YDR317W	0.000	1.000	0.000	0.000
YDR320C	-1.000	0.000	0.000	0.000
YDR322W	0.000	-1.000	0.000	0.000
YDR323C	-1.000	0.000	-1.000	-1.000
YDR330W	0.000	1.000	0.000	0.000
YDR337W	-1.000	0.000	0.000	0.000
YDR345C	-1.000	0.000	0.000	0.000
YDR352W	0.000	1.000	0.000	0.000
YDR374C	0.000	1.000	0.000	0.000
YDR386W	0.000	0.000	1.000	0.000
YDR387C	0.000	1.000	0.000	0.000
YDR388W	-1.000	0.000	0.000	-1.000
YDR389W	0.000	1.000	0.000	0.000
YDR392W	-1.000	-1.000	-1.000	0.000
YDR401W	0.000	1.000	0.000	0.000
YDR417C	0.000	-1.000	-1.000	0.000
YDR423C	0.000	1.000	0.000	0.000
YDR424C	0.000	0.000	0.000	-1.000
YDR426C	0.000	1.000	0.000	0.000
YDR435C	1.000	1.000	1.000	0.000
YDR439W	0.000	1.000	0.000	0.000
YDR441C	0.000	1.000	0.000	0.000
YDR443C	0.000	0.000	0.000	-1.000
YDR451C	0.000	1.000	0.000	0.000
YDR452W	0.000	1.000	0.000	0.000
YDR455C	-1.000	0.000	0.000	-1.000
YDR456W	-1.000	-1.000	0.000	-1.000
YDR466W	0.000	1.000	0.000	0.000
YDR469W	-1.000	0.000	0.000	-1.000
YDR470C	-1.000	0.000	-1.000	0.000
YDR484W	-1.000	0.000	0.000	0.000
YDR486C	0.000	0.000	0.000	-1.000
YDR490C	0.000	1.000	0.000	0.000
YDR500C	0.000	1.000	0.000	0.000
YDR507C	0.000	1.000	0.000	0.000
YDR509W	0.000	0.000	1.000	0.000
YDR511W	0.000	1.000	0.000	0.000
YDR513W	0.000	1.000	0.000	0.000
YDR514C	0.000	1.000	0.000	0.000
YDR522C	0.000	1.000	0.000	0.000
YDR532C	-1.000	-1.000	0.000	0.000
YDR536W	-1.000	-1.000	0.000	0.000
YDR539W	-1.000	0.000	0.000	0.000
YDR540C	-1.000	0.000	0.000	0.000
YEL001C	0.000	1.000	0.000	0.000
YEL011W	0.000	0.000	0.000	-1.000
YEL012W	0.000	-1.000	0.000	0.000
YEL014C	0.000	1.000	0.000	0.000
YEL015W	0.000	1.000	0.000	0.000
YEL020C	0.000	0.000	1.000	0.000
YEL023C	0.000	1.000	0.000	0.000
YEL025C	0.000	1.000	0.000	0.000
YEL029C	1.000	0.000	0.000	0.000
YEL031W	-1.000	0.000	0.000	0.000
YEL036C	-1.000	0.000	0.000	0.000
YEL045C	-1.000	0.000	-1.000	-1.000
YEL046C	-1.000	0.000	-1.000	0.000
YEL047C	0.000	1.000	0.000	0.000
YEL048C	0.000	1.000	0.000	0.000
YEL049W	0.000	1.000	0.000	0.000
YEL054C	0.000	1.000	0.000	0.000
YEL059W	0.000	1.000	0.000	0.000
YEL071W	0.000	1.000	0.000	0.000
YER004W	0.000	1.000	0.000	0.000
YER007C-A	0.000	1.000	0.000	0.000
YER014C-A	1.000	-1.000	-1.000	0.000
YER014W	-1.000	0.000	-1.000	-1.000
YER019W	-1.000	0.000	0.000	0.000
YER028C	0.000	-1.000	0.000	0.000
YER031C	-1.000	0.000	0.000	0.000
YER035W	-1.000	0.000	0.000	0.000
YER037W	-1.000	0.000	0.000	0.000
YER039C-A	0.000	0.000	-1.000	0.000
YER044C	-1.000	0.000	0.000	0.000
YER046W	-1.000	0.000	0.000	0.000
YER060W-A	-1.000	-1.000	-1.000	0.000
YER063W	-1.000	0.000	0.000	0.000
YER066W	-1.000	0.000	0.000	0.000
YER077C	0.000	0.000	0.000	-1.000
YER078C	0.000	-1.000	-1.000	-1.000
YER079W	0.000	1.000	0.000	0.000
YER084W	-1.000	0.000	0.000	-1.000
YER086W	-1.000	0.000	-1.000	-1.000
YER088C	0.000	0.000	0.000	-1.000
YER090W	0.000	0.000	-1.000	-1.000
YER091C	0.000	0.000	0.000	-1.000
YER095W	0.000	0.000	-1.000	-1.000
YER096W	0.000	0.000	0.000	-1.000
YER097W	0.000	0.000	-1.000	0.000
YER098W	0.000	0.000	-1.000	-1.000
YER101C	0.000	0.000	0.000	-1.000
YER103W	0.000	0.000	0.000	-1.000
YER106W	0.000	0.000	0.000	-1.000
YER108C	0.000	0.000	0.000	-1.000
YER109C	0.000	0.000	1.000	1.000
YER111C	0.000	-1.000	-1.000	0.000
YER113C	-1.000	0.000	0.000	-1.000
YER114C	0.000	0.000	0.000	-1.000
YER115C	0.000	0.000	0.000	-1.000
YER116C	0.000	-1.000	-1.000	-1.000
YER117W	0.000	-1.000	-1.000	-1.000
YER118C	0.000	0.000	0.000	-1.000
YER119C	0.000	0.000	0.000	-1.000
YER119C-A	-1.000	-1.000	-1.000	-1.000
YER120W	-1.000	-1.000	-1.000	-1.000
YER121W	0.000	0.000	0.000	-1.000
YER122C	-1.000	0.000	-1.000	-1.000
YER123W	0.000	0.000	0.000	-1.000
YER124C	0.000	0.000	0.000	-1.000
YER128W	0.000	0.000	-1.000	-1.000
YER129W	0.000	0.000	-1.000	-1.000
YER130C	0.000	0.000	0.000	-1.000
YER131W	0.000	0.000	0.000	-1.000
YER132C	-1.000	0.000	0.000	-1.000
YER135C	0.000	0.000	0.000	-1.000
YER137C	0.000	0.000	0.000	-1.000
YER139C	0.000	-1.000	-1.000	-1.000
YER141W	-1.000	0.000	-1.000	-1.000
YER142C	0.000	0.000	-1.000	-1.000
YER143W	0.000	0.000	-1.000	0.000
YER145C	0.000	0.000	0.000	-1.000
YER149C	0.000	0.000	0.000	-1.000
YER150W	0.000	0.000	0.000	-1.000
YER152C	0.000	0.000	-1.000	-1.000
YER154W	0.000	0.000	0.000	-1.000
YER156C	0.000	-1.000	-1.000	-1.000
YER158C	-1.000	0.000	0.000	-1.000
YER162C	0.000	0.000	-1.000	-1.000
YER163C	0.000	0.000	0.000	-1.000
YER164W	0.000	0.000	0.000	-1.000
YER166W	0.000	0.000	0.000	-1.000
YER167W	0.000	0.000	-1.000	0.000
YER169W	0.000	0.000	-1.000	-1.000
YER170W	0.000	0.000	-1.000	-1.000
YER173W	-1.000	0.000	0.000	-1.000
YER174C	0.000	0.000	0.000	-1.000
YER175C	0.000	0.000	0.000	-1.000
YER176W	0.000	0.000	0.000	-1.000
YER178W	0.000	0.000	0.000	-1.000
YER179W	-1.000	0.000	-1.000	-1.000
YER180C	0.000	0.000	0.000	-1.000
YER181C	0.000	0.000	0.000	-1.000
YER182W	0.000	0.000	0.000	-1.000
YER183C	0.000	0.000	0.000	-1.000
YER184C	0.000	0.000	0.000	-1.000
YER185W	0.000	0.000	0.000	-1.000
YER186C	0.000	0.000	0.000	-1.000
YFL001W	1.000	0.000	0.000	0.000
YFL018C	0.000	0.000	0.000	-1.000
YFL023W	-1.000	0.000	-1.000	0.000
YFL028C	0.000	1.000	0.000	0.000
YFL034C-A	0.000	-1.000	0.000	0.000
YFR010W	-1.000	0.000	0.000	0.000
YFR023W	-1.000	0.000	0.000	0.000
YFR030W	0.000	-1.000	-1.000	0.000
YFR032C	-1.000	0.000	0.000	0.000
YFR040W	0.000	-1.000	-1.000	0.000
YFR041C	-1.000	0.000	0.000	0.000
YFR043C	-1.000	0.000	0.000	0.000
YFR053C	-1.000	0.000	0.000	0.000
YFR054C	-1.000	0.000	0.000	0.000
YGL002W	-1.000	0.000	0.000	0.000
YGL010W	0.000	1.000	0.000	0.000
YGL020C	-1.000	-1.000	0.000	-1.000
YGL023C	-1.000	-1.000	-1.000	-1.000
YGL025C	0.000	-1.000	-1.000	0.000
YGL027C	0.000	1.000	0.000	0.000
YGL031C	0.000	0.000	0.000	-1.000
YGL033W	-1.000	0.000	0.000	0.000
YGL037C	0.000	1.000	0.000	0.000
YGL058W	-1.000	0.000	0.000	0.000
YGL064C	0.000	0.000	0.000	-1.000
YGL066W	-1.000	0.000	0.000	0.000
YGL070C	-1.000	0.000	0.000	0.000
YGL076C	-1.000	-1.000	0.000	0.000
YGL105W	-1.000	-1.000	-1.000	0.000
YGL107C	0.000	0.000	-1.000	0.000
YGL108C	-1.000	0.000	0.000	0.000
YGL110C	-1.000	0.000	0.000	0.000
YGL121C	-1.000	0.000	0.000	0.000
YGL126W	-1.000	-1.000	0.000	0.000
YGL127C	-1.000	-1.000	0.000	0.000
YGL129C	-1.000	0.000	0.000	0.000
YGL135W	-1.000	-1.000	0.000	0.000
YGL139W	0.000	1.000	0.000	0.000
YGL170C	-1.000	0.000	0.000	0.000
YGL173C	-1.000	0.000	-1.000	0.000
YGL197W	-1.000	0.000	-1.000	0.000
YGL199C	-1.000	0.000	0.000	0.000
YGL214W	0.000	-1.000	0.000	0.000
YGL218W	-1.000	-1.000	0.000	0.000
YGL219C	-1.000	-1.000	0.000	-1.000
YGL226W	0.000	1.000	0.000	0.000
YGL227W	-1.000	0.000	0.000	0.000
YGL230C	0.000	1.000	0.000	0.000
YGL240W	-1.000	0.000	0.000	0.000
YGL242C	0.000	1.000	0.000	0.000
YGL244W	-1.000	-1.000	-1.000	-1.000
YGL246C	-1.000	-1.000	-1.000	-1.000
YGL252C	-1.000	-1.000	-1.000	0.000
YGL254W	0.000	1.000	0.000	0.000
YGL258W	0.000	1.000	0.000	0.000
YGL259W	0.000	1.000	0.000	0.000
