ORF	het | growth (culture turbidity) | kalopanaxsaponin A [16 ug/ml] | Prescott TA~Simmonds MS, 2014
YAL001C	0.000
YAL003W	0.000
YAL025C	0.000
YAL032C	0.000
YAL033W	0.000
YAL034W-A	0.000
YAL035C-A	0.000
YAL038W	0.000
YAL041W	0.000
YAL043C	0.000
YAR007C	0.000
YAR008W	0.000
YAR019C	0.000
YBL004W	0.000
YBL014C	0.000
YBL018C	0.000
YBL020W	0.000
YBL023C	0.000
YBL026W	0.000
YBL030C	0.000
YBL034C	0.000
YBL035C	0.000
YBL040C	0.000
YBL041W	0.000
YBL050W	0.000
YBL073W	0.000
YBL074C	0.000
YBL076C	0.000
YBL077W	0.000
YBL084C	0.000
YBL092W	0.000
YBL097W	0.000
YBL103C	0.000
YBL105C	0.000
YBR011C	0.000
YBR017C	0.000
YBR021W	0.000
YBR029C	0.000
YBR038W	0.000
YBR039W	0.000
YBR049C	0.000
YBR055C	0.000
YBR060C	0.000
YBR061C	0.000
YBR070C	0.000
YBR079C	0.000
YBR080C	0.000
YBR081C	0.000
YBR082C	0.000
YBR085W	0.000
YBR087W	0.000
YBR088C	0.000
YBR089W	0.000
YBR091C	0.000
YBR095C	0.000
YBR096W	0.000
YBR097W	0.000
YBR102C	0.000
YBR109C	0.000
YBR110W	0.000
YBR117C	0.000
YBR118W	0.000
YBR121C	0.000
YBR123C	0.000
YBR124W	0.000
YBR135W	0.000
YBR136W	0.000
YBR140C	0.000
YBR142W	0.000
YBR143C	0.000
YBR152W	0.000
YBR153W	0.000
YBR154C	0.000
YBR155W	0.000
YBR160W	0.000
YBR165W	0.000
YBR167C	0.000
YBR189W	0.000
YBR190W	0.000
YBR191W	0.000
YBR192W	0.000
YBR193C	0.000
YBR196C	0.000
YBR198C	0.000
YBR202W	0.000
YBR211C	0.000
YBR234C	0.000
YBR236C	0.000
YBR237W	0.000
YBR243C	0.000
YBR247C	0.000
YBR252W	0.000
YBR253W	0.000
YBR254C	0.000
YBR256C	0.000
YBR257W	0.000
YBR265W	0.000
YCL003W	0.000
YCL004W	0.000
YCL017C	0.000
YCL031C	0.000
YCL041C	0.000
YCL043C	0.000
YCL052C	0.000
YCL053C	0.000
YCL054W	0.000
YCL059C	0.000
YCR012W	0.000
YCR013C	0.000
YCR035C	0.000
YCR052W	0.000
YCR054C	0.000
YCR057C	0.000
YCR072C	0.000
YCR093W	0.000
YDL003W	0.000
YDL004W	0.000
YDL007W	0.000
YDL008W	0.000
YDL014W	0.000
YDL015C	0.000
YDL016C	0.000
YDL017W	0.000
YDL028C	0.000
YDL029W	0.000
YDL030W	0.000
YDL043C	0.000
YDL045C	0.000
YDL055C	0.000
YDL060W	0.000
YDL064W	0.000
YDL084W	0.000
YDL087C	0.000
YDL092W	0.000
YDL097C	0.000
