ORF	hom | growth (relative abundance in pooled culture) | arsenic [1-5 mM] | Haugen AC~Van Houten B, 2004
YNL077W	0.073
YDR068W	0.073
YCL001W	0.074
YDL049C	0.074
YIL023C	0.074
YPL257W	0.074
YJR120W	0.074
YDL131W	0.075
YDR077W	0.075
YCL051W	0.075
YCL036W	0.075
YGR068C	0.076
YDR094W	0.076
YNL065W	0.076
YOL002C	0.076
YIL035C	0.077
YPL035C	0.077
YBR093C	0.077
YDL026W	0.077
YKL023W	0.078
YBR200W	0.078
YMR130W	0.078
YGL028C	0.078
YML124C	0.078
YDR317W	0.079
YIL112W	0.079
YIL001W	0.079
YJL193W	0.079
YBR057C	0.080
YAL061W	0.080
YCL042W	0.080
YDR494W	0.080
YNL198C	0.081
YNL089C	0.081
YCR014C	0.081
YML053C	0.081
YPL145C	0.081
YLR255C	0.082
YGL115W	0.082
YDL034W	0.082
YKL167C	0.082
YAL058W	0.083
YNL144C	0.083
YNR040W	0.083
YMR245W	0.083
YJR047C	0.084
YBL104C	0.084
YMR007W	0.084
YNL211C	0.084
YPL132W	0.084
YJL073W	0.085
YJL053W	0.085
YCL069W	0.085
YJR096W	0.085
YBR043C	0.086
YOR031W	0.086
YDL071C	0.086
YOR024W	0.086
YGR142W	0.087
YGR217W	0.087
YDL054C	0.087
YJL153C	0.087
YJR108W	0.087
YKL208W	0.088
YBR036C	0.088
YCL010C	0.088
YOL116W	0.088
YJL105W	0.089
YOR214C	0.089
YKL105C	0.089
YDR520C	0.089
YNR020C	0.090
YCR049C	0.090
YML003W	0.090
YGR201C	0.090
YDR483W	0.091
YJR092W	0.091
YMR273C	0.091
YDR126W	0.091
YCL022C	0.091
YJL107C	0.092
YPR124W	0.092
YKL150W	0.092
YML050W	0.092
YGR225W	0.093
YAL005C	0.093
YOR144C	0.093
YKR018C	0.093
YPL261C	0.094
YDR162C	0.094
YMR166C	0.094
YGR184C	0.094
YMR037C	0.094
YCL025C	0.095
YMR011W	0.095
YNL300W	0.095
YIL116W	0.095
YPR146C	0.096
YOL068C	0.096
YOR352W	0.096
YDR358W	0.096
YLR453C	0.097
YNL314W	0.097
YLL029W	0.097
YPR028W	0.097
YCL023C	0.097
YMR012W	0.098
YNL097C	0.098
YOR018W	0.098
YBR104W	0.098
YNL305C	0.099
YNL111C	0.099
YBR283C	0.099
YCL007C	0.099
YER007W	0.100
YNL057W	0.100
YJR003C	0.100
YIL045W	0.100
YDR505C	0.100
YCR051W	0.101
YKR064W	0.101
YKL148C	0.101
YJR154W	0.101
YMR152W	0.102
YDL236W	0.102
YDR144C	0.102
YAL022C	0.102
YJL166W	0.103
YNL255C	0.103
YIL157C	0.103
YCR006C	0.103
YNR041C	0.104
YDR488C	0.104
YLR438W	0.104
YNL218W	0.104
YBR119W	0.104
YDR389W	0.105
YNL074C	0.105
YIL028W	0.105
YDR435C	0.105
YDR399W	0.106
YDR015C	0.106
YOR187W	0.106
YMR126C	0.106
YLR303W	0.107
YDL050C	0.107
YML081C-A	0.107
YHL026C	0.107
YPL234C	0.107
YGR282C	0.108
YKL051W	0.108
YML019W	0.108
YJL150W	0.108
YMR304C-A	0.109
YOL004W	0.109
YFR015C	0.109
YKL011C	0.109
YJL208C	0.110
YNR008W	0.110
YKL041W	0.110
YDL129W	0.110
YKL065C	0.110
YBR046C	0.111
YBL011W	0.111
YBR264C	0.111
YNL196C	0.111
YGR035C	0.112
YJL154C	0.112
YPL165C	0.112
YJL055W	0.112
YNL203C	0.113
YMR070W	0.113
YBR033W	0.113
YIR030C	0.113
YOR253W	0.113
YPL034W	0.114
YNL115C	0.114
YKL175W	0.114
YOR237W	0.114
YDR157W	0.115
YGR066C	0.115
YPR065W	0.115
YHR103W	0.115
YBR100W	0.116
YJR078W	0.116
YOR333C	0.116
YAL007C	0.116
YBR289W	0.117
YBR187W	0.117
YCR032W	0.117
YJR140C	0.117
YOR208W	0.117
YDL002C	0.118
YIL131C	0.118
YBL028C	0.118
YLR375W	0.118
YMR305C	0.119
YKL136W	0.119
YJL112W	0.119
YMR009W	0.119
YER113C	0.120
YGR077C	0.120
YBR040W	0.120
YDR200C	0.120
YGL086W	0.120
YCL032W	0.121
YOR021C	0.121
YHR006W	0.121
YMR026C	0.121
YOR007C	0.122
YDR421W	0.122
YDR008C	0.122
YGR258C	0.122
YCL024W	0.123
YLR405W	0.123
YPR071W	0.123
YDR474C	0.123
YNR050C	0.123
