orf	hap a | gene expression (CYC1-pacCx4-lacZ) | standard | SC - Ura | Barwell KJ~Mitchell AP, 2005
YAL026C	10.66887997870442
YAL035W	10.66887997870442
YBR112C	10.66887997870442
YCL008C	10.66887997870442
YCR081W	10.66887997870442
YCR084C	10.66887997870442
YDL047W	10.66887997870442
YDR392W	10.66887997870442
YEL013W	10.66887997870442
YEL044W	10.66887997870442
YGL019W	10.66887997870442
YGL045W	10.66887997870442
YGR122W	10.66887997870442
YGR184C	10.66887997870442
YHL027W	10.66887997870442
YJR090C	10.66887997870442
YJR102C	10.66887997870442
YKL184W	10.66887997870442
YLR025W	10.66887997870442
YLR119W	10.66887997870442
YLR417W	10.66887997870442
YMR063W	10.66887997870442
YMR077C	10.66887997870442
YMR154C	10.66887997870442
YNL294C	10.66887997870442
YNR001C	10.66887997870442
YOL052C	10.66887997870442
YOR030W	10.66887997870442
YOR061W	10.66887997870442
YOR080W	10.66887997870442
YOR275C	10.66887997870442
YPL002C	10.66887997870442
YPL065W	10.66887997870442
YPL100W	10.66887997870442
YPL129W	10.66887997870442
YPL214C	10.66887997870442
YPR057W	10.66887997870442
YPR069C	10.66887997870442
YPR116W	10.66887997870442
YPR160W	10.66887997870442
