orf	hom | extracellular ATP abundance | stationary phase | SC | Peters TW~Hughes RE, 2015
YAL002W	-2.868808202598344
YAL004W	-0.8146657307119799
YAL005C	-0.7114142945410623
YAL007C	-0.8053704335355278
YAL008W	-0.98911784546961
YAL009W	-0.5792488127085682
YAL010C	-2.853832474526012
YAL011W	-0.3824638770825979
YAL013W	-5.239089111323722
YAL014C	-1.0981817397155624
YAL015C	-0.7817521825957716
YAL016W	-2.050829966971625
YAL017W	-0.5496089345450413
YAL018C	-0.7589349759987478
YAL019W	-0.7077108506077874
YAL020C	-1.2341574327929061
YAL021C	-2.84616000328579
YAL022C	-1.2008450947773843
YAL023C	-1.3051449866705405
YAL024C	-0.33905556292182176
YAL026C	-2.621307622129861
YAL027W	-1.4018890426967747
YAL028W	-0.5109624054973853
YAL029C	-0.6288801064025793
YAL030W	-0.8004526818481497
YAL031C	-0.5176583579759816
YAL034C	-0.3190875964871407
YAL035W	1.965016031870117
YAL036C	-0.7789470677532554
YAL037W	-1.1526552600887878
YAL039C	-4.660315787686058
YAL040C	-0.39641581200828724
YAL042C-A	-0.5449101890189294
YAL042W	-0.38870506859285336
YAL044C	-1.447355252353188
YAL045C	-1.5500918684333922
YAL046C	-0.8099981613680558
YAL047C	0.10321561791364439
YAL048C	-0.5892446585415941
YAL049C	-0.05186593427782537
YAL051W	-0.7432255351329637
YAL053W	-1.9232188395145655
YAL054C	-0.18752035142280496
YAL055W	-1.4692729753372404
YAL056C-A	-0.1791216044680235
YAL056W	-0.8513278101864162
YAL058W	-1.4357099100816726
YAL059W	-1.0315451926474484
YAL060W	-0.2967924116620904
YAL061W	-1.0723889308296448
YAL062W	-1.6272219297614652
YAL065C	-1.6382128173544284
YAL066W	-0.35651019218235314
YAL067C	-0.3392375302459649
YAL068C	-0.5307369002437615
YAR002C-A	0.2990003819200909
YAR002W	-0.37994097353251416
YAR003W	-0.035240531699204235
YAR014C	-1.4979941398974024
YAR015W	-0.6090016601984927
YAR018C	-1.323700668160067
YAR020C	-1.1714052751679225
YAR023C	-1.198184680940571
YAR027W	-1.1694868305482635
YAR028W	-0.5782544363963803
YAR029W	-0.8441240081981392
YAR030C	-1.1229054219439905
YAR031W	-0.973381214544264
YAR035W	-0.9130681688285865
YAR042W	-0.8403504228788434
YAR047C	-0.6877215440907147
YAR050W	0.3995374866128064
YBL001C	-0.40623237599618467
