orf	hom | extracellular ATP abundance | stationary phase | SC | Peters TW~Hughes RE, 2015
YAL002W	-3.33006419579437
YAL004W	-1.48601831518704
YAL005C	-1.39332738057873
YAL007C	-1.47767373602476
YAL008W	-1.64262756113025
YAL009W	-1.27467971340505
YAL010C	-3.31662017716429
YAL011W	-1.09802183554451
YAL013W	-5.45791404332872
YAL014C	-1.74053645871638
YAL015C	-1.4564711471349
YAL016W	-2.59574833578067
YAL017W	-1.24807138609708
YAL018C	-1.43598767220165
YAL019W	-1.3900027229064
YAL020C	-1.86260463077055
YAL021C	-3.3097324421711
YAL022C	-1.8326994608363
YAL023C	-1.92633161567741
YAL024C	-1.05905330049505
YAL026C	-3.10787784206901
YAL027W	-2.01318074149515
YAL028W	-1.21337760333105
YAL029C	-1.31923474497577
YAL030W	-1.47325896934471
YAL031C	-1.21938869737827
YAL034C	-1.04112764696715
YAL035W	1.00935908625564
YAL036C	-1.45395293793531
YAL037W	-1.78943845661635
YAL039C	-4.93833734508766
YAL040C	-1.11054677404237
YAL042C-A	-1.24385322574548
YAL042W	-1.10362468133154
YAL044C	-2.05399669159171
YAL045C	-2.14622546163231
YAL046C	-1.48182814233442
YAL047C	-0.662017379037262
YAL048C	-1.28365318948271
YAL049C	-0.801237273173549
YAL051W	-1.42188498452946
YAL053W	-2.48118920605743
YAL054C	-0.923017029225556
YAL055W	-2.07367268161392
YAL056C-A	-0.915477301608705
YAL056W	-1.5189306168188
YAL058W	-2.04354242868738
YAL059W	-1.68071546197412
YAL060W	-1.02111280169877
YAL061W	-1.71738172450182
YAL062W	-2.21546670161914
YAL065C	-2.22533344711874
YAL066W	-1.07472267962816
YAL067C	-1.05921665629879
YAL068C	-1.23112957335125
YAR002C-A	-0.486257375778959
YAR002W	-1.09575697321759
YAR003W	-0.786312307861678
YAR014C	-2.09945626085357
YAR015W	-1.30138945559725
YAR018C	-1.94298943200755
YAR020C	-1.80627073020069
YAR023C	-1.83031115270109
YAR027W	-1.8045485030687
YAR028W	-1.27378704136922
YAR029W	-1.51246361583761
YAR030C	-1.76273141597507
