orf	hom | growth (relative abundance in pooled culture) | PS-519 [8 uM] | Fleming JA~Blackman RK, 2002	hom | growth (relative abundance in pooled culture) | bortezomib [260 uM] | Fleming JA~Blackman RK, 2002
YAL002W	0.05966848036325789	-0.10817575900309293
YAL004W	0.05966848036325789	-0.10817575900309293
YAL005C	0.05966848036325789	-0.10817575900309293
YAL007C	0.05966848036325789	-0.10817575900309293
YAL008W	0.05966848036325789	-0.10817575900309293
YAL009W	-5.8475110755992175	-9.478900882645888
YAL011W	0.05966848036325789	-0.10817575900309293
YAL013W	0.05966848036325789	-0.10817575900309293
YAL014C	0.05966848036325789	-0.10817575900309293
YAL015C	0.05966848036325789	-0.10817575900309293
YAL017W	0.05966848036325789	-0.10817575900309293
YAL018C	0.05966848036325789	-0.10817575900309293
YAL019W	0.05966848036325789	-0.10817575900309293
YAL020C	0.05966848036325789	-0.10817575900309293
YAL021C	-8.63232429483867	-9.478900882645888
YAL022C	0.05966848036325789	-0.10817575900309293
YAL023C	0.05966848036325789	-0.10817575900309293
YAL024C	-9.054265691693132	-8.14022586498263
YAL026C	0.05966848036325789	-0.10817575900309293
YAL027W	0.05966848036325789	-0.10817575900309293
YAL028W	0.05966848036325789	-0.10817575900309293
YAL029C	0.05966848036325789	-0.10817575900309293
YAL030W	0.05966848036325789	-0.10817575900309293
YAL031C	0.05966848036325789	-0.10817575900309293
YAL034C	0.05966848036325789	-0.10817575900309293
YAL036C	0.05966848036325789	-0.10817575900309293
YAL037W	0.05966848036325789	-0.10817575900309293
YAL039C	0.05966848036325789	-0.10817575900309293
YAL040C	0.05966848036325789	-0.10817575900309293
YAL042W	0.05966848036325789	-0.10817575900309293
YAL042C-A	0.05966848036325789	-0.10817575900309293
YAL045C	0.05966848036325789	-0.10817575900309293
YAL046C	0.05966848036325789	-0.10817575900309293
YAL048C	0.05966848036325789	-0.10817575900309293
YAL049C	0.05966848036325789	-0.10817575900309293
YAL051W	0.05966848036325789	-0.10817575900309293
YAL053W	0.05966848036325789	-0.10817575900309293
YAL054C	0.05966848036325789	-0.10817575900309293
YAL055W	0.05966848036325789	-0.10817575900309293
YAL056W	0.05966848036325789	-0.10817575900309293
YAL056C-A	0.05966848036325789	-0.10817575900309293
YAL058W	0.05966848036325789	-0.10817575900309293
YAL059W	0.05966848036325789	-0.10817575900309293
YAL060W	0.05966848036325789	-0.10817575900309293
YAL061W	0.05966848036325789	-0.10817575900309293
YAL062W	0.05966848036325789	-0.10817575900309293
YAL064C-A	0.05966848036325789	-0.10817575900309293
YAL065C	0.05966848036325789	-0.10817575900309293
YAL066W	0.05966848036325789	-0.10817575900309293
YAL067C	0.05966848036325789	-0.10817575900309293
YAL068C	0.05966848036325789	-0.10817575900309293
YAR002C-A	0.05966848036325789	-0.10817575900309293
YAR002W	0.05966848036325789	-0.10817575900309293
YAR003W	0.05966848036325789	-0.10817575900309293
YAR014C	0.05966848036325789	-0.10817575900309293
YAR015W	0.05966848036325789	-0.10817575900309293
YAR018C	0.05966848036325789	-0.10817575900309293
YAR020C	0.05966848036325789	-0.10817575900309293
YAR023C	0.05966848036325789	-0.10817575900309293
YAR027W	0.05966848036325789	-0.10817575900309293
YAR028W	0.05966848036325789	-0.10817575900309293
YAR029W	0.05966848036325789	-0.10817575900309293
YAR030C	0.05966848036325789	-0.10817575900309293
YAR031W	0.05966848036325789	-0.10817575900309293
YAR035W	0.05966848036325789	-0.10817575900309293
YAR042W	0.05966848036325789	-0.10817575900309293
YAR047C	0.05966848036325789	-0.10817575900309293
YAR050W	0.05966848036325789	-0.10817575900309293
YBL001C	0.05966848036325789	-0.10817575900309293
YBL002W	0.05966848036325789	-0.10817575900309293
YBL003C	0.05966848036325789	-0.10817575900309293
YBL005W	0.05966848036325789	-0.10817575900309293
YBL006C	0.05966848036325789	-0.10817575900309293
YBL007C	0.05966848036325789	-0.10817575900309293
YBL008W	0.05966848036325789	-0.10817575900309293
YBL009W	0.05966848036325789	-0.10817575900309293
YBL010C	0.05966848036325789	-0.10817575900309293
YBL011W	0.05966848036325789	-0.10817575900309293
YBL012C	0.05966848036325789	-0.10817575900309293
YBL013W	0.05966848036325789	-0.10817575900309293
YBL015W	0.05966848036325789	-0.10817575900309293
YBL017C	0.05966848036325789	-0.10817575900309293
YBL019W	0.05966848036325789	-0.10817575900309293
YBL022C	0.05966848036325789	-0.10817575900309293
YBL024W	0.05966848036325789	-0.10817575900309293
YBL027W	0.05966848036325789	-0.10817575900309293
YBL028C	0.05966848036325789	-0.10817575900309293
YBL029W	0.05966848036325789	-0.10817575900309293
YBL031W	-8.379159456725992	-7.247775853207128
YBL032W	0.05966848036325789	-0.10817575900309293
YBL036C	0.05966848036325789	-0.10817575900309293
YBL037W	0.05966848036325789	-0.10817575900309293
YBL038W	0.05966848036325789	-0.10817575900309293
YBL039C	0.05966848036325789	-0.10817575900309293
YBL042C	0.05966848036325789	-0.10817575900309293
YBL043W	0.05966848036325789	-0.10817575900309293
YBL044W	0.05966848036325789	-0.10817575900309293
YBL045C	0.05966848036325789	-0.10817575900309293
YBL046W	0.05966848036325789	-0.10817575900309293
YBL047C	0.05966848036325789	-0.10817575900309293
YBL048W	0.05966848036325789	-0.10817575900309293
YBL049W	0.05966848036325789	-0.10817575900309293
YBL051C	0.05966848036325789	-0.10817575900309293
YBL052C	0.05966848036325789	-0.10817575900309293
YBL053W	0.05966848036325789	-0.10817575900309293
YBL054W	0.05966848036325789	-0.10817575900309293
YBL055C	0.05966848036325789	-0.10817575900309293
YBL056W	0.05966848036325789	-0.10817575900309293
YBL057C	0.05966848036325789	-0.10817575900309293
YBL059W	0.05966848036325789	-0.10817575900309293
YBL060W	0.05966848036325789	-0.10817575900309293
YBL061C	0.05966848036325789	-0.10817575900309293
YBL062W	0.05966848036325789	-0.10817575900309293
YBL063W	0.05966848036325789	-0.10817575900309293
YBL064C	0.05966848036325789	-0.10817575900309293
YBL065W	0.05966848036325789	-0.10817575900309293
YBL066C	0.05966848036325789	-0.10817575900309293
YBL067C	0.05966848036325789	-0.10817575900309293
YBL068W	0.05966848036325789	-0.10817575900309293
YBL069W	0.05966848036325789	-0.10817575900309293
YBL070C	0.05966848036325789	-0.10817575900309293
YBL071C	0.05966848036325789	-0.10817575900309293
YBL072C	0.05966848036325789	-0.10817575900309293
YBL075C	0.05966848036325789	-0.10817575900309293
YBL078C	0.05966848036325789	-0.10817575900309293
YBL079W	0.05966848036325789	-0.10817575900309293
YBL080C	0.05966848036325789	-0.10817575900309293
YBL081W	0.05966848036325789	-0.10817575900309293
YBL082C	0.05966848036325789	-0.10817575900309293
YBL083C	0.05966848036325789	-0.10817575900309293
YBL085W	0.05966848036325789	-0.10817575900309293
YBL086C	0.05966848036325789	-0.10817575900309293
YBL087C	0.05966848036325789	-0.10817575900309293
YBL088C	0.05966848036325789	-0.10817575900309293
YBL089W	0.05966848036325789	-0.10817575900309293
YBL090W	0.05966848036325789	-0.10817575900309293
YBL091C	0.05966848036325789	-0.10817575900309293
YBL091C-A	0.05966848036325789	-0.10817575900309293
YBL094C	0.05966848036325789	-0.10817575900309293
YBL095W	0.05966848036325789	-0.10817575900309293
YBL096C	0.05966848036325789	-0.10817575900309293
YBL098W	0.05966848036325789	-0.10817575900309293
YBL099W	0.05966848036325789	-0.10817575900309293
YBL102W	0.05966848036325789	-0.10817575900309293
YBL104C	0.05966848036325789	-0.10817575900309293
YBL106C	0.05966848036325789	-0.10817575900309293
YBL107C	0.05966848036325789	-0.10817575900309293
YBR001C	0.05966848036325789	-0.10817575900309293
YBR003W	0.05966848036325789	-0.10817575900309293
YBR005W	0.05966848036325789	-0.10817575900309293
YBR006W	0.05966848036325789	-0.10817575900309293
YBR007C	0.05966848036325789	-0.10817575900309293
YBR008C	0.05966848036325789	-0.10817575900309293
YBR009C	0.05966848036325789	-0.10817575900309293
YBR010W	0.05966848036325789	-0.10817575900309293
YBR012C	0.05966848036325789	-0.10817575900309293
YBR013C	0.05966848036325789	-0.10817575900309293
YBR014C	0.05966848036325789	-0.10817575900309293
YBR015C	0.05966848036325789	-0.10817575900309293
YBR016W	0.05966848036325789	-0.10817575900309293
YBR018C	0.05966848036325789	-0.10817575900309293
YBR019C	0.05966848036325789	-0.10817575900309293
YBR020W	0.05966848036325789	-0.10817575900309293
YBR022W	0.05966848036325789	-0.10817575900309293
YBR023C	0.05966848036325789	-0.10817575900309293
YBR024W	0.05966848036325789	-0.10817575900309293
YBR025C	0.05966848036325789	-0.10817575900309293
YBR027C	0.05966848036325789	-0.10817575900309293
YBR028C	0.05966848036325789	-0.10817575900309293
YBR030W	0.05966848036325789	-0.10817575900309293
YBR031W	0.05966848036325789	-0.10817575900309293
YBR032W	0.05966848036325789	-0.10817575900309293
YBR033W	0.05966848036325789	-0.10817575900309293
YBR034C	0.05966848036325789	-0.10817575900309293
YBR036C	0.05966848036325789	-0.10817575900309293
YBR037C	0.05966848036325789	-0.10817575900309293
YBR040W	0.05966848036325789	-0.10817575900309293
YBR041W	0.05966848036325789	-0.10817575900309293
YBR042C	0.05966848036325789	-0.10817575900309293
YBR043C	0.05966848036325789	-0.10817575900309293
YBR044C	0.05966848036325789	-0.10817575900309293
YBR045C	0.05966848036325789	-0.10817575900309293
YBR046C	0.05966848036325789	-0.10817575900309293
YBR047W	0.05966848036325789	-0.10817575900309293
YBR048W	0.05966848036325789	-0.10817575900309293
YBR050C	0.05966848036325789	-0.10817575900309293
YBR051W	0.05966848036325789	-0.10817575900309293
