orf	hom | growth (relative abundance in pooled culture) | Chlorimuron ethyl [10 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 1 [3 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 1 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 2 [6 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 3 [1.5 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 4 [10 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 5 [8 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 6 [0.5 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 7 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 8 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | sulfometuron methyl [30 uM] | Richie DL~Hoepfner D, 2013											
YAL001C	0.03899076	-0.056542094	-0.294364666	-0.104996141	-1.5591746030000002	-1.422066148	-0.524620747	0.10470781800000001	-0.091587448	-1.362973363	-1.336963029	1.01071618394696	0.989843702868053	-0.000673343627681962	0.4758427623095779	0.10932107442736	0.0165465393354227	0.5365395808386211	-0.0210304625569486	-0.13996326022580402	-0.0105351512282608	0.397132770050948
YAL002W	0.8066080929999999	0.8204458720000001	0.010005109	0.11904471900000001	-0.193387195	0.031664872000000004	1.723395225	-0.29686508100000003	-0.061796189	1.0777052870000001	1.353141921	-0.21280652764429897	-3.4177761970284997	-2.16480039372689	-2.0485662439921	0.0170552349700012	-0.0203408810858325	-2.35407970460745	-0.0075220046715729705	0.0555934950725743	0.0681830505853879	-1.1236467001627501
YAL003W												0.154032742800752	0.0809702274716964	0.0406772978709616	-0.25540450742292103	0.534363979331907	0.000449631718343776	0.325886443038717	0.0998933673333624	0.071327494665881	0.0890265144614204	0.0926393584129308
YAL004W	-0.9764397359999999	-1.507390798	-0.867939375	-0.288603889	-0.21430983399999998	-0.041421058	-0.9715477029999999	-0.132192323	-0.21600270800000002	-0.031659626	-0.341178783	-4.1747389628514	-2.62057704075587	-2.51589120410705	-2.12023117944538	-3.0991776002877796	-3.5122032811667996	-2.96613303908706	-1.74194340752429	-0.39350881418656	-1.74133680692078	-5.22388324263198
YAL005C	0.115979877	0.005257199999999999	-0.052888144000000005	-0.16971917600000003	-0.320672343	-0.15234441199999998	-0.554362579	0.615375651	-0.005581047	-0.620673867	-0.659038142	7.9740140024634005	0.257501271591431	-1.1693626196883302	7.24655576196518	2.8602752222272096	9.25945622246565	6.64240541958985	1.02002443042284	5.084950757402691	3.03506508684768	4.89057028665511
YAL007C	0.060708882	0.04221398	0.046735318	0.023437543999999998	0.002836682	0.18800351199999998	-0.005930488	0.442376613	0.535951695	0.070739185	-0.27562479100000004	0.272550454688793	-1.5329284361569802	0.047539100520161	-0.0175196548669843	-1.91580711717888	-0.172326355557956	-1.46580866482887	-0.493670094350946	0.0723297625642704	0.178962070478567	0.0103457689809279
YAL008W	0.150737294	-0.024647042999999997	0.69511288	0.46422748399999997	1.124055768	1.9933837859999999	-0.013872273000000001	0.178879934	0.16719192900000002	0.462295258	0.0037992779999999997	-0.18061533432967897	-2.8192063577295796	0.278212389784404	-0.357270223289057	-1.27605035434671	-0.562746447857039	-1.23759296757121	-0.09734000915712901	-0.0720067294877046	0.0011325876788723	-0.143078599896379
YAL009W	-5.134415721	-4.242946527	-2.8245316089999997	-5.5932190870000005	-7.953411259	-8.954696361	-6.200608643	-1.831360373	-0.826078685	-3.264518087	-7.525298527	0.15057515335478303	-0.0221864063592566	0.23591372266912802	-1.8598758473562198	-0.00837421498740664	0.37988077014849997	0.360418383708848	-0.0244653372087425	0.16699564003335998	0.0115972628212891	1.20066922823088
YAL010C	0.673470606	1.4277651009999999	2.103018939	2.89483992					-1.049501945	0.7426979309999999	0.959912955	0.8744999157526391	-0.28306943035112203	2.4015992830151003	-0.9896203283877378	0.6942628537702601	1.34473338635784	0.557158694143535	2.03647861907555	0.31740022617916097	0.13930427929422398	0.046032070764043
YAL011W	3.007126211	2.742366521	5.200403156	2.4440661830000003	2.295382545	2.701786637	2.9930695939999996	0.448753196	1.6576815409999999	0.576140975	1.601945766	3.4131178015333803	-0.058602780790098	1.51304971627177	-3.33106990662134	0.0178898686519998	-0.555667687312352	1.7783734654768701	0.0540076173975914	0.0177806584790641	0.175330580349685	0.15330213236491
