ORF	hom | growth (relative abundance in pooled culture) | Chlorimuron ethyl [10 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 1 [3 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 1 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 2 [6 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 3 [1.5 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 4 [10 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 5 [8 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 6 [0.5 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 7 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 8 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | sulfometuron methyl [30 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | Chlorimuron ethyl [10 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 1 [3 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 1 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 2 [6 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 3 [1.5 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 4 [10 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 5 [8 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 6 [0.5 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 7 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 8 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | sulfometuron methyl [30 uM] | Richie DL~Hoepfner D, 2013
YAL001C	0.039	-0.057	-0.294	-0.105	-1.559	-1.422	-0.525	0.105	-0.092	-1.363	-1.337	1.011	0.990	-0.001	0.476	0.109	0.017	0.537	-0.021	-0.140	-0.011	0.397
YAL002W	0.807	0.820	0.010	0.119	-0.193	0.032	1.723	-0.297	-0.062	1.078	1.353	-0.213	-3.418	-2.165	-2.049	0.017	-0.020	-2.354	-0.008	0.056	0.068	-1.124
YAL003W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.154	0.081	0.041	-0.255	0.534	0.000	0.326	0.100	0.071	0.089	0.093
YAL004W	-0.976	-1.507	-0.868	-0.289	-0.214	-0.041	-0.972	-0.132	-0.216	-0.032	-0.341	-4.175	-2.621	-2.516	-2.120	-3.099	-3.512	-2.966	-1.742	-0.394	-1.741	-5.224
YAL005C	0.116	0.005	-0.053	-0.170	-0.321	-0.152	-0.554	0.615	-0.006	-0.621	-0.659	7.974	0.258	-1.169	7.247	2.860	9.259	6.642	1.020	5.085	3.035	4.891
YAL007C	0.061	0.042	0.047	0.023	0.003	0.188	-0.006	0.442	0.536	0.071	-0.276	0.273	-1.533	0.048	-0.018	-1.916	-0.172	-1.466	-0.494	0.072	0.179	0.010
YAL008W	0.151	-0.025	0.695	0.464	1.124	1.993	-0.014	0.179	0.167	0.462	0.004	-0.181	-2.819	0.278	-0.357	-1.276	-0.563	-1.238	-0.097	-0.072	0.001	-0.143
YAL009W	-5.134	-4.243	-2.825	-5.593	-7.953	-8.955	-6.201	-1.831	-0.826	-3.265	-7.525	0.151	-0.022	0.236	-1.860	-0.008	0.380	0.360	-0.024	0.167	0.012	1.201
YAL010C	0.673	1.428	2.103	2.895	NaN	NaN	NaN	NaN	-1.050	0.743	0.960	0.874	-0.283	2.402	-0.990	0.694	1.345	0.557	2.036	0.317	0.139	0.046
YAL011W	3.007	2.742	5.200	2.444	2.295	2.702	2.993	0.449	1.658	0.576	1.602	3.413	-0.059	1.513	-3.331	0.018	-0.556	1.778	0.054	0.018	0.175	0.153
YAL012W	NaN	NaN	NaN	5.343	1.551	0.847	NaN	5.525	0.384	1.281	NaN	0.473	0.036	-0.016	-0.163	0.978	2.476	0.044	-0.217	0.401	0.332	1.175
YAL013W	-3.224	-5.380	-3.040	-6.722	-6.596	-6.812	-4.376	-0.354	0.016	-3.198	-3.591	-3.217	-1.807	-2.892	-2.801	-1.043	-2.089	-0.972	0.116	0.064	0.060	-3.353
YAL014C	-0.039	-0.199	-0.094	0.704	-0.015	-0.197	0.024	-0.411	0.532	0.394	-0.085	0.948	0.032	1.687	-1.374	1.217	1.419	-0.066	0.579	0.218	0.270	1.627
YAL015C	0.313	0.049	1.950	1.223	0.259	0.532	0.042	-0.155	0.253	1.034	0.737	-0.077	-0.018	0.042	-2.600	-0.622	-1.425	-1.488	-1.340	-0.255	-0.304	-1.177
YAL016C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL016C-B	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL016W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.273	0.025	0.078	-1.401	0.602	0.025	-1.590	1.876	0.313	1.322	1.930
YAL017W	0.170	0.080	0.006	0.096	0.432	0.028	0.064	0.007	-0.062	0.046	1.268	-1.934	0.026	-0.019	-2.310	-0.069	-1.007	-0.297	-0.392	-0.627	-0.008	-1.314
YAL018C	0.436	-1.039	1.044	0.006	0.910	0.101	0.217	-0.323	0.279	-0.007	0.308	0.134	-0.144	0.004	-1.362	-0.041	-0.006	0.002	-1.342	-0.115	1.319	-0.011
YAL019W	2.085	0.778	0.301	0.014	0.324	1.037	0.627	-1.265	1.016	0.260	2.089	-0.297	-0.692	0.036	-1.262	-0.030	-0.207	-0.296	-0.483	-0.060	0.002	-0.087
YAL019W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL020C	3.027	0.676	3.539	0.670	1.814	1.918	2.506	-0.557	0.462	-0.004	2.847	-1.720	-0.177	-0.009	-2.378	0.008	-0.020	-0.246	-0.061	-0.162	-0.312	-0.331
YAL021C	-11.785	-1.060	-10.480	-9.195	-15.748	-16.848	-16.187	-15.226	-3.801	-4.495	-8.856	-15.511	-9.840	-8.674	-11.519	-9.984	-15.876	-15.124	-5.786	-10.276	-7.484	-15.986
YAL022C	0.120	-0.060	0.445	0.156	0.004	0.123	0.043	0.347	0.072	-0.838	-0.151	-0.214	0.856	1.544	-0.905	0.129	-0.170	0.695	-0.052	0.064	0.694	0.230
YAL023C	-5.776	-2.296	-0.583	-2.043	-7.688	-6.800	-4.705	-0.614	0.001	-3.092	-1.714	3.203	-0.829	0.910	-1.900	2.036	1.417	0.559	1.006	0.006	0.648	3.881
YAL024C	-1.903	-1.860	-1.879	-3.494	-1.519	-3.700	-2.032	-0.640	-0.711	-1.360	-2.910	-0.015	-2.376	0.207	-0.480	-0.039	0.001	-0.438	-0.064	0.006	-0.400	-0.526
YAL025C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.713	0.062	-0.691	-0.519	-2.884	-0.392	-2.588	-0.151	-2.084	-0.025	-1.862
YAL026C	0.732	-0.033	2.154	1.781	0.521	0.420	0.255	-0.124	0.634	1.765	2.221	-1.668	-0.470	0.170	-4.473	-0.181	0.170	-1.065	-0.482	-0.007	0.145	-0.344
YAL026C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL027W	0.020	-0.033	0.206	0.148	0.032	-0.002	0.002	0.059	0.028	-0.104	-0.046	0.815	0.253	-0.004	-0.359	0.141	0.321	1.678	0.123	0.400	0.476	0.010
YAL028W	-0.005	-0.261	1.009	0.004	-0.459	0.056	-0.037	0.976	-0.010	-0.627	0.122	1.330	-0.492	3.222	-0.229	-0.388	0.529	-0.235	0.084	0.168	1.429	0.356
YAL029C	-0.023	0.024	-0.006	0.424	-0.008	-0.264	-0.982	-0.105	0.255	-0.065	0.001	-0.990	-0.002	-0.036	-0.263	-0.006	-0.533	-0.676	0.015	-0.288	-0.051	-0.125
YAL030W	0.236	0.003	0.527	0.070	0.450	0.044	-0.446	0.099	0.049	0.010	-0.048	-0.005	0.943	-0.049	-0.044	0.064	-0.071	-0.001	0.036	-0.198	0.003	0.731
YAL031C	0.021	-0.719	1.562	0.149	0.297	0.091	0.084	0.108	0.117	-0.048	0.007	0.043	0.184	0.029	0.772	-0.027	0.261	0.016	-0.030	0.083	-0.032	0.051
YAL031W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL032C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.034	-0.857	-0.226	-0.287	-0.033	0.015	-0.018	-0.507	0.015	0.103	0.171
YAL033W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.733	0.223	-0.078	-0.013	0.020	-0.026	0.034	0.005	0.105	0.014	0.147
YAL034C	0.014	-2.024	-0.373	-0.007	0.915	-0.042	-0.032	-1.815	0.139	-0.024	0.015	-2.037	-0.038	NaN	-0.832	0.516	-0.246	-0.011	-0.033	-0.456	0.946	-0.068
YAL034C-B	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.356	-0.721	-1.262	-0.948	-1.597	-1.994	-2.019	-0.086	-0.543	-0.939	-2.274
YAL034W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.429	0.092	0.031	-0.034	-0.349	-0.098	-1.015	-0.018	-1.210	-0.308	-0.400
YAL035W	-0.603	-4.140	-0.010	-3.169	-0.648	-5.678	-0.881	-0.368	-0.108	-0.010	-0.490	-8.220	-7.113	-6.503	-14.197	-7.094	-9.813	-10.005	-3.013	-3.770	-2.787	-7.480
YAL036C	0.560	-0.092	0.565	-0.014	-0.534	-0.054	-0.449	0.067	0.066	-1.094	-0.149	-1.753	0.099	-2.631	-1.258	-1.731	-1.863	-0.962	0.113	-0.035	-0.436	-0.395
YAL037C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL037C-B	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL037W	-0.786	-0.070	0.565	-0.270	-0.079	0.013	-0.009	-0.424	0.067	0.578	0.141	0.033	-0.587	-0.120	-0.289	0.197	0.633	0.000	-0.009	0.368	0.533	0.016
YAL038W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.764	-0.165	0.027	-1.127	-1.829	-0.829	-0.069	-0.050	-0.112	-0.857	-0.952
YAL039C	NaN	NaN	NaN	1.749	2.963	0.992	2.550	-1.046	1.088	1.414	NaN	0.236	0.267	-0.002	-1.253	0.079	1.729	1.279	-0.889	0.055	0.107	2.345
YAL040C	2.443	-0.549	0.033	-1.578	0.344	0.109	-0.453	-0.104	0.223	2.413	4.550	2.072	-0.053	-0.432	-2.015	0.429	0.629	-0.812	1.882	0.709	1.098	1.380
YAL041W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.645	0.077	-0.054	-0.271	-2.130	-3.534	-1.434	-0.176	-0.459	-1.844	-2.226
YAL042C-A	0.003	-1.110	0.070	0.315	-0.518	-0.995	0.631	-0.241	-0.027	0.027	-0.201	0.005	0.044	0.307	-0.881	-0.366	0.912	0.010	0.123	-0.767	0.087	0.029
YAL042W	0.029	-0.023	-0.017	0.869	0.042	-0.085	-0.008	0.126	0.027	-0.629	0.727	-0.038	-1.268	1.791	-0.049	0.139	0.164	-0.152	-1.141	0.071	-0.009	0.612
YAL043C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.057	-1.787	-3.806	-2.518	-3.273	-1.239	-2.224	-0.865	-0.652	-1.087	-1.475
YAL044C	1.931	3.221	2.568	3.240	0.241	2.098	1.410	1.486	1.497	0.204	1.304	-5.979	-5.633	-3.044	-4.315	-5.666	-2.445	-5.183	-6.014	-0.021	-0.294	-0.496
YAL044W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL045C	0.028	0.064	0.674	1.297	0.057	0.085	0.068	0.005	0.122	-0.549	-0.110	3.974	-0.338	-0.039	-0.021	-0.034	0.193	0.442	0.388	1.775	0.764	4.006
YAL046C	0.188	-0.011	0.335	-0.093	-0.043	-0.512	-0.164	-0.054	-0.166	-0.136	-0.222	0.075	0.030	-0.180	0.405	-0.003	0.205	0.380	-0.090	-0.020	0.160	0.327
YAL047C	-1.868	-1.564	0.151	-0.365	-5.042	-0.117	-3.009	-0.120	0.362	-0.187	0.494	0.003	-0.235	-0.038	-0.671	-0.767	-0.216	-0.196	-0.011	-0.006	0.013	-0.133
YAL047W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL048C	0.402	-1.364	0.004	-0.014	0.004	-0.012	0.866	-1.169	-0.001	-0.157	0.064	0.346	0.530	0.343	-0.103	1.027	1.819	0.886	2.214	0.549	0.906	1.670
YAL049C	0.058	-1.115	0.428	0.238	-0.002	0.084	0.110	0.026	0.057	-0.109	0.257	-1.748	-1.934	-0.183	-0.802	-1.750	-0.565	-3.433	-0.055	-0.061	-0.310	-2.209
YAL051W	0.068	-0.074	0.123	0.342	-0.088	0.092	0.011	0.193	0.103	-0.112	-0.378	-0.213	0.127	0.117	-0.952	0.009	-0.002	-2.221	-0.043	-0.113	-0.018	-0.596
YAL053W	-0.652	-1.592	-0.059	-0.305	-1.142	-1.590	-1.196	-0.855	0.226	-0.080	-1.055	0.039	0.001	0.118	0.004	-0.049	-0.647	-0.755	-0.208	-0.002	-0.176	-0.113
YAL054C	0.003	-0.103	0.012	0.581	-0.021	0.040	0.026	0.016	0.049	-0.728	-0.367	-0.353	-0.013	0.064	0.597	0.889	0.042	0.001	0.016	-0.524	-0.423	0.252
YAL055W	1.301	0.035	0.446	0.005	-1.259	0.153	-0.987	0.247	0.465	0.020	0.019	1.641	-0.074	1.900	0.055	1.173	1.546	2.500	-0.017	0.341	0.300	1.651
YAL056C-A	-0.906	-0.065	0.100	-0.001	-2.507	-3.124	-2.222	-1.162	-0.835	-0.331	-0.821	-0.831	-0.095	0.018	-0.819	-0.022	-0.612	-0.006	0.026	-0.349	-0.119	0.212
YAL056W	-0.047	-0.655	-0.046	0.392	-1.599	-0.917	-0.229	-1.083	-1.158	-0.988	-1.107	-0.360	1.712	-0.072	0.190	-0.330	-0.198	0.007	0.070	-0.268	-1.037	-0.011
YAL058W	0.011	-0.261	1.035	0.045	-1.070	-1.740	-1.928	-0.014	-0.413	-1.607	-0.947	0.133	0.222	0.202	-1.041	0.019	0.002	0.053	0.523	0.190	0.682	-0.061
YAL059C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL059W	-0.307	1.063	3.651	1.781	-0.366	-1.738	0.015	-1.780	-0.078	0.110	0.004	0.296	-1.545	-0.055	-1.618	-0.010	0.709	-0.087	0.021	-0.040	-0.048	-0.363
YAL060W	0.505	-0.040	0.030	0.242	0.010	0.009	0.046	0.098	0.034	-0.509	-0.107	0.045	0.905	0.603	0.106	0.082	-0.477	0.005	-0.006	-0.236	-0.093	0.490
YAL061W	0.039	-0.049	0.012	0.158	-0.063	-0.017	-0.147	0.150	0.018	-0.632	-0.886	1.025	1.161	0.191	0.094	0.028	1.105	0.399	1.607	-0.003	0.177	0.995
YAL062W	0.136	-0.021	0.520	0.356	0.007	-0.395	0.002	-0.005	-0.336	-0.496	0.004	0.497	1.440	-0.176	0.139	0.228	0.007	-0.002	0.032	-0.092	-0.590	0.459
YAL063C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL063C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL064C-A	0.005	0.070	1.168	-0.421	0.506	-0.031	1.163	-0.004	0.031	0.478	-0.027	-2.762	-1.897	-1.702	-3.904	-2.677	-1.383	-2.313	-2.240	-1.777	-0.092	-2.410
YAL064W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL064W-B	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL065C	1.363	0.012	0.607	0.050	0.934	1.329	0.059	0.227	0.044	0.053	0.940	-1.162	-0.317	-0.037	-1.518	-0.268	0.113	0.008	0.297	0.070	-0.122	-0.876
YAL066W	0.028	-2.814	-0.171	-2.835	-1.396	-0.029	-0.608	-0.194	-0.030	-0.385	-0.341	-0.059	-0.877	0.495	-2.126	0.123	0.251	1.323	0.028	0.195	-0.244	-0.202
YAL067C	0.016	0.050	-0.006	0.057	1.403	0.111	0.785	-0.030	0.177	0.036	0.348	0.039	1.166	0.027	-1.398	-0.176	-0.150	0.011	-0.070	0.016	0.016	-0.576
YAL067W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL068C	0.097	-0.100	0.332	0.013	-0.067	-0.006	0.201	-0.027	-0.013	-0.682	-0.084	-0.863	0.091	-0.483	-0.784	-0.136	-0.303	-0.625	-0.338	-1.000	-0.268	-0.622
YAL068W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL069W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAR002C-A	0.907	-0.053	-0.440	0.004	-0.021	0.005	-0.383	0.137	0.010	-0.959	-0.626	-0.130	0.836	0.005	-0.394	-0.015	0.046	-0.309	2.450	-0.037	-1.461	-1.403
YAR002W	3.710	3.437	3.213	2.087	-1.139	-0.439	2.361	-2.692	-0.007	1.119	2.698	3.876	0.108	-3.479	1.995	5.780	8.170	2.818	1.364	1.475	1.460	4.224
YAR003W	0.912	-1.291	-0.359	-0.195	-1.200	-0.719	-2.412	0.477	0.700	0.347	-0.011	0.011	-0.302	0.002	-0.008	-0.051	0.006	-0.450	1.144	-0.043	-0.041	0.018
YAR007C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.303	-1.876	0.057	-3.061	0.200	0.078	0.066	-0.048	0.021	-0.041	-0.929
YAR008W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.151	0.414	-0.154	-0.223	-0.018	1.813	1.306	-0.034	0.267	0.163	1.292
YAR014C	-0.947	-0.019	-0.820	-0.004	-2.202	-2.047	-1.404	-0.032	-0.527	-0.824	-1.793	0.016	0.967	-0.032	0.252	0.863	0.008	0.042	0.162	-0.009	-0.113	0.473
YAR015W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.153	0.037	0.029	-0.626	-0.208	-0.102	-0.016	-0.207	-0.559	-0.861	-0.017
YAR018C	-1.137	0.603	0.019	-0.418	-0.710	-3.132	-1.399	0.032	0.029	-0.085	-0.347	0.087	1.279	-0.047	0.259	4.163	5.796	1.654	0.145	-0.083	0.606	1.146
YAR019C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.036	1.267	0.160	-0.136	0.796	0.076	-0.103	2.594	-0.679	0.089	-0.010
YAR019W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAR020C	0.748	-0.054	0.876	0.018	-1.554	-1.375	-0.250	0.406	0.045	-0.319	0.017	0.069	-0.198	2.677	-0.589	-0.143	-0.143	-0.016	-0.011	0.085	0.012	0.082
YAR023C	0.569	0.335	0.489	0.003	-0.364	-0.028	-0.013	-0.012	0.216	0.235	0.758	-0.278	1.198	-0.242	-0.028	-0.497	0.056	-0.073	0.028	0.015	-0.042	-0.026
YAR027W	0.014	-0.002	0.360	0.018	-0.208	-0.766	-0.405	0.036	-0.108	-0.802	-0.135	-0.146	-0.347	-0.420	-0.395	-0.456	-0.680	-0.130	-0.836	-0.011	0.026	-0.571
YAR028W	-0.012	0.004	0.038	-0.233	0.101	0.496	0.631	0.007	0.107	-0.089	0.881	0.174	-0.373	0.000	-0.096	0.037	0.642	0.067	-0.080	0.008	0.133	1.214
YAR029W	0.242	-0.176	0.015	-0.004	0.310	0.088	0.209	-0.044	0.005	-0.869	0.005	-0.002	0.032	0.004	-0.618	0.555	-0.052	-0.132	-0.743	-0.080	-0.056	0.016
YAR030C	0.592	0.635	0.168	0.012	-0.003	-0.101	-0.031	-0.020	0.031	-0.843	-0.031	-0.181	0.130	0.314	-0.976	-0.149	0.010	-0.079	0.074	-0.041	-0.062	-1.235
YAR031W	1.010	0.052	0.013	-0.429	0.489	0.202	-0.001	-0.051	0.140	0.057	0.010	-0.067	-0.602	0.143	-0.139	-0.049	0.349	0.548	0.033	0.136	-0.001	0.827
YAR033W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAR035C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAR035W	0.243	0.040	0.236	1.100	0.144	0.035	1.195	-0.160	0.542	0.225	0.052	-0.022	1.032	0.040	-0.361	-0.002	0.065	0.616	0.155	-0.763	-0.787	0.967
YAR040C	0.134	-0.016	0.138	0.062	0.343	0.056	-0.002	1.056	-0.012	-0.014	1.311	-0.313	0.001	0.014	-1.645	0.192	0.585	-0.014	0.478	0.064	0.437	0.590
YAR042W	0.047	0.094	0.147	0.017	0.109	0.006	0.119	-0.601	-0.037	-0.142	0.598	-2.712	0.074	-0.232	-2.897	-2.101	-1.247	-1.527	-1.366	-1.232	-0.057	-1.090
YAR043C	0.042	0.230	-1.106	-0.144	-0.001	-0.169	0.001	0.101	0.328	-1.183	-1.082	-1.404	-2.501	0.000	-0.351	-2.334	-2.858	-2.336	-0.915	-0.165	-0.009	-0.759
YAR047C	0.964	0.005	-0.017	0.111	0.291	-0.001	0.656	0.174	-0.583	0.005	-0.001	3.523	5.885	1.792	0.211	6.757	7.089	3.000	1.952	3.157	2.948	8.534
YAR050W	0.669	-0.890	0.095	0.682	-0.020	0.132	-0.057	-0.045	-0.000	-0.683	-0.021	0.483	-0.043	0.108	-0.000	0.855	0.353	1.298	-2.114	0.251	0.796	0.477
YAR053W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAR060C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAR064W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAR066W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAR068W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAR069C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAR070C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAR071W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAR073W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAR075W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL001C	-0.009	1.007	0.041	0.973	0.323	0.833	0.990	-0.263	-0.078	0.211	0.335	1.297	NaN	2.011	6.914	1.174	0.395	0.800	3.921	0.776	1.777	3.847
YBL002W	0.260	0.596	1.155	0.519	1.576	0.182	0.416	0.025	0.004	-0.025	0.085	0.920	0.477	3.482	2.835	0.012	-0.044	2.783	-0.113	0.026	0.001	2.619
YBL003C	-0.008	1.097	-1.605	0.004	2.873	1.350	0.627	-0.097	1.355	-0.197	1.385	NaN	NaN	NaN	NaN	NaN	NaN	0.348	NaN	NaN	NaN	NaN
YBL004W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.788	-0.094	0.025	-0.047	-0.132	-0.063	-0.035	-0.203	-0.329	0.046	0.255
YBL005W	0.072	0.027	-0.046	-0.009	-0.002	1.233	-0.018	0.001	-0.003	-0.008	0.101	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL006C	-0.056	1.347	0.082	0.288	-1.999	-0.337	-1.298	0.038	-0.125	0.323	-0.170	-0.003	0.214	0.134	0.041	-0.107	-0.895	-0.480	0.026	-0.318	0.031	0.063
YBL006W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
