orf	hom | growth (relative abundance in pooled culture) | Chlorimuron ethyl [10 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 1 [3 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 1 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 2 [6 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 3 [1.5 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 4 [10 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 5 [8 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 6 [0.5 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 7 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 8 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | sulfometuron methyl [30 uM] | Richie DL~Hoepfner D, 2013											
YAL001C	0.022250161236564685	0.04690937903374458	-0.19393948658981344	0.02634507391450284	-0.8104994124200298	-0.4837415624424998	-0.2964213247747608	-0.05119248945391371	-0.13511125349668032	-0.9143586575108076	-0.6581265698070741	0.44452895159275546	0.8571263295766767	0.03637038154831214	0.26726753250421587	0.1328930783026584	-0.056603136206922956	0.1497077817249408	0.07256072321897176	-0.007152797471064004	0.033299289625513984	0.17526366845847852
YAL002W	0.44079834971379606	0.568049506305198	-0.03480185980037977	0.13747020637921842	-0.18536283835548759	0.0873067555653552	0.7372962304512066	-0.3218388919066504	-0.11384627299101625	0.7682006144562666	0.7959191451879115	-0.13571197735651455	-2.732399661230568	-1.777897233839507	-1.241029947221308	0.08866058621403672	-0.07224915557325695	-1.1883077091953769	0.08168253816388586	0.09793303215217145	0.07778380356576901	-0.5389977873060973
YAL003W												0.03825713416188052	0.11694794841293321	0.0710361511680124	-0.1696420218669004	0.33665979238760435	-0.06343073557382756	0.05220024657274637	0.1542165871265652	0.10638797096536413	0.08956267221360191	0.03225285609083706
YAL004W	-0.5314197161284069	-0.8152409668858063	-0.4938290468350777	-0.06472507872661859	-0.19493937038985612	0.05859745733731035	-0.501934206389155	-0.21085508387166116	-0.22391878185616074	0.0034247106874125514	-0.11988890143810847	-2.0146107790379295	-2.0831678408194274	-2.072229624030642	-1.2838486985643134	-1.4052698331319649	-1.553343417853506	-1.4716161500289393	-1.0895148855219683	-0.1433999183879337	-0.9447955932166983	-2.4647476933011156
YAL005C	0.06422896247972476	0.08363290682323075	-0.06768516111861161	-0.005757801596211701	-0.24362271165929697	0.015025026221759242	-0.31009767505248087	0.29298016809832045	-0.07371994268879112	-0.4026309462157192	-0.291697082723007	3.7467891846796046	0.26071324248173433	-0.9433849918299142	4.312669576242994	1.4517079104698083	3.8638321301258247	2.9760028662640985	0.7755506693578107	2.8005457829988676	1.7544011837955915	2.2856874904909095
YAL007C	0.034092104128476304	0.10559405313244147	-0.015597724660023274	0.09004867806312357	-0.09554891746345802	0.14871902247263738	-0.05790912862876123	0.17638473205400637	0.31282576193580397	0.07401658024240457	-0.08445589680071858	0.09446273344611547	-1.1973966028856438	0.076788653697406	-0.02750929983995365	-0.8379588343932212	-0.13671470100408029	-0.7771430783691388	-0.2465971920249783	0.10692655708296607	0.14038623529295657	-0.006397809662518436
YAL008W	0.08318066314630901	0.06586265043755025	0.32340198869915937	0.3086821919302549	0.41764592830262426	0.8579006761958002	-0.06156104332891632	-0.0012030195277893843	0.04960529061355326	0.343948183536909	0.0665773817321183	-0.1204456911356662	-2.244929769480779	0.27017058958140033	-0.23050529803482264	-0.5312577181724742	-0.30231371159787945	-0.6715061514520029	0.02103140961976896	0.029364828320149448	0.039892856070214255	-0.07845632650235171
YAL009W	-2.798582326243129	-2.440813855042419	-1.5168197321401355	-2.6958347189596257	-3.7372149272036848	-3.442676712157335	-2.90644207392685	-1.356036247840427	-0.6593906012203227	-2.2252488504603263	-4.003023100263352	0.03661741395640513	0.03293811392854803	0.2347100550819138	-1.128290193487322	0.07646963937310021	0.09750724469891645	0.06818445859984025	0.07024126594275959	0.15779691569406196	0.04580655806705492	0.5526590315737241
YAL010C	0.3682042958712665	0.9289420528004835	1.0595159112189771	1.5142753543600234					-0.8188699729518737	0.5372526635595049	0.5833724588498158	0.3799300248656152	-0.17952267362737745	2.050284227156793	-0.6083252422053635	0.41331574371445123	0.5067552361949745	0.1592519970942639	1.4619285733012857	0.23861944054192616	0.11797518519102515	0.010362904406616144
YAL011W	1.6406447216041853	1.7101289993612	2.678961776198272	1.2906898385941052	0.9537756394090556	1.1361724135186504	1.3211375825604932	0.18068233095370526	1.113515766605011	0.42243134096203316	0.9304016919363299	1.5838390216809812	0.00328094623277155	1.3053803161154327	-2.0073071381414818	0.08906071185049139	-0.2993112130954904	0.7245302715497537	0.12323145743416372	0.07761364559979185	0.13833404063479376	0.06074421994885225
