orf	hap a | transport to mitochondria (Om14-GFP) | standard | SD + Met | Sauerwald J~Rapaport D, 2015	hap a | protein insertion into the MOM (Ura3-HA-Om14-SL17) | standard | SD + Met | Sauerwald J~Rapaport D, 2015
YAL002W	0.0	-0.5288461538461539
YAL004W	0.0	-0.3951612903225806
YAL005C	0.0	-0.5102040816326531
YAL007C	0.0	-0.33043478260869563
YAL008W	0.0	-0.34375
YAL009W	0.0	-0.42400000000000004
YAL011W	0.0	-0.49431818181818177
YAL013W	0.0	-0.43157894736842106
YAL014C	0.0	-0.3731343283582089
YAL015C	0.0	-0.37142857142857144
YAL017W	0.0	-0.43939393939393945
YAL018C	0.0	-0.360655737704918
YAL019W	0.0	-0.5
YAL020C	0.0	-0.28
YAL021C	0.0	-0.4227642276422764
YAL022C	0.0	-0.3145161290322581
YAL023C	0.0	-0.4475524475524476
YAL026C	0.0	-0.43333333333333335
YAL027W	0.0	-0.4821428571428571
YAL028W	0.0	-0.5508474576271186
YAL029C	0.0	-0.5
YAL030W	0.0	-0.5367647058823529
YAL031C	0.0	-0.5241935483870968
YAL034C	0.0	-0.4814814814814815
YAL037W	0.0	-0.43965517241379315
YAL039C	0.0	-0.45038167938931295
YAL040C	0.0	-0.36363636363636365
YAL042C-A	0.0	-0.33009708737864074
YAL042W	0.0	-0.2924528301886793
YAL045C	0.0	-0.4521739130434783
YAL046C	0.0	-0.4609375
YAL048C	0.0	-0.5533980582524272
YAL049C	0.0	-0.35964912280701755
YAL053W	-1.0	-0.25595238095238093
YAL055W	0.0	-0.2945736434108527
YAL056W	0.0	-0.38842975206611574
YAL058W	0.0	-0.4726027397260274
YAL059W	0.0	-0.2666666666666667
YAL060W	0.0	-0.3097345132743363
YAL061W	0.0	-0.2660550458715596
YAL062W	0.0	-0.32380952380952377
YAL065C	0.0	-0.32456140350877194
YAL066W	0.0	-0.43220338983050843
YAL067C	0.0	-0.3033707865168539
YAR002W	0.0	-0.46541664306350194
YAR014C	0.0	-0.5040650406504066
YAR015W	0.0	-0.5107913669064748
YAR018C	0.0	-0.5
YAR020C	0.0	-0.44202898550724634
YAR023C	0.0	-0.523076923076923
YAR027W	0.0	-0.35652173913043483
YAR028W	0.0	-0.28712871287128716
YAR029W	0.0	-0.45999999999999996
YAR030C	0.0	-0.4725274725274725
YAR031W	0.0	-0.5225225225225225
YAR035W	0.0	-0.5
YAR042W	0.0	-0.5106598495080069
YAR047C	0.0	-0.5
YBL008W	0.0	-0.21126760563380287
YBL018C	-1.0	0.0
YBL019W	0.0	-0.23809523809523814
YBL021C	0.0	-0.5263157894736843
YBL024W	0.0	-0.3287671232876712
YBL027W	0.0	-0.34782608695652173
YBL028C	0.0	-0.32894736842105265
YBL029W	0.0	-0.2142857142857143
YBL036C	0.0	-0.44565217391304346
YBL042C	0.0	-0.19999999999999996
YBL043W	0.0	-0.2564102564102564
