ORF	hap a | transport to mitochondria (Om14-GFP) | standard | SD + Met | Sauerwald J~Rapaport D, 2015	hap a | protein insertion into the MOM (Ura3-HA-Om14-SL17) | standard | SD + Met | Sauerwald J~Rapaport D, 2015
YAL002W	0.000	-0.529
YAL004W	0.000	-0.395
YAL005C	0.000	-0.510
YAL007C	0.000	-0.330
YAL008W	0.000	-0.344
YAL009W	0.000	-0.424
YAL011W	0.000	-0.494
YAL013W	0.000	-0.432
YAL014C	0.000	-0.373
YAL015C	0.000	-0.371
YAL017W	0.000	-0.439
YAL018C	0.000	-0.361
YAL019W	0.000	-0.500
YAL020C	0.000	-0.280
YAL021C	0.000	-0.423
YAL022C	0.000	-0.315
YAL023C	0.000	-0.448
YAL026C	0.000	-0.433
YAL027W	0.000	-0.482
YAL028W	0.000	-0.551
YAL029C	0.000	-0.500
YAL030W	0.000	-0.537
YAL031C	0.000	-0.524
YAL034C	0.000	-0.481
YAL037W	0.000	-0.440
YAL039C	0.000	-0.450
YAL040C	0.000	-0.364
YAL042C-A	0.000	-0.330
YAL042W	0.000	-0.292
YAL045C	0.000	-0.452
YAL046C	0.000	-0.461
YAL048C	0.000	-0.553
YAL049C	0.000	-0.360
YAL053W	-1.000	-0.256
YAL055W	0.000	-0.295
YAL056W	0.000	-0.388
YAL058W	0.000	-0.473
YAL059W	0.000	-0.267
YAL060W	0.000	-0.310
YAL061W	0.000	-0.266
YAL062W	0.000	-0.324
YAL065C	0.000	-0.325
YAL066W	0.000	-0.432
YAL067C	0.000	-0.303
YAR002W	0.000	-0.465
YAR014C	0.000	-0.504
YAR015W	0.000	-0.511
YAR018C	0.000	-0.500
YAR020C	0.000	-0.442
YAR023C	0.000	-0.523
YAR027W	0.000	-0.357
YAR028W	0.000	-0.287
YAR029W	0.000	-0.460
YAR030C	0.000	-0.473
YAR031W	0.000	-0.523
YAR035W	0.000	-0.500
YAR037W	0.000	-0.468
YAR040C	0.000	-0.519
YAR042W	0.000	-0.511
YAR043C	0.000	-0.430
YAR047C	0.000	-0.500
YBL008W	0.000	-0.211
YBL018C	-1.000	0.000
YBL019W	0.000	-0.238
YBL021C	0.000	-0.526
YBL024W	0.000	-0.329
YBL027W	0.000	-0.348
YBL028C	0.000	-0.329
YBL029W	0.000	-0.214
YBL036C	0.000	-0.446
YBL042C	0.000	-0.200
YBL043W	0.000	-0.256
YBL044W	0.000	-0.491
YBL045C	-1.000	0.000
YBL047C	0.000	-0.453
YBL051C	-1.000	0.000
YBL053W	0.000	-0.299
YBL056W	0.000	-0.197
YBL057C	0.000	-0.361
YBL060W	0.000	-0.282
YBL061C	0.000	-0.402
YBL065W	0.000	-0.240
YBL066C	0.000	-0.337
YBL067C	0.000	-0.302
YBL072C	0.000	-0.266
YBL075C	0.000	-0.269
YBL080C	-1.000	0.000
YBL083C	0.000	-0.229
YBL085W	0.000	-0.370
YBL094C	0.000	-0.447
YBL101C	0.000	-0.304
YBL102W	0.000	-0.356
YBR013C	0.000	-0.381
YBR014C	0.000	-0.366
YBR024W	0.000	-0.298
YBR025C	0.000	-0.516
YBR042C	0.000	-0.471
YBR051W	0.000	-0.328
YBR052C	0.000	-0.405
YBR053C	0.000	-0.274
YBR054W	0.000	-0.341
YBR065C	0.000	-0.250
YBR066C	0.000	-0.512
YBR067C	0.000	-0.416
YBR089C-A	0.000	-0.200
YBR098W	0.000	-0.200
YBR099C	0.000	-0.317
YBR103W	0.000	-0.283
YBR106W	0.000	-0.517
YBR107C	-1.000	-0.216
YBR121C	0.000	-0.280
YBR141C	0.000	-0.553
YBR156C	0.000	-0.250
YBR157C	0.000	-0.495
YBR158W	0.000	-0.283
YBR161W	0.000	-0.221
YBR171W	0.000	-0.252
YBR172C	0.000	-0.259
YBR174C	0.000	-0.357
YBR175W	0.000	-0.372
YBR178W	0.000	-0.262
YBR179C	0.000	-0.600
YBR180W	0.000	-0.440
YBR181C	0.000	-0.519
YBR182C	0.000	-0.439
YBR183W	0.000	-0.409
YBR184W	0.000	-0.415
YBR185C	0.000	-0.218
YBR186W	0.000	-0.265
YBR187W	0.000	-0.286
YBR188C	0.000	-0.358
YBR194W	0.000	-0.441
YBR195C	0.000	-0.459
YBR196C-A	-1.000	0.000
YBR197C	0.000	-0.426
YBR199W	0.000	-0.489
YBR200W	0.000	-0.544
YBR201W	-1.000	-0.465
YBR202W	-1.000	0.000
YBR203W	0.000	-0.371
YBR204C	0.000	-0.448
YBR205W	0.000	-0.421
YBR206W	0.000	-0.320
YBR207W	0.000	-0.320
YBR208C	0.000	-0.222
YBR209W	0.000	-0.494
YBR210W	0.000	-0.431
YBR212W	-1.000	-0.392
YBR213W	0.000	-0.329
YBR214W	0.000	-0.449
YBR215W	0.000	-0.432
YBR216C	0.000	-0.447
YBR217W	0.000	-0.446
YBR218C	0.000	-0.467
YBR219C	0.000	-0.411
YBR220C	0.000	-0.272
YBR221C	0.000	-0.493
YBR222C	0.000	-0.454
YBR223C	0.000	-0.472
YBR224W	0.000	-0.491
YBR225W	0.000	-0.477
YBR226C	0.000	-0.456
YBR227C	0.000	-0.331
YBR228W	0.000	-0.419
YBR229C	0.000	-0.534
YBR230C	0.000	-0.460
YBR231C	0.000	-0.421
YBR233W	0.000	-0.315
YBR235W	0.000	-0.267
YBR238C	0.000	-0.410
YBR239C	0.000	-0.480
YBR240C	0.000	-0.417
YBR241C	0.000	-0.416
YBR242W	0.000	-0.466
YBR244W	0.000	-0.521
YBR245C	0.000	-0.515
YBR246W	0.000	-0.486
YBR248C	0.000	-0.634
YBR249C	0.000	-0.515
YBR250W	0.000	-0.327
YBR255W	0.000	-0.466
YBR258C	0.000	-0.500
YBR259W	0.000	-0.480
YBR260C	0.000	-0.370
YBR261C	0.000	-0.522
YBR262C	0.000	-0.523
YBR263W	0.000	-0.541
YBR264C	0.000	-0.627
YBR266C	0.000	-0.524
YBR274W	0.000	-0.360
YBR277C	0.000	-0.417
YBR278W	-1.000	-0.500
YBR285W	-1.000	0.000
YBR294W	0.000	-0.344
YBR295W	0.000	-0.315
YBR296C	0.000	-0.484
YBR301W	0.000	-0.237
YCL001W	0.000	-0.456
