orf	hap a | transport to mitochondria (Om14-GFP) | standard | SD + Met | Sauerwald J~Rapaport D, 2015	hap a | protein insertion into the MOM (Ura3-HA-Om14-SL17) | standard | SD + Met | Sauerwald J~Rapaport D, 2015
YAL002W	0.0	-1.9953875303528088
YAL004W	0.0	-1.4909816502460282
YAL005C	0.0	-1.925049194403452
YAL007C	0.0	-1.2467622956449487
YAL008W	0.0	-1.2970018947293258
YAL009W	0.0	-1.5997928825170449
YAL011W	0.0	-1.865110162668617
YAL013W	0.0	-1.6283889817080148
YAL014C	0.0	-1.4078717988920766
YAL015C	0.0	-1.401435813525713
YAL017W	0.0	-1.657875700149882
YAL018C	0.0	-1.3607888731586366
YAL019W	0.0	-1.8865482105153828
YAL020C	0.0	-1.0564669978886145
YAL021C	0.0	-1.595130194256909
YAL022C	0.0	-1.1866996808080637
YAL023C	0.0	-1.6886585380836996
YAL026C	0.0	-1.6350084491133319
YAL027W	0.0	-1.819171488711262
YAL028W	0.0	-2.0784005709067777
YAL029C	0.0	-1.8865482105153828
YAL030W	0.0	-2.0252649907003373
YAL031C	0.0	-1.9778328013467723
YAL034C	0.0	-1.8166760545703688
YAL037W	0.0	-1.6588613575221471
YAL039C	0.0	-1.6993335026016425
YAL040C	0.0	-1.3720350621930057
YAL042C-A	0.0	-1.2454881389810293
YAL042W	0.0	-1.1034527269052241
YAL045C	0.0	-1.7060957729878248
YAL046C	0.0	-1.7391616315688685
YAL048C	0.0	-2.088024232997608
YAL049C	0.0	-1.3569908180900123
YAL053W	-5.697271637335632	-0.9657330125257316
YAL055W	0.0	-1.1114547596834812
YAL056W	0.0	-1.465582907342529
YAL058W	0.0	-1.7831757058296085
YAL059W	0.0	-1.0061590456082043
YAL060W	0.0	-1.1686581835051046
YAL061W	0.0	-1.0038513413751577
YAL062W	0.0	-1.2217645553813907
YAL065C	0.0	-1.2246014699836696
YAL066W	0.0	-1.6307450633268563
YAL067C	0.0	-1.14464722885203
YAR002W	0.0	-1.7560618702310526
YAR014C	0.0	-1.9018860008447764
YAR015W	0.0	-1.9272650783682326
YAR018C	0.0	-1.8865482105153828
YAR020C	0.0	-1.6678179832092515
YAR023C	0.0	-1.9736196663853234
YAR027W	0.0	-1.345190897932708
YAR028W	0.0	-1.0833643189098239
YAR029W	0.0	-1.735624353674152
YAR030C	0.0	-1.78289171543212
YAR031W	0.0	-1.9715278596376975
YAR035W	0.0	-1.8865482105153828
YAR042W	0.0	-1.9267688505427703
YAR047C	0.0	-1.8865482105153828
YBL008W	0.0	-0.7971330466966409
YBL018C	-5.697271637335632	0.0
YBL019W	0.0	-0.898356290721611
YBL021C	0.0	-1.9858402215951403
YBL024W	0.0	-1.2404700562292927
YBL027W	0.0	-1.312381363836788
YBL028C	0.0	-1.2411501384969625
YBL029W	0.0	-0.8085206616494499
YBL036C	0.0	-1.6814886224158847
YBL042C	0.0	-0.754619284206153
YBL043W	0.0	-0.9674606207771194
YBL044W	0.0	-1.8534508734887971
YBL045C	-5.697271637335632	0.0
YBL047C	0.0	-1.7104703775339474
YBL051C	-5.697271637335632	0.0
YBL053W	0.0	-1.127028801087112
YBL056W	0.0	-0.7446900830981773
YBL057C	0.0	-1.3637697907340118
YBL060W	0.0	-1.0653448718204515
YBL061C	0.0	-1.5179123532882388
YBL065W	0.0	-0.9055431410473838
YBL066C	0.0	-1.2713694462168887
