orf	hap a | growth (undefined) | EtOH (ethanol [11%]) | Kubota S~Hirata D, 2004
YAL010C	-4.232924173526326
YAL013W	-4.232924173526326
YAL016W	-4.232924173526326
YAL026C	-4.232924173526326
YAL037W	-4.232924173526326
YAL039C	-4.232924173526326
YAL040C	-4.232924173526326
YBL006C	-4.232924173526326
YBL033C	-4.232924173526326
YBL093C	-4.232924173526326
YBL094C	-4.232924173526326
YBR021W	-4.232924173526326
YBR036C	-4.232924173526326
YBR044C	-4.232924173526326
YBR077C	-4.232924173526326
YBR097W	-4.232924173526326
YBR112C	-4.232924173526326
YBR126C	-4.232924173526326
YBR131W	-4.232924173526326
YBR171W	-4.232924173526326
YBR200W	-4.232924173526326
YCL007C	-4.232924173526326
YCL008C	-4.232924173526326
YCL029C	-4.232924173526326
YCR009C	-4.232924173526326
YCR033W	-4.232924173526326
YCR034W	-4.232924173526326
YDL020C	-4.232924173526326
YDL047W	-4.232924173526326
YDL081C	-4.232924173526326
YDL099W	-4.232924173526326
YDL116W	-4.232924173526326
YDL185W	-4.232924173526326
YDL226C	-4.232924173526326
YDR007W	-4.232924173526326
YDR027C	-4.232924173526326
YDR049W	-4.232924173526326
YDR069C	-4.232924173526326
YDR074W	-4.232924173526326
YDR114C	-4.232924173526326
YDR127W	-4.232924173526326
YDR138W	-4.232924173526326
YDR176W	-4.232924173526326
YDR195W	-4.232924173526326
YDR207C	-4.232924173526326
YDR226W	-4.232924173526326
YDR237W	-4.232924173526326
YDR245W	-4.232924173526326
YDR260C	-4.232924173526326
YDR293C	-4.232924173526326
YDR300C	-4.232924173526326
YDR354W	-4.232924173526326
YDR364C	-4.232924173526326
YDR432W	-4.232924173526326
YDR484W	-4.232924173526326
YDR485C	-4.232924173526326
YDR512C	-4.232924173526326
YDR532C	-4.232924173526326
YEL003W	-4.232924173526326
YEL013W	-4.232924173526326
YEL024W	-4.232924173526326
YEL027W	-4.232924173526326
YEL031W	-4.232924173526326
YEL050C	-4.232924173526326
YEL051W	-4.232924173526326
YEL059W	-4.232924173526326
YEL061C	-4.232924173526326
YER014C-A	-4.232924173526326
YER017C	-4.232924173526326
YER044C	-4.232924173526326
YER068W	-4.232924173526326
YER083C	-4.232924173526326
YER090W	-4.232924173526326
