orf	hap alpha | growth (spot assay) | 5-fluorouracil [15 ug/mL] | Gustavsson M~Ronne H, 2008
YBL031W	-7.782182317551822
YBL047C	-2.594060772517274
YBL079W	-7.782182317551822
YBR077C	-5.188121545034548
YBR128C	-5.188121545034548
YBR200W	-7.782182317551822
YBR245C	-5.188121545034548
YBR266C	-5.188121545034548
YBR267W	-7.782182317551822
YCR094W	-5.188121545034548
YDL020C	-5.188121545034548
YDL077C	-5.188121545034548
YDL079C	-2.594060772517274
YDL091C	-5.188121545034548
YDL160C	-5.188121545034548
YDL201W	-5.188121545034548
YDL226C	-5.188121545034548
YDL232W	-5.188121545034548
YDR017C	-5.188121545034548
YDR027C	-2.594060772517274
YDR028C	-7.782182317551822
YDR076W	-5.188121545034548
YDR080W	-5.188121545034548
YDR083W	-10.376243090069096
YDR129C	-2.594060772517274
YDR162C	-5.188121545034548
YDR165W	-5.188121545034548
YDR173C	-7.782182317551822
YDR176W	-5.188121545034548
YDR264C	-7.782182317551822
YDR359C	-7.782182317551822
YDR369C	-5.188121545034548
YDR378C	-7.782182317551822
YDR418W	-7.782182317551822
YDR423C	-5.188121545034548
YDR432W	-5.188121545034548
YDR443C	-3.891091158775911
YDR457W	-10.376243090069096
YDR519W	-2.594060772517274
YDR533C	-5.188121545034548
YEL044W	-7.782182317551822
YER002W	-2.594060772517274
YER019W	-2.594060772517274
YER080W	-2.594060772517274
YER095W	-7.782182317551822
YER173W	-5.188121545034548
YFR032C-A	-7.782182317551822
YGL012W	-2.594060772517274
YGL058W	-2.594060772517274
YGL078C	-5.188121545034548
YGL084C	-5.188121545034548
YGL163C	-5.188121545034548
YGL232W	-7.782182317551822
YGR252W	-5.188121545034548
YHR034C	-5.188121545034548
YHR066W	-2.594060772517274
YHR081W	-5.188121545034548
YHR111W	-2.594060772517274
YHR178W	-5.188121545034548
YHR183W	-5.188121545034548
YIL008W	-2.594060772517274
YIL039W	-2.594060772517274
YIL052C	-5.188121545034548
YJL075C	-5.188121545034548
YJL076W	-5.188121545034548
YJL092W	-5.188121545034548
YJL121C	-5.188121545034548
YJL148W	-2.594060772517274
YJR055W	-10.376243090069096
YJR074W	-2.594060772517274
YKL054C	-7.782182317551822
YKL110C	-2.594060772517274
YKL113C	-5.188121545034548
YKL205W	-7.782182317551822
YKL212W	-5.188121545034548
YKR069W	-2.594060772517274
YKR072C	-7.782182317551822
YKR092C	-5.188121545034548
YLR056W	-7.782182317551822
YLR061W	-5.188121545034548
YLR062C	-5.188121545034548
YLR234W	-7.782182317551822
YLR288C	-2.594060772517274
YLR337C	-2.594060772517274
YLR370C	-7.782182317551822
YLR384C	-5.188121545034548
YLR399C	-5.188121545034548
YLR401C	-5.188121545034548
YML001W	-2.594060772517274
YML008C	-7.782182317551822
YML013W	-2.594060772517274
YML021C	-5.188121545034548
YML032C	-5.188121545034548
YML103C	-2.594060772517274
YML106W	-2.594060772517274
YML115C	-7.782182317551822
YMR038C	-5.188121545034548
YMR116C	-7.782182317551822
YMR142C	-5.188121545034548
YMR269W	-7.782182317551822
YMR304W	-7.782182317551822
YNL059C	-7.782182317551822
YNL084C	-7.782182317551822
YNL138W	-5.188121545034548
YNL139C	-2.594060772517274
YNL199C	-7.782182317551822
YNL248C	-7.782182317551822
YNL250W	-7.782182317551822
YNL280C	-10.376243090069096
YNL307C	-5.188121545034548
YNR023W	-5.188121545034548
YNR068C	-5.188121545034548
YOL012C	-2.594060772517274
YOL041C	-5.188121545034548
YOL051W	-5.188121545034548
YOL080C	-5.188121545034548
YOL093W	-9.079212703810459
YOR001W	-5.188121545034548
YOR039W	-5.188121545034548
YOR274W	-5.188121545034548
YOR310C	-7.782182317551822
YOR368W	-7.782182317551822
YPL024W	-5.188121545034548
YPL042C	-5.188121545034548
YPL129W	-7.782182317551822
YPL193W	-7.782182317551822
YPL194W	-5.188121545034548
YPL204W	-2.594060772517274
YPL212C	-7.782182317551822
YPR036W	-2.594060772517274
YPR037C	-5.188121545034548
YPR043W	-5.188121545034548
YPR141C	-5.188121545034548
