ORF	hap alpha | growth (spot assay) | 5-fluorouracil [15 ug/mL] | Gustavsson M~Ronne H, 2008
YKL054C	-3.000
YOR368W	-3.000
YNL250W	-3.000
YER095W	-3.000
YLR234W	-3.000
YPL194W	-2.000
YJL092W	-2.000
YHR081W	-2.000
YNL307C	-2.000
YER173W	-2.000
YKL113C	-2.000
YML032C	-2.000
YGL163C	-2.000
YDR076W	-2.000
YPL024W	-2.000
YML021C	-2.000
YDR369C	-2.000
YLR288C	-1.000
YGL058W	-1.000
YNL280C	-4.000
YLR056W	-3.000
YML008C	-3.000
YGL012W	-1.000
YDR264C	-3.000
YLR370C	-3.000
YNL059C	-3.000
YNL084C	-3.000
YBL031W	-3.000
YDR359C	-3.000
YBR128C	-2.000
YCR094W	-2.000
YDL226C	-2.000
YDR017C	-2.000
YKL212W	-2.000
YBR077C	-2.000
YBR266C	-2.000
YNL138W	-2.000
YDL077C	-2.000
YDR080W	-2.000
YLR337C	-1.000
YBL047C	-1.000
YDR519W	-1.000
YDR027C	-1.000
YDR129C	-1.000
YIL039W	-1.000
YPR036W	-1.000
YML001W	-1.000
YDR457W	-4.000
YKL205W	-3.000
YBL079W	-3.000
YPL212C	-3.000
YDL160C	-2.000
YDR432W	-2.000
YKR092C	-2.000
YJR074W	-1.000
YML103C	-1.000
YNL139C	-1.000
YMR304W	-3.000
YML115C	-3.000
YDL232W	-2.000
YDL091C	-2.000
YML013W	-1.000
YHR111W	-1.000
YIL008W	-1.000
YJR055W	-4.000
YMR116C	-3.000
YDR418W	-3.000
YFR032C-A	-3.000
YPL193W	-3.000
YMR269W	-3.000
YMR142C	-2.000
YLR061W	-2.000
YIL052C	-2.000
YPR043W	-2.000
YDR083W	-4.000
YDR378C	-3.000
YOR310C	-3.000
YGL078C	-2.000
YOL041C	-2.000
YHR034C	-2.000
YOL080C	-2.000
YOR001W	-2.000
YER002W	-1.000
YHR066W	-1.000
YDR173C	-3.000
YNL199C	-3.000
YEL044W	-3.000
YDR028C	-3.000
YNL248C	-3.000
YPL129W	-3.000
YLR399C	-2.000
YDR423C	-2.000
YOL051W	-2.000
YGR252W	-2.000
YLR384C	-2.000
YBR245C	-2.000
YJL076W	-2.000
YDR176W	-2.000
YDL020C	-2.000
YNR023W	-2.000
YPL042C	-2.000
YHR178W	-2.000
YOL012C	-1.000
YKL110C	-1.000
YJL148W	-1.000
YDR443C	-1.500
YOL093W	-3.500
YGL232W	-3.000
YLR401C	-2.000
YOR274W	-2.000
YDL201W	-2.000
YDR165W	-2.000
YBR200W	-3.000
YBR267W	-3.000
YKR072C	-3.000
YMR038C	-2.000
YOR039W	-2.000
YPR037C	-2.000
YHR183W	-2.000
YGL084C	-2.000
YDR533C	-2.000
YPR141C	-2.000
YDR162C	-2.000
YJL121C	-2.000
YPL204W	-1.000
YER019W	-1.000
YKR069W	-1.000
YDL079C	-1.000
YML106W	-1.000
YNR068C	-2.000
YER080W	-1.000
YLR062C	-2.000
YJL075C	-2.000
