orf	hom | growth (relative abundance in pooled culture) | UVB [6,400 J/m2] | Birrell GW~Brown JM, 2001	hom | growth (relative abundance in pooled culture) | UVC [200 J/m2] | Birrell GW~Brown JM, 2001
YAL002W	-0.013000000000000001	0.106
YAL004W	-0.049	-0.027999999999999997
YAL005C	-0.07400000000000001	-0.055
YAL007C	-0.008	-0.018000000000000002
YAL008W	-0.034	-0.027999999999999997
YAL009W	-0.091	-0.12
YAL011W	-0.083	-0.134
YAL012W	-0.017	0.096
YAL014C	-0.065	-0.035
YAL015C	-0.171	-0.128
YAL017W	-0.057	-0.016
YAL018C	-0.034	-0.016
YAL019W	-0.055	-0.079
YAL020C	0.29100000000000004	0.552
YAL021C	-0.462	-0.428
YAL022C	-0.017	-0.048
YAL023C	0.132	0.638
YAL024C	-0.311	-0.386
YAL026C	-0.114	-0.159
YAL027W	-0.142	-0.139
YAL028W	-0.033	-0.065
YAL029C	-0.017	0.067
YAL030W	-0.009000000000000001	0.019
YAL031C	-0.01	-0.031
YAL034C	-0.09699999999999999	-0.055999999999999994
YAL036C	-0.024	-0.022000000000000002
YAL037W	-0.019	0.079
YAL039C	0.09	0.077
YAL040C	0.1	0.11699999999999999
YAL042C-A	-0.054000000000000006	0.006999999999999999
YAL042W	0.025	0.044000000000000004
YAL045C	0.016	-0.02
YAL046C		
YAL048C		
YAL049C	-0.064	0.045
YAL051W	0.01	0.005
YAL053W	0.046	0.11800000000000001
YAL054C	0.023	-0.01
YAL055W	-0.009000000000000001	-0.012
YAL056C-A	0.201	0.342
YAL056W		
YAL058W	0.321	0.249
YAL059W	-0.021	0.15
YAL060W	-0.028999999999999998	-0.018000000000000002
YAL061W	0.027000000000000003	-0.016
YAL062W	0.045	-0.031
YAL064C-A	0.04	0.078
YAL065C	-0.061	-0.008
YAL066W	-0.004	-0.073
YAL067C	-0.059000000000000004	0.001
YAL068C	-0.079	0.025
YAR002C-A	0.158	0.153
YAR002W	-0.168	-0.335
YAR003W	0.02	0.051
YAR014C	0.013999999999999999	0.07400000000000001
YAR015W	0.27	0.732
YAR018C	0.011000000000000001	0.265
YAR020C	0.034	-0.019
YAR023C	0.1	0.057
YAR027W	0.125	0.13699999999999998
YAR028W	0.162	0.157
YAR029W	0.299	0.268
YAR030C	0.18899999999999997	0.16699999999999998
YAR031W	0.312	0.302
YAR035W	0.138	0.139
YAR042W	0.093	0.094
YAR047C	0.073	0.158
YAR050W	0.071	0.017
YBL001C	-0.045	-0.031
YBL002W	0.015	-0.079
YBL003C	-0.04	-0.063
YBL005W	-0.033	-0.023
YBL006C	-0.09300000000000001	-0.43700000000000006
YBL007C		
YBL008W	-0.111	-0.14400000000000002
YBL009W	-0.052000000000000005	-0.09699999999999999
YBL010C	-0.039	-0.102
YBL011W	-0.044000000000000004	-0.043
YBL012C	-0.012	-0.034
YBL013W	-0.06	-0.051
YBL015W	-0.006	-0.04
YBL017C	0.013999999999999999	0.009000000000000001
YBL019W	0.034	0.055
YBL021C		
YBL022C	0.018000000000000002	-0.043
YBL024W	0.006	0.054000000000000006
YBL027W	0.195	0.424
YBL028C	0.040999999999999995	0.018000000000000002
YBL029W	-0.027000000000000003	-0.032
YBL031W	-0.152	-0.084
YBL032W	0.07400000000000001	0.102
YBL036C	-0.034	-0.021
YBL037W	-0.046	-0.006999999999999999
YBL038W	0.192	0.316
YBL039C		
YBL042C	0.083	0.098
YBL043W	0.14300000000000002	0.099
YBL044W	0.11800000000000001	0.10300000000000001
YBL045C	0.019	0.23199999999999998
YBL046W	-0.111	-0.102
YBL047C	0.009000000000000001	0.052000000000000005
YBL048W	0.106	0.07400000000000001
YBL049W	0.096	0.032
YBL051C	0.142	0.115
YBL052C	0.16	0.177
YBL053W	0.153	0.23800000000000002
YBL054W	0.256	0.19899999999999998
YBL055C	0.07200000000000001	0.175
YBL056W	0.046	0.133
YBL057C	0.061	0.125
YBL059W	0.122	0.17600000000000002
YBL060W	0.053	-0.09300000000000001
YBL061C	0.039	-0.055999999999999994
YBL062W	-0.047	-0.031
YBL063W	-0.02	-0.01
YBL064C	0.048	0.006
YBL065W	-0.044000000000000004	-0.115
YBL066C	-0.024	-0.013000000000000001
YBL067C	0.067	0.047
YBL068W	0.044000000000000004	0.006999999999999999
YBL069W	0.039	-0.025
YBL070C	-0.003	-0.001
YBL071C	0.177	0.321
YBL072C	0.249	0.24100000000000002
YBL075C	-0.018000000000000002	-0.071
YBL078C	-0.071	-0.11599999999999999
YBL079W		
YBL080C	0.1	0.19899999999999998
YBL081W	-0.08900000000000001	-0.10099999999999999
YBL082C	-0.182	-0.071
YBL083C	0.037000000000000005	0.052000000000000005
YBL085W	-0.07400000000000001	-0.066
YBL086C	-0.051	-0.10099999999999999
YBL087C	0.008	0.032
YBL088C	-0.132	-0.135
YBL089W	-0.106	-0.141
YBL090W	0.172	0.506
YBL091C	-0.023	-0.027999999999999997
YBL091C-A	0.223	0.08900000000000001
YBL094C	-0.024	-0.046
YBL095W	-0.03	-0.05
YBL096C	-0.046	-0.052000000000000005
YBL098W	0.027999999999999997	-0.002
YBL102W	0.03	0.047
YBL103C		
YBL104C	0.065	0.016
YBL106C	-0.106	-0.03
YBL107C	-0.06	-0.01
YBR001C	0.085	0.086
YBR003W	0.05	0.011000000000000001
YBR005W	0.096	0.036000000000000004
YBR006W	0.055	0.135
YBR007C	0.086	0.065
YBR008C	0.132	0.156
YBR009C	0.08199999999999999	0.165
YBR010W	0.114	0.11800000000000001
YBR012C	0.17	0.106
YBR013C	0.102	0.126
YBR014C	0.113	0.087
YBR015C	0.187	0.332
YBR016W	0.11800000000000001	0.09300000000000001
YBR018C	0.10400000000000001	0.13
YBR019C	0.065	0.067
YBR020W	-0.069	-0.1375
YBR021W		
YBR022W	0.013000000000000001	0.016
YBR023C	-0.005	0.028999999999999998
YBR024W	-0.012	0.028999999999999998
YBR025C	0.11699999999999999	0.113
YBR027C	-0.003	-0.08900000000000001
YBR028C	-0.012	0.07200000000000001
YBR030W	-0.063	0.011000000000000001
YBR031W	0.08	0.251
YBR032W	-0.032	0.002
YBR033W	-0.004	-0.01
YBR034C	0.043	0.026000000000000002
YBR035C	0.08800000000000001	0.33899999999999997
YBR036C	-0.033	0.021
YBR037C	0.001	0.026000000000000002
YBR040W	-0.035	-0.09
YBR041W	0.078	0.095
YBR042C	0.044000000000000004	0.048
YBR043C	-0.024	-0.006
YBR044C	-0.07400000000000001	-0.177
YBR045C	-0.036000000000000004	-0.013999999999999999
YBR046C	-0.015	-0.026000000000000002
YBR047W	-0.013999999999999999	-0.032
YBR048W		
YBR050C	-0.043	-0.016
YBR051W	0.017	0.0
YBR052C	-0.006	-0.02
YBR053C	-0.026000000000000002	-0.035
YBR054W	-0.028999999999999998	-0.079
YBR056W	-0.031	-0.08900000000000001
YBR057C	-0.057999999999999996	-0.081
YBR058C	-0.165	-0.21100000000000002
YBR059C	0.01	0.033
YBR061C		
YBR062C	0.024	-0.059000000000000004
YBR063C	0.059000000000000004	-0.009000000000000001
YBR064W	0.034	-0.015
YBR065C	0.012	0.028999999999999998
YBR066C	-0.001	0.061
YBR067C	0.0	0.035
YBR068C	0.02	-0.01
YBR069C	-0.40299999999999997	-0.48
YBR071W	-0.11	-0.09300000000000001
YBR072W	0.01	0.044000000000000004
YBR073W	-0.317	-0.39299999999999996
YBR074W	-0.048999999999999995	-0.06933333333333334
YBR076W	0.004	-0.008
YBR077C	0.105	0.322
YBR078W	0.075	0.23
YBR082C		
YBR083W	0.019	0.068
YBR084C-A		
YBR084W	0.011000000000000001	0.023
YBR085W		
YBR086C		
YBR089C-A	-0.012	-0.043
YBR090C	0.036000000000000004	-0.001
YBR092C	0.008	-0.002
YBR093C	-0.002	-0.008
YBR094W	-0.013000000000000001	-0.037000000000000005
YBR095C		
YBR098W	-0.943	-0.9564999999999999
YBR099C	-1.162	-1.32
YBR101C	-0.012	0.002
YBR103W	-0.006	0.019
YBR104W	-0.011000000000000001	0.054000000000000006
YBR105C	0.01	0.006
YBR106W		
YBR107C	-0.011000000000000001	-0.051
YBR108W	0.032	-0.021
YBR113W	-0.002	-0.028999999999999998
YBR114W	-0.19	-0.266
YBR115C		
YBR116C	-0.106	-0.145
YBR118W		
YBR119W	-0.016	-0.061
YBR120C	0.026000000000000002	-0.08800000000000001
YBR125C	0.017	-0.044000000000000004
YBR128C	0.037000000000000005	0.039
YBR129C	-0.062	-0.038
YBR130C	-0.068	-0.024
YBR131W	-0.028999999999999998	0.01
YBR133C	-0.036000000000000004	-0.032
YBR134W	-0.079	-0.132
YBR137W	0.0	0.031
YBR138C	-0.037000000000000005	-0.01
YBR139W	0.026000000000000002	0.028999999999999998
YBR141C	0.004	0.021
YBR144C	-0.032	-0.025
YBR145W	-0.008	0.027000000000000003
YBR147W	-0.022000000000000002	-0.015
YBR148W	-0.042	-0.011000000000000001
YBR149W	-0.11599999999999999	-0.10099999999999999
YBR150C	0.063	0.059000000000000004
YBR151W	0.025	0.003
YBR156C	-0.11900000000000001	-0.11
YBR157C	-0.031	0.009000000000000001
YBR158W	0.10300000000000001	0.07
