ORF	hom | growth (relative abundance in pooled culture) | UVB [6,400 J/m2] | Birrell GW~Brown JM, 2001	hom | growth (relative abundance in pooled culture) | UVC [200 J/m2] | Birrell GW~Brown JM, 2001
YNL335W	0.117	0.117
YPL023C	-0.182	-0.319
YBR063C	0.059	-0.009
YDL161W	0.024	0.047
YJL183W	0.079	0.290
YNL141W	0.016	-0.055
YOR093C	0.005	0.020
YPL261C	0.062	0.062
YDL172C	-0.036	-0.038
YFL007W	-0.069	0.014
YKL135C	0.036	-0.026
YOR037W	0.035	0.054
YPL273W	0.085	0.106
YDR505C	0.057	-0.007
YJL182C	-0.005	-0.069
YML007W	-0.010	0.064
YML061C	0.479	0.692
YOR083W	0.002	-0.009
YPL156C	-0.012	-0.021
YDL167C	-0.027	-0.039
YDL170W	-0.034	0.025
YEL039C	0.024	0.064
YHR105W	-0.030	0.022
YJL080C	0.231	0.353
YLR246W	0.145	0.188
YPL139C	0.090	0.058
YPL171C	-0.004	0.022
YPL197C	-0.021	-0.056
YBR001C	0.085	0.086
YEL059W	0.023	0.112
YJR035W	-0.049	-0.109
YLR024C	0.084	0.111
YOR029W	0.027	0.036
YOR171C	0.208	0.185
YBR076W	0.004	-0.008
YBR134W	-0.079	-0.132
YEL008W	0.051	0.073
YEL071W	0.023	0.042
YML062C	-0.026	-0.049
YMR124W	-0.013	-0.083
YNL311C	-0.002	0.004
YCL026C	-0.116	-0.147
YDR151C	-0.084	-0.121
YER161C	0.038	0.005
YHR028C	-0.075	-0.064
YHR179W	-0.017	0.022
YIL146C	-0.009	-0.033
YJL024C	0.087	0.124
YJR154W	-0.047	-0.030
YLR361C	-0.033	-0.056
YOR350C	-0.003	0.025
YGL035C	0.004	-0.046
YGR155W	0.140	0.178
YHR032W	-0.051	-0.060
YNL159C	0.016	0.042
YOR265W	0.063	0.039
YBR270C	0.248	0.237
YDR225W	-0.014	0.060
YIL164C	-0.076	0.035
YJR015W	-0.005	0.042
YOL050C	0.332	0.321
YPL202C	0.041	0.078
YPL207W	-0.011	-0.073
YBL106C	-0.106	-0.030
YEL023C	0.108	0.152
YIL009C-A	NaN	NaN
YJL042W	0.048	0.036
YJL208C	-0.045	-0.046
YMR166C	-0.037	0.013
YNL170W	0.123	0.362
YNL187W	-0.115	-0.184
YOL071W	-0.037	0.020
YOR120W	0.010	0.001
YOR292C	-0.060	-0.077
YOR356W	-0.017	-0.030
YAL045C	0.016	-0.020
YJR049C	0.085	0.126
YJR106W	0.263	0.255
YMR312W	0.143	0.503
YNL116W	-0.005	-0.026
YNL230C	-0.010	-0.087
YOL020W	0.073	0.002
YOR161C	0.084	0.031
YPL035C	-0.138	-0.192
YBL078C	-0.071	-0.116
YCR073W-A	-0.132	-0.183
YHL003C	0.033	-0.003
YIL028W	0.027	-0.040
YMR170C	-0.026	0.035
YNL203C	0.446	0.450
YBR206W	-0.018	-0.026
YDR348C	-0.129	-0.191
YER097W	-0.017	-0.023
YGR170W	-0.004	-0.041
YNL217W	-0.008	0.023
YPL256C	0.044	0.033
YDR403W	-0.171	-0.218
YIL027C	0.025	0.020
YJL119C	0.032	-0.014
YMR162C	-0.002	0.025
YOR027W	0.046	-0.015
YPL172C	0.132	0.132
YDL023C	0.276	0.241
YFR055W	-0.025	0.003
YGL212W	0.090	0.257
YHL017W	0.031	0.067
YIL108W	0.295	0.300
YJL213W	-0.047	-0.043
YLL038C	0.002	-0.007
YLL039C	0.003	-0.018
YLL049W	-0.032	-0.053
YNL299W	0.027	-0.030
YAL034C	-0.097	-0.056
YBR201W	-0.027	-0.103
YBR288C	0.163	0.200
YER173W	-0.336	-0.649
YGR004W	-0.082	-0.105
YGR237C	0.078	0.082
YNL082W	0.141	0.111
YNL294C	-0.010	-0.029
YNL333W	0.101	0.068
YOR137C	-0.019	-0.016
YPL168W	0.052	0.043
YPL206C	-0.001	-0.035
YPR146C	-0.150	-0.041
YAL039C	0.090	0.077
YCR098C	-0.244	-0.278
YEL072W	0.046	0.049
YER049W	-0.005	0.032
YHR016C	-0.013	-0.041
YJL089W	-0.018	0.017
YJL128C	0.010	-0.033
YKL033W-A	0.120	0.031
YOR186W	-0.079	-0.031
YPL039W	-0.026	-0.016
YPL072W	0.155	0.184
YPL212C	0.015	0.029
YCR067C	-0.027	0.062
YFL006W	-0.065	-0.037
YHR108W	-0.008	-0.001
YIL060W	-0.014	0.019
YMR026C	-0.106	-0.014
YNL289W	0.054	0.065
YOR015W	-0.044	-0.046
YBL086C	-0.051	-0.101
YDR383C	-0.041	-0.057
YFL013W-A	-0.021	-0.049
YIL095W	-0.042	-0.024
YJL038C	0.053	0.135
YJL150W	-0.027	-0.002
YJL210W	-0.039	-0.069
YJR127C	0.278	0.272
YOL036W	0.101	0.085
YOR047C	-0.030	0.037
YOR090C	0.000	-0.013
YBL060W	0.053	-0.093
YGR184C	0.049	-0.003
YJL098W	0.047	0.044
YLL046C	0.017	-0.006
YLR054C	-0.121	-0.217
YPL220W	-0.036	-0.054
YBR294W	0.053	-0.020
YCR082W	-0.013	0.007
YHR152W	0.020	0.047
YIL039W	0.183	0.106
YIL103W	-0.030	-0.141
YIL114C	-0.050	-0.064
YJL178C	-0.077	0.032
YJR001W	-0.066	-0.063
YNL336W	0.216	0.190
YOR178C	-0.022	-0.015
YPR083W	-0.058	-0.091
YGL115W	-0.026	0.017
YIL066C	-0.009	-0.037
YIR007W	0.016	0.005
YKL218C	-0.016	-0.051
YLL019C	0.007	0.015
YOL082W	-0.034	-0.040
YOR279C	0.006	0.036
YPL134C	0.227	0.258
YDR136C	-0.078	0.071
YJR047C	0.050	-0.008
YKL213C	-0.156	-0.245
YLR204W	0.133	-0.081
YPL155C	-0.034	-0.092
YDR318W	0.027	0.084
YGL227W	-0.057	-0.128
YJL132W	0.046	0.049
YJL145W	0.196	0.250
YJR005W	0.090	0.095
YML005W	0.034	0.045
YMR274C	0.017	0.049
YPL138C	0.147	0.158
YAL065C	-0.061	-0.008
YBR207W	-0.059	-0.063
YEL004W	-0.016	0.019
YIL145C	-0.028	-0.011
YIL162W	-0.038	0.015
YJL013C	0.004	-0.067
YJL043W	0.022	0.072
YJR153W	-0.020	0.011
YLL061W	-0.027	-0.031
YLR039C	-0.012	0.098
YMR126C	0.008	-0.056
YOL163W	0.204	0.194
YOR299W	-0.009	-0.004
YPL154C	0.024	0.004
YHR001W-A	0.040	0.040
YJL079C	0.206	0.208
YNL127W	0.006	0.055
YOL089C	-0.019	-0.038
YOR087W	0.013	0.054
YBR185C	-0.028	0.032
YDR252W	-0.062	-0.035
YGR122W	-0.023	-0.134
YHL014C	0.063	0.115
YIL025C	0.136	0.097
YJR116W	0.079	0.086
YKR078W	-0.081	-0.101
YLL001W	-0.038	-0.077
YMR304W	-0.091	-0.077
YOL159C	-0.130	-0.156
YPL123C	0.049	-0.004
YAL064C-A	0.040	0.078
YDR337W	NaN	NaN
YJL190C	0.018	0.066
YLR123C	0.000	-0.035
YOR099W	-0.044	0.003
YOR354C	0.015	-0.006
YPL258C	0.061	0.062
YPR076W	-0.056	-0.049
YBL080C	0.100	0.199
YDL100C	0.006	-0.004
YHL039W	-0.041	-0.059
YIL014W	0.003	-0.025
YJR129C	0.100	0.054
YJR139C	-0.145	-0.422
YLL056C	-0.024	-0.007
YLR057W	-0.110	-0.042
YMR114C	0.059	-0.047
YMR261C	-0.128	-0.096
YOR019W	0.119	0.127
YPL247C	-0.018	-0.007
YAL007C	-0.008	-0.018
YAR043C	0.121	0.166
YBR037C	0.001	0.026
YBR116C	-0.106	-0.145
YDR137W	-0.080	0.072
YDR392W	-0.182	-0.316
YHR207C	-0.103	-0.221
YJL197W	-0.053	-0.016
YKL148C	-0.043	-0.038
YKL183W	-0.007	-0.007
YLR065C	-0.040	0.113
YML027W	-0.012	-0.047
YMR319C	0.034	-0.021
YOR081C	0.004	0.024
YOR385W	-0.057	-0.040
YPL121C	0.072	0.052
YPL250C	-0.004	-0.111
YBR043C	-0.024	-0.006
YBR174C	-0.007	-0.039
YDR223W	-0.013	-0.003
YDR377W	-0.067	0.079
YER017C	0.269	0.552
YER067W	-0.127	-0.026
YER106W	0.038	0.056
YFL001W	NaN	NaN
YNL101W	-0.041	-0.142
YNL160W	0.018	-0.007
YNL254C	0.099	0.092
YPL196W	0.029	-0.003
YDL182W	-0.051	-0.027
YIL072W	-0.029	-0.005
YLR004C	-0.057	-0.065
YLR128W	-0.029	0.012
YMR100W	-0.014	-0.021
YNL099C	-0.058	-0.011
YNL214W	0.066	0.036
YOL024W	-0.009	-0.027
YAL067C	-0.059	0.001
YBR040W	-0.035	-0.090
YCR076C	-0.004	0.036
YDL052C	0.088	0.097
YDR105C	-0.066	-0.142
YER034W	0.001	-0.003
YHR195W	0.117	0.115
YJL021C	-0.017	-0.032
YLL052C	-0.034	-0.059
YMR169C	-0.045	-0.120
YOL015W	-0.029	-0.042
YOR184W	-0.021	-0.030
YPL150W	0.001	-0.023
YBR050C	-0.043	-0.016
YDR183W	0.030	0.052
YGL255W	-0.019	-0.033
YHR142W	0.003	0.058
YHR204W	-0.007	0.011
YIL165C	-0.033	-0.059
YLL047W	0.001	-0.002
YLR063W	-0.019	-0.026
YLR114C	0.007	-0.026
YLR124W	-0.032	-0.057
YLR171W	-0.053	-0.020
YOR139C	NaN	NaN
YOR307C	-0.067	-0.059
YPL074W	0.197	0.183
YBR205W	-0.062	0.002
YDL099W	0.022	0.013
YDR165W	NaN	NaN
YGL249W	-0.005	0.012
YIL102C	0.242	0.165
YJR128W	0.281	0.232
YML121W	0.106	0.203
YNL093W	0.013	-0.001
YNL173C	-0.065	-0.026
YNL235C	-0.030	-0.042
YNL269W	0.089	0.086
YOL147C	0.004	-0.015
YOR323C	-0.035	-0.050
YPL141C	-0.028	-0.010
YPL240C	0.014	-0.037
YDR158W	-0.084	-0.079
YIL158W	-0.052	-0.145
YJL133W	0.065	0.058
YLR169W	-0.019	-0.084
YMR111C	-0.051	-0.196
YMR206W	0.044	-0.055
YMR259C	0.243	0.237
YNL200C	0.151	0.140
YOL014W	-0.033	-0.097
YOL019W	-0.037	-0.034
YOL055C	0.002	-0.017
YPL055C	-0.015	-0.037
YDR290W	-0.047	-0.006
YDR314C	-0.139	-0.110
YER084W	-0.025	0.027
YHL013C	0.006	0.028
YHR137W	0.174	0.119
YIL043C	0.200	0.183
YJL037W	0.100	0.092
YJL130C	0.004	-0.039
YLL055W	-0.062	-0.041
YLR070C	-0.050	-0.035
YML080W	0.002	-0.008
YML102W	-0.050	-0.183
YMR103C	0.002	0.013
YOL057W	0.009	-0.006
YOL059W	-0.085	-0.095
YOR067C	0.074	0.095
YOR079C	0.079	0.110
YPR018W	0.027	-0.052
YDR419W	-0.267	-0.499
YGR079W	0.062	0.017
YIL136W	-0.026	-0.090
YIR014W	-0.024	-0.025
YJL036W	0.106	0.085
YJL048C	0.020	0.020
YLL051C	-0.040	-0.082
YLR104W	-0.028	-0.028
YLR346C	-0.020	-0.017
YNL104C	-0.011	-0.064
YOR044W	-0.081	-0.045
YDR204W	-0.065	0.103
YER079W	-0.007	0.041
YER141W	0.041	0.153
YJL066C	-0.011	-0.024
YJR149W	0.019	-0.016
YMR316C-B	-0.018	-0.017
YMR317W	-0.023	-0.027
YOR154W	0.335	0.269
YPL021W	0.015	0.035
YPL119C	0.140	0.101
YAL005C	-0.074	-0.055
YCL008C	0.102	0.123
YDL095W	0.069	0.137
YDR114C	NaN	NaN
YDR467C	-0.011	0.011
YIL087C	-0.046	-0.053
YML053C	0.003	0.073
YNL094W	-0.090	-0.137
YNL334C	0.074	0.020
YPL182C	-0.021	-0.033
YPL199C	-0.004	-0.007
YBR008C	0.132	0.156
YCR053W	-0.014	-0.070
YDR071C	-0.059	-0.042
YER028C	0.477	0.675
YER096W	-0.006	-0.004
YER175C	-0.030	-0.023
YIL105C	0.496	0.536
YIL120W	-0.015	0.038
YMR141C	0.015	-0.068
YOL053C-A	0.072	0.123
YOR185C	0.016	-0.017
YOR311C	-0.051	-0.061
YPL018W	0.006	0.042
YPL096W	-0.035	-0.027
YPR157W	-0.014	-0.084
YGL237C	-0.085	-0.013
YGL261C	-0.094	-0.092
YKL121W	-0.085	-0.084
YML051W	-0.004	0.084
YMR273C	0.014	0.055
YNL176C	0.105	0.073
YNL338W	0.221	0.225
YOR229W	0.124	0.140
YCR034W	0.169	0.385
YDR257C	-0.112	-0.154
YGL054C	0.022	0.270
YHR133C	0.047	0.038
YIL011W	-0.042	-0.037
YJR088C	-0.139	-0.196
YKL098W	-0.041	-0.068
YLR451W	-0.056	0.013
YNL191W	-0.038	-0.032
YAL051W	0.010	0.005
YBL107C	-0.060	-0.010
YBR020W	-0.069	-0.138
YBR033W	-0.004	-0.010
YBR045C	-0.036	-0.014
YCR069W	-0.033	-0.048
YDR080W	0.101	0.052
YDR258C	-0.015	-0.031
YHR082C	-0.022	-0.051
YJL055W	0.025	-0.007
YLR072W	-0.002	0.005
YML119W	-0.104	-0.075
YNL027W	-0.074	-0.023
YNL105W	-0.023	0.011
YOL046C	0.118	0.129
YOL065C	-0.021	-0.072
YOR023C	0.186	0.194
YOR141C	-0.253	-0.428
YPL249C	-0.039	-0.065
YBL085W	-0.074	-0.066
YEL065W	-0.029	0.022
YHR109W	-0.013	-0.030
YJR011C	0.006	0.083
YKL136W	-0.013	-0.016
YKR031C	-0.015	-0.057
YMR171C	0.069	0.056
YMR316C-A	-0.012	0.000
YOL045W	0.177	0.161
YOR209C	0.144	0.385
YOR269W	-0.041	-0.104
YOR286W	-0.040	0.077
YPL163C	0.008	-0.037
YPL241C	0.079	0.214
YDL146W	0.082	0.121
YDR459C	-0.002	-0.048
YER150W	-0.019	0.004
YFR057W	-0.055	-0.007
YIL050W	0.200	0.187
YNL100W	0.014	0.077
YNL183C	-0.019	0.073
YOL013C	-0.055	-0.078
YOR069W	0.012	0.038
YPL165C	0.010	0.004
YBR287W	-0.073	-0.087
YDL093W	0.022	-0.018
YEL068C	0.006	-0.007
YFL010W-A	-0.022	0.026
YIL002C	-0.012	-0.007
YIL071C	0.014	-0.007
YIL113W	0.076	0.038
YJR051W	0.047	0.043
YJR135C	0.045	-0.006
YLL009C	0.050	0.084
YOL031C	-0.008	-0.007
YOR320C	-0.038	-0.030
YPL135W	0.238	0.208
YEL005C	0.019	0.043
YEL043W	0.037	0.079
YGR221C	-0.063	-0.051
YHL020C	0.073	0.190
YJL083W	0.076	0.115
YJR074W	-0.093	-0.133
YLR092W	-0.037	-0.006
YMR286W	0.073	0.106
YNL129W	-0.023	-0.020
YOR097C	-0.052	-0.038
YOR100C	0.107	0.133
YOR288C	0.089	0.151
YOR304C-A	-0.078	0.014
YOR316C	-0.040	-0.064
YPL186C	0.054	0.053
YDR095C	-0.084	-0.083
YIL023C	0.043	-0.044
YIL090W	-0.092	-0.037
YIL141W	0.019	-0.056
YJL064W	0.047	0.072
YJR107W	0.179	0.138
YLR170C	0.007	0.052
YML082W	-0.011	-0.011
YOR268C	-0.051	-0.062
YPL236C	-0.005	-0.033
YPR005C	0.062	0.079
YAL009W	-0.091	-0.120
YBL001C	-0.045	-0.031
YDL171C	-0.019	-0.021
YEL067C	0.039	0.055
YJL017W	-0.004	0.024
YJR003C	-0.013	-0.027
YJR113C	0.216	0.492
YKL167C	0.045	0.024
YLR097C	-0.075	-0.067
YLR394W	0.000	0.016
YOR062C	0.024	0.027
YOR165W	0.182	0.222
YOR230W	-0.009	0.014
YOR289W	-0.032	-0.049
YPL263C	-0.018	-0.015
YBR062C	0.024	-0.059
YDR210W	0.001	-0.003
YDR287W	-0.012	-0.019
YEL025C	0.057	0.106
YJR115W	0.102	0.128
YLR191W	-0.071	0.014
YMR219W	0.389	0.542
YOL162W	0.000	0.011
YPL115C	0.169	0.168
YBR229C	0.040	0.099
YCL011C	-0.035	-0.073
YCL026C-A	-0.012	-0.048
YDR306C	-0.044	-0.075
YJL148W	0.123	0.064
YJR083C	-0.032	-0.062
YLR003C	-0.059	-0.008
YLR030W	0.022	0.026
YLR112W	-0.031	-0.008
YMR276W	-0.034	-0.099
YOR121C	0.002	-0.024
YPL077C	0.164	0.172
YDL096C	0.058	0.220
YEL041W	-0.013	0.025
YJL108C	-0.086	-0.070
YJR004C	-0.005	0.017
YJR126C	0.368	0.369
YLR069C	NaN	NaN
YLR412W	-0.035	0.009
YNL194C	0.039	0.085
YNL275W	-0.036	-0.068
YOL056W	-0.049	-0.055
YPL084W	-0.032	0.215
YPL219W	0.044	0.043
YAR018C	0.011	0.265
YBR015C	0.187	0.332
YDR305C	-0.035	-0.034
YFL010C	-0.059	-0.058
YFR056C	-0.017	-0.062
YHR061C	-0.015	0.006
YIL009W	0.010	0.009
YIL140W	0.076	0.039
YIL155C	0.006	0.018
YJL045W	0.010	0.000
YJR150C	0.031	-0.041
YOL075C	-0.044	-0.025
YOR276W	-0.055	-0.074
YOR357C	0.002	0.013
YPL014W	-0.008	0.011
YPL099C	0.030	-0.008
YPL216W	-0.015	-0.042
YPL267W	0.014	-0.021
YBL104C	0.065	0.016
YDL190C	-0.049	-0.049
YDR279W	-0.005	0.076
YDR520C	-0.140	-0.215
YGR049W	-0.086	-0.037
YGR050C	-0.055	-0.063
YHR095W	-0.006	0.036
YHR100C	-0.069	0.006
YIL013C	-0.003	-0.053
YIL059C	0.043	-0.016
YLL059C	-0.030	-0.061
YLR119W	0.008	0.077
YNL083W	-0.034	0.019
YNL212W	-0.005	0.014
YOR133W	0.028	-0.010
YPL095C	-0.034	-0.028
YPL164C	-0.001	-0.027
YPL248C	-0.019	-0.054
YDR147W	-0.083	-0.175
YEL014C	0.133	0.210
YER001W	0.029	0.006
YGR112W	0.015	0.107
YJL146W	0.192	0.219
YJR010C-A	NaN	NaN
YJR020W	0.049	0.062
YLR073C	0.159	0.132
YML129C	0.154	0.225
YMR154C	-0.029	0.000
YNL051W	-0.049	-0.020
YNL123W	-0.017	-0.094
YOL037C	0.112	0.102
YOL080C	-0.035	0.045
YOL083W	-0.024	-0.022
YOR298W	0.007	-0.016
YAL053W	0.046	0.118
YBR199W	-0.033	-0.047
YBR301W	0.000	-0.027
YDL085W	-0.048	-0.059
YDR272W	-0.116	-0.123
YHR159W	-0.113	-0.088
YJR008W	0.015	-0.037
YLR090W	0.007	-0.056
YMR246W	0.045	0.044
YMR251W-A	-0.079	-0.057
YNL143C	0.026	-0.032
YNL304W	-0.031	-0.051
YOR070C	0.041	0.017
YBL098W	0.028	-0.002
YBR019C	0.065	0.067
YBR210W	-0.041	-0.010
YCL036W	-0.133	-0.295
YDL200C	0.048	0.049
YDR286C	-0.025	0.008
YHR123W	-0.030	-0.024
YIL099W	0.014	0.037
YJL170C	0.005	0.169
YJR061W	0.025	0.022
YJR124C	0.470	0.476
YLR122C	-0.075	-0.099
YMR136W	-0.002	-0.003
YMR271C	0.094	0.103
YNL195C	-0.044	0.061
YNL255C	0.058	0.081
YOL044W	0.238	0.295
YOR173W	0.152	0.126
YOR177C	-0.022	0.055
YPL048W	-0.035	-0.017
YBL081W	-0.089	-0.101
YBR162W-A	0.142	0.121
YBR277C	0.026	-0.048
YCR019W	-0.015	-0.052
YDR042C	-0.009	0.055
YDR271C	-0.039	-0.002
YDR274C	0.036	0.032
YER075C	-0.019	0.026
YIR021W	0.024	0.177
YJL044C	0.037	0.001
YJL077C	0.170	0.155
YLL012W	-0.023	0.011
YNL326C	0.017	0.026
YOL025W	0.026	0.006
YOL029C	-0.015	-0.023
YOL053W	0.057	0.054
YOR118W	0.047	0.048
YOR313C	-0.047	-0.035
YBR157C	-0.031	0.009
YBR228W	-0.090	0.001
YCL014W	-0.011	-0.013
YDL046W	0.013	0.015
YDL224C	0.008	0.042
YGL228W	-0.042	-0.018
YJL112W	0.020	0.019
YLL005C	0.207	0.171
YMR109W	0.029	-0.018
YOL032W	-0.075	-0.072
YAL068C	-0.079	0.025
YBR024W	-0.012	0.029
YHR057C	-0.043	-0.017
YHR096C	-0.004	-0.011
YKL092C	-0.038	-0.014
YML052W	-0.020	0.066
YMR110C	-0.059	-0.109
YOL084W	-0.003	-0.045
YOR242C	0.289	0.269
YOR277C	0.020	-0.030
YOR315W	-0.021	-0.019
YEL011W	0.334	0.343
YIL149C	-0.058	-0.066
YIL163C	-0.031	-0.023
YJL082W	0.126	0.147
YJL141C	0.103	0.167
YJR062C	0.010	0.008
YJR108W	0.137	0.076
YLR094C	-0.024	-0.042
YOR010C	-0.097	-0.074
YOR086C	-0.099	-0.034
YBR217W	-0.038	-0.008
YCR037C	0.005	0.019
YEL018W	0.212	0.147
YGL010W	0.024	-0.027
YGL254W	-0.012	-0.024
YGL258W	-0.048	-0.023
YHL034C	0.104	0.108
YIL111W	0.078	0.089
YIL159W	-0.070	-0.052
YIL166C	-0.060	-0.104
YLL048C	0.004	0.020
YLR001C	-0.007	-0.035
YOL017W	0.001	-0.007
YOR367W	0.044	0.012
YPL174C	0.138	0.194
YBL091C	-0.023	-0.028
YCL024W	-0.004	-0.065
YJR109C	0.186	0.161
YLL042C	0.021	-0.001
YML072C	-0.021	0.004
YML075C	0.034	0.053
YML128C	0.442	0.645
YOL158C	-0.055	-0.053
YOR317W	-0.025	-0.001
YOR374W	0.005	0.002
YBR184W	-0.066	-0.082
YEL040W	-0.059	-0.021
YER176W	-0.021	-0.057
YIL010W	-0.009	-0.019
YIL074C	-0.004	-0.020
YJL022W	0.015	0.143
YJL065C	-0.005	0.034
YJR058C	0.012	-0.015
YLR414C	-0.021	-0.064
YMR247C	0.359	0.392
YNL190W	-0.033	-0.009
YOL047C	0.140	0.118
YOR306C	-0.058	-0.044
YPL013C	0.087	0.194
YPL034W	0.017	-0.059
YPL103C	-0.021	-0.017
YPL223C	-0.051	-0.074
YPR149W	0.007	-0.012
YCL042W	0.005	-0.090
YDR022C	0.027	0.036
YDR094W	0.028	0.002
YDR452W	-0.133	-0.283
YGL005C	0.028	-0.078
YHR049W	-0.050	-0.032
YIL119C	0.008	0.111
YIL170W	-0.066	-0.017
YJL171C	-0.036	0.073
YKL214C	-0.093	-0.064
YLL023C	0.006	0.040
YMR265C	0.028	-0.013
YMR279C	-0.018	-0.005
YNL092W	0.054	0.030
YNL278W	0.102	0.080
YNL328C	0.023	0.003
YOR040W	0.014	-0.023
YOR144C	0.119	0.114
YOR228C	0.154	0.146
YPL145C	-0.005	-0.101
YBR138C	-0.037	-0.010
YBR300C	0.015	-0.003
YDR104C	-0.039	-0.034
YGR041W	-0.093	-0.132
YIL055C	0.086	0.076
YIL088C	-0.043	-0.052
YJR105W	NaN	NaN
YJR122W	NaN	NaN
YKL155C	0.226	0.110
YKR042W	0.011	0.060
YLR035C	0.029	0.048
YLR082C	0.042	0.068
YMR306C-A	-0.032	-0.034
YNL090W	-0.006	-0.070
YOL048C	0.192	0.158
YOR314W	-0.017	-0.069
YPL073C	0.169	0.180
YPL185W	0.006	0.020
YPL225W	0.022	0.065
YBR022W	0.013	0.016
YDL180W	-0.023	0.029
YDR033W	-0.032	-0.053
YEL009C	-0.047	-0.027
YER040W	0.179	0.347
YER085C	-0.027	-0.025
YGR117C	-0.051	-0.047
YGR157W	-0.022	-0.032
YIL053W	0.296	0.264
YJR099W	-0.001	-0.014
YJR147W	-0.028	-0.046
YKR035C	-0.020	-0.089
YLR118C	-0.018	-0.038
YMR077C	0.036	0.142
YMR233W	-0.010	0.029
YOR053W	-0.027	-0.047
YOR129C	0.012	0.008
YBR018C	0.104	0.130
YBR227C	-0.046	-0.079
YDL050C	0.031	0.028
YDR349C	0.060	0.096
YER170W	-0.020	-0.062
YJL057C	0.006	0.002
YJL166W	0.105	0.111
YJR069C	0.045	0.003
YMR278W	-0.026	0.000
YOL062C	-0.018	-0.012
YOR045W	-0.103	-0.123
YOR059C	0.115	0.154
YOR114W	0.033	0.059
YOR197W	0.135	0.143
YOR324C	-0.058	-0.035
YBR144C	-0.032	-0.025
YBR204C	0.021	-0.039
YDR148C	-0.078	-0.043
YDR384C	-0.011	-0.050
YEL062W	-0.075	-0.112
YGR084C	0.083	0.030
YJL093C	-0.019	0.015
YLR059C	0.048	0.064
YLR176C	0.027	0.115
YLR377C	-0.007	0.004
YOR158W	NaN	NaN
YAL058W	0.321	0.249
YBL011W	-0.044	-0.043
YCR073C	-0.036	0.000
YDR249C	-0.097	-0.047
YDR250C	-0.003	-0.016
YER131W	0.131	0.207
YHR097C	-0.020	-0.011
YJL116C	-0.005	-0.002
YJR119C	0.318	0.282
YNL134C	-0.026	-0.009
YOR175C	0.050	0.051
YPL222W	-0.014	0.012
YPR150W	-0.037	-0.015
YBR047W	-0.014	-0.032
YBR141C	0.004	0.021
YBR276C	-0.036	-0.004
YDL018C	0.024	0.034
YDR273W	-0.018	-0.053
YEL020C	0.142	0.182
YER010C	0.062	0.019
YHR181W	0.005	0.013
YIL086C	-0.022	-0.007
YJL004C	0.047	0.082
YJL016W	0.033	0.028
YMR320W	-0.025	0.013
YPL177C	-0.017	0.014
YPL274W	0.423	0.373
YBL012C	-0.012	-0.034
YBR292C	-0.022	-0.102
YGL096W	-0.016	-0.047
YGL248W	-0.039	-0.016
YJL068C	-0.012	-0.055
YJL159W	0.032	0.056
YJR152W	-0.028	-0.027
YLR113W	0.009	-0.092
YMR147W	-0.029	-0.040
YNL140C	-0.002	-0.080
YOR297C	0.001	-0.017
YOR337W	0.031	0.049
YBR007C	0.086	0.065
YBR068C	0.020	-0.010
YBR169C	0.067	0.121
YDR248C	-0.070	-0.147
YEL047C	0.036	-0.005
YEL048C	-0.065	0.009
YJL084C	0.050	0.067
YJR009C	0.039	0.015
YLL020C	-0.032	0.001
YLR006C	-0.034	-0.031
YMR306W	0.060	0.051
YOR052C	0.001	-0.038
YOR130C	0.017	0.020
YPL110C	0.090	0.147
YBL067C	0.067	0.047
YBR051W	0.017	0.000
YDL213C	0.182	-0.016
YDR084C	-0.018	0.001
YDR256C	-0.069	-0.087
YIL057C	0.036	0.020
YIL157C	0.095	0.046
YJR019C	-0.012	-0.074
YMR177W	-0.044	0.080
YDR089W	0.003	-0.029
YER166W	-0.014	-0.015
YHR075C	0.042	0.065
YIL121W	0.023	0.187
YML048W	-0.021	0.131
YOR163W	0.123	0.082
YOR170W	-0.052	-0.019
YOR267C	0.111	0.062
YOR296W	-0.022	-0.027
YBR148W	-0.042	-0.011
YBR293W	0.013	-0.080
YEL028W	-0.029	0.041
YGR183C	-0.018	-0.019
YHR115C	-0.025	-0.062
YHR140W	-0.122	-0.106
YHR151C	-0.013	-0.036
YJL118W	-0.051	-0.042
YLR349W	-0.039	-0.049
YMR122C	-0.001	-0.139
YNL193W	-0.017	-0.039
YNL206C	0.192	0.144
YOL030W	0.006	-0.040
YOL079W	-0.022	0.039
YOR172W	0.175	0.146
YPL037C	0.007	-0.028
YPL070W	0.159	0.160
YPL181W	0.008	0.024
YBL062W	-0.047	-0.031
YBR013C	0.102	0.126
YCR032W	-0.032	-0.035
YCR075C	0.048	0.010
YDR247W	-0.026	-0.024
YHL010C	0.102	0.024
YIR003W	0.000	0.010
YJL142C	0.203	0.221
YJR010W	0.073	0.011
YLR081W	0.074	0.034
YMR040W	0.010	0.053
YMR318C	-0.015	-0.014
YNL097C	0.078	0.069
YOR363C	0.052	0.045
YBL042C	0.083	0.098
YBL096C	-0.046	-0.052
YBR183W	0.036	0.010
YBR218C	-0.002	-0.064
YDL080C	-0.028	-0.104
YEL017C-A	0.100	0.090
YIL056W	0.109	0.083
YJR098C	0.019	-0.011
YLR324W	0.005	-0.037
YML099C	-0.018	-0.038
YMR153W	-0.052	-0.044
YOL002C	0.047	0.053
YPL116W	0.186	0.183
YBL037W	-0.046	-0.007
YBL075C	-0.018	-0.071
YDL173W	0.014	0.117
YGL226W	-0.006	-0.029
