orf	hap a | hemolysis | n-butanol [vapors] | blood agar | Shuster A~Rosenberg M, 2007	hap a | growth (spot assay) | n-butanol [vapors] | blood agar | Shuster A~Rosenberg M, 2007
YAL009W	-5.3888421438512255	3.1835896041947347
YAL010C	-5.3888421438512255	3.1835896041947347
YAL012W	0.0	-3.119917812110841
YAL013W	-2.6944210719256128	3.1835896041947347
YAL014C	-5.3888421438512255	3.1835896041947347
YAL016W	0.0	-3.119917812110841
YAL020C	0.0	-3.119917812110841
YAL035W	0.0	-3.119917812110841
YAL039C	0.0	-3.119917812110841
YAL042C-A	-5.3888421438512255	3.1835896041947347
YAL044C	-5.3888421438512255	3.1835896041947347
YAL048C	0.0	-3.119917812110841
YAL054C	-5.3888421438512255	3.1835896041947347
YAR029W	-5.3888421438512255	3.1835896041947347
YBL012C	-5.3888421438512255	3.1835896041947347
YBL021C	-5.3888421438512255	3.1835896041947347
YBL022C	-5.3888421438512255	3.1835896041947347
YBL038W	0.0	-3.119917812110841
YBL045C	0.0	-3.119917812110841
YBL061C	0.0	-3.119917812110841
YBL062W	-5.3888421438512255	3.1835896041947347
YBL080C	-5.3888421438512255	3.1835896041947347
YBL090W	0.0	-3.119917812110841
YBL093C	-5.3888421438512255	3.1835896041947347
YBL106C	-5.3888421438512255	3.1835896041947347
YBR011C	0.0	-3.119917812110841
YBR035C	0.0	-3.119917812110841
YBR101C	-5.3888421438512255	3.1835896041947347
YBR120C	0.0	-3.119917812110841
YBR132C	-2.6944210719256128	3.1835896041947347
YBR147W	-5.3888421438512255	3.1835896041947347
YBR173C	-5.3888421438512255	3.1835896041947347
YBR179C	-5.3888421438512255	3.1835896041947347
YBR191W	-5.3888421438512255	3.1835896041947347
YBR200W	-5.3888421438512255	3.1835896041947347
YBR221C	-5.3888421438512255	3.1835896041947347
YBR233W	-2.6944210719256128	3.1835896041947347
YBR248C	-2.6944210719256128	3.1835896041947347
YBR251W	0.0	-3.119917812110841
YBR262C	-2.6944210719256128	3.1835896041947347
YBR263W	-2.6944210719256128	3.1835896041947347
YBR264C	-2.6944210719256128	3.1835896041947347
YBR266C	-2.6944210719256128	3.1835896041947347
YBR268W	0.0	-3.119917812110841
YBR282W	0.0	-3.119917812110841
YCL005W-A	0.0	-3.119917812110841
YCL069W	0.0	-3.119917812110841
YCR001W	-2.6944210719256128	3.1835896041947347
YCR002C	-5.3888421438512255	3.1835896041947347
YCR003W	0.0	-3.119917812110841
YCR004C	0.0	-3.119917812110841
YCR020W-B	0.0	-3.119917812110841
YCR024C	0.0	-3.119917812110841
YCR044C	-2.6944210719256128	3.1835896041947347
YCR046C	0.0	-3.119917812110841
YCR047C	-5.3888421438512255	3.1835896041947347
YCR061W	-2.6944210719256128	3.1835896041947347
YDL006W	0.0	-3.119917812110841
YDL032W	0.0	-3.119917812110841
YDL033C	0.0	-3.119917812110841
