orf	hap a | hemolysis | n-butanol [vapors] | blood agar | Shuster A~Rosenberg M, 2007	hap a | growth (spot assay) | n-butanol [vapors] | blood agar | Shuster A~Rosenberg M, 2007
YAL009W	-2	1
YAL010C	-2	1
YAL012W	0	-1
YAL013W	-1	1
YAL014C	-2	1
YAL016W	0	-1
YAL020C	0	-1
YAL035W	0	-1
YAL039C	0	-1
YAL042C-A	-2	1
YAL044C	-2	1
YAL048C	0	-1
YAL054C	-2	1
YAR029W	-2	1
YBL012C	-2	1
YBL021C	-2	1
YBL022C	-2	1
YBL038W	0	-1
YBL045C	0	-1
YBL061C	0	-1
YBL062W	-2	1
YBL080C	-2	1
YBL090W	0	-1
YBL093C	-2	1
YBL106C	-2	1
YBR011C	0	-1
YBR035C	0	-1
YBR101C	-2	1
YBR120C	0	-1
YBR132C	-1	1
YBR147W	-2	1
YBR173C	-2	1
YBR179C	-2	1
YBR191W	-2	1
YBR200W	-2	1
YBR221C	-2	1
YBR233W	-1	1
YBR248C	-1	1
YBR251W	0	-1
YBR262C	-1	1
YBR263W	-1	1
YBR264C	-1	1
YBR266C	-1	1
YBR268W	0	-1
YBR282W	0	-1
YCL005W-A	0	-1
YCL069W	0	-1
YCR001W	-1	1
YCR002C	-2	1
YCR003W	0	-1
YCR004C	0	-1
YCR020W-B	0	-1
YCR024C	0	-1
YCR044C	-1	1
YCR046C	0	-1
YCR047C	-2	1
YCR061W	-1	1
YDL006W	0	-1
YDL032W	0	-1
YDL033C	0	-1
YDL044C	0	-1
YDL045W-A	0	-1
YDL047W	-2	1
YDL049C	0	-1
YDL057W	-2	1
YDL067C	0	-1
YDL069C	0	-1
YDL104C	0	-1
YDL106C	-2	1
YDL107W	0	-1
YDL113C	0	-1
YDL115C	-2	1
YDL118W	-1	1
YDL119C	-1	1
YDL136W	0	-1
YDL146W	0	-1
YDL167C	0	-1
YDL176W	-2	1
YDL177C	-2	1
YDL181W	0	-1
YDL185W	0	-1
YDL202W	0	-1
YDR005C	-1	1
YDR008C	-2	1
YDR079W	-1	1
YDR095C	-2	1
YDR148C	0	-1
YDR173C	-2	1
YDR175C	0	-1
YDR176W	-2	1
YDR178W	0	-1
YDR194C	0	-1
YDR195W	-1	1
YDR197W	0	-1
YDR203W	-1	1
YDR204W	0	-1
YDR213W	-2	1
YDR225W	-2	1
YDR230W	0	-1
YDR231C	0	-1
YDR237W	0	-1
YDR247W	-1	1
YDR264C	-2	1
YDR268W	0	-1
YDR269C	-2	1
YDR270W	-2	1
YDR271C	-2	1
YDR279W	-1	1
YDR281C	-2	1
YDR285W	-2	1
YDR295C	0	-1
YDR296W	0	-1
YDR298C	0	-1
YDR322W	0	-1
YDR323C	-1	1
YDR337W	0	-1
YDR377W	0	-1
YDR388W	-1	1
YDR393W	-1	1
YDR405W	0	-1
YDR470C	0	-1
YDR477W	0	-1
YDR493W	-1	1
YDR507C	0	-1
YDR518W	0	-1
YDR529C	-1	1
YEL006W	-1	1
YEL024W	0	-1
YEL027W	0	-1
YEL029C	0	-1
YEL036C	0	-1
YEL050C	0	-1
YEL051W	0	-1
YEL062W	-2	1
YEL063C	-2	1
YEL066W	-2	1
YER001W	-1	1
YER017C	0	-1
YER019W	-2	1
YER039C	-2	1
YER040W	0	-1
YER041W	-2	1
YER044C	-1	1
YER050C	0	-1
YER058W	0	-1
YER061C	0	-1
YER070W	0	-1
YER077C	-1	1
YER078C	-1	1
YER083C	-1	1
YER086W	-1	1
YER092W	-1	1
YER103W	0	-1
YER132C	0	-1
YER141W	0	-1
YER145C	0	-1
YER153C	0	-1
YER154W	-2	1
YER178W	0	-1
YFL001W	-2	1
YFL016C	0	-1
YFL036W	0	-1
YFR033C	-2	1
YFR034C	0	-1
YGL045W	-1	1
YGL058W	-2	1
YGL070C	0	-1
YGL076C	-2	1
YGL094C	-1	1
YGL107C	0	-1
YGL127C	-1	1
YGL129C	0	-1
YGL135W	0	-1
YGL136C	-1	1
YGL167C	0	-1
YGL219C	-2	1
YGL220W	0	-1
YGL237C	-2	1
YGL240W	0	-1
YGL246C	-1	1
YGR026W	0	-1
YGR063C	-2	1
YGR064W	-1	1
YGR076C	0	-1
YGR102C	0	-1
YGR105W	0	-1
YGR150C	0	-1
YGR155W	0	-1
YGR157W	-2	1
YGR159C	0	-1
YGR165W	-2	1
YGR171C	0	-1
YGR174C	-2	1
YGR180C	0	-1
YGR183C	-2	1
YGR200C	-1	1
YGR215W	0	-1
YGR220C	0	-1
YGR222W	-2	1
YGR233C	0	-1
YGR250C	-2	1
YGR257C	0	-1
