orf	hap a | growth (exponential growth rate) | paraquat [400 ug/mL] | SC | Stenberg S~Warringer J, 2022
YAL002W	-0.47784422766850004
YAL004W	-0.288856065543333
YAL005C	-0.45034656069683293
YAL007C	-0.0219335906393667
YAL008W	-0.314813491980667
YAL010C	-0.8035760268085
YAL011W	-0.158088758869833
YAL013W	0.0664109429721433
YAL014C	-0.7221972013325
YAL015C	-0.0473447982056483
YAL017W	-0.0964770486793667
YAL018C	-0.587561203731333
YAL019W	-0.3932587737885
YAL020C	-0.218432089579667
YAL022C	-0.0612031258750333
YAL023C	0.2166402641375
YAL024C	-0.3515221821455
YAL026C	-0.276794732140833
YAL027W	-0.614679555086833
YAL028W	-0.706034199315667
YAL029C	-0.014646305119115001
YAL030W	-0.012737315434649999
YAL031C	-0.0835865293778267
YAL034C	-0.014288857194040001
YAL035W	-0.575710276266375
YAL036C	-0.0861879920570333
YAL037W	0.024787265024451
YAL039C	-0.0052627790719375
YAL040C	-0.0242670728133583
YAL042C-A	-0.00888260827584233
YAL042W	-0.0194563691883833
YAL044C	-0.3107556863605
YAL045C	0.019835121620785
YAL046C	-0.157843804011833
YAL048C	0.051043692011785005
YAL049C	0.0351512087175
YAL051W	-0.09333971517310001
YAL053W	-0.654054804924167
YAL054C	-0.0314794124435167
YAL055W	-0.0759684863858
YAL056C-A	-0.7625478676158329
YAL056W	-0.132191270842167
YAL058W	0.005582737488063329
YAL059W	0.00307507371581667
YAL060W	0.0182747978184317
YAL061W	-0.8144813816685
YAL062W	0.013253423393049999
YAL064C-A	-0.006769753570315
YAL065C	-0.0464596132573167
YAL066W	0.000915317554916666
YAL067C	-0.6476973222044999
YAL068C	-0.0466134473290317
YAR002C-A	-0.673176444217333
YAR002W	-0.0481889861702167
YAR003W	-0.4062088207688329
YAR014C	0.0335360107850333
YAR015W	-0.18480866327533302
YAR018C	-0.4454328059661671
YAR020C	-0.0612712626184915
YAR023C	-0.0243193750291333
YAR027W	-0.0362262578660783
YAR028W	0.0875073578071333
YAR029W	-0.621691927769333
YAR030C	-0.300992473652667
YAR031W	-0.19120073546766697
YAR035W	0.005685905205323329
YAR042W	-0.3165004209505667
YAR047C	-0.0775944670967417
YAR050W	-0.271431714816333
YBL001C	-0.13578103832115
YBL002W	0.029595940380825
YBL003C	-0.580120995168
YBL005W	-0.0128432088709367
YBL006C	-0.0326166178777506
YBL007C	-0.34344930355634995
YBL008W	-0.6255516020265001
YBL009W	-0.674542709429667
YBL010C	-0.1218692860476
YBL011W	-0.6477666041725
YBL012C	-0.521707696091692
YBL013W	-0.083707658246205
YBL015W	-0.18239568685573299
YBL016W	-0.6240820880668331
YBL017C	-0.175942091985517
YBL019W	-0.0793415383008667
YBL021C	-0.288637806678833
YBL022C	-0.25526051135825
YBL024W	-0.15641622812305
YBL025W	-0.3008610638734
YBL027W	-0.20594132868766699
YBL028C	-0.668042026854333
YBL029W	-0.16195698593833302
YBL031W	-0.677983416037333
YBL032W	-0.638962889675833
YBL036C	0.0723904828333717
YBL037W	-0.0301857728671333
YBL038W	-0.10051099220767598
YBL039C	-0.719845855717333
YBL042C	0.0562471503866667
YBL043W	-0.0224339566975017
YBL046W	0.008534883137118329
YBL047C	-0.996685247844
YBL048W	-0.729957421075833
YBL049W	-0.131052911250067
YBL051C	-1.0075998112489999
YBL052C	-0.6823400208888329
YBL053W	-0.0168011812857283
YBL054W	-0.0383961728042967
YBL055C	-0.0178708873100333
YBL056W	-0.329792338250167
YBL057C	-0.688060204361
YBL059W	-0.10686670918965
YBL060W	-0.7736955422876669
YBL061C	-0.117603578761333
YBL062W	-0.0759441154077333
YBL063W	-0.734941729569333
YBL064C	-0.17549271258699997
YBL065W	-0.35019593995549997
YBL066C	-0.6927392328416669
YBL067C	-0.938390354107833
YBL068W	-0.743596304279833
YBL069W	-0.9346543111786669
YBL070C	-0.661527203649833
YBL071C	-0.590032763353333
YBL072C	-0.160895069902833
YBL075C	-0.0501320556290317
YBL078C	-0.0069199701598033295
YBL079W	0.0887920504133667
YBL081W	-0.143982313677983
YBL082C	-0.13493179610811698
YBL083C	-0.11502679650211699
YBL085W	-0.0321602811990933
YBL086C	-0.4949997339515
YBL087C	-0.46719339972433294
YBL088C	-0.29993398365699997
YBL089W	-0.319793798020667
YBL090W	0.07094270500197501
YBL091C	-0.6495430948550001
YBL091C-A	-0.5834309232695
YBL093C	-0.5218046578754171
YBL094C	-0.158976331504588
YBL095W	-0.0181353936237333
YBL096C	-0.689446182233833
YBL098W	-0.833784416162667
YBL099W	-1.02599890464613
YBL100C	-0.127526611737683
YBL101C	-0.0771050776683833
YBL102W	-0.7471401147865
YBL103C	-0.288076362678
YBL104C	-0.5345425031535
YBL106C	-0.685090153653333
YBL107C	-0.11955951006446698
YBR001C	-1.168866628505
YBR003W	-0.071186128110625
YBR005W	-0.402566788597
YBR006W	-0.732069102251
YBR007C	-0.5964066528115
YBR008C	-0.0119941089573167
YBR009C	-0.5461835216995
YBR010W	-0.5013091054315
YBR012C	-6.364025335000029e-05
YBR013C	-0.6305624975233329
YBR014C	-0.802338629136833
YBR015C	0.0980920174740833
YBR016W	0.12315282356114998
YBR018C	-0.551192325723833
YBR019C	-0.6952906892258329
YBR020W	-0.646990628171083
YBR021W	-0.909292918720411
YBR022W	-0.645897079465167
YBR023C	-0.719212270976167
YBR024W	0.0456393251925333
YBR025C	-0.5761695644175
YBR026C	-0.0932737507281833
YBR027C	-0.678227328264
YBR028C	-0.695481582872833
YBR030W	-0.0768450263819167
YBR031W	-0.0551425564237667
YBR032W	0.0190122000803333
YBR033W	-0.6953280764583329
YBR034C	-0.44752700390833294
YBR035C	-0.396137455813187
YBR036C	-0.6518515826953329
YBR037C	-0.216003701043927
YBR040W	-0.026117925991325
YBR041W	-0.622654079844667
YBR042C	-0.570757362918667
YBR043C	-0.7049522285458331
YBR044C	-0.5675385944721669
YBR045C	-0.0464755656856333
YBR046C	0.0200231063109217
YBR047W	-0.728791462841667
YBR048W	-0.284284715215
YBR050C	-0.641334620957667
YBR051W	-0.166995860818617
YBR052C	-0.114451591474733
YBR053C	-0.0818321978122333
YBR054W	-0.000471760475558333
YBR056W	-0.0162006062785333
YBR057C	-0.956466555669333
YBR058C	-0.040737893172249996
YBR059C	0.0175181339964833
YBR061C	-0.0355067496752275
YBR062C	-0.727037591942167
YBR063C	0.052238984870600004
YBR064W	0.10742708654285
YBR065C	0.0180158474250667
YBR066C	-0.0865861791917833
YBR067C	-0.0999753585755333
YBR068C	-0.699288881580167
YBR069C	-0.05704098473158999
YBR071W	-0.0461879823734833
YBR072W	-0.5650928423635
YBR073W	-0.694181065734667
YBR074W	-0.4021710338176571
YBR076W	-0.806941225263667
YBR077C	-0.6929142937125
YBR078W	0.16097128821520001
YBR081C	-0.31066927588375604
YBR082C	-0.0444495312908083
YBR083W	-0.688592401266667
YBR084C-A	-0.260446537648833
YBR084W	0.0222194657746333
YBR085W	-0.932833892901333
YBR086C	-0.948958354273167
YBR089C-A	-0.068570284045835
YBR090C	-0.105828395546483
YBR092C	-0.753176367601
YBR093C	-0.9181711440825
YBR094W	-0.0504689351483333
YBR095C	0.00937973150966333
YBR098W	-0.413029106733167
YBR099C	-0.8117772880040001
YBR101C	-0.276259721138333
YBR103W	-0.791893155699667
YBR104W	-1.38018688709167
YBR105C	-0.32605824350533297
YBR106W	-0.05383658967535
YBR107C	-0.029871023393900003
YBR108W	-0.0184439785601033
YBR111C	-0.140522680164917
YBR113W	0.0442847098995417
YBR114W	-0.3650262775943329
YBR115C	0.11625725446572502
YBR116C	-0.6113048713328331
YBR118W	-0.26072353242366697
YBR119W	0.03171762597705
YBR121C	-0.119696448345917
YBR122C	
YBR125C	-0.0534044291761
YBR126C	-0.47743811512716705
YBR128C	-0.00838448839868333
YBR129C	-0.4526407797431671
YBR130C	-0.12017967524643303
YBR131W	-0.761981392738
YBR132C	0.0623701187402
YBR133C	-0.0045009640540625
YBR134W	0.0173889023171117
YBR137W	-0.628071195957333
YBR138C	-0.0807598217179167
YBR139W	-0.00887738399389667
YBR141C	-2.0621423247440003
YBR144C	-0.289381324213167
YBR145W	-0.35333287609983294
YBR146W	-0.470444018216167
YBR147W	-0.44966239217799997
YBR148W	-1.8833889587816701
YBR149W	-0.0150414303827617
YBR150C	-0.7911418651681671
YBR151W	-0.0773998210028833
YBR156C	-0.0671520217390667
YBR157C	-0.6742386274785
YBR158W	-0.0607767786539167
YBR159W	-0.3970474199358329
YBR161W	-0.0970367142544333
YBR162C	0.0288782286864967
YBR162W-A	-0.11783384390213301
YBR163W	0.168566420560763
YBR164C	-0.639178723621167
YBR165W	-0.29710407435469205
YBR166C	0.0205879021240313
YBR168W	-0.163568366449
YBR169C	-0.15260799803713299
YBR170C	-0.652370603365333
YBR171W	0.10222935437843303
YBR172C	-1.8898843541466699
YBR173C	
YBR174C	-0.357780717162
YBR175W	-1.252147345055
YBR176W	0.03824927419315
YBR177C	-0.0220310171104667
YBR178W	-0.7005225933470001
YBR179C	-0.17291665120299998
YBR180W	-0.639243969967333
YBR181C	-0.503589579957
YBR182C	-0.673348603451833
YBR183W	-0.23606107811716698
YBR184W	-0.7121096196871669
YBR185C	-0.042453571125949996
YBR186W	0.00245822163474167
YBR187W	-1.638081923335
YBR188C	0.0891515895400333
YBR189W	-0.275662143635833
YBR191W	-0.949983716772636
YBR194W	-0.10345476409708802
YBR195C	-0.59538673135
YBR197C	-0.104406699997132
YBR199W	-0.141298038618667
YBR200W	-0.247215440934833
YBR201W	-0.613554936076167
YBR203W	-0.143659647766617
YBR204C	-0.6891006704395001
YBR205W	-0.08428945788830002
YBR206W	-0.623082819182667
YBR207W	-0.021923850867229998
YBR208C	-0.00568489380641667
