orf	hom | growth (colony size) | mono(2-ethylhexyl) phthalate [0.8-1.6 mM] | YPD + EtOH | Jiang L~Papadopoulos V, 2018
YAL013W	-6.9297224065310825
YAL023C	-6.9297224065310825
YBL093C	-6.9297224065310825
YBR036C	-6.9297224065310825
YBR126C	-6.9297224065310825
YBR127C	-6.9297224065310825
YCL007C	-6.9297224065310825
YCR034W	-6.9297224065310825
YCR044C	-6.9297224065310825
YDL006W	-6.9297224065310825
YDL020C	-6.9297224065310825
YDL075W	-6.9297224065310825
YDL172C	-6.9297224065310825
YDL185W	-6.9297224065310825
YDR007W	-6.9297224065310825
YDR008C	-6.9297224065310825
YDR027C	-6.9297224065310825
YDR127W	-6.9297224065310825
YDR173C	-6.9297224065310825
YDR226W	-6.9297224065310825
YDR264C	-6.9297224065310825
YDR354W	-6.9297224065310825
YDR484W	-6.9297224065310825
YEL027W	-6.9297224065310825
YEL036C	-6.9297224065310825
YGL007W	-6.9297224065310825
YGL012W	-6.9297224065310825
YGL026C	-6.9297224065310825
YGL084C	-6.9297224065310825
YGL095C	-6.9297224065310825
YGL168W	-6.9297224065310825
YGL203C	-6.9297224065310825
YGL206C	-6.9297224065310825
YGR037C	-6.9297224065310825
YGR086C	-6.9297224065310825
YGR092W	-6.9297224065310825
YGR106C	-6.9297224065310825
YGR122W	-6.9297224065310825
YGR167W	-6.9297224065310825
YGR229C	-6.9297224065310825
YHL027W	-6.9297224065310825
YHR012W	-6.9297224065310825
YHR026W	-6.9297224065310825
YHR039C-A	-6.9297224065310825
YHR100C	-6.9297224065310825
YJL029C	-6.9297224065310825
YJL053W	-6.9297224065310825
YJL075C	-6.9297224065310825
YJL154C	-6.9297224065310825
YJL183W	-6.9297224065310825
YJR102C	-6.9297224065310825
YKL037W	-6.9297224065310825
YKL077W	-6.9297224065310825
YKL118W	-6.9297224065310825
YKL119C	-6.9297224065310825
YKL211C	-6.9297224065310825
YKR001C	-6.9297224065310825
YKR020W	-6.9297224065310825
YKR052C	-6.9297224065310825
YLR025W	-6.9297224065310825
YLR056W	-6.9297224065310825
YLR148W	-6.9297224065310825
YLR234W	-6.9297224065310825
YLR330W	-6.9297224065310825
YLR337C	-6.9297224065310825
YLR338W	-6.9297224065310825
YLR372W	-6.9297224065310825
YLR396C	-6.9297224065310825
YLR417W	-6.9297224065310825
YML008C	-6.9297224065310825
YML115C	-6.9297224065310825
YMR015C	-6.9297224065310825
YMR077C	-6.9297224065310825
YMR183C	-6.9297224065310825
YMR202W	-6.9297224065310825
YMR307W	-6.9297224065310825
YNL097C	-6.9297224065310825
YNL225C	-6.9297224065310825
YNL229C	-6.9297224065310825
YNL294C	-6.9297224065310825
YNL296W	-6.9297224065310825
YNL323W	-6.9297224065310825
YNR052C	-6.9297224065310825
YOL081W	-6.9297224065310825
YOR068C	-6.9297224065310825
YOR069W	-6.9297224065310825
YOR132W	-6.9297224065310825
YOR269W	-6.9297224065310825
YOR331C	-6.9297224065310825
YPL002C	-6.9297224065310825
YPL045W	-6.9297224065310825
YPL065W	-6.9297224065310825
YPR036W	-6.9297224065310825
YPR050C	-6.9297224065310825
YPR060C	-6.9297224065310825
