orf	het | chromosome instability (qCTF) | standard | None | Zhu J~Li R, 2015
YAL002W	0.04745873213539282
YAL004W	0.036442134559498456
YAL005C	0.7851079907784265
YAL007C	0.3961671650051969
YAL008W	0.4136706437616003
YAL009W	0.04081938932414042
YAL010C	-0.04662731388140519
YAL011W	0.747662541312366
YAL012W	-0.011240343937848622
YAL013W	0.5181537505952155
YAL014C	0.5920673489796053
YAL015C	0.33203342465907304
YAL016C-B	0.08391462350541853
YAL016W	0.1121009233429536
YAL017W	0.5016743222482516
YAL018C	0.3409851274082447
YAL019W	0.21429241894479703
YAL020C	0.33341114618505485
YAL021C	0.46697722148179566
YAL022C	0.8684629651047225
YAL023C	0.5693154974582333
YAL024C	-0.08338361035683994
YAL026C	0.3973047460868547
YAL027W	0.21228085062426316
YAL028W	0.3143843163453814
YAL029C	0.6256082847811526
YAL030W	0.5860909171852905
YAL031C	0.6840714508983196
YAL034C	0.7871824910960067
YAL035W	0.11615593838857688
YAL036C	0.44395766359455574
YAL037C-A	0.24837302670722233
YAL037W	0.4697392276029608
YAL039C	0.6500760045781048
YAL040C	1.3992493087716045
YAL042C-A	0.38778114066320224
YAL042W	0.451914432633866
YAL044C	0.7228282990128995
YAL044W-A	-0.1994858098397926
YAL045C	0.2782082548847452
YAL046C	0.6415911630522165
YAL047C	0.738316344216108
YAL048C	0.47341519283824957
YAL049C	0.37470434679618575
YAL051W	-0.3207693087682914
YAL053W	-0.501616786636294
YAL054C	-0.023346754735716405
YAL055W	0.46814553525457175
YAL056C-A	0.251357576925788
YAL056W	0.46785038724889705
YAL058W	0.5684423085018149
YAL059W	0.29944430176664066
YAL060W	0.6353436899069623
YAL061W	0.22050240420469172
YAL062W	0.23840352728676742
YAL064C-A	0.872853199175185
YAL065C	0.5875680526799187
YAL066W	0.8587381438903778
YAL067C	0.054122477296804666
YAL067W-A	0.09184317164031203
YAL068C	0.1447110264882171
YAR002C-A	0.15924017248674602
YAR002W	0.7410614162650198
YAR003W	0.17672027359879663
YAR014C	0.5559060325492814
YAR015W	0.40051866647504436
YAR018C	0.2581147766466324
YAR020C	0.6371707360043248
YAR023C	0.15401189973631904
YAR027W	0.19833229572395145
YAR028W	0.26419511850925037
YAR029W	0.30169007718082447
YAR030C	0.47834129828204136
YAR031W	0.1851576102018399
YAR035C-A	0.07416044334848917
YAR035W	0.5296207821020547
YAR042W	0.07187681827509602
YAR047C	0.12521669707959807
YAR050W	-0.17506060474456536
YBL001C	0.2610413153363975
YBL002W	0.550699702839505
YBL003C	0.18959632002808105
YBL005W	0.21569112016494835
YBL006C	-0.1060938602142381
YBL007C	0.16917907105045463
YBL008W	0.33548572206208443
YBL008W-A	0.15897348598949468
YBL009W	0.7838209533707585
YBL010C	0.5532656472852405
YBL011W	0.35239333788582594
YBL012C	0.4026342875288892
YBL013W	0.7314486446412828
YBL015W	-0.7166257373823322
YBL016W	
YBL017C	0.2012284241870549
YBL019W	0.8126167430794548
YBL021C	0.8541825794224053
YBL022C	-0.42037558818484383
YBL024W	-0.09073253253666796
YBL025W	-0.4595905859738902
YBL027W	0.8689138846584693
YBL028C	0.05218931117735103
YBL029C-A	0.38267673459676166
YBL029W	0.3455271203873011
YBL031W	0.5930477064761371
YBL032W	0.24083338437965598
YBL033C	
YBL036C	-0.4266738710858678
YBL037W	0.21280506801194896
YBL038W	0.9136861203172219
YBL039C	-0.26963798876719974
YBL039W-B	0.4223952831029862
YBL042C	0.32318728767169336
YBL043W	-0.04265665484194263
YBL044W	-0.3644490774054573
YBL045C	0.3348798537771106
YBL046W	0.11429994191313454
YBL047C	0.18216146039802067
YBL048W	0.06591113361936954
YBL049W	-0.2675122041566821
YBL051C	1.0979281637580653
YBL052C	0.40712690770537024
YBL053W	0.02663327883795788
YBL054W	0.0001481894299701345
YBL055C	0.6488507482489564
YBL056W	0.4284308507352124
YBL057C	1.3074866629975133
YBL058W	-0.4364291214065175
YBL059W	0.8428036896083922
YBL060W	-0.16288919677872327
YBL061C	-0.29780681086533783
YBL062W	-0.08426060381922375
YBL063W	0.48551073540100625
YBL064C	0.13858072956930817
YBL065W	0.20146518134836935
YBL066C	-0.22383046235448584
YBL067C	2.987707054647361
YBL068W	0.23651145253005376
YBL069W	0.47437627373856955
YBL070C	-0.14786021262926669
YBL071C	0.05914023864760274
YBL071C-B	1.1418407322634836
YBL071W-A	0.4675927936579597
YBL072C	2.6908615039793644
YBL075C	-0.28431293289473347
YBL078C	-0.15812360429927758
YBL079W	0.8708876875070267
YBL080C	-0.297084409439544
YBL081W	0.8074986524525753
YBL082C	0.4016621127428918
YBL083C	0.19760654192255836
YBL085W	0.725327049555932
YBL086C	1.4295345902058163
YBL087C	2.4650904105169813
YBL088C	0.21565052243119318
YBL089W	0.9763788434380806
YBL090W	0.08413152358817136
YBL091C	-0.1296761986440587
YBL091C-A	0.2822908988599708
YBL093C	0.7055974867575202
YBL094C	0.9092751235701824
YBL095W	0.37928211887480845
YBL096C	0.3983001239247918
YBL098W	0.3058152584164081
YBL099W	0.1955802025696221
YBL100C	-0.004499290191178676
YBL100W-C	0.07539699264923698
YBL101C	0.582526918574516
YBL102W	0.5352498222611811
YBL103C	0.5158891616334161
YBL104C	0.48586939582184097
YBL106C	0.26085771052294077
YBL107C	0.46563141963513455
YBR001C	0.5274859448828173
YBR003W	0.4954310140877041
YBR005W	0.29125818408271814
YBR006W	0.5522870626142357
YBR007C	0.37910153094030474
YBR008C	0.3072947845947273
YBR009C	0.7657075441675825
YBR010W	0.5106599215655349
YBR012C	0.8298492360785472
YBR013C	0.2609935560532375
YBR014C	0.22761895623204528
YBR015C	0.40215355354438387
YBR016W	0.3258912897505114
YBR018C	0.34177877036555687
YBR019C	-0.23662195475645312
YBR020W	0.10705614084047949
YBR021W	-0.07745635362035483
YBR022W	0.011183077354368562
YBR023C	-0.011605887807580663
YBR024W	-0.3821311594680678
YBR025C	-0.2195533705853051
YBR026C	0.20139362172630484
YBR027C	0.03744751765436635
YBR028C	0.1086151739398279
YBR030W	0.5457124727852882
YBR031W	0.38321594202382153
YBR032W	-0.09891209861076164
YBR033W	0.30307287822811135
YBR034C	0.739393372453015
YBR035C	0.4488739007605355
YBR036C	0.04891294150676265
YBR037C	-0.1352996104349519
YBR040W	-0.23530007084985372
YBR041W	-0.09647018568918116
YBR042C	-0.30590534434996214
YBR043C	0.3184582926354741
YBR044C	0.12620414402316824
YBR045C	0.2994677571097072
YBR046C	0.2802611741275849
YBR047W	0.26255248450478247
YBR048W	-0.1525199019757408
YBR050C	-0.01007043483816622
YBR051W	-0.0320291492049701
YBR052C	-0.2849466633066721
YBR053C	-0.5654975987344149
YBR054W	-0.14167948823864512
YBR056W	-0.12665406549176952
YBR056W-A	0.34950968442853997
YBR057C	-0.35642291697539763
YBR058C	-0.04054636253665152
