ORF	het | chromosome instability (qCTF) | standard | None | Zhu J~Li R, 2015
YAL068C	1.052
YAL067C	0.974
YAL066W	1.665
YAL065C	1.432
YAL062W	1.132
YAL061W	1.117
YAL060W	1.473
YAL059W	1.185
YAL058W	1.416
YAL056W	1.329
YAL055W	1.330
YAL053W	0.496
YAL051W	0.652
YAL049C	1.249
YAL048C	1.334
YAL046C	1.479
YAL045C	1.166
YAL044C	1.549
YAL042W	1.316
YAL042C-A	1.261
YAL040C	2.130
YAL039C	1.486
YAL037W	1.331
YAL036C	1.309
YAL035W	1.027
YAL034C	1.604
YAL031C	1.515
YAL030W	1.431
YAL029C	1.465
YAL028W	1.198
YAL027W	1.110
YAL026C	1.269
YAL023C	1.417
YAL022C	1.674
YAL021C	1.329
YAL020C	1.214
YAL019W	1.112
YAL018C	1.220
YAL017W	1.358
YAL015C	1.213
YAL014C	1.436
YAL013W	1.373
YAL011W	1.570
YAL010C	0.887
YAL009W	0.962
YAL008W	1.283
YAL007C	1.268
YAL004W	0.959
YAL005C	1.602
YAL002W	0.968
YAR002W	1.564
YAR003W	1.079
YAR014C	1.405
YAR015W	1.272
YAR018C	1.149
YAR020C	1.475
YAR023C	1.060
YAR027W	1.098
YAR028W	1.154
YAR029W	1.187
YAR031W	1.087
YAR030C	1.338
YAR035W	1.383
YAR037W	1.383
YAR040C	1.342
YAR042W	0.989
YAR043C	1.202
YAR047C	1.035
YLL001W	1.257
YLL002W	1.360
YLL005C	0.943
YLL006W	0.893
YLL009C	0.893
YLL010C	1.153
YLL012W	0.951
YLL013C	1.319
YLL014W	1.469
YLL015W	1.265
YLL016W	1.060
YLL017W	0.710
YLL019C	1.067
YLL020C	0.953
YLL021W	1.020
YLL023C	0.912
YLL024C	1.236
YLL025W	1.217
YLL026W	0.894
YLL028W	1.492
YLL029W	0.697
YLL032C	1.023
YLL033W	0.732
YLL038C	0.527
YLL039C	1.043
YLL040C	1.551
YLL041C	1.167
YLL042C	0.794
YLL043W	1.200
YLL045C	1.085
YLL046C	1.200
YLL047W	0.882
YLL051C	0.925
YLL052C	0.924
YLL053C	1.349
YLL054C	1.415
YLL055W	1.235
YLL056C	1.354
YLL057C	1.155
YLL058W	1.315
YLL060C	1.061
YLL061W	0.974
YLL062C	0.973
YLL063C	1.086
YLR001C	0.918
YLR003C	1.275
YLR004C	1.074
YLR011W	1.520
YLR012C	1.011
YLR013W	1.546
YLR014C	0.949
YLR015W	0.726
YLR016C	1.117
YLR017W	1.001
YLR018C	1.182
YLR019W	1.273
YLR020C	1.021
YLR021W	1.546
YLR023C	1.523
YLR024C	1.579
YLR025W	1.333
YLR027C	1.320
YLR028C	1.649
YLR042C	1.069
YLR043C	0.977
YLR044C	1.457
YLR046C	1.244
YLR047C	0.979
YLR048W	1.531
YLR049C	0.982
YLR053C	1.000
YLR054C	1.278
YLR055C	0.812
YLR056W	1.366
YLR057W	1.229
YLR058C	1.225
