orf	hom | growth (culture turbidity) | standard | SD + his + leu + lys + ura | Gelling C~Muhlenhoff U, 2008
YBR112C	-14.726070176973316
YBR189W	-14.726070176973316
YBR242W	-14.726070176973316
YCR084C	-14.726070176973316
YDR027C	-14.726070176973316
YDR034C	-14.726070176973316
YDR234W	-14.726070176973316
YGL154C	-14.726070176973316
YGR037C	-14.726070176973316
YIL094C	-14.726070176973316
YIR034C	-14.726070176973316
YJR104C	-14.726070176973316
YJR122W	-14.726070176973316
YLL027W	-14.726070176973316
YML022W	-14.726070176973316
YMR135W-A	-14.726070176973316
YOR140W	-14.726070176973316
YOR369C	-14.726070176973316
YPL262W	-14.726070176973316
YPR067W	-14.726070176973316
YPR069C	-14.726070176973316
