orf	hap a | telomere length | YPD [standard] | Askree SH~McEachern MJ, 2004
YAL013W	-84.5
YAL016W	-19.5
YAL044C	-67.5
YAL053W	-40.5
YAL056W	-34.0
YAR002W	-17.5
YBL006C	57.0
YBL088C	-240.0
YBR035C	-76.0
YBR097W	-138.0
YBR132C	-83.0
YBR286W	-47.0
YCL008C	-77.0
YCL016C	-120.0
YCR020C-A	62.0
YCR020W-B	157.0
YCR031C	97.0
YCR037C	82.0
YCR047C	-10.0
YCR065W	77.0
YCR086W	47.0
YDL006W	-86.0
YDL020C	-115.0
YDL047W	-99.0
YDL077C	-117.5
YDL081C	-131.0
YDL118W	-153.0
YDL151C	35.5
YDR083W	16.5
YDR115W	-67.5
YDR174W	24.0
YDR295C	-116.0
YDR310C	-146.0
YDR369C	-225.0
YDR418W	-110.0
YDR470C	-28.0
YDR495C	-90.0
YDR532C	
YEL029C	-106.0
YEL033W	-188.0
YEL053C	25.0
YEL057C	-89.0
YER093C-A	-47.0
YER155C	9.0
YFR041C	-56.0
YGL003C	55.0
YGL039W	30.0
YGL070C	-81.0
YGL084C	-94.0
YGL127C	-105.0
YGL135W	-103.0
YGL151W	3.0
YGL168W	-94.0
YGL173C	-151.0
YGL212W	-38.0
YGL244W	-122.0
YGR036C	
YGR042W	-16.0
YGR057C	-94.0
YGR072W	-193.0
YGR101W	-29.5
YGR104C	-127.5
YGR229C	-105.5
YGR270W	-78.0
YGR281W	55.0
YHL011C	-173.0
YHL020C	-57.0
YHR041C	-107.0
YHR075C	80.0
YHR077C	-208.0
YHR081W	-83.0
YHR139C	-33.0
YHR167W	-69.0
YHR203C	30.0
YIL036W	-89.0
YIL042C	-76.0
YIL128W	70.0
YJL071W	-79.0
YJL129C	-52.0
YJL140W	-114.3
YJL206C	-7.8
YJR043C	-6.4
YJR055W	22.0
YJR080C	-28.7
YJR102C	-93.2
YJR105W	-104.7
YJR110W	12.6
YKL009W	-57.2
YKL139W	-85.1
YKL170W	-55.2
YKL204W	-78.6
YLL006W	-61.9
YLL026W	25.9
YLL027W	-83.7
YLR015W	-78.9
YLR025W	-108.1
YLR028C	-65.3
YLR057W	-34.2
YLR074C	-37.1
YLR090W	-57.6
YLR096W	
YLR148W	-122.1
YLR231C	-56.2
YLR233C	-293.3
YLR240W	-141.2
YLR242C	-88.1
YLR318W	-35.6
YLR322W	11.3
YLR325C	-0.7
YLR338W	-56.7
YLR357W	-127.0
YLR372W	-117.2
YLR390W-A	-101.0
YLR417W	-109.2
YLR418C	-144.2
YLR453C	295.0
YML024W	
YML034C-A	-36.0
YML060W	
YML062C	
YML097C	-89.3
YML121W	-94.3
YMR031W-A	-87.9
YMR070W	-80.0
YMR080C	-211.2
YMR091C	40.6
YMR106C	-227.0
YMR116C	84.6
YMR125W	48.8
YMR142C	-115.2
YMR143W	-6.0
YMR164C	-29.3
YMR167W	-39.0
YMR179W	-98.4
YMR186W	-71.5
YMR192W	-30.8
YMR225C	-102.9
YMR263W	-84.8
YMR269W	9.0
YMR284W	-222.2
YNL025C	84.6
YNL064C	-155.3
YNL072W	-2.0
YNL220W	-126.9
YNL229C	-99.5
YNL246W	-59.5
YNL250W	-233.2
YNL281W	-46.5
YOL001W	-82.5
YOL004W	-112.8
YOL020W	27.1
YOL068C	-100.2
YOL082W	-39.5
YOL115W	-94.4
YOL138C	-78.2
YOR003W	-36.8
YOR008C-A	-42.0
YOR144C	
YOR156C	27.6
YOR183W	22.4
YOR241W	
YOR279C	-117.3
YOR293W	6.7
YOR321W	-23.6
YOR322C	-112.0
YPL002C	-120.7
YPL031C	-117.0
YPL041C	-86.6
YPL065W	-115.4
YPL084W	-94.1
YPL105C	-9.1
YPL106C	-101.5
YPL144W	-96.5
YPL161C	-69.3
YPL189W	-14.6
YPL205C	-51.2
YPL213W	33.5
YPR030W	-24.7
YPR049C	-116.5
YPR051W	53.5
YPR133W-A	8.0
