orf	hap a | telomere length | YPD [standard] | Askree SH~McEachern MJ, 2004
YAL013W	-4.322892344100765
YAL016W	-0.9119657014315941
YAL044C	-3.4308038375565206
YAL053W	-2.013957385986249
YAL056W	-1.6728647217193322
YAR002W	-0.8070141124263888
YBL006C	3.1024325780175075
YBL088C	-12.482878389255475
YBR035C	-3.8768480908286427
YBR097W	-7.130347349990006
YBR132C	-4.244178652346862
YBR286W	-2.3550500502531664
YCL008C	-3.9293238853312453
YCL016C	-6.185783048943159
YCR020C-A	3.3648115505305207
YCR020W-B	8.35001202827777
YCR031C	5.201464358121613
YCR037C	4.414327440582573
YCR047C	-0.413445653656869
YCR065W	4.15194846806956
YCR086W	2.577674632991481
YDL006W	-4.401606035854669
YDL020C	-5.923404076430145
YDL047W	-5.083791364388503
YDL077C	-6.0545935626866525
YDL081C	-6.763016788471788
YDL118W	-7.917484267529045
YDL151C	1.9742029962115508
YDR083W	0.9771629006621008
YDR115W	-3.4308038375565206
YDR174W	1.3707313594316204
YDR295C	-5.975879870932748
YDR310C	-7.5501537060108275
YDR369C	-11.695741471716435
YDR418W	-5.661025103917132
YDR470C	-1.3580099547037163
YDR495C	-4.611509213865079
YDR532C	
YEL029C	-5.451121925906722
YEL033W	-9.754137075120138
YEL053C	1.423207153934223
YEL057C	-4.559033419362477
YER093C-A	-2.3550500502531664
YER155C	0.583594441892581
YFR041C	-2.82733220077659
YGL003C	2.997480989012302
YGL039W	1.6855861264472363
YGL070C	-4.139227063341656
YGL084C	-4.82141239187549
YGL127C	-5.398646131404119
YGL135W	-5.293694542398914
YGL151W	0.26873967487696515
YGL168W	-4.82141239187549
YGL173C	-7.812532678523841
YGL212W	-1.8827678997297428
YGL244W	-6.290734637948364
YGR036C	
YGR042W	-0.7283004206724848
YGR057C	-4.82141239187549
YGR072W	-10.01651604763315
YGR101W	-1.4367236464576203
YGR104C	-6.579351507712678
YGR229C	-5.424884028655421
YGR270W	-3.981799679833848
YGR281W	2.997480989012302
YHL011C	-8.967000157581099
YHL020C	-2.879807995279193
YHR041C	-5.503597720409324
YHR075C	4.309375851577368
YHR077C	-10.80365296517219
YHR081W	-4.244178652346862
YHR139C	-1.6203889272167296
YHR167W	-3.509517529310424
YHR203C	1.6855861264472363
YIL036W	-4.559033419362477
YIL042C	-3.8768480908286427
YIL128W	3.7846179065513414
YJL071W	-4.034275474336451
YJL129C	-2.6174290227661796
YJL140W	-5.886671020278324
YJL206C	-0.29799890575114324
YJR043C	-0.2245327934474996
YJR055W	1.265779770426415
YJR080C	-1.3947430108555383
YJR102C	-4.779431756273408
YJR105W	-5.382903393053338
YJR110W	0.7725073021019504
YKL009W	-2.8903031541797133
YKL139W	-4.354377820802326
YKL170W	-2.785351565174508
YKL204W	-4.013285156535409
YLL006W	-3.1369393883419456
YLL026W	1.4704353689865655
YLL027W	-4.280911708498683
YLR015W	-4.029027894886191
YLR025W	-5.561321094362187
YLR028C	-3.3153570896507945
YLR057W	-1.6833598806198529
YLR074C	-1.8355396846774004
YLR090W	-2.9112934719807546
YLR096W	
YLR148W	-6.295982217398624
YLR231C	-2.8378273596771106
YLR233C	-15.279838236244196
YLR240W	-7.298269892398334
YLR242C	-4.511805204310134
YLR318W	-1.7568259929234966
YLR322W	0.7042887692485671
YLR325C	0.07457923521733544
YLR338W	-2.864065256928412
YLR357W	-6.553113610461377
YLR372W	-6.038850824335872
YLR390W-A	-5.188742953393708
YLR417W	-5.6190444683150504
YLR418C	-7.455697275906142
YLR453C	15.591671669636934
YML024W	
YML034C-A	-1.7778163107245375
YML060W	
YML062C	
YML097C	-4.5747761577132575
YML121W	-4.837155130226271
YMR031W-A	-4.501310045409614
YMR070W	-4.086751268839054
YMR080C	-10.971575507580518
YMR091C	2.2418295481748243
YMR106C	-11.80069306072164
YMR116C	4.550764506289339
YMR125W	2.6721310630961654
YMR142C	-5.933899235330666
YMR143W	-0.20354247564645853
YMR164C	-1.4262284875570999
YMR167W	-1.9352436942323454
YMR179W	-5.052305887686942
YMR186W	-3.6407070155669308
YMR192W	-1.5049421793110038
YMR225C	-5.288446962948654
YMR263W	-4.338635082451546
YMR269W	0.583594441892581
YMR284W	-11.548809247109148
YNL025C	4.550764506289339
YNL064C	-8.038178594885032
YNL072W	0.006360702363952015
YNL220W	-6.547866031011117
YNL229C	-5.110029261639805
YNL246W	-3.0109974815356995
YNL250W	-12.126042986637776
YNL281W	-2.328812153001865
YOL001W	-4.21794075509556
YOL004W	-5.807957328524419
YOL020W	1.5334063223896888
YOL068C	-5.146762317791627
YOL082W	-1.9614815914836468
YOL115W	-4.842402709676532
YOL138C	-3.992294838734369
YOR003W	-1.8197969463266195
YOR008C-A	-2.092671077740153
YOR144C	
YOR156C	1.55964421964099
YOR183W	1.2867700882274562
YOR241W	
YOR279C	-6.044098403786132
YOR293W	0.4629001145365949
YOR321W	-1.1271164588922649
YOR322C	-5.7659766929223375
YPL002C	-6.22251610509498
YPL031C	-6.028355665435351
YPL041C	-4.4330915125562305
YPL065W	-5.944394394231187
YPL084W	-4.82665997132575
YPL105C	-0.36621743860452666
YPL106C	-5.21498085064501
YPL144W	-4.952601878131997
YPL161C	-3.525260267661205
YPL189W	-0.6548343083688412
YPL205C	-2.575448387164098
YPL213W	1.8692514072063455
YPR030W	-1.1848398328451277
YPR049C	-6.00211776818405
YPR051W	2.9187672972583982
YPR133W-A	0.5311186473899784
