ORF	hap alpha | chronological lifespan | nonrestricted diet medium (glutamine [25 mM], minimal complete [standard]) | Campos SE~DeLuna A, 2018	hap alpha | chronological lifespan | dietary-restricted medium (gamma-aminobutyric acid [25 mM], minimal complete [standard]) | Campos SE~DeLuna A, 2018
YEL012W	-0.027	-0.034
YEL014C	0.007	0.000
YEL016C	0.000	0.006
YEL017C-A	0.010	-0.001
YEL037C	-0.002	-0.004
YEL047C	0.000	-0.006
YEL048C	0.014	0.007
YEL049W	0.013	0.011
YEL063C	-0.009	0.015
YEL065W	0.001	0.002
YEL066W	0.002	0.012
YEL067C	0.000	-0.007
YEL068C	-0.029	0.004
YEL071W	-0.002	-0.004
YER001W	-0.006	-0.002
YER002W	0.005	-0.006
YER004W	0.000	-0.006
YER005W	0.005	-0.009
YER007C-A	0.002	-0.002
YER007W	0.005	0.003
YER010C	0.005	0.005
YER011W	0.001	0.007
YER016W	0.001	0.004
YER017C	-0.008	-0.011
YER019C-A	-0.001	0.003
YER020W	-0.010	-0.002
YER024W	-0.003	-0.004
YER027C	-0.017	-0.015
YER028C	0.005	0.004
YER030W	0.013	-0.008
YER031C	0.006	0.010
YER032W	0.006	-0.002
YER033C	0.005	0.010
YER034W	0.003	0.004
YER038W-A	0.003	0.008
YER039C	0.003	0.004
YER039C-A	0.009	0.002
YER041W	-0.005	-0.003
YER042W	-0.009	-0.005
YER044C-A	-0.002	-0.010
YER045C	0.004	-0.004
YER046W	-0.000	-0.000
YER046W-A	0.002	-0.007
YER047C	-0.004	-0.003
YER053C	0.002	0.003
YER054C	-0.029	-0.019
YER056C	-0.004	-0.003
YER057C	-0.002	0.001
YER058W	0.000	-0.018
YER059W	-0.013	-0.007
YER060W	-0.003	0.002
YER060W-A	0.005	0.013
YER062C	-0.008	0.002
YER063W	0.006	0.006
YER064C	0.005	0.008
YER066C-A	-0.000	-0.002
YER066W	0.003	0.005
YER067C-A	-0.000	-0.003
YER067W	-0.000	-0.005
YER070W	-0.008	-0.004
YER071C	-0.005	-0.001
YER072W	-0.001	0.001
YER074W	0.038	0.038
YER075C	0.002	-0.005
YER077C	0.005	0.008
YER078C	-0.002	0.003
YER079W	-0.010	-0.004
YER080W	0.002	-0.009
YER081W	-0.027	-0.025
YER084W	-0.014	-0.006
YER085C	-0.002	-0.001
YER087C-B	-0.001	-0.008
YER088C	0.014	0.007
YER090W	-0.002	-0.000
YER091C	-0.014	-0.012
YER091C-A	-0.008	-0.008
YER092W	-0.012	-0.023
YER093C-A	-0.021	-0.019
YER096W	0.000	-0.005
YER097W	0.001	-0.002
YER098W	-0.003	-0.001
YER106W	-0.007	-0.004
YER108C	-0.007	-0.001
YER109C	0.009	0.006
YER114C	-0.052	-0.033
YER118C	0.000	-0.001
YER119C	-0.008	-0.007
YER119C-A	-0.012	-0.003
YER122C	0.010	0.004
YER129W	0.002	0.002
YER134C	-0.006	-0.009
YER135C	-0.001	-0.004
YER137C	-0.010	-0.011
YER139C	0.004	0.004
YER152C	-0.007	-0.006
YER153C	-0.001	-0.001
YER154W	-0.020	-0.016
YER167W	-0.011	-0.011
YER169W	-0.000	-0.003
YER170W	-0.001	-0.002
YER173W	0.005	0.002
YER174C	0.001	-0.003
YER175C	-0.009	-0.002
YER176W	0.007	0.006
YER177W	0.025	0.006
YER178W	-0.031	0.015
YER179W	-0.007	-0.002
YER180C	-0.010	0.000
YER181C	0.000	0.001
YER182W	0.000	-0.003
YER183C	0.004	-0.002
YER184C	0.004	0.002
YER185W	-0.000	-0.012
YER186C	-0.008	-0.006
YER187W	0.006	-0.000
YER188W	-0.001	-0.001
YFL003C	-0.001	-0.001
YFL004W	0.008	0.006
YFL007W	-0.003	0.003
YFL010C	0.013	0.002
YFL010W-A	0.005	0.002
YFL011W	-0.003	-0.003
YFL012W	0.000	0.001
YFL013C	-0.011	-0.003
YFL012W-A	0.006	-0.002
YFL014W	0.004	0.007
YFL015C	-0.003	0.003
YFL018C	0.005	0.003
YFL019C	-0.002	-0.001
YFL020C	-0.004	0.000
YFL021W	-0.005	-0.012
YFL023W	0.021	0.005
YFL025C	-0.007	-0.016
YFL027C	-0.008	-0.001
YFL028C	-0.012	-0.021
YFL030W	-0.001	0.004
YFL031W	0.006	0.003
YFL032W	-0.000	0.005
YFL033C	-0.037	-0.020
YFL034C-A	0.001	0.001
YFL034W	0.012	0.004
YFL036W	-0.023	-0.015
YFL040W	-0.000	-0.001
YFL041W	-0.003	-0.001
YFL042C	0.016	-0.004
YFL044C	-0.003	-0.011
YFL046W	0.009	-0.001
YFL047W	0.002	-0.004
YFL048C	0.007	0.006
YFL049W	0.005	0.011
YFL050C	0.003	0.003
YFL051C	0.000	0.005
YFL052W	0.004	0.000
YFL053W	0.011	0.005
YFL054C	0.001	-0.002
YFL055W	0.004	-0.004
YFL056C	-0.011	-0.013
YFR001W	0.024	0.026
YFR006W	0.000	-0.010
YFR007W	-0.004	0.001
YFR008W	0.001	-0.023
YFR009W	0.010	0.005
YFR010W	0.006	0.011
YFR011C	-0.005	-0.005
YFR013W	0.001	0.008
YFR014C	-0.001	0.004
YFR015C	-0.008	-0.002
YFR016C	0.005	0.003
YFR017C	-0.018	-0.013
YFR018C	-0.007	-0.012
YFR019W	-0.007	0.002
YFR020W	0.004	-0.006
YFR021W	0.002	-0.023
YFR022W	-0.001	-0.003
YFR023W	-0.000	-0.006
YFR024C-A	-0.002	0.001
YFR026C	-0.000	-0.005
YFR030W	-0.009	-0.000
YFR032C	-0.003	-0.003
YFR032C-A	-0.002	-0.003
YFR033C	-0.018	-0.004
YFR034C	-0.007	-0.001
YFR035C	-0.012	0.003
YFR036W	-0.001	0.002
YFR038W	-0.006	-0.002
YFR040W	-0.008	0.005
YFR041C	-0.010	-0.003
YFR043C	0.004	-0.008
YFR044C	0.009	0.006
YFR045W	-0.003	0.000
YFR046C	0.007	0.004
YFR047C	-0.015	0.000
YFR048W	-0.012	-0.012
YFR049W	0.002	-0.003
YFR053C	-0.003	0.000
YFR054C	-0.005	-0.003
YFR055W	-0.006	0.016
YFR056C	-0.001	-0.011
YFR057W	-0.012	-0.009
YGL002W	0.003	0.004
YGL003C	-0.004	-0.013
YGL004C	-0.005	0.010
YGL005C	-0.001	-0.003
YGL006W	-0.011	-0.006
YGL007W	-0.007	-0.008
YGL010W	0.003	-0.006
YGL012W	0.005	0.001
YGL013C	0.000	-0.001
YGL015C	0.001	-0.004
YGL016W	0.008	-0.005
YGL017W	0.004	0.006
YGL019W	-0.020	-0.018
YGL020C	-0.009	-0.001
YGL021W	0.006	0.000
YGL023C	0.015	0.010
YGL026C	-0.001	0.006
YGL027C	-0.010	0.000
YGL029W	0.001	-0.005
YGL031C	0.006	-0.006
YGL032C	-0.009	-0.006
YGL034C	0.010	0.010
YGL035C	0.007	0.027
YGL036W	-0.001	-0.001
YGL037C	-0.026	-0.027
YGL038C	0.000	-0.005
YGL039W	0.000	0.003
YGL041C	0.000	0.005
YGL045W	0.008	0.010
YGL049C	-0.004	-0.004
YGL050W	-0.007	-0.010
YGL051W	-0.002	-0.000
YGL053W	0.000	-0.002
YGL054C	-0.018	-0.018
YGL056C	-0.012	0.001
YGL057C	-0.003	-0.002
YGL058W	-0.042	-0.025
YGL059W	-0.005	-0.000
YGL060W	-0.003	0.000
YGL062W	0.005	-0.003
YGL063W	0.001	0.001
YGL064C	0.008	-0.005
YGL066W	-0.022	-0.040
YGL067W	-0.001	-0.006
YGL070C	-0.001	-0.002
YGL072C	-0.005	-0.002
YGL077C	0.002	-0.005
YGL078C	0.010	0.001
YGL079W	0.000	-0.007
YGL080W	-0.011	-0.010
YGL081W	0.002	0.005
YGL082W	0.005	0.009
YGL083W	-0.004	-0.007
YGL084C	0.008	-0.004
YGL085W	-0.000	-0.003
YGL086W	-0.002	-0.012
YGL087C	-0.005	0.003
YGL088W	0.002	0.003
YGL089C	-0.003	-0.001
YGL090W	-0.003	0.000
YGL094C	-0.000	0.002
YGL095C	-0.001	0.011
YGL096W	0.010	0.010
YGL109W	-0.015	-0.022
YGL110C	-0.001	-0.008
YGL114W	-0.001	-0.005
YGL115W	-0.003	-0.008
YGL131C	-0.000	0.000
YGL140C	-0.003	-0.009
YGL141W	0.003	0.005
YGL156W	-0.005	-0.001
YGL158W	-0.009	-0.002
YGL168W	-0.011	-0.012
YGL170C	-0.012	-0.003
YGL194C	-0.004	0.005
YGL195W	0.013	0.009
YGL196W	0.005	0.007
YGL199C	0.005	0.001
YGL202W	0.005	0.014
YGL203C	-0.005	-0.002
YGL205W	0.002	-0.002
YGL206C	-0.021	-0.014
YGL208W	-0.006	-0.001
YGL209W	-0.000	-0.004
YGL210W	-0.011	-0.011
YGL211W	0.014	0.010
YGL212W	-0.029	-0.034
YGL213C	-0.005	0.006
YGL214W	-0.008	-0.002
YGL215W	-0.013	0.000
YGL216W	-0.000	-0.007
YGL217C	-0.002	-0.007
YGL220W	0.004	-0.002
YGL221C	0.002	-0.001
YGL222C	0.003	0.004
YGL224C	0.002	-0.006
YGL226C-A	0.004	0.000
YGL226W	0.004	-0.001
YGL228W	-0.003	0.004
YGL229C	0.004	0.001
YGL230C	0.002	-0.000
YGL231C	-0.005	0.001
YGL232W	-0.016	-0.020
YGL235W	-0.018	-0.009
YGL236C	-0.013	-0.008
YGL237C	-0.029	-0.022
YGL240W	-0.018	-0.039
YGL241W	-0.010	-0.012
YGL242C	0.000	-0.000
YGL243W	0.003	-0.002
YGL244W	-0.005	-0.010
YGL248W	0.001	-0.002
YGL249W	-0.002	-0.004
YGL250W	-0.002	0.002
YGL251C	0.000	0.004
YGL253W	0.009	-0.008
YGL254W	-0.002	-0.004
YGL255W	-0.003	0.006
YGL256W	0.008	0.005
YGL257C	0.005	-0.005
YGL258W	0.006	0.003
YGL259W	0.002	0.000
YGL260W	0.003	-0.000
YGL261C	-0.000	-0.000
YGL262W	-0.001	-0.001
YGL263W	0.000	-0.005
YGR001C	-0.002	-0.007
YGR003W	0.002	-0.004
YGR004W	-0.009	-0.006
YGR007W	0.002	-0.004
YGR008C	0.015	0.007
YGR010W	0.004	0.007
YGR011W	0.001	0.004
YGR012W	0.006	0.001
YGR014W	-0.009	0.004
YGR015C	-0.012	0.006
YGR016W	-0.006	-0.005
YGR017W	-0.000	-0.003
YGR018C	-0.006	-0.002
YGR021W	-0.001	-0.000
YGR022C	0.005	0.008
YGR025W	0.007	0.002
YGR026W	0.003	0.000
YGR028W	0.000	-0.000
YGR031W	-0.001	-0.006
YGR032W	0.002	-0.003
YGR033C	-0.005	-0.005
YGR034W	0.002	-0.004
YGR035C	0.000	-0.000
YGR038W	-0.010	-0.008
YGR040W	-0.002	0.004
YGR041W	-0.004	0.004
YGR042W	-0.004	-0.011
YGR043C	0.002	-0.009
YGR044C	0.001	-0.001
YGR049W	-0.002	-0.003
YGR050C	-0.003	0.002
YGR051C	0.005	0.007
YGR052W	0.009	0.016
YGR053C	-0.012	-0.009
YGR058W	-0.051	0.002
YGR059W	0.003	0.001
YGR062C	0.005	-0.012
YGR066C	-0.007	0.003
YGR067C	0.001	0.008
YGR068C	0.005	-0.009
YGR070W	0.007	-0.004
YGR072W	-0.001	-0.006
YGR076C	-0.001	-0.014
YGR077C	-0.014	-0.012
YGR078C	-0.031	0.007
YGR079W	-0.001	0.001
YGR080W	-0.007	0.002
YGR081C	0.022	-0.013
YGR084C	-0.009	-0.000
YGR085C	0.009	-0.008
YGR086C	-0.003	-0.004
YGR087C	0.000	0.002
YGR088W	0.004	-0.003
YGR089W	0.010	0.002
YGR096W	-0.014	0.003
YGR106C	0.002	0.006
YGR107W	-0.004	0.002
YGR108W	-0.005	0.004
YGR109C	0.002	0.001
YGR110W	-0.003	0.003
YGR111W	0.004	0.006
YGR112W	-0.021	-0.010
YGR117C	0.001	-0.001
YGR121C	-0.008	-0.002
YGR122C-A	0.007	-0.001
YGR122W	0.007	0.010
YGR123C	-0.003	-0.000
YGR125W	0.004	-0.003
YGR126W	-0.002	0.002
YGR127W	-0.007	-0.007
YGR129W	0.004	0.000
YGR130C	-0.000	0.004
YGR131W	-0.001	-0.005
YGR132C	-0.008	-0.009
YGR133W	-0.006	-0.006
YGR134W	0.005	0.010
YGR135W	-0.028	-0.013
YGR136W	0.012	0.003
YGR141W	-0.008	-0.014
YGR142W	-0.012	-0.005
YGR143W	-0.005	-0.006
YGR144W	-0.000	-0.006
YGR146C	0.001	0.001
YGR148C	0.009	0.005
YGR149W	0.004	0.005
YGR150C	-0.008	-0.002
YGR151C	0.001	-0.002
YGR152C	-0.029	0.003
YGR153W	0.003	0.004
YGR154C	-0.001	0.004
YGR161C	-0.004	0.001
YGR162W	0.013	0.014
YGR163W	-0.004	0.004
YGR164W	-0.007	-0.006
YGR166W	0.000	-0.017
YGR168C	-0.001	0.001
YGR169C	0.007	0.009
YGR170W	-0.007	-0.008
YGR171C	-0.030	-0.016
YGR173W	-0.003	0.006
YGR174C	0.001	0.004
YGR176W	0.002	-0.001
YGR177C	-0.000	-0.003
YGR178C	-0.009	-0.008
YGR181W	-0.004	-0.001
YGR183C	-0.019	-0.015
YGR184C	-0.018	-0.008
YGR187C	0.001	0.009
YGR189C	-0.003	-0.002
YGR192C	-0.002	0.004
YGR193C	-0.013	0.015
YGR194C	-0.007	0.001
YGR196C	-0.007	-0.007
YGR197C	-0.006	-0.005
YGR199W	-0.008	-0.007
YGR203W	-0.003	-0.001
YGR205W	0.015	0.011
YGR206W	0.010	-0.000
YGR207C	-0.000	-0.004
YGR210C	-0.001	0.007
YGR212W	-0.006	-0.001
YGR214W	0.001	0.004
YGR219W	0.002	-0.008
YGR221C	0.002	-0.006
YGR223C	-0.011	-0.013
YGR224W	-0.004	0.002
YGR225W	0.000	-0.007
YGR226C	0.004	0.004
YGR227W	0.000	0.009
YGR228W	0.002	0.003
YGR230W	0.003	0.000
YGR231C	-0.009	-0.002
YGR232W	-0.000	-0.009
YGR233C	-0.010	-0.004
YGR234W	-0.001	-0.009
YGR235C	0.002	-0.003
YGR236C	0.001	0.003
YGR237C	-0.034	0.001
YGR238C	-0.011	-0.006
YGR239C	0.003	-0.011
YGR241C	-0.000	0.005
YGR242W	0.001	-0.004
YGR243W	0.000	-0.007
YGR244C	-0.022	-0.006
YGR247W	-0.005	-0.008
YGR248W	-0.010	0.003
YGR249W	0.003	-0.004
YGR250C	0.001	-0.003
YGR256W	0.007	-0.003
YGR257C	-0.002	0.005
YGR258C	-0.007	0.004
YGR259C	-0.006	0.007
YGR260W	-0.008	-0.003
YGR261C	-0.014	-0.009
YGR263C	0.004	-0.000
YGR266W	0.000	0.001
YGR268C	-0.003	0.000
YGR269W	-0.006	0.001
YGR270W	-0.017	-0.006
YGR271W	0.005	-0.005
YGR273C	0.006	0.003
YGR276C	0.004	-0.005
YGR279C	0.008	0.005
YGR281W	-0.011	-0.010
YGR282C	0.012	0.021
YGR283C	-0.002	-0.001
YGR284C	-0.015	-0.008
YGR285C	0.001	-0.001
YGR286C	-0.003	-0.006
YGR287C	0.004	-0.000
YGR288W	-0.002	-0.006
YGR289C	-0.007	-0.004
YGR290W	0.001	0.001
YGR291C	0.010	0.004
YGR292W	-0.007	-0.009
YGR295C	0.002	0.002
YHL002W	-0.001	-0.006
YHL005C	-0.018	-0.002
YHL006C	0.036	0.044
YHL008C	-0.004	0.002
YHL009C	-0.007	-0.010
YHL010C	-0.007	-0.001
YHL012W	-0.002	-0.001
YHL013C	0.009	0.010
YHL014C	0.002	0.003
YHL019C	0.006	-0.006
YHL020C	-0.019	-0.013
YHL021C	0.004	0.008
YHL022C	0.005	0.003
YHL024W	0.006	0.000
YHL025W	-0.014	-0.037
YHL026C	0.005	0.010
YHL027W	-0.011	0.023
YHL028W	0.004	-0.001
YHL029C	0.011	0.005
YHL030W	-0.009	-0.002
YHL031C	0.015	0.020
YHL032C	0.008	0.010
YHL035C	-0.006	-0.008
YHL036W	0.004	0.000
YHL037C	-0.007	-0.001
YHL038C	0.001	-0.002
YHL039W	-0.011	-0.000
YHL040C	0.002	-0.005
YHL041W	-0.005	0.000
YHL042W	-0.006	0.004
YHL043W	0.008	0.007
YHL045W	0.006	0.007
YHR001W-A	-0.009	0.003
YHR003C	0.011	-0.000
YHR004C	-0.022	-0.030
YHR006W	0.013	0.008
YHR008C	0.001	0.001
YHR009C	0.011	0.005
YHR012W	-0.012	-0.001
YHR015W	-0.008	-0.009
YHR016C	0.010	0.002
YHR017W	-0.001	-0.006
YHR021C	-0.012	-0.008
YHR021W-A	0.004	0.001
YHR022C	-0.001	0.001
YHR028C	0.013	0.013
YHR029C	-0.001	0.004
YHR031C	-0.014	-0.019
YHR032W	0.003	-0.007
YHR033W	-0.003	0.001
YHR035W	0.012	0.000
YHR037W	0.000	0.002
YHR038W	-0.005	0.002
YHR039C	-0.001	0.003
YHR043C	0.002	-0.004
YHR044C	-0.005	-0.005
YHR045W	0.004	-0.000
YHR046C	-0.002	0.001
YHR048W	-0.003	-0.000
YHR049C-A	-0.013	-0.011
YHR050W	0.004	0.004
YHR051W	-0.010	-0.009
YHR057C	0.009	-0.000
YHR061C	-0.002	0.000
YHR066W	-0.007	0.022
YHR073W	0.006	-0.005
YHR075C	-0.007	-0.005
YHR077C	-0.003	-0.008
YHR078W	-0.003	0.001
YHR079C	-0.010	-0.006
YHR080C	0.003	0.007
YHR081W	0.052	0.042
YHR082C	-0.006	0.005
YHR087W	0.005	0.008
YHR092C	0.001	-0.003
YHR093W	0.000	-0.008
YHR095W	-0.005	-0.004
YHR096C	-0.002	0.002
YHR097C	-0.010	-0.009
YHR100C	0.005	0.028
YHR103W	0.007	0.010
YHR104W	0.004	0.001
YHR105W	0.005	0.010
YHR106W	0.013	0.010
YHR108W	0.003	-0.000
YHR109W	-0.000	-0.002
YHR110W	-0.018	-0.005
YHR111W	0.010	0.017
YHR112C	-0.002	-0.008
YHR113W	0.005	0.002
YHR114W	-0.002	-0.001
YHR115C	0.007	-0.009
YHR116W	0.006	0.000
YHR117W	-0.004	-0.007
YHR121W	0.019	0.010
YHR123W	0.013	0.001
YHR124W	-0.003	-0.003
YHR125W	-0.002	-0.005
YHR127W	-0.006	-0.005
YHR129C	-0.014	-0.015
YHR130C	0.003	0.004
YHR131C	0.006	-0.003
YHR132W-A	-0.008	-0.001
YHR133C	-0.002	-0.010
YHR134W	-0.047	-0.009
YHR135C	-0.015	-0.007
YHR136C	-0.001	0.002
YHR137W	0.005	0.004
YHR138C	0.000	-0.002
YHR139C	-0.000	-0.005
YHR139C-A	-0.009	0.000
YHR140W	-0.009	-0.006
YHR142W	-0.013	-0.010
YHR143W	-0.017	-0.003
YHR146W	-0.004	0.004
YHR150W	0.002	0.008
YHR151C	-0.009	-0.010
YHR152W	-0.005	-0.001
YHR153C	-0.005	0.003
YHR154W	-0.004	-0.004
YHR155W	0.003	0.006
YHR156C	-0.000	0.004
YHR157W	-0.001	0.003
YHR158C	-0.009	-0.013
YHR159W	-0.003	-0.010
YHR161C	0.008	0.017
YHR162W	-0.000	-0.004
YHR163W	-0.003	-0.004
YHR167W	0.016	0.013
YHR168W	-0.034	-0.027
YHR171W	-0.000	0.001
YHR176W	0.001	-0.001
YHR178W	0.001	0.015
YHR179W	-0.012	-0.002
YHR180W	-0.007	-0.003
YHR181W	0.003	-0.003
YHR182W	-0.011	-0.002
YHR184W	-0.005	-0.001
YHR185C	0.005	0.007
YHR191C	0.012	-0.003
YHR193C	-0.002	0.006
YHR194W	-0.004	-0.010
YHR195W	-0.002	-0.004
YHR198C	-0.002	-0.014
YHR199C	0.002	0.008
YHR200W	-0.005	-0.004
YHR202W	0.005	0.007
YHR203C	0.017	0.012
YHR204W	0.003	0.002
YHR206W	-0.004	-0.002
YHR207C	0.001	0.010
YHR209W	0.004	0.005
YHR210C	0.005	0.002
YIL001W	0.007	0.003
YIL002C	0.000	-0.003
YIL005W	0.006	0.003
YIL006W	0.003	0.009
YIL007C	-0.007	0.010
YIL008W	0.016	0.016
YIL009C-A	-0.005	-0.001
YIL009W	0.003	0.005
YIL010W	-0.001	-0.002
YIL011W	-0.012	0.006
YIL012W	0.000	-0.006
YIL013C	0.000	-0.008
YIL014W	0.001	0.005
YIL014C-A	0.003	-0.008
YIL015W	-0.000	0.001
YIL016W	-0.005	0.000
YIL018W	-0.018	0.007
YIL023C	0.001	0.006
YIL024C	0.003	0.003
YIL025C	-0.005	-0.003
YIL027C	-0.008	-0.000
YIL028W	0.008	0.006
YIL029C	0.009	0.008
YIL030C	-0.000	0.007
YIL032C	-0.004	0.006
YIL034C	0.003	-0.005
YIL035C	-0.015	-0.005
YIL036W	-0.009	-0.007
YIL037C	-0.002	-0.001
YIL038C	0.011	0.010
YIL039W	-0.003	-0.002
YIL042C	0.006	0.014
YIL043C	0.009	0.005
YIL044C	-0.001	0.006
YIL045W	-0.019	-0.017
YIL047C	-0.001	-0.004
YIL050W	0.004	0.005
YIL052C	-0.019	-0.003
YIL053W	-0.001	-0.006
YIL054W	-0.002	0.010
YIL056W	-0.006	-0.004
YIL057C	-0.011	-0.000
YIL058W	-0.001	0.002
YIL059C	-0.009	-0.004
YIL060W	-0.001	-0.002
YIL065C	0.031	-0.002
YIL066C	-0.005	0.002
YIL067C	0.002	0.002
YIL070C	0.003	0.007
YIL071C	0.008	0.002
YIL072W	0.025	0.013
YIL073C	-0.006	0.012
YIL074C	-0.005	-0.006
YIL077C	0.014	0.026
YIL079C	0.007	0.012
YIL084C	-0.006	-0.002
YIL085C	-0.012	0.001
YIL086C	0.005	-0.000
YIL087C	-0.002	-0.006
YIL088C	0.000	0.006
YIL089W	0.006	0.002
YIL090W	-0.040	-0.035
YIL092W	0.019	0.024
YIL095W	-0.004	-0.002
YIL096C	-0.002	0.001
YIL098C	0.002	0.004
YIL099W	-0.003	-0.015
YIL100W	-0.006	-0.010
YIL101C	-0.002	0.007
YIL103W	0.007	-0.006
YIL105C	-0.005	0.001
YIL107C	0.007	0.002
YIL108W	-0.007	-0.005
YIL111W	-0.004	0.001
YIL112W	0.006	0.002
YIL113W	0.006	0.002
YIL114C	0.003	0.003
YIL117C	0.004	0.000
YIL119C	0.001	0.008
YIL120W	0.003	0.004
YIL122W	-0.005	-0.012
YIL123W	-0.009	-0.021
YIL124W	-0.014	-0.017
YIL125W	0.004	-0.008
YIL130W	0.006	0.006
YIL131C	-0.002	-0.001
YIL132C	0.022	0.009
YIL133C	0.027	0.006
YIL134W	-0.005	-0.002
YIL135C	-0.018	-0.014
YIL136W	-0.002	0.005
YIL137C	0.006	0.003
YIL138C	0.001	-0.006
YIL139C	-0.005	-0.001
YIL140W	0.007	-0.010
YIL141W	0.001	-0.010
YIL145C	-0.004	-0.001
YIL146C	-0.006	-0.003
YIL148W	0.018	0.033
YIL149C	0.007	0.003
YIL152W	0.052	0.036
YIL153W	0.016	0.006
YIL155C	-0.002	-0.007
YIL156W	-0.004	-0.010
YIL157C	-0.006	0.001
YIL158W	0.007	0.010
YIL159W	-0.009	-0.008
YIL160C	-0.004	0.009
YIL162W	0.006	0.001
YIL163C	-0.001	0.017
YIL164C	0.003	0.013
YIL165C	0.006	0.001
YIL166C	0.001	0.005
YIL167W	-0.004	-0.007
YIL168W	-0.007	-0.010
YIL170W	0.001	-0.004
YIL173W	-0.006	-0.004
YIR001C	-0.008	0.002
YIR002C	-0.017	-0.007
YIR003W	-0.007	-0.009
YIR004W	0.004	0.006
YIR005W	0.010	0.001
YIR007W	0.003	0.001
YIR013C	-0.002	0.000
YIR014W	-0.009	0.004
YIR016W	-0.006	0.013
YIR017C	0.002	0.012
YIR018W	-0.006	-0.003
YIR019C	-0.008	0.002
YIR020C	-0.001	-0.008
YIR020W-A	-0.002	0.003
YIR023W	0.008	0.021
YIR024C	-0.023	-0.013
YIR025W	-0.000	-0.000
YIR026C	0.012	0.005
YIR029W	0.001	0.005
YIR030C	0.001	0.001
YIR031C	0.004	0.009
YIR032C	-0.000	-0.006
YIR035C	-0.005	0.002
YIR036C	0.002	-0.003
YIR037W	-0.007	-0.013
YIR038C	0.000	-0.002
YIR039C	0.001	-0.002
YIR042C	0.008	0.004
YIR043C	0.005	-0.002
YIR044C	0.002	0.002
YJL004C	0.001	-0.006
YJL006C	0.005	0.001
YJL012C	-0.005	0.001
YJL013C	-0.002	-0.004
YJL016W	0.004	0.008
YJL020C	-0.006	-0.008
YJL022W	0.001	0.000
YJL023C	-0.019	-0.016
YJL024C	-0.009	0.003
YJL027C	-0.009	-0.001
YJL028W	-0.046	-0.043
YJL029C	-0.005	0.002
YJL030W	0.006	0.004
YJL037W	0.002	-0.011
YJL038C	-0.006	-0.006
YJL042W	-0.018	-0.001
YJL045W	-0.005	0.005
YJL047C	0.008	0.010
YJL048C	0.008	0.009
YJL049W	0.002	0.004
YJL051W	-0.024	-0.017
YJL052W	0.012	0.001
YJL053W	-0.000	-0.011
YJL055W	-0.006	-0.003
YJL058C	-0.005	0.003
YJL059W	-0.007	-0.002
YJL060W	0.000	-0.004
YJL062W	0.011	0.017
YJL063C	-0.035	-0.035
YJL064W	0.011	0.007
YJL065C	-0.006	0.008
YJL066C	-0.003	0.002
YJL067W	0.003	-0.001
YJL068C	0.001	-0.003
YJL070C	-0.011	-0.009
YJL073W	-0.001	-0.001
YJL075C	0.003	0.002
YJL077C	0.001	-0.006
YJL078C	-0.008	-0.005
YJL079C	0.001	-0.007
YJL082W	0.006	-0.004
YJL083W	-0.000	-0.001
YJL084C	0.002	0.000
YJL089W	-0.003	0.001
YJL092W	-0.001	-0.012
YJL093C	-0.016	-0.012
YJL094C	0.010	0.003
YJL096W	-0.035	-0.027
YJL098W	0.006	-0.003
YJL099W	-0.008	0.001
YJL100W	-0.001	-0.003
YJL105W	0.021	0.030
YJL106W	-0.022	0.006
YJL107C	0.004	0.002
YJL108C	0.007	0.003
YJL110C	0.007	0.010
YJL112W	0.006	-0.006
YJL116C	-0.008	0.002
YJL117W	-0.000	0.002
YJL118W	0.003	0.004
YJL119C	0.001	0.003
YJL120W	-0.036	-0.029
YJL121C	-0.016	-0.038
YJL122W	-0.002	0.003
YJL123C	-0.001	-0.002
YJL126W	0.001	-0.001
YJL128C	0.009	0.013
YJL129C	-0.004	-0.009
YJL131C	-0.003	-0.002
YJL132W	-0.001	0.001
YJL133W	-0.002	0.005
YJL134W	0.006	0.004
YJL135W	0.005	0.005
YJL136C	-0.004	0.004
YJL137C	-0.002	-0.006
YJL138C	-0.006	-0.008
YJL139C	0.005	0.008
YJL141C	0.052	0.043
YJL142C	-0.002	-0.005
YJL144W	0.003	0.006
YJL145W	0.001	0.002
YJL146W	0.004	0.001
YJL147C	-0.007	-0.010
YJL148W	0.014	0.005
YJL149W	0.022	0.017
YJL150W	0.017	0.014
YJL151C	0.001	-0.001
YJL152W	-0.002	0.003
YJL154C	-0.035	0.014
YJL155C	-0.011	0.004
YJL157C	0.004	-0.002
YJL158C	0.008	0.001
YJL159W	0.001	0.010
YJL160C	0.004	0.000
YJL161W	-0.003	-0.001
YJL162C	-0.006	0.000
YJL163C	-0.006	0.003
YJL164C	-0.001	0.008
YJL165C	-0.017	0.015
YJL166W	0.002	0.011
YJL168C	0.008	-0.010
YJL169W	0.006	-0.009
YJL170C	-0.009	-0.008
YJL171C	-0.006	-0.004
YJL172W	-0.006	0.001
YJL175W	-0.024	-0.033
YJL177W	0.001	0.015
YJL178C	-0.009	-0.017
YJL181W	-0.002	-0.002
YJL182C	-0.010	0.002
YJL183W	-0.002	0.005
YJL184W	0.021	0.006
YJL185C	0.002	0.003
YJL186W	-0.001	-0.004
YJL187C	0.009	0.003
YJL190C	-0.007	0.003
YJL191W	0.011	0.001
YJL192C	-0.002	-0.001
YJL193W	-0.001	0.002
YJL196C	0.004	0.005
YJL197W	0.005	-0.000
