orf	hom | growth (culture turbidity) | Chloroquine diphosphate [2.9 mM] | YPD | Islahudin F~Avery SV, 2013
YAL002W	0.9953448396066946
YAL004W	1.2755385682615907
YAL005C	0.8710492983874668
YAL007C	1.3229604167155498
YAL008W	1.1959899582755589
YAL009W	0.8805000166201303
YAL011W	0.9477771868398115
YAL012W	0.9260802461006843
YAL014C	1.0350529313078727
YAL015C	0.9566842470711637
YAL016C-B	1.2433611529314552
YAL017W	0.8365096249021259
YAL018C	0.7513084221878547
YAL019W	0.5780528760472243
YAL021C	0.9823700466004425
YAL022C	0.8543664544830031
YAL023C	0.5292163209164212
YAL024C	0.8362132176635656
YAL026C	0.8196730159138642
YAL027W	1.0683461273273092
YAL028W	1.1147774691135184
YAL029C	1.1249533368480913
YAL030W	1.438439037362053
YAL031C	1.1391967643676482
YAL036C	1.0459127759845326
YAL037C-A	1.0022729363529042
YAL037W	0.9221881573970145
YAL039C	1.0243788547969725
YAL040C	1.156370845666869
YAL042W	0.8883496579946522
YAL043C-A	0.9794199864004413
YAL044C	1.0898977925966213
YAL045C	1.3256139332881711
YAL046C	1.157316626633381
YAL048C	0.985424068993399
YAL049C	1.1615937596950763
YAL053W	1.3721839938160476
YAL054C	1.0258292862921858
YAL055W	0.9961884501174489
YAL056W	0.9900634069038318
YAL058C-A	1.1072765546617815
YAL058W	1.1613035547251325
YAL059W	0.675337603543609
YAL060W	1.2097648970941066
YAL061W	0.9906141131827083
YAL062W	0.9796352435403096
YAL064C-A	0.9886012085465636
YAL065C	0.9140548852251529
YAL066W	0.9220456795047941
YAL067C	0.60954881886274
YAL067W-A	0.9415565564146946
YAR002C-A	1.008169891681565
YAR002W	0.8540514542819202
YAR003W	1.2061644063289456
YAR014C	1.458794116630914
YAR015W	1.1934951553299922
YAR018C	1.2217171435298952
YAR020C	1.1101513192579848
YAR023C	0.6389847557274414
YAR027W	1.003811549882551
YAR028W	0.8757084045949879
YAR029W	0.7458909160285093
YAR030C	0.7108380863147002
YAR031W	1.034706115058905
YAR035C-A	1.0912542727072407
YAR035W	1.0595326549713093
