orf	hom | growth (culture turbidity) | Chloroquine diphosphate [2.9 mM] | YPD | Islahudin F~Avery SV, 2013
YAL002W	1.004662336404569
YAL004W	0.7839711765441602
YAL005C	1.148023968263013
YAL007C	0.7558695327938146
YAL008W	0.8361152743534106
YAL009W	1.1357018207972522
YAL011W	1.0550849777485785
YAL012W	1.0798200309428467
YAL014C	0.9661201295511822
YAL015C	1.0452617727833333
YAL016C-B	0.8042713256831456
YAL017W	1.1954261401409387
YAL018C	1.3309919635606853
YAL019W	1.7299204164945607
YAL021C	1.0179315580193122
YAL022C	1.1704409353157565
YAL023C	1.889559018807018
YAL024C	1.1958672487790438
YAL026C	1.2199809590810988
YAL027W	0.9360126334609975
YAL028W	0.8970269850203295
YAL029C	0.8889128458334681
YAL030W	0.6951879406174639
YAL031C	0.8777987292147644
YAL036C	0.9560887820174031
YAL037C-A	0.9977319415706563
YAL037W	1.084361650132301
YAL039C	0.9762013295346629
YAL040C	0.8647619194435932
YAL042C-A	1.020997616929009
YAL042W	1.1256665245358972
YAL044C	0.934196890202635
YAL045C	0.7543564887003259
YAL046C	0.8640552196994158
YAL048C	1.0147767885444163
YAL049C	0.8608736606419044
YAL053W	0.7287546543277555
YAL054C	0.9748210675622797
YAL055W	1.003811549882551
YAL056C-A	0.9031167469318004
YAL056W	1.0358196945492948
YAL058W	0.8610887894200739
YAL059W	1.480719371822926
YAL060W	0.8265948817737143
YAL061W	1.0094601508095575
YAL062W	1.0207732711551285
YAL064C-A	1.011530222049996
YAL065C	1.0940103140974662
YAL066W	1.0845292096857482
YAL067C	1.6405338524865103
YAL067W-A	1.0620707975089188
YAR002C-A	0.9918963145507768
YAR002W	1.1708726295984975
YAR003W	0.8290623291819942
YAR014C	0.6854877331127164
YAR015W	0.8378630341494806
YAR018C	0.8185081771041085
YAR020C	0.9007650171112476
YAR023C	1.564959825918032
YAR027W	0.9961884501174489
YAR028W	1.141916038307275
YAR029W	1.340659137413696
YAR030C	1.4067696868521224
YAR031W	0.9664439569206222
YAR035C-A	0.9163764557734598
YAR035W	0.9437986336670021
YAR042W	1.082144517661206
YAR047C	0.849438861096449
YAR050W	1.0079264205845813
YBL001C	0.8089151878463892
YBL002W	0.7440068109512926
YBL003C	0.998731143380798
YBL005W	0.9013274702412614
YBL006C	0.8223543098120479
YBL008W	0.8454481016702109
YBL008W-A	0.9244366299910269
YBL009W	0.7627836965842283
YBL010C	0.9543785341465952
YBL011W	0.7967548930128788
YBL012C	0.8330723891358172
YBL013W	0.7746575030722315
YBL015W	0.6893598801113252
YBL017C	0.8743381146078641
YBL019W	1.3790990503905247
YBL021C	0.9505408494960506
YBL022C	0.891912536242801
YBL024W	0.770760308759157
YBL027W	0.8713698725537992
YBL028C	0.6138931142886118
YBL029C-A	1.0486935444506278
YBL029W	0.677275483806585
YBL031W	0.7886593520814501
YBL032W	0.7979862854622005
YBL033C	0.8689976338862634
YBL036C	0.6783145285921053
YBL037W	1.0697428237297566
YBL039C	1.0188933213927107
YBL039W-B	1.185248079479027
YBL042C	1.0064262567875284
YBL043W	1.3229454636843427
YBL044W	1.0038738464658759
YBL045C	1.454033086331729
YBL046W	1.2408477842003853
YBL047C	1.0362877328195246
YBL048W	0.807457389453106
YBL049W	0.9517356376645503
YBL051C	0.8555910336077689
YBL052C	1.1911601564780754
YBL053W	1.0312451179503201
YBL054W	0.8590484659848822
YBL055C	0.9644361712550211
YBL056W	1.0886182414882126
YBL057C	1.0246064744391485
YBL059W	1.1329479768786126
YBL060W	1.4694834224340878
YBL061C	0.9062586282141489
YBL062W	1.407684461067664
YBL063W	1.103452873839097
YBL064C	1.5569445097148467
YBL065W	1.1530972226657723
YBL066C	1.00861076691805
YBL067C	1.1459387468819422
YBL068W	1.1280434401821686
YBL069W	1.2340671952156839
YBL070C	1.2965744810956121
YBL071C	1.1617212588310855
YBL071C-B	1.05826279902818
YBL072C	1.2389059253831705
YBL075C	1.0669804898872775
YBL078C	0.9438579866704571
YBL079W	1.083414163558317
YBL080C	1.1084833508134864
YBL081W	1.337458803894819
YBL082C	0.806731941331446
YBL083C	1.1132369160011577
YBL085W	1.12003213510871
YBL086C	1.1189304254907406
YBL087C	1.0527956737070097
YBL088C	0.8651087726232236
YBL089W	1.4514296161905966
YBL091C	0.9828890230926295
YBL091C-A	0.9817596566523604
YBL094C	1.5006243804472368
YBL095W	1.3755572623117434
YBL096C	0.902085309359836
YBL098W	0.6927791518368823
YBL099W	0.8802625010400199
YBL100W-C	0.9434742252651142
YBL101C	1.0882757342611353
YBL102W	0.8820104942367717
YBL103C	0.8516240630405536
YBL104C	0.9757705897906366
YBL106C	0.9030167919168673
YBL107C	1.0583739521950348
YBR001C	0.7575118056893126
YBR003W	1.0060341884703912
YBR005W	0.6241732218363925
YBR006W	1.1541407849901855
YBR007C	0.6952368674276053
YBR008C	1.2626457922990768
YBR009C	0.9020003752378738
YBR010W	1.188799042970374
YBR012C	0.9516029454323289
YBR013C	0.7200648294909558
YBR014C	1.262565629401972
YBR015C	0.7842698832369797
YBR016W	0.5491985939654882
YBR018C	0.7399772034808533
YBR019C	0.7182629156680442
YBR020W	0.9444624046406094
YBR022W	0.9690503721905035
YBR023C	0.9541199275383696
YBR024W	0.9595498783454989
YBR025C	1.0515522943761713
YBR027C	0.8577729024850324
YBR028C	1.1406480243994377
YBR030W	0.8183102045526672
YBR031W	1.0383339736201818
YBR032W	0.824469736018046
YBR033W	1.2611801123552564
YBR034C	0.7383053126706637
YBR035C	1.0722993188590801
YBR036C	0.9349375071158397
YBR037C	1.0785604124560846
YBR038W	1.2176454609513254
YBR040W	1.102031613051046
YBR041W	1.0307565975032846
YBR042C	1.0218115654133952
YBR043C	1.1580373679188323
YBR044C	1.1225332364386849
YBR045C	1.17580621980429
YBR046C	1.3091311082939672
YBR047W	1.139000102940704
YBR048W	1.2205357376576011
YBR050C	1.0681081495042728
YBR051W	1.0790367134767975
YBR052C	1.0551356808380254
YBR053C	1.2026723971954303
YBR054W	1.3351716909182598
YBR056W	1.0748019153204096
YBR056W-A	0.8942484264993656
YBR057C	1.0909229715237592
YBR058C	1.1283260448331451
YBR058C-A	0.9876149172605282
YBR059C	1.0794183172527827
YBR062C	1.1338728172108516
YBR063C	1.0554601999201398
YBR064W	1.076525865975979
YBR065C	1.1335821151984362
YBR066C	0.7669551201532931
YBR067C	1.0201477197423967
YBR068C	0.7566972295211644
YBR071W	0.8230087777064028
YBR072C-A	0.9113464881015606
YBR072W	1.1745120180947621
YBR073W	0.8790495018476571
YBR074W	0.8860701193974911
YBR076W	0.8182829057208172
YBR077C	0.9495833146616934
YBR078W	0.9253277799330942
YBR083W	1.127197933553445
YBR084C-A	0.8157300586817959
YBR085C-A	1.0122781606243407
YBR089C-A	1.0267720391933277
YBR090C	1.022816972873333
YBR092C	1.15881684917825
YBR093C	0.8632567452394896
YBR094W	0.988058118982941
YBR098W	0.9231306992215828
YBR099C	1.0511911700333898
YBR101C	0.9045995279272292
YBR103W	1.0715887372744144
YBR104W	1.3532767037977262
YBR106W	1.1266919022374562
YBR107C	1.0600182749080553
YBR108W	0.8750875962082806
YBR111W-A	0.9116788644018604
YBR113W	0.9858984048386591
YBR114W	0.940001195410208
YBR116C	1.254977429431651
YBR119W	0.9328780769231194
YBR120C	0.9359826803944375
YBR125C	1.1036232556700392
YBR126C	1.1522735299005626
YBR129C	0.967682964421686
YBR130C	1.0467724374753815
YBR131W	1.1804639018545344
YBR133C	1.0952215829744505
YBR134W	0.9519394110378925
YBR137W	1.1894179621609864
YBR138C	1.0171906160845359
YBR139W	1.1146445871187598
YBR141C	0.8640499084883206
YBR144C	0.9122740214464872
YBR145W	1.15952599996217
YBR146W	0.9056465638516701
YBR147W	1.0977734152997107
YBR148W	0.8224254510326544
YBR149W	0.9976456250173115
YBR150C	0.9656372335798175
YBR151W	0.9370613321531528
YBR156C	0.9706855268112923
YBR157C	0.8688659698115977
YBR158W	0.8647554548666415
YBR159W	0.9642269538344658
YBR161W	0.98728856903639
YBR162C	1.0322404655593689
YBR162W-A	1.003887789791655
YBR168W	1.013706379237855
YBR169C	1.0
YBR170C	1.008953770463249
YBR171W	0.6569201942422314
YBR172C	0.9323202331398827
YBR173C	1.1928712442137273
YBR174C	1.0
YBR175W	0.932408477842004
YBR176W	0.9125652393512544
YBR177C	1.0362399048907474
YBR178W	1.0322370110160117
YBR179C	1.0192678227360308
YBR180W	1.1448405833790416
YBR181C	0.9428193889015013
YBR182C	1.0967089001771082
YBR182C-A	0.7967342011875976
YBR183W	0.8816905365428201
YBR184W	1.246652920032902
YBR185C	0.9713114754098362
YBR186W	1.0939663699307616
YBR187W	1.062725539692071
YBR188C	1.1190248756941699
YBR189W	0.9761455384292753
YBR194W	1.1905988015326552
YBR195C	1.0781838850579955
YBR196C-A	0.9284082812342561
YBR196C-B	0.9405614091220206
YBR197C	0.8392702543733849
YBR199W	0.719273358905696
YBR200W-A	0.9462877640563816
YBR201W	0.7151279690971942
YBR203W	0.9050770115801755
YBR204C	0.673490608660511
YBR205W	0.8750879292361678
YBR206W	0.7842683362592634
YBR207W	0.9027590444504393
YBR208C	0.8102188427299702
YBR210W	0.9943153402460574
YBR212W	1.196963902779055
YBR213W	0.999572700296736
YBR214W	0.8988443833375394
YBR215W	0.6430917659753407
YBR216C	0.5773410227830829
YBR217W	0.8062045902975695
YBR218C	0.9688263054737373
YBR219C	1.401268736209389
YBR220C	1.0776716778938784
YBR221C	1.3306294692805372
YBR221W-A	1.0983782204589458
YBR222C	1.1138771589439247
YBR223C	1.3690995686108272
YBR224W	0.7313946587537092
YBR225W	0.9344520618029266
YBR226C	0.6894017967092707
YBR227C	0.71055832197756
YBR228W	0.8014920705148253
YBR229C	0.8125413033055603
YBR230C	0.941671370503631
YBR231C	0.8933741043641892
YBR232C	0.7456007954969192
YBR233W	1.7703190218796556
YBR233W-A	0.9644587817039655
YBR235W	1.1782866500132987
YBR238C	1.572906773011781
YBR239C	1.2001030070498404
YBR240C	0.9341381000669807
YBR241C	1.0815091959460428
YBR242W	0.872632098263841
YBR244W	1.560469565320398
YBR245C	1.1218840707251903
YBR246W	0.9363610454492114
YBR248C	0.8922390397847119
YBR249C	0.9466269050395894
YBR250W	0.9984012428384721
YBR251W	1.001725501964208
YBR255W	1.172106824925816
YBR258C	0.98673002945187
YBR259W	1.3083090909973918
YBR260C	0.8775459474575482
YBR261C	0.9553567995861775
YBR262C	1.1246644058216757
YBR263W	1.41478246332595
YBR264C	1.1172372823247072
YBR266C	1.172106824925816
YBR267W	1.0704321755779014
YBR269C	1.0659104843654197
YBR270C	1.130532224996667
YBR271W	1.0644341540546642
YBR272C	1.1518786773253216
YBR273C	1.024877479410741
YBR274W	1.05260829166851
YBR275C	0.8350931974745608
YBR276C	0.8008886468450013
YBR277C	0.8505798557209385
YBR278W	0.9887366288316158
YBR280C	1.0354234194587608
YBR281C	0.7272658736355754
YBR283C	1.0286496701044132
YBR284W	1.0978686934453024
YBR285W	0.9879789485949546
YBR286W	1.1527303688521429
YBR287W	0.8952596989953102
YBR288C	0.87432175209265
YBR290W	0.8967715072705144
YBR291C	1.2724525549892702
YBR292C	1.0605104312501434
YBR293W	0.9686695278969956
YBR294W	0.8434523000006476
YBR295W	0.8896324471655511
YBR296C	0.8779687744066168
YBR296C-A	1.021910112501709
YBR299W	0.8727205947368778
YBR300C	1.1391468078355402
YBR301W	0.8532474834393613
YCL001W	1.0712626552213378
YCL001W-A	0.877012074624137
YCL001W-B	1.0333590358316183
YCL002C	1.0013051619352893
YCL005W	1.055662225325343
YCL008C	0.9338856123785492
YCL009C	0.8959283284100374
YCL010C	1.172106824925816
YCL011C	1.1745310375937081
YCL014W	0.9631925456825974
YCL016C	1.0354622468904229
YCL022C	0.9209411113319517
YCL023C	0.9344202097931271
YCL024W	1.0163962832203426
YCL025C	0.9464304206079694
YCL026C-A	1.1768023484270624
YCL027W	1.0981763024600615
YCL028W	0.8992888570551518
YCL029C	1.0071014952032498
YCL030C	1.1182009685907843
YCL032W	1.0325702981489333
YCL033C	1.1347528606516946
YCL034W	1.1978227945258049
YCL035C	1.0143672752368407
YCL036W	1.0893698725781114
YCL037C	0.8845829676376757
YCL038C	0.8913408661301485
YCL039W	0.8775459474575482
YCL040W	0.8613999712362821
YCL042W	1.1180994120712018
YCL044C	1.070417191713074
YCL045C	1.135621009363923
YCL046W	1.164977221367873
YCL047C	0.9946718691083167
YCL048W	1.034211904346308
YCL049C	0.5895026660966995
YCL050C	0.7638342305164282
YCL051W	1.0072487686523979
YCL055W	0.843221327039027
YCL056C	0.7953736872348489
YCL057C-A	0.8424473983658449
YCL057W	0.942079217379674
YCL061C	0.8370527003602901
YCL063W	0.9612898683043702
YCL064C	0.9613264866136176
YCL069W	0.9211564674653849
YCL076W	1.0799643790443005
YCR001W	1.2005235928442313
YCR002C	1.400894382783516
YCR003W	1.0016232043514814
YCR004C	0.94130676519119
YCR005C	0.8431391823718842
YCR006C	0.9948876889158706
YCR007C	1.0231908166639114
YCR008W	0.6814358587604356
YCR009C	0.774066815386144
YCR010C	1.0085369229200356
YCR011C	0.8383922193923565
YCR014C	0.9993980557199755
YCR015C	0.9273592296081168
YCR016W	0.8254154266395758
YCR017C	0.9145941390691935
YCR019W	1.032525488240179
YCR020C	0.9521579614435329
YCR020C-A	0.8046572671682921
YCR021C	0.7109106264521344
YCR022C	0.8809652271810012
YCR023C	0.8605735932265678
YCR024C-A	1.1117089348419817
YCR025C	1.1332921253965291
YCR026C	0.9992711192188349
YCR027C	1.1012290659263713
YCR028C	0.9485789127893582
YCR028C-A	1.123716320279156
YCR030C	1.0749294843052892
YCR031C	1.0515840904667766
YCR032W	1.0494043097000643
YCR033W	1.0881524799653455
YCR034W	1.5462714592274673
YCR036W	0.8542102888608679
YCR037C	1.1443225367022543
