orf	hap alpha | growth (colony size) | miltefosine [4 ug/ml (9.8 uM)] | YPD | Garcia JM~Riekhof WR, 2021
YAL009W	8.866830868758713
YAL039C	8.866830868758713
YBR097W	8.866830868758713
YBR184W	8.866830868758713
YCR009C	8.866830868758713
YCR067C	8.866830868758713
YDL019C	8.866830868758713
YDR027C	8.866830868758713
YDR028C	8.866830868758713
YDR093W	8.866830868758713
YDR095C	8.866830868758713
YDR097C	8.866830868758713
YDR126W	8.866830868758713
YDR323C	8.866830868758713
YDR472W	8.866830868758713
YER031C	8.866830868758713
YFL047W	8.866830868758713
YGL012W	8.866830868758713
YGL054C	8.866830868758713
YGL095C	8.866830868758713
YGL106W	8.866830868758713
YGL158W	8.866830868758713
YGR086C	8.866830868758713
YGR141W	8.866830868758713
YHL028W	8.866830868758713
YHL031C	8.866830868758713
YHR012W	8.866830868758713
YHR108W	8.866830868758713
YJL154C	8.866830868758713
YKL212W	8.866830868758713
YKR001C	8.866830868758713
YKR019C	8.866830868758713
YKR020W	8.866830868758713
YKR068C	8.866830868758713
YLR039C	8.866830868758713
YLR082C	8.866830868758713
YLR093C	8.866830868758713
YLR305C	8.866830868758713
YLR360W	8.866830868758713
YML052W	8.866830868758713
YML082W	8.866830868758713
YMR032W	8.866830868758713
YNL051W	8.866830868758713
YNL058C	8.866830868758713
YNL082W	8.866830868758713
YNL227C	8.866830868758713
YNL272C	8.866830868758713
YNL323W	8.866830868758713
YNR047W	8.866830868758713
YNR049C	8.866830868758713
YOL018C	8.866830868758713
YOL107W	8.866830868758713
YOR311C	8.866830868758713
YPL001W	8.866830868758713
YPL028W	8.866830868758713
YPR089W	8.866830868758713
YPR117W	8.866830868758713
YPR151C	8.866830868758713
