ORF	hom | growth (culture turbidity) | pH [4.5] | Mollapour M~Piper PW, 2004	hom | growth (culture turbidity) | sorbic acid [2 mM], pH [4.5] | Mollapour M~Piper PW, 2004	hom | growth (culture turbidity) | sorbic acid [5 mM], pH [4.5] | Mollapour M~Piper PW, 2004
YAL012W	0.000	-1.000	0.000
YAL014C	0.000	0.000	1.000
YAL016W	0.000	-1.000	0.000
YAL035W	0.000	-1.000	0.000
YAL047C	0.000	-1.000	0.000
YBL058C	0.000	-1.000	0.000
YBL079W	0.000	-1.000	0.000
YBL093C	0.000	-1.000	0.000
YBR026C	0.000	-1.000	0.000
YBR035C	0.000	-1.000	0.000
YBR068C	0.000	-1.000	0.000
YBR077C	0.000	-1.000	0.000
YBR107C	0.000	0.000	1.000
YBR134W	0.000	0.000	1.000
YBR141C	0.000	0.000	1.000
YBR144C	0.000	0.000	1.000
YBR157C	0.000	0.000	1.000
YBR201W	0.000	0.000	1.000
YBR227C	0.000	0.000	1.000
YBR279W	0.000	-1.000	0.000
YBR282W	0.000	-1.000	0.000
YBR289W	0.000	-1.000	0.000
YCL007C	0.000	-1.000	0.000
YCL008C	0.000	-1.000	0.000
YCL014W	0.000	-1.000	0.000
YCL016C	0.000	-1.000	0.000
YCL046W	0.000	-1.000	0.000
YCL058C	0.000	-1.000	0.000
YCR002C	0.000	-1.000	0.000
YCR009C	0.000	-1.000	0.000
YCR028C	0.000	-1.000	0.000
YCR044C	0.000	-1.000	0.000
YCR046C	0.000	-1.000	0.000
YCR047C	-1.000	0.000	0.000
YCR053W	0.000	-1.000	0.000
YCR063W	0.000	-1.000	0.000
YCR331C	0.000	-1.000	0.000
YDL006W	0.000	-1.000	0.000
YDL047W	0.000	-1.000	0.000
YDL061C	0.000	-1.000	0.000
YDL067C	0.000	-1.000	0.000
YDL074C	0.000	-1.000	0.000
YDL094C	0.000	0.000	1.000
YDL151C	0.000	0.000	1.000
YDL155W	0.000	0.000	1.000
YDL157C	0.000	0.000	1.000
YDL170W	0.000	0.000	1.000
YDL177C	0.000	0.000	1.000
YDL184C	0.000	0.000	1.000
YDL219W	0.000	0.000	1.000
YDR007W	0.000	-1.000	0.000
YDR008C	0.000	-1.000	0.000
YDR017C	0.000	-1.000	0.000
YDR018C	0.000	0.000	1.000
YDR069C	0.000	-1.000	0.000
YDR074W	0.000	-1.000	0.000
YDR127W	0.000	-1.000	0.000
YDR149C	0.000	-1.000	0.000
YDR150W	0.000	-1.000	0.000
YDR159W	0.000	-1.000	0.000
YDR161W	0.000	-1.000	0.000
YDR162C	0.000	-1.000	0.000
YDR173C	0.000	-1.000	0.000
YDR174W	0.000	-1.000	0.000
YDR176W	0.000	-1.000	0.000
YDR183W	0.000	-1.000	0.000
YDR245W	0.000	-1.000	0.000
YDR264C	0.000	-1.000	0.000
YDR268W	0.000	-1.000	0.000
YDR281C	0.000	-1.000	0.000
YDR300C	0.000	0.000	1.000
YDR315C	0.000	-1.000	0.000
YDR354W	0.000	-1.000	0.000
YDR359C	0.000	-1.000	0.000
YDR495C	0.000	-1.000	0.000
YDR500C	0.000	0.000	1.000
YEL031W	0.000	-1.000	0.000
YEL036C	0.000	-1.000	0.000
YEL044W	0.000	-1.000	0.000
YEL045C	0.000	-1.000	0.000
YEL046C	0.000	-1.000	0.000
YEL051C	0.000	-1.000	0.000
YER014C	0.000	-1.000	0.000
YER016W	0.000	-1.000	0.000
YER019W	0.000	-1.000	0.000
YER070W	0.000	-1.000	0.000
YER083C	0.000	-1.000	0.000
YER090W	0.000	-1.000	0.000
YER149C	0.000	-1.000	0.000
YER154W	0.000	-1.000	0.000
YFL013C	0.000	-1.000	0.000
YFL016C	0.000	-1.000	0.000
YFL018C	0.000	-1.000	0.000
YGL012C	0.000	-1.000	0.000
YGL020C	0.000	-1.000	0.000
YGL025C	0.000	-1.000	0.000
YGL026C	0.000	-1.000	0.000
YGL054C	0.000	-1.000	0.000
YGL095C	0.000	-1.000	0.000
YGL127C	0.000	-1.000	0.000
YGL143C	0.000	-1.000	0.000
YGL148W	0.000	-1.000	0.000
YGL173C	0.000	-1.000	0.000
YGL206C	0.000	-1.000	0.000
YGL218W	0.000	-1.000	0.000
YGL223C	0.000	-1.000	0.000
YGL246C	0.000	-1.000	0.000
YGL262W	0.000	-1.000	0.000
YGR020C	0.000	-1.000	0.000
YGR063C	0.000	-1.000	0.000
YGR064W	0.000	-1.000	0.000
YGR081C	0.000	0.000	1.000
YGR092W	0.000	-1.000	0.000
YGR104C	0.000	-1.000	0.000
YGR105W	0.000	-1.000	0.000
YGR155W	0.000	-1.000	0.000
YGR160W	0.000	-1.000	0.000
YGR163W	0.000	-1.000	0.000
YGR180C	0.000	-1.000	0.000
YGR188C	0.000	-1.000	0.000
YGR192C	0.000	-1.000	0.000
YGR193C	0.000	-1.000	0.000
YGR217W	0.000	0.000	1.000
YGR240C	0.000	-1.000	0.000
