orf	hap alpha | growth (spot assay) | monensin A [50 uM] | Gustavsson M~Ronne H, 2008
YBL007C	-7.194537068940824
YBR131W	-10.791805603411236
YCR034W	-10.791805603411236
YCR094W	-3.597268534470412
YDL077C	-10.791805603411236
YDL192W	-7.194537068940824
YDR027C	-10.791805603411236
YDR080W	-10.791805603411236
YDR129C	-10.791805603411236
YDR136C	-7.194537068940824
YDR137W	-10.791805603411236
YDR264C	-3.597268534470412
YDR323C	-10.791805603411236
YDR359C	-3.597268534470412
YDR372C	-3.597268534470412
YDR484W	-10.791805603411236
YDR495C	-10.791805603411236
YER044C	-10.791805603411236
YFR019W	-10.791805603411236
YGL124C	-7.194537068940824
YGL167C	-3.597268534470412
YGL168W	-3.597268534470412
YGL206C	-10.791805603411236
YGL212W	-10.791805603411236
YJL004C	-3.597268534470412
YJL204C	-7.194537068940824
YJR102C	-3.597268534470412
YKL126W	-10.791805603411236
YKL135C	-3.597268534470412
YKR001C	-10.791805603411236
YKR020W	-10.791805603411236
YLR025W	-3.597268534470412
YLR039C	-10.791805603411236
YLR148W	-10.791805603411236
YLR240W	-10.791805603411236
YLR261C	-10.791805603411236
YLR262C	-10.791805603411236
YLR337C	-7.194537068940824
YLR370C	-3.597268534470412
YLR372W	-7.194537068940824
YLR386W	-7.194537068940824
YLR396C	-10.791805603411236
YLR417W	-3.597268534470412
YML001W	-10.791805603411236
YML071C	-3.597268534470412
YML097C	-10.791805603411236
YNL080C	-3.597268534470412
YNR051C	-3.597268534470412
YOL001W	-3.597268534470412
YOL018C	-10.791805603411236
YOL051W	-7.194537068940824
YOR035C	-10.791805603411236
YOR036W	-10.791805603411236
YOR089C	-10.791805603411236
YOR106W	-10.791805603411236
YOR135C	-7.194537068940824
YOR136W	-3.597268534470412
YPL002C	-3.597268534470412
YPL045W	-10.791805603411236
YPL069C	-7.194537068940824
YPL129W	-10.791805603411236
YPR159W	-3.597268534470412
YPR163C	-3.597268534470412
