ORF	hap alpha | growth (spot assay) | monensin A [50 uM] | Gustavsson M~Ronne H, 2008
YBR131W	-3.000
YGL124C	-2.000
YOR106W	-3.000
YGL212W	-3.000
YML001W	-3.000
YLR148W	-3.000
YDL077C	-3.000
YPL045W	-3.000
YLR396C	-3.000
YDR080W	-3.000
YDR495C	-3.000
YCR094W	-1.000
YDR323C	-3.000
YOR036W	-3.000
YML097C	-3.000
YOR089C	-3.000
YLR025W	-1.000
YPL002C	-1.000
YJR102C	-1.000
YLR417W	-1.000
YFR019W	-3.000
YLR386W	-2.000
YLR240W	-3.000
YDR137W	-3.000
YLR039C	-3.000
YOL018C	-3.000
YLR262C	-3.000
YKR020W	-3.000
YDR484W	-3.000
YDR027C	-3.000
YKL135C	-1.000
YGL206C	-3.000
YJL204C	-2.000
YJL093C	-3.000
YLR370C	-1.000
YDR129C	-3.000
YOR035C	-3.000
YBL007C	-2.000
YKR001C	-3.000
YLR337C	-2.000
YDL192W	-2.000
YNR051C	-1.000
YML071C	-1.000
YPR159W	-1.000
YGL167C	-1.000
YJL004C	-1.000
YDR372C	-1.000
YER044C	-3.000
YCR034W	-3.000
YLR372W	-2.000
YNL080C	-1.000
YDR264C	-1.000
YPL069C	-2.000
YOL051W	-2.000
YOL001W	-1.000
YPL129W	-3.000
YPR163C	-1.000
YDR359C	-1.000
YOR136W	-1.000
YGL168W	-1.000
YDR136C	-2.000
YLR261C	-3.000
YOR135C	-2.000
