ORF	hom | growth (relative abundance in pooled culture) | formaldehyde [0.15mM], time [5 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.3mM], time [5 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.6 mM], time [5 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.15mM], time [15 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.3mM], time [15 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.6 mM], time [15 generations] | North M~Vulpe CD, 2016
YDR098C	0.000	0.000	0.000	0.000	1.300	1.300
YDR028C	-1.200	0.000	0.000	0.000	0.000	0.000
YKL097C	-1.100	0.000	0.000	0.000	0.000	0.000
YBL080C	-1.000	0.000	0.000	0.000	0.000	0.000
YOR065W	-1.000	0.000	0.000	0.000	0.000	0.000
YGR207C	1.000	0.000	0.000	0.000	0.000	0.000
YNR005C	1.500	0.000	0.000	0.000	0.000	0.000
YAL001C	1.700	0.000	0.000	0.000	0.000	0.000
YNL003C	0.000	-1.200	0.000	0.000	0.000	0.000
YMR147W	0.000	-1.000	0.000	0.000	0.000	0.000
YPL170W	0.000	0.900	0.000	0.000	0.000	0.000
YDR491C	0.000	1.100	0.000	0.000	0.000	0.000
YJR083C	0.000	1.100	0.000	0.000	0.000	0.000
YLR104W	0.000	1.100	0.000	0.000	0.000	0.000
YOL006C	0.000	1.100	0.000	0.000	0.000	0.000
YMR194C-A	0.000	1.100	0.000	0.000	0.000	0.000
YKR066C	0.000	1.200	0.000	0.000	0.000	0.000
YPR194C	0.000	1.200	0.000	0.000	0.000	0.000
YGL220W	0.000	1.300	0.000	0.000	0.000	0.000
YEL005C	0.000	1.400	0.000	0.000	0.000	0.000
YEL008W	0.000	1.400	0.000	0.000	0.000	0.000
YLR053C	0.000	1.400	0.000	0.000	0.000	0.000
YPL195W	0.000	1.400	0.000	0.000	0.000	0.000
YDR402C	0.000	1.400	0.000	0.000	0.000	0.000
YPR111W	0.000	1.500	0.000	0.000	0.000	0.000
YCL055W	0.000	1.600	0.000	0.000	0.000	0.000
YOR139C	0.000	1.600	0.000	0.000	0.000	0.000
YGR183C	0.000	1.600	0.000	0.000	0.000	0.000
YLR083C	0.000	1.800	0.000	0.000	0.000	0.000
YNL294C	0.000	0.000	-1.900	0.000	0.000	0.000
YER047C	0.000	0.000	1.900	0.000	0.000	0.000
YKL123W	0.000	0.000	1.900	0.000	0.000	0.000
YML079W	0.000	0.000	2.000	0.000	0.000	0.000
YOR140W	0.000	0.000	2.000	0.000	0.000	0.000
YHR147C	0.000	0.000	2.350	0.000	0.000	0.000
YIR025W	0.000	0.000	2.000	0.000	0.000	0.000
YJR149W	0.000	0.000	2.100	0.000	0.000	0.000
YKL026C	0.000	0.000	2.100	0.000	0.000	0.000
YAL031C	0.000	0.000	2.100	0.000	0.000	0.000
YER092W	0.000	0.000	2.100	0.000	0.000	0.000
YGL228W	0.000	0.000	2.100	0.000	0.000	0.000
YLR151C	0.000	0.000	2.100	0.000	0.000	0.000
YMR002W	0.000	0.000	2.200	0.000	0.000	0.000
YJL089W	0.000	0.000	2.200	0.000	0.000	0.000
YHR180W	0.000	0.000	2.200	0.000	0.000	0.000
YIL105C	0.000	0.000	2.200	0.000	0.000	0.000
YKR105C	0.000	0.000	2.200	0.000	0.000	0.000
YHR181W	0.000	0.000	2.200	0.000	0.000	0.000
YGR230W	0.000	0.000	2.200	0.000	0.000	0.000
YBR184W	0.000	0.000	2.200	0.000	0.000	0.000
YIR030C	0.000	0.000	2.200	0.000	0.000	0.000
YPL250C	0.000	0.000	2.200	0.000	0.000	0.000
YJL098W	0.000	0.000	2.200	0.000	0.000	0.000
YAL039C	0.000	0.000	2.300	0.000	0.000	0.000
YML115C	0.000	0.000	2.300	0.000	0.000	0.000
YJL084C	0.000	0.000	2.300	0.000	0.000	0.000
YJR059W	0.000	0.000	2.300	0.000	0.000	0.000
YER143W	0.000	0.000	2.400	0.000	0.000	0.000
YIL005W	0.000	0.000	2.400	0.000	0.000	0.000
YAR002W	0.000	0.000	2.400	0.000	0.000	0.000
YOR308C	0.000	0.000	2.400	0.000	0.000	0.000
YER042W	0.000	0.000	2.400	0.000	0.000	0.000
YFR024C-A	0.000	0.000	2.400	0.000	0.000	0.000
YKL016C	0.000	0.000	2.400	0.000	0.000	0.000
YOL031C	0.000	0.000	2.500	0.000	0.000	0.000
YKR093W	0.000	0.000	2.500	0.000	0.000	0.000
YLR372W	0.000	0.000	2.500	0.000	0.000	0.000
YDL222C	0.000	0.000	2.500	0.000	0.000	0.000
YNL122C	0.000	0.000	2.500	0.000	0.000	0.000
YHR195W	0.000	0.000	2.600	0.000	0.000	0.000
YCR059C	0.000	0.000	2.600	0.000	0.000	0.000
YHR189W	0.000	0.000	2.700	0.000	0.000	0.000
YBR008C	0.000	0.000	2.700	0.000	0.000	0.000
YCR107W	0.000	0.000	2.700	0.000	0.000	0.000
YOL079W	0.000	0.000	2.800	0.000	0.000	0.000
YOL028C	0.000	0.000	2.800	0.000	0.000	0.000
YHR133C	0.000	0.000	2.900	0.000	0.000	0.000
YHR150W	0.000	0.000	2.900	0.000	0.000	0.000
YLR049C	0.000	0.000	3.000	0.000	0.000	0.000
YIL092W	0.000	0.000	3.000	0.000	0.000	0.000
YMR042W	0.000	0.000	3.000	0.000	0.000	0.000
YIL058W	0.000	0.000	2.550	0.000	0.000	0.000
YFL012W-A	0.000	0.000	3.000	0.000	0.000	0.000
YIL052C	0.000	0.000	3.100	0.000	0.000	0.000
YMR016C	0.000	0.000	3.200	0.000	0.000	0.000
YFL044C	0.000	0.000	3.200	0.000	0.000	0.000
YIL006W	0.000	0.000	3.300	0.000	0.000	0.000
YHR157W	0.000	0.000	3.600	0.000	0.000	0.000
YIL044C	0.000	0.000	3.900	0.000	0.000	0.000
YER084W	0.000	0.000	4.400	0.000	0.000	0.000
YIL096C	0.000	0.000	4.900	0.000	0.000	0.000
YKL114C	-1.400	0.000	0.000	0.000	0.000	0.000
YDR205W	-1.100	0.000	0.000	0.000	0.000	0.000
YNL022C	1.200	0.000	0.000	0.000	0.000	0.000
YOR121C	1.300	0.000	0.000	0.000	0.000	0.000
YLR283W	1.400	0.000	0.000	0.000	0.000	0.000
YDR159W	1.600	0.000	0.000	0.000	0.000	0.000
YMR190C	0.000	-1.400	0.000	0.000	0.000	0.000
YJR135C	0.000	1.300	0.000	0.000	0.000	0.000
YER123W	0.000	1.500	0.000	0.000	0.000	0.000
YHR159W	0.000	2.500	0.000	0.000	0.000	0.000
YOR258W	0.000	0.000	-2.300	0.000	0.000	0.000
YHR004C	0.000	0.000	1.200	0.000	0.000	0.000
YNR033W	0.000	0.000	1.300	0.000	0.000	0.000
YJL043W	0.000	0.000	1.400	0.000	0.000	0.000
YDR176W	0.000	0.000	1.400	0.000	0.000	0.000
YPL064C	0.000	0.000	1.500	0.000	0.000	0.000
YIL028W	0.000	0.000	1.500	0.000	0.000	0.000
YKL206C	0.000	0.000	1.600	0.000	0.000	0.000
YHR152W	0.000	0.000	1.600	0.000	0.000	0.000
YHR198C	0.000	0.000	1.600	0.000	0.000	0.000
YBR025C	0.000	0.000	1.600	0.000	0.000	0.000
YJR131W	0.000	0.000	1.600	0.000	0.000	0.000
YMR225C	0.000	0.000	1.600	0.000	0.000	0.000
YLR185W	0.000	0.000	1.600	0.000	0.000	0.000
YOR144C	0.000	0.000	1.600	0.000	0.000	0.000
YIL095W	0.000	0.000	1.600	0.000	0.000	0.000
YMR084W	0.000	0.000	1.600	0.000	0.000	0.000
YLR004C	0.000	0.000	1.700	0.000	0.000	0.000
YJR084W	0.000	0.000	1.700	0.000	0.000	0.000
YDR144C	0.000	0.000	1.700	0.000	0.000	0.000
YER115C	0.000	0.000	1.700	0.000	0.000	0.000
YIL134W	0.000	0.000	1.700	0.000	0.000	0.000
YIR032C	0.000	0.000	1.700	0.000	0.000	0.000
YIL140W	0.000	0.000	1.700	0.000	0.000	0.000
YBR058C	0.000	0.000	1.700	0.000	0.000	0.000
YBR195C	0.000	0.000	1.700	0.000	0.000	0.000
YCR065W	0.000	0.000	1.700	0.000	0.000	0.000
YBR031W	0.000	0.000	1.800	0.000	0.000	0.000
YBR180W	0.000	0.000	1.800	0.000	0.000	0.000
YHR178W	0.000	0.000	1.800	0.000	0.000	0.000
YNL128W	0.000	0.000	1.800	0.000	0.000	0.000
YGR108W	0.000	0.000	1.800	0.000	0.000	0.000
YNL135C	0.000	0.000	1.800	0.000	0.000	0.000
YPL113C	0.000	0.000	1.800	0.000	0.000	0.000
YPL099C	0.000	0.000	1.800	0.000	0.000	0.000
YGL080W	0.000	0.000	1.800	0.000	0.000	0.000
YDL171C	0.000	0.000	1.900	0.000	0.000	0.000
YIR004W	0.000	0.000	1.900	0.000	0.000	0.000
YMR306W	0.000	0.000	1.900	0.000	0.000	0.000
YHR006W	0.000	0.000	1.900	0.000	0.000	0.000
YLR366W	0.000	0.000	1.900	0.000	0.000	0.000
YBR158W	0.000	0.000	1.900	0.000	0.000	0.000
YER103W	0.000	0.000	1.900	0.000	0.000	0.000
YIR037W	0.000	0.000	1.900	0.000	0.000	0.000
YHR105W	0.000	0.000	1.900	0.000	0.000	0.000
YNL316C	0.000	0.000	2.000	0.000	0.000	0.000
YIL170W	0.000	0.000	2.000	0.000	0.000	0.000
YIL072W	0.000	0.000	2.000	0.000	0.000	0.000
YNL227C	0.000	0.000	2.000	0.000	0.000	0.000
YJR009C	0.000	0.000	2.000	0.000	0.000	0.000
YBR216C	0.000	0.000	2.000	0.000	0.000	0.000
YGR053C	0.000	0.000	2.100	0.000	0.000	0.000
YGR026W	0.000	0.000	2.100	0.000	0.000	0.000
YHR108W	0.000	0.000	2.100	0.000	0.000	0.000
YKL008C	0.000	0.000	2.100	0.000	0.000	0.000
YML076C	0.000	0.000	2.100	0.000	0.000	0.000
YNL141W	0.000	0.000	2.100	0.000	0.000	0.000
YBR197C	0.000	0.000	2.100	0.000	0.000	0.000
YMR139W	0.000	0.000	2.100	0.000	0.000	0.000
YCR100C	0.000	0.000	2.100	0.000	0.000	0.000
YJL007C	0.000	0.000	2.100	0.000	0.000	0.000
YCL007C	0.000	0.000	2.100	0.000	0.000	0.000
YHR106W	0.000	0.000	2.100	0.000	0.000	0.000
YEL010W	0.000	0.000	2.100	0.000	0.000	0.000
YDL135C	0.000	0.000	2.100	0.000	0.000	0.000
YJL082W	0.000	0.000	2.200	0.000	0.000	0.000
YMR222C	0.000	0.000	2.200	0.000	0.000	0.000
YDL175C	0.000	0.000	2.200	0.000	0.000	0.000
YOR380W	0.000	0.000	2.200	0.000	0.000	0.000
YCR073C	0.000	0.000	2.300	0.000	0.000	0.000
YML022W	0.000	0.000	2.300	0.000	0.000	0.000
YBR204C	0.000	0.000	2.400	0.000	0.000	0.000
YGR052W	0.000	0.000	2.400	0.000	0.000	0.000
YHL002W	0.000	0.000	2.400	0.000	0.000	0.000
YEL016C	0.000	0.000	2.500	0.000	0.000	0.000
YGL088W	0.000	0.000	2.500	0.000	0.000	0.000
YLL021W	0.000	0.000	2.600	0.000	0.000	0.000
YOR045W	0.000	0.000	2.600	0.000	0.000	0.000
YCR027C	0.000	0.000	2.700	0.000	0.000	0.000
YEL056W	0.000	0.000	2.700	0.000	0.000	0.000
YIL023C	0.000	0.000	2.700	0.000	0.000	0.000
YDR285W	0.000	0.000	2.800	0.000	0.000	0.000
YPL132W	0.000	0.000	2.800	0.000	0.000	0.000
YER024W	0.000	0.000	2.800	0.000	0.000	0.000
YLR346C	0.000	0.000	2.800	0.000	0.000	0.000
YMR161W	0.000	0.000	3.000	0.000	0.000	0.000
YBR084W	0.000	0.000	3.200	0.000	0.000	0.000
YDR340W	0.000	0.000	3.300	0.000	0.000	0.000
YBR172C	0.000	0.000	3.500	0.000	0.000	0.000
YNL177C	0.000	0.000	4.000	0.000	0.000	0.000
YNL041C	0.000	0.000	0.000	-3.250	0.000	0.000
YGL005C	0.000	0.000	0.000	-2.600	0.000	0.000
YLR190W	0.000	0.000	0.000	-2.450	0.000	0.000
YML071C	0.000	0.000	0.000	-2.550	0.000	0.000
YLR418C	0.000	0.000	0.000	-2.500	0.000	0.000
YNL051W	0.000	0.000	0.000	-2.400	0.000	0.000
YGR257C	0.000	0.000	0.000	-1.800	0.000	0.000
YHR206W	0.000	0.000	0.000	-1.300	0.000	0.000
YKR036C	0.000	0.000	0.000	-1.200	0.000	0.000
YPL259C	0.000	0.000	0.000	-1.100	0.000	0.000
YNL198C	0.000	0.000	0.000	-1.100	0.000	0.000
YOL091W	0.000	0.000	0.000	1.000	0.000	0.000
YOL016C	0.000	0.000	0.000	1.100	0.000	0.000
YDR428C	0.000	0.000	0.000	1.300	0.000	0.000
YDR126W	0.000	0.000	0.000	1.800	0.000	0.000
YCR066W	0.000	0.000	0.000	0.000	-2.000	0.000
YDL099W	0.000	0.000	0.000	0.000	-1.800	0.000
YCL013W	0.000	0.000	0.000	0.000	-1.400	0.000
YIL057C	0.000	0.000	0.000	0.000	-1.100	0.000
YOR350C	0.000	0.000	0.000	0.000	1.000	0.000
YMR105C	0.000	0.000	0.000	0.000	1.100	0.000
YDR440W	0.000	0.000	0.000	0.000	1.200	0.000
YPR005C	0.000	0.000	0.000	0.000	1.200	0.000
YMR063W	0.000	0.000	0.000	0.000	1.700	0.000
YLR398C	0.000	0.000	0.000	0.000	0.000	-3.700
YDR386W	0.000	0.000	0.000	0.000	0.000	-2.700
YCR009C	0.000	0.000	0.000	0.000	0.000	-2.800
YOR076C	0.000	0.000	0.000	0.000	0.000	-3.100
YBR099C	0.000	0.000	0.000	0.000	0.000	-2.550
YOR322C	0.000	0.000	0.000	0.000	0.000	-2.500
YLR426W	0.000	0.000	0.000	0.000	0.000	-2.250
YJL120W	0.000	0.000	0.000	0.000	0.000	-2.450
YPR119W	0.000	0.000	0.000	0.000	0.000	-2.000
YOR327C	0.000	0.000	0.000	0.000	0.000	-2.100
YDL059C	0.000	0.000	0.000	0.000	0.000	-2.050
YDL225W	0.000	0.000	0.000	0.000	0.000	-1.750
YPL241C	0.000	0.000	0.000	0.000	0.000	-2.200
YDR266C	0.000	0.000	0.000	0.000	0.000	-2.300
YKL113C	0.000	0.000	0.000	0.000	0.000	-1.950
YKL076C	0.000	0.000	0.000	0.000	0.000	-1.950
YMR121C	0.000	0.000	0.000	0.000	0.000	-1.900
YLR006C	0.000	0.000	0.000	0.000	0.000	-1.900
YEL050C	0.000	0.000	0.000	0.000	0.000	-1.800
YIL067C	0.000	0.000	0.000	0.000	0.000	-1.800
YJL128C	0.000	0.000	0.000	0.000	0.000	-1.650
YNL016W	0.000	0.000	0.000	0.000	0.000	-1.800
YDL020C	0.000	0.000	0.000	0.000	0.000	-2.100
YDR057W	0.000	0.000	0.000	0.000	0.000	-1.700
YAL015C	0.000	0.000	0.000	0.000	0.000	-1.700
YOR091W	0.000	0.000	0.000	0.000	0.000	-1.600
YML103C	0.000	0.000	0.000	0.000	0.000	-1.600
YNR031C	0.000	0.000	0.000	0.000	0.000	-1.350
YLR119W	0.000	0.000	0.000	0.000	0.000	-1.400
YPL148C	0.000	0.000	0.000	0.000	0.000	-1.300
YOL003C	0.000	0.000	0.000	0.000	0.000	-1.300
YHL006C	0.000	0.000	0.000	0.000	0.000	-1.300
YKL017C	0.000	0.000	0.000	0.000	0.000	-1.350
YDR152W	0.000	0.000	0.000	0.000	0.000	-1.200
YDL167C	0.000	0.000	0.000	0.000	0.000	-1.200
YLL032C	0.000	0.000	0.000	0.000	0.000	-1.400
YPL120W	0.000	0.000	0.000	0.000	0.000	-1.100
YPR061C	0.000	0.000	0.000	0.000	0.000	-1.100
YDR534C	0.000	0.000	0.000	0.000	0.000	-1.000
YPL201C	0.000	0.000	0.000	0.000	0.000	1.000
YNL291C	0.000	0.000	0.000	0.000	0.000	1.000
YOR304W	0.000	0.000	0.000	0.000	0.000	1.100
YIL032C	0.000	0.000	0.000	0.000	0.000	1.200
YOL059W	0.000	0.000	0.000	0.000	0.000	1.300
YKL077W	0.000	0.000	0.000	0.000	0.000	1.300
YER131W	0.000	0.000	0.000	0.000	0.000	1.300
YJL052W	0.000	0.000	0.000	0.000	0.000	1.400
YPL253C	0.000	0.000	0.000	0.000	0.000	1.500
YOR006C	0.000	0.000	0.000	0.000	0.000	1.500
YDL194W	0.000	0.000	0.000	0.000	0.000	1.500
YDR447C	0.000	0.000	0.000	0.000	0.000	1.600
YBR036C	0.000	0.000	0.000	0.000	0.000	1.700
YML028W	0.000	0.000	0.000	0.000	0.000	1.700
YDR477W	0.000	0.000	0.000	0.000	0.000	1.800
YPR106W	0.000	0.000	0.000	0.000	0.000	1.800
YDR136C	0.000	0.000	0.000	-2.400	0.000	0.000
YNL079C	0.000	0.000	0.000	-1.900	0.000	0.000
YPR099C	0.000	0.000	0.000	-1.800	0.000	0.000
YGL094C	0.000	0.000	0.000	-1.600	0.000	0.000
YGL082W	0.000	0.000	0.000	-1.300	0.000	0.000
YDL180W	0.000	0.000	0.000	-1.300	0.000	0.000
YLR020C	0.000	0.000	0.000	-1.300	0.000	0.000
YBR229C	0.000	0.000	0.000	-1.200	0.000	0.000
YHR113W	0.000	0.000	0.000	-1.200	0.000	0.000
YGR196C	0.000	0.000	0.000	-1.200	0.000	0.000
YEL017W	0.000	0.000	0.000	-1.200	0.000	0.000
YBR210W	0.000	0.000	0.000	-1.200	0.000	0.000
YNL253W	0.000	0.000	0.000	-1.200	0.000	0.000
YEL067C	0.000	0.000	0.000	-1.200	0.000	0.000
YMR152W	0.000	0.000	0.000	-1.200	0.000	0.000
YLL030C	0.000	0.000	0.000	-1.200	0.000	0.000
YKL084W	0.000	0.000	0.000	-1.100	0.000	0.000
YIL010W	0.000	0.000	0.000	-1.100	0.000	0.000
YKL129C	0.000	0.000	0.000	-1.100	0.000	0.000
YGR142W	0.000	0.000	0.000	-1.100	0.000	0.000
YIL102C	0.000	0.000	0.000	1.200	0.000	0.000
YOR024W	0.000	0.000	0.000	1.300	0.000	0.000
YGR038W	0.000	0.000	0.000	1.500	0.000	0.000
YOR041C	0.000	0.000	0.000	1.500	0.000	0.000
YDR423C	0.000	0.000	0.000	1.600	0.000	0.000
YDR391C	0.000	0.000	0.000	1.700	0.000	0.000
YLR425W	0.000	0.000	0.000	1.700	0.000	0.000
YMR182C	0.000	0.000	0.000	1.900	0.000	0.000
YGR043C	0.000	0.000	0.000	2.000	0.000	0.000
YBR016W	0.000	0.000	0.000	2.300	0.000	0.000
YMR132C	0.000	0.000	0.000	0.000	1.200	0.000
YPL071C	0.000	0.000	0.000	0.000	1.300	0.000
YGR122W	0.000	0.000	0.000	0.000	1.900	0.000
YOR030W	0.000	0.000	0.000	0.000	2.100	0.000
YGL214W	0.000	0.000	0.000	0.000	0.000	-4.000
YGL213C	0.000	0.000	0.000	0.000	0.000	-3.800
YKL213C	0.000	0.000	0.000	0.000	0.000	-3.000
YLR032W	0.000	0.000	0.000	0.000	0.000	-2.200
YJR043C	0.000	0.000	0.000	0.000	0.000	-1.900
YDR260C	0.000	0.000	0.000	0.000	0.000	-1.900
YCR061W	0.000	0.000	0.000	0.000	0.000	-1.900
YHR030C	0.000	0.000	0.000	0.000	0.000	-1.900
YOR150W	0.000	0.000	0.000	0.000	0.000	-1.700
YJL204C	0.000	0.000	0.000	0.000	0.000	-1.600
YLR352W	0.000	0.000	0.000	0.000	0.000	-1.600
YMR214W	0.000	0.000	0.000	0.000	0.000	-1.600
YKL056C	0.000	0.000	0.000	0.000	0.000	-1.600
YMR316W	0.000	0.000	0.000	0.000	0.000	-1.600
YNL288W	0.000	0.000	0.000	0.000	0.000	-1.300
YIL077C	0.000	0.000	0.000	0.000	0.000	-1.200
YJL130C	0.000	0.000	0.000	0.000	0.000	-1.200
YBR300C	0.000	0.000	0.000	0.000	0.000	-1.200
YHR104W	0.000	0.000	0.000	0.000	0.000	-1.200
YGR077C	0.000	0.000	0.000	0.000	0.000	-1.100
YMR153C-A	0.000	0.000	0.000	0.000	0.000	-1.100
YOR304C-A	0.000	0.000	0.000	0.000	0.000	1.000
YBL096C	0.000	0.000	0.000	0.000	0.000	1.100
YOR034C	0.000	0.000	0.000	0.000	0.000	1.100
YLR334C	0.000	0.000	0.000	0.000	0.000	1.200
YFL014W	0.000	0.000	0.000	0.000	0.000	1.200
YIL107C	0.000	0.000	0.000	0.000	0.000	1.200
YOR213C	0.000	0.000	0.000	0.000	0.000	1.200
YIL112W	0.000	0.000	0.000	0.000	0.000	1.400
YLR248W	0.000	0.000	0.000	0.000	0.000	1.500
YBR141C	0.000	0.000	0.000	0.000	0.000	1.600
YBR174C	0.000	0.000	0.000	0.000	0.000	1.800
YOL115W	0.000	0.000	0.000	0.000	0.000	1.800
YPR018W	0.000	0.000	0.000	0.000	0.000	1.800
YGL002W	0.000	0.000	0.000	0.000	0.000	2.000
YDL082W	0.000	0.000	0.000	0.000	0.000	2.000
YBR084C-A	0.000	0.000	0.000	0.000	0.000	2.100
YDR221W	0.000	0.000	0.000	0.000	0.000	2.100
YFL041W	0.000	0.000	0.000	0.000	0.000	2.100
YBR168W	0.000	0.000	0.000	0.000	0.000	3.200
