ORF	hom | growth (relative abundance in pooled culture) | formaldehyde [0.15mM], time [5 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.3mM], time [5 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.6 mM], time [5 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.15mM], time [15 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.3mM], time [15 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.6 mM], time [15 generations] | North M~Vulpe CD, 2016
YPL140C	1.400	1.500	0.000	1.800	1.700	1.700
YNL058C	1.400	1.500	0.000	1.700	1.900	1.900
YDR251W	1.500	1.400	0.000	1.500	1.600	1.500
YJR050W	1.500	1.400	0.000	1.700	1.500	1.800
YOL020W	1.500	1.600	0.000	1.400	1.700	1.700
YDR034C	1.500	1.500	0.000	1.400	1.400	1.300
YOL064C	1.500	1.600	2.100	0.000	1.400	1.750
YOR044W	1.500	1.400	0.000	1.800	1.700	1.600
YLR202C	1.700	1.500	0.000	1.800	1.700	2.000
YBR044C	1.700	1.700	2.300	2.000	2.000	0.000
YNL123W	1.700	1.900	2.800	1.700	1.600	0.000
YCR011C	1.700	1.900	0.000	1.800	1.700	1.900
YBR035C	1.800	1.900	0.000	0.400	0.200	2.200
YMR272C	1.900	2.100	0.000	1.800	1.700	1.400
YGR192C	2.000	2.000	2.700	0.000	2.000	2.000
YOR137C	2.100	2.000	0.000	2.000	2.000	1.800
YML047W-A	2.100	2.100	0.000	1.700	1.700	1.700
YHR046C	2.300	2.600	2.800	1.800	2.000	0.000
YMR258C	2.400	2.400	0.000	2.700	2.700	2.500
YOR314W	2.500	2.500	0.000	1.800	2.000	1.800
YOR021C	3.300	3.200	0.000	2.400	2.500	2.000
YER169W	3.500	3.600	0.000	1.900	2.100	2.000
YBL065W	0.000	1.500	-2.100	5.500	5.300	5.300
YKL133C	-1.800	-2.400	0.000	3.500	3.700	3.600
YML035C	-1.700	-2.000	0.000	-4.500	-4.100	-3.400
YBR037C	1.400	1.300	0.000	2.500	2.300	2.500
YMR184W	1.900	1.900	0.000	2.000	2.000	1.900
YNL101W	2.300	2.300	0.000	3.100	2.800	2.700
YGR263C	2.400	2.400	0.000	2.300	2.300	2.200
YGL118C	2.600	2.600	0.000	2.600	2.500	2.600
YPL035C	2.700	3.300	0.000	1.600	1.600	1.600
YMR166C	2.800	2.700	0.000	2.800	2.800	2.800
YHL039W	2.900	2.500	0.000	1.600	1.700	1.600
YOR133W	3.300	3.400	0.000	2.600	2.400	2.200
YJR145C	-3.500	-3.300	0.000	-2.200	-2.500	0.000
YLR067C	-3.000	-2.900	0.000	-2.300	-2.700	0.000
YDL107W	-2.400	-2.200	0.000	-1.800	-2.000	0.000
YGR219W	-2.400	-2.300	0.000	-2.300	-2.100	0.000
YOR185C	-1.700	-1.300	0.000	0.000	-1.400	-1.400
YLR109W	-1.500	0.000	0.000	-1.500	-1.400	-1.800
YKR056W	-1.500	-1.500	0.000	-1.400	-1.400	0.000
YLR228C	-1.400	-1.200	0.000	-1.300	-1.300	0.000
YMR273C	-1.400	-1.500	0.000	-1.400	-1.400	0.000
YER110C	-1.200	0.000	0.000	-1.500	-1.600	-1.200
YMR133W	1.200	1.300	0.000	1.000	1.000	0.000
YIR020C	1.200	1.400	2.900	1.200	0.000	0.000
YMR316C-B	1.300	1.100	0.000	1.100	0.000	1.000
YBR040W	1.400	0.000	0.000	1.700	1.700	1.800
YHR014W	1.500	1.800	0.000	1.700	1.600	0.000
YMR175W	1.600	1.800	0.000	1.600	1.600	0.000
YJR105W	1.700	1.900	2.000	0.000	0.000	2.200
YNL334C	1.700	1.700	0.000	1.400	1.400	0.000
YHR200W	1.700	2.100	3.100	0.000	0.000	1.600
YDL223C	2.400	2.350	0.000	1.900	1.800	0.000
YLR297W	2.100	1.700	0.000	1.700	1.800	0.000
YML007W	2.700	2.600	0.000	2.200	1.900	0.000
YOR386W	0.000	-1.400	1.800	0.000	0.000	1.500
YLR257W	0.000	1.500	0.000	1.700	1.800	1.800
YHR160C	0.000	1.500	2.900	1.700	1.800	0.000
YBR173C	0.000	0.000	2.400	2.000	2.000	1.900
YBL008W	1.400	1.500	0.000	0.000	1.800	2.200
YKL174C	1.700	0.000	0.000	6.100	5.900	5.600
YMR103C	2.100	2.100	0.000	2.100	2.000	0.000
YGR070W	2.200	2.600	0.000	2.000	1.900	0.000
YJR010C-A	2.600	2.700	0.000	2.000	1.900	0.000
YMR244C-A	3.400	3.600	0.000	2.200	2.100	0.000
YGL227W	0.000	1.100	0.000	2.000	2.000	1.400
YDL010W	0.000	0.000	-2.500	4.700	4.500	4.600
YDR291W	0.000	0.000	-2.100	4.200	4.100	3.900
YOL118C	0.000	0.000	-2.100	4.400	4.300	4.300
YEL028W	0.000	0.000	-1.500	3.900	3.700	3.500
YJL121C	0.000	0.000	1.700	2.700	2.700	-1.900
YMR164C	0.000	0.000	2.900	2.200	2.100	2.100
YFR036W	-3.200	-3.700	-2.000	0.000	0.000	0.000
YDR175C	-2.750	-3.200	-2.300	0.000	0.000	0.000
YFR012W	-1.600	-1.600	0.000	0.000	-1.200	0.000
YKL091C	-1.400	-1.300	0.000	-0.900	0.000	0.000
YLR031W	-1.400	0.000	0.000	-1.200	-1.100	0.000
YJL123C	-1.100	-1.200	0.000	-1.400	0.000	0.000
YPR201W	1.400	1.500	3.000	0.000	0.000	0.000
YLR443W	1.500	1.600	2.300	0.000	0.000	0.000
YLR169W	1.500	1.600	3.000	0.000	0.000	0.000
YJL208C	1.500	1.600	2.400	0.000	0.000	0.000
YCR034W	1.600	0.000	2.900	0.000	0.000	1.800
YOR085W	1.600	1.400	0.000	0.000	0.000	2.400
YPL157W	2.500	2.750	1.900	0.000	0.000	0.000
