orf	hom | growth (relative abundance in pooled culture) | formaldehyde [0.15mM], time [5 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.3mM], time [5 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.6 mM], time [5 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.15mM], time [15 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.3mM], time [15 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.6 mM], time [15 generations] | North M~Vulpe CD, 2016
YAL001C	1.7	0.0	0.0	0.0	0.0	0.0
YAL015C	0.0	0.0	0.0	0.0	0.0	-1.7
YAL027W	0.0	0.0	0.0	-1.1	-1.1	-1.0
YAL031C	0.0	0.0	2.1	0.0	0.0	0.0
YAL039C	0.0	0.0	2.3	0.0	0.0	0.0
YAL042C-A	1.3	1.4	0.0	1.4	1.2	1.6
YAR002W	0.0	0.0	2.4	0.0	0.0	0.0
YAR031W	2.2	2.1	2.4	1.7	1.7	1.7
YAR042W	2.0	1.8	3.2	2.0	2.1	2.3
YBL007C	-1.5	-2.1	0.0	0.0	0.0	0.0
YBL008W	1.4	1.5	0.0	0.0	1.8	2.2
YBL010C	0.0	0.0	0.0	2.6	2.5	2.4
YBL019W	0.0	0.0	0.0	0.0	1.2	1.2
YBL062W	1.8	2.0	0.0	0.0	0.0	0.0
YBL065W	0.0	1.5	-2.1	5.5	5.3	5.3
YBL080C	-1.0	0.0	0.0	0.0	0.0	0.0
YBL096C	0.0	0.0	0.0	0.0	0.0	1.1
YBL100C	-1.3	-1.4	0.0	0.0	0.0	0.0
YBR006W	0.0	0.0	0.0	2.0	1.9	1.5
YBR008C	0.0	0.0	2.7	0.0	0.0	0.0
YBR016W	0.0	0.0	0.0	2.3	0.0	0.0
YBR025C	0.0	0.0	1.6	0.0	0.0	0.0
YBR027C	0.0	0.0	0.0	0.0	1.1	1.1
YBR031W	0.0	0.0	1.8	0.0	0.0	0.0
YBR035C	1.8	1.9	0.0	0.4	0.2	2.2
YBR036C	0.0	0.0	0.0	0.0	0.0	1.7
YBR037C	1.4	1.3	0.0	2.5	2.3	2.5
YBR040W	1.4	0.0	0.0	1.7	1.7	1.8
YBR044C	1.7	1.7	2.3	2.0	2.0	0.0
YBR053C	0.0	1.1	2.3	0.0	0.0	0.0
YBR056W	1.2	1.2	0.0	1.5	1.4	1.7
YBR057C	1.5	1.5	0.0	0.0	0.0	0.0
YBR058C	0.0	0.0	1.7	0.0	0.0	0.0
YBR071W	0.0	0.0	0.0	1.3	0.0	1.0
YBR074W	0.0	0.0	0.0	2.3	2.3	2.3
YBR084C-A	0.0	0.0	0.0	0.0	0.0	2.1
YBR084W	0.0	0.0	3.2	0.0	0.0	0.0
YBR099C	0.0	0.0	0.0	0.0	0.0	-2.55
YBR114W	2.3	2.5	2.8	2.4	2.3	2.4
YBR129C	0.0	0.0	0.0	1.7	1.5	1.4
YBR134W	0.0	0.0	0.0	2.1	0.0	-1.2
YBR138C	0.0	0.0	0.0	4.7	4.5	4.5
YBR141C	0.0	0.0	0.0	0.0	0.0	1.6
YBR149W	0.0	0.0	0.0	2.4	2.6	2.4
YBR158W	0.0	0.0	1.9	0.0	0.0	0.0
YBR159W	2.0	2.2	0.0	0.0	0.0	0.0
YBR168W	0.0	0.0	0.0	0.0	0.0	3.2
YBR170C	1.8	2.1	0.0	0.0	0.0	0.0
YBR172C	0.0	0.0	3.5	0.0	0.0	0.0
YBR173C	0.0	0.0	2.4	2.0	2.0	1.9
YBR174C	0.0	0.0	0.0	0.0	0.0	1.8
YBR175W	3.0	3.4	2.6	0.0	0.0	0.0
YBR180W	0.0	0.0	1.8	0.0	0.0	0.0
YBR184W	0.0	0.0	2.2	0.0	0.0	0.0
YBR195C	0.0	0.0	1.7	0.0	0.0	0.0
YBR197C	0.0	0.0	2.1	0.0	0.0	0.0
YBR204C	0.0	0.0	2.4	0.0	0.0	0.0
YBR210W	0.0	0.0	0.0	-1.2	0.0	0.0
YBR213W	2.8	2.8	0.0	0.0	0.0	0.0
YBR216C	0.0	0.0	2.0	0.0	0.0	0.0
YBR229C	0.0	0.0	0.0	-1.2	0.0	0.0
YBR239C	0.0	0.0	0.0	-1.5	-1.3	0.0
YBR241C	0.0	-1.4	0.0	-1.3	0.0	0.0
YBR269C	1.5	0.0	1.8	0.0	0.0	0.0
YBR272C	3.4	3.4	1.3	2.8	2.8	3.3
YBR286W	0.0	1.0	0.0	1.2	1.1	0.0
YBR298C	1.5	1.5	0.0	0.0	0.0	0.0
YBR300C	0.0	0.0	0.0	0.0	0.0	-1.2
YCL005W	0.0	0.0	0.0	2.5	2.7	2.9
YCL007C	0.0	0.0	2.1	0.0	0.0	0.0
YCL011C	0.0	0.0	0.0	0.0	-1.4	-1.6
