orf	hap a | actin aggregate (Sac6) | standard | SD[low-fluor] + Met + Leu + Ura + NAT + G418 | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | actin bright patches (Sac6) | standard | SD[low-fluor] + Met + Leu + Ura + NAT + G418 | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | actin decreased patch number (Sac6) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | actin depolarized patches (Sac6) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | coat aggregate (Sla1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | coat decreased patch number (Sla1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | coat depolarized patches (Sla1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | coat increased patch number (Sla1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | late endosome fragmented (Snf7) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | late endosome membrane (Snf7) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | late endosome condensed (Snf7) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole class E (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole enlarged (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole vATPase defect (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole fragmented (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole class G (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole multilobed (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020
YAL002W	0.8366458154094608	0.3801992899357031	-0.39513947892755025	4.102737853174467	1.7621446154551834	-0.05025782308005043	0.8037050368947051	1.746979205598127	0.473255165913099	0.0032346703713534686	0.9717909117103762	0.8311863444641452	1.5127372466287996	0.0863651495131124	2.1959814158569246	7.037917359254	0.3035067871503748
YAL004W	-0.8230281447222112	-0.23201666043797123	-0.21591961530735793	-0.7001485508203805	-0.5667271979169061	0.35322786287414437	0.48165600258287444	-0.19638451590971295	-0.3024929926454825	0.01253851607862345	-0.10128772757513281	0.03297477239301961	0.10245325853237491	-0.09348861272782653	0.013502745364305018	1.0459501888413398	0.2630631655447987
YAL005C	-0.8230281447222112	-0.46881716954476366	-0.6612538218787753	1.487833033221722	-0.07186024247849818	1.4164560004231	-0.05812019937057836	-0.46670202604426547	-0.8745406522172839	2.3743225841436795	-0.34023056385831435	0.19152895404646353	0.2263005422158171	0.47610151263868866	0.09879014810805554	0.5660746703121192	0.4154562536572691
YAL007C	-0.35988735116706966	0.45570387770098	0.0014694529375220771	-0.3994966272624422	-0.18554248674087134	0.8742053502280988	0.15730719067972437	0.2401476444693943	0.6593756849444615	0.16761572586446644	0.1370701527801775	-0.3467996102869171	0.039729752948287955	-0.0987846951681878	0.15812940522371016	0.7911335214724913	0.8136438979967742
YAL008W	0.7395465390378192	0.6020767796291472	0.629551334354801	0.1898424846240076	0.4154778491090496	0.8209227366411201	0.8283375540398195	-0.155123497957636	0.10654504710443652	0.018828954043745738	0.2309227953246504	-0.2477617774174377	-0.16172194481331784	-0.2525694051378807	-0.21498838275990836	0.17199684865886786	0.33373582786934114
YAL009W	-0.6085391538147257	0.8470881401768607	0.9859029612788472	0.021993557997232203	0.021429345228047115	0.8072109443945585	0.9549525422846725	-0.10216946555938668	3.2512581847374173	0.9263487263118236	-0.23182383209828084	-0.14017587498269385	-0.49746999264715275	-0.16027218076100747	-0.03468050942052106	0.6523550767065281	-0.3708683265800638
YAL010C					-0.1335214689606005	1.1810108047865577	-0.08709569572841029	-0.3128875554888426	2.4219529079082056	-0.017885824406265783	0.43217847501460266	-0.14591713669245365	1.2328418025977106	-0.05599895860193205	1.212449381851192	0.900027788317176	-0.07747369876092086
YAL011W	0.6035259929171468	1.2826130110187033	0.16219433366838382	0.42583631153335966	0.3397916442987967	-0.07700062967621919	-0.04345167715019822	-0.02870092673534528	1.300079156475893	-0.08430406561794343	0.6827402261754935	0.04319768661093634	0.7538139860339375	-0.03493534463822931	0.7041044314153787	0.3064984260173708	0.4394182193859263
YAL013W	-0.3716408653497512	-0.06472475848192837	0.25624488292318987	1.3844076933280554	1.085025183538712	0.612727084182767	2.234884629770006	0.4579184859473004	0.433979703971203	-0.35343577453657654	3.873629848704232	-0.062005453068095816	-0.01731044093846119	-0.09200323642633287	0.487779569949546	1.4819815030982635	0.4536074152149241
YAL014C	-0.8230281447222112	-0.46881716954476366	0.7025821857461988	0.31521165302415693	-0.8015180891833048	0.9416855515781687	-0.4009969062718087	-0.46670202604426547	-0.28475522694771416	-0.2254674898671626	0.8468727715929772	0.26222030460184287	0.23061439275913095	-0.031385462844341634	0.3611652125487978	0.8088824984674238	-0.1413064315344023
