ORF	hap a | chronological lifespan | glucose [2%], time [9 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010	hap a | chronological lifespan | glucose [2%], time [21 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010	hap a | chronological lifespan | glucose [0.5%], time [9 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010	hap a | chronological lifespan | glucose [0.5%], time [21 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010	hap a | chronological lifespan | glucose [0.5%], time [33 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010
YER183C	0.126	0.164	-0.096	-0.263	-2.806
YJL155C	0.074	-2.962	-0.036	0.281	-2.416
YPR062W	0.189	0.575	0.752	-0.107	-1.943
YER056C	-0.436	2.620	0.566	0.168	-2.342
YER060W	-0.062	-1.175	0.008	0.075	-1.871
YER060W-A	-1.314	-3.563	0.069	-0.143	-2.131
YMR058W	-2.261	-5.604	-3.951	-5.402	-6.226
YMR319C	0.040	-1.020	0.177	-0.165	-2.867
YFL041W	-0.255	-0.916	-0.265	-0.681	-3.627
YNL325C	-1.079	-6.190	-0.328	-1.236	-3.700
YER032W	0.608	0.280	0.686	0.846	-1.652
YIL065C	0.694	-2.554	-0.626	-4.540	-5.541
YDR534C	0.412	-0.037	0.292	-0.109	-2.451
YOR382W	-0.002	-0.501	-0.650	-0.656	-2.915
YOR383C	0.428	-0.044	0.326	-0.264	-2.337
YIL131C	0.487	0.864	0.213	0.005	-2.286
YMR306W	0.223	-0.048	0.172	0.290	-2.718
YAR050W	0.578	0.025	0.636	0.393	-1.481
YKR102W	0.302	-0.099	0.101	-0.034	-1.962
YER108C	0.195	-0.208	-0.142	-1.220	-3.653
YER109C	0.484	-0.211	0.164	-0.492	-3.314
YBR008C	0.236	0.532	0.170	0.084	-2.554
YIL098C	-1.847	-3.836	-5.237	-4.828	-6.174
YHR176W	0.706	1.082	0.583	1.111	-1.311
YDR110W	0.892	-0.593	0.730	-0.172	-2.280
YKR009C	0.470	0.234	0.130	-0.296	-2.213
YDR519W	0.501	0.362	0.457	0.128	-2.341
YLR449W	0.101	-1.049	-0.100	-0.926	-2.832
YLL043W	-1.215	-3.316	-1.756	-2.407	-5.171
YOR381W	0.200	-0.274	-0.018	-0.416	-2.941
YNR060W	0.180	-0.956	-0.293	-1.281	-4.031
YOR384W	-0.078	0.201	0.269	0.287	-1.460
YOL152W	0.174	-0.400	0.288	-0.778	-3.691
YCL026C-A	-0.077	-0.721	-0.299	-0.708	-2.986
YHR049W	-1.401	-1.236	0.017	-0.522	-3.324
YOR280C	0.232	-0.426	0.052	-0.581	-2.947
YBR207W	0.277	-0.680	0.218	0.009	-2.429
YER145C	-1.504	-3.749	-3.624	-3.717	-4.976
YBL042C	0.902	0.180	0.434	1.432	0.263
YPL262W	-4.329	-6.022	-5.267	-4.546	-4.951
YNR002C	0.868	0.823	0.388	-0.055	-1.928
YMR232W	-0.034	-0.332	0.379	-0.575	-3.287
YHR059W	0.373	-0.282	0.415	-0.210	-2.455
YCL058C	-0.905	-3.030	-0.578	0.752	-1.427
YLR068W	0.672	0.038	0.404	1.597	-1.010
YGL254W	0.274	0.104	0.366	0.133	-2.036
YOR178C	0.458	-0.031	0.376	0.139	-2.445
YMR250W	1.043	0.747	1.108	0.751	-1.195
YBR020W	0.172	-0.157	0.053	-0.162	-2.666
YBR019C	0.354	0.380	0.086	-0.184	-2.279
YLR081W	0.098	-0.253	0.039	-0.384	-2.711
YDR009W	0.207	-0.299	-0.039	0.015	-2.816
YPL248C	0.444	-0.480	0.062	-0.590	-2.960
YBR018C	0.287	0.172	0.113	-0.227	-2.997
YER027C	-2.074	-1.718	-0.556	-3.844	-5.860
YMR307W	-4.557	-3.912	1.807	-1.767	-3.180
YMR215W	0.236	-0.022	0.283	0.929	-1.303
YOL132W	-1.010	-0.584	0.213	-1.015	-5.240
YOL030W	-0.921	-3.937	-0.136	-0.758	-2.696
YFL021W	-0.025	-0.775	0.758	0.114	-3.311
YMR136W	0.036	-1.710	0.197	0.324	-1.667
YLR013W	0.014	-0.228	-0.003	-0.187	-2.761
YIR013C	-0.638	-2.218	-0.588	-1.017	-2.814
YFR009W	0.305	0.347	-0.099	-0.369	-1.351
YKR026C	0.061	-0.245	0.162	0.746	-2.001
YEL009C	-0.028	-0.578	0.192	-0.043	-3.116
YMR189W	-0.022	-0.216	-0.148	-0.242	-2.105
YEL042W	-2.829	-6.097	-0.805	0.064	-2.736
YPR184W	-0.015	-2.889	0.190	-0.155	-3.650
YOR375C	-0.482	-1.009	-0.225	-0.512	-3.328
YDL215C	0.323	0.825	0.295	-0.861	-3.778
YJR031C	0.015	-1.748	0.069	-0.475	-3.164
YJR040W	-2.794	-5.472	-1.726	-4.122	-5.952
YMR255W	0.237	0.225	0.177	0.021	-2.206
YDR358W	0.488	-0.772	0.620	0.341	-1.601
YHR108W	-0.132	0.461	0.122	0.069	-2.137
YHR061C	1.058	0.074	0.615	0.275	-2.508
YDR309C	0.554	-0.831	0.561	0.135	-3.022
YIR024C	0.048	-0.806	-0.053	-1.100	-4.071
YNL153C	-1.073	-3.266	-0.700	-2.267	-2.100
YEL003W	0.753	-2.292	0.499	-0.972	-3.341
YIL130W	-0.492	-3.694	-0.049	-0.050	-2.465
YBR045C	0.559	0.282	-0.090	-0.592	-4.777
YER054C	0.566	0.586	0.335	0.451	-1.433
YGR173W	0.575	0.332	0.069	0.021	-2.201
YDR152W	0.247	-1.131	0.262	0.210	-2.330
YDR096W	-0.168	-2.377	0.997	2.053	-3.922
YLR094C	1.255	1.451	1.022	0.741	-2.248
YCR098C	-0.341	-0.626	-0.204	-1.007	-2.955
YEL011W	0.371	0.037	0.230	0.442	-2.906
YMR311C	1.169	-1.321	-0.028	1.750	-0.517
YKR058W	0.238	-0.310	-0.042	0.093	-3.075
YJL137C	0.293	-0.247	-0.242	0.172	-1.755
YER040W	0.909	1.532	0.525	1.222	-0.803
YDR272W	1.025	0.844	0.877	0.597	-1.623
YOR040W	0.293	-0.005	0.105	-0.625	-2.873
YDL171C	0.300	-0.344	0.437	0.708	-1.275
YGR256W	0.029	0.328	0.079	-0.127	-2.257
YOR320C	0.088	-1.613	0.052	-1.165	-3.343
YHL031C	-1.711	-3.264	0.145	-1.226	-3.655
YMR292W	0.485	0.869	0.154	0.328	-1.271
YHR005C	-0.509	-2.681	-0.108	0.064	-1.988
YER020W	0.393	0.993	0.153	-0.851	-4.411
YOR371C	-0.299	-1.124	-0.049	0.365	-1.806
YDL022W	0.978	0.387	0.282	-0.474	-2.176
YGL121C	0.477	-1.080	0.286	-0.485	-3.315
YDL021W	-1.854	-7.017	-1.441	-5.278	-6.934
YKR067W	-1.582	-4.003	-1.354	-2.883	-4.325
YBR244W	0.093	-0.900	0.228	-0.042	-1.877
YOR357C	0.614	-1.027	-0.222	-1.520	-6.142
YOL151W	0.230	-0.212	0.068	0.022	-2.308
YHR104W	0.145	-0.489	-0.018	0.022	-2.500
YDR517W	0.150	1.074	-0.039	0.279	-1.436
YCL035C	0.052	-0.311	0.224	-0.014	-1.632
YDR098C	0.509	0.731	0.223	-0.295	-3.261
YER174C	0.392	-0.264	0.173	0.461	0.287
YML048W	0.746	-0.561	-0.525	0.260	-1.023
YDR108W	-3.530	-4.995	-0.380	-3.970	-5.333
YJL101C	-0.342	0.508	-1.037	-2.276	-5.290
YOR185C	0.304	-0.423	0.057	-1.233	-3.628
YFR015C	0.345	-0.049	0.148	0.161	-2.720
YLR258W	0.317	-1.053	0.006	-0.073	-1.909
YML121W	0.312	0.904	0.289	-0.823	-5.830
YGR163W	0.526	1.057	1.661	-0.368	-3.546
YGL181W	0.391	0.215	0.144	-0.190	-2.346
YIR038C	0.576	-0.320	0.281	-0.035	-1.829
YLL060C	0.234	-0.317	0.230	0.029	-2.507
YLR289W	0.113	-2.467	-0.350	-0.673	-2.793
YPL189W	0.148	-0.463	-0.142	-0.902	-2.997
YHL032C	-0.732	-1.846	-0.234	-0.929	-3.431
YIL155C	-0.470	-2.568	-0.255	-2.011	-6.377
YPL249C	0.447	-0.728	0.171	0.247	-2.118
YJL044C	0.149	-0.864	0.092	-0.482	-2.869
YFL027C	0.608	0.426	0.042	0.389	-2.186
YPR008W	0.191	-1.793	0.474	-0.201	-2.994
YFL031W	0.195	-0.793	0.580	1.708	-0.215
YPR005C	0.206	0.550	-0.183	-0.142	-3.191
YJL165C	0.591	-0.205	0.493	1.812	-0.238
YOL089C	0.169	-1.199	-0.230	-2.163	-2.353
YJR069C	0.423	-1.114	0.146	-1.190	-2.305
YKL109W	-3.302	-4.045	-3.772	-2.449	-4.350
YEL056W	0.154	-0.445	-0.373	-0.934	-2.773
YKR084C	0.430	1.781	0.212	0.244	-1.960
YLR192C	-1.465	-2.184	1.030	-0.561	-2.512
YKL017C	0.239	-0.210	0.170	-0.210	-2.535
YBR138C	0.111	-0.123	-0.107	-0.056	-2.622
YBL032W	1.010	0.234	0.590	2.032	-0.302
YMR207C	-2.704	-0.354	-0.707	-3.388	-4.670
YGR187C	-0.699	-2.219	-0.864	-2.223	-3.395
YNL030W	0.052	-0.177	0.078	-0.213	-3.174
YPL127C	0.293	0.508	0.017	-1.942	-4.986
YBR010W	-0.161	-1.155	0.373	0.174	-2.594
YNL031C	0.027	-0.133	0.582	0.951	-1.297
YBL008W	0.327	-1.536	-0.634	-1.122	-4.130
YJR140C	-0.011	-2.367	-0.831	-3.728	-6.004
YER055C	0.283	-0.052	0.064	-0.473	-3.533
YOR202W	0.110	-0.674	0.154	-0.519	-3.219
YIL020C	0.149	-0.027	0.195	-0.297	-2.738
YDR420W	0.137	-0.685	0.271	0.207	-1.824
YMR161W	0.930	0.808	0.741	1.316	-0.791
YDR528W	0.378	0.188	0.263	0.253	-2.507
YER057C	-1.311	-5.828	0.264	0.016	-1.919
YML075C	0.331	0.244	0.152	0.195	-1.159
YOL095C	-5.487	-5.308	-4.723	-4.192	-5.031
YLR205C	-0.875	-4.360	-0.223	-2.004	-4.019
YGL077C	-0.004	0.208	-0.323	-0.893	-5.683
YDR305C	1.061	0.329	0.162	-0.428	-3.657
YDL227C	-0.226	-2.532	-0.079	-1.516	-4.637
YJR075W	-0.806	-4.520	0.287	1.306	-1.954
YLR113W	-1.032	-1.433	0.698	3.255	0.969
YNR055C	-0.173	-0.186	-0.143	-0.446	-3.618
YGL033W	-1.422	-5.752	-1.116	-4.745	-5.535
YMR251W-A	0.008	-1.307	-0.373	-0.345	-3.169
YPR068C	0.456	0.204	0.550	0.304	-2.888
YPL116W	0.190	0.253	0.216	-0.745	-2.906
YIL112W	1.238	-0.058	0.634	2.075	0.094
YMR172W	0.223	0.068	0.211	-0.362	-2.806
YPR193C	0.230	0.340	0.387	0.176	-2.359
YEL066W	0.135	-0.681	0.241	-0.124	-2.689
YBR215W	1.152	-0.737	0.211	-2.953	-4.491
YJL092W	0.381	0.025	0.493	0.581	-2.023
YDR399W	-0.440	-1.033	0.260	0.141	-1.964
YOL013C	1.404	6.500	1.229	3.037	1.251
YLR207W	1.189	5.618	0.832	2.919	1.436
YOR267C	-0.427	-1.387	-0.039	0.261	-2.622
YLR097C	0.493	0.606	0.425	0.145	-2.926
YMR186W	0.068	0.523	-0.153	-0.041	-2.198
YOR311C	0.682	-0.128	0.067	1.144	-0.215
YHL002W	0.076	-0.190	-1.189	-3.170	-4.135
YKL101W	1.055	0.257	1.762	3.271	0.447
YLL026W	0.395	0.437	0.189	0.510	-1.417
YBR072W	-0.128	-0.603	-0.259	-0.061	-1.839
YCR021C	0.471	0.133	-0.163	-1.028	-4.980
YDR258C	1.601	1.449	0.856	1.478	0.324
YOL068C	-0.384	-2.134	0.114	-1.735	-4.383
YPL015C	0.217	0.737	-0.550	-0.499	-2.555
YOR025W	0.106	0.130	-1.400	-1.587	-3.597
YDR191W	0.787	0.517	0.118	0.311	-2.333
YGR268C	0.488	-1.745	-0.083	-1.331	-3.904
YOR284W	0.105	0.064	0.005	-0.526	-2.833
YNR032C-A	-0.180	-1.317	-0.119	0.075	-1.330
YPL244C	0.973	0.822	0.909	0.595	-0.774
YGL253W	0.911	-0.659	0.266	-0.400	-3.238
YHR094C	0.353	-0.349	0.095	-0.312	-2.629
YIL170W	0.364	-0.207	0.427	-0.078	-2.388
YNL318C	0.292	0.167	0.021	0.213	-1.898
YHR092C	0.018	-0.556	-0.048	-0.602	-3.026
YHR096C	1.256	0.408	0.271	-0.277	-3.333
YIR037W	0.105	-0.243	-0.055	-1.160	-3.320
YOR126C	0.570	-0.255	0.365	-0.348	-3.224
YER065C	-2.002	-4.485	-0.710	-2.471	-4.490
YPR006C	0.226	0.502	0.256	-0.691	-3.620
YBR157C	0.415	-0.684	0.456	1.095	-1.326
YJL077C	0.342	0.059	0.287	-0.062	-2.767
YLR099C	0.092	-0.152	0.104	-0.528	-3.366
YMR195W	0.264	-1.228	-0.021	-0.640	-3.809
YPL250C	0.853	0.331	1.213	-0.246	-3.573
YDL066W	0.423	0.658	0.342	-0.723	-3.927
YLR174W	0.303	-0.981	0.159	-0.246	-3.202
YJL146W	0.039	-0.375	0.120	0.566	-2.458
YOR189W	0.657	1.166	0.137	-0.213	-1.066
YER092W	0.727	1.661	1.108	0.924	-1.872
YJL057C	0.751	1.972	0.657	2.660	-0.399
YCL009C	-0.297	-1.990	0.196	0.423	-2.178
YJR094C	-0.004	-0.210	-0.128	-1.037	-3.244
YJL106W	0.306	-0.069	0.149	0.243	-2.349
YJL082W	0.064	-0.712	0.098	-0.496	-3.389
YBR107C	0.337	0.062	0.071	-0.395	-1.937
YOL108C	-3.934	-4.849	-0.789	-0.224	-2.775
YIL002C	0.994	0.940	0.485	0.127	-0.736
YOL065C	0.755	0.423	0.528	1.521	0.209
YLR095C	0.814	-2.321	-0.491	-1.193	-5.510
YFR013W	0.364	1.106	0.147	1.032	-0.461
YDR072C	-0.598	-0.447	0.224	2.555	2.161
YOL081W	-3.052	-3.975	3.185	-0.035	-5.587
YHR079C	0.389	-0.878	0.444	0.622	-2.134
YKR019C	-0.569	-5.045	0.923	0.802	-1.104
YER019W	-3.876	-5.337	-1.075	-5.278	-6.351
YER180C	0.296	-0.610	0.090	-0.675	-3.014
YNL265C	0.599	1.538	-0.025	0.854	-0.816
YOR226C	-1.878	-4.833	-0.891	-4.443	-4.738
YBR245C	0.890	-1.169	-0.448	-2.093	-6.318
YOR304W	0.824	0.829	-0.171	0.883	-2.413
YJR050W	-1.828	-5.894	-0.009	-2.106	-5.913
YGL133W	1.509	2.288	0.366	1.505	-1.377
YDR497C	0.150	0.152	0.116	-0.841	-2.941
YOL103W	0.347	-0.759	0.079	-0.034	-3.051
YML068W	0.581	-0.014	0.519	0.098	-2.418
YDR229W	-0.024	-0.137	-0.141	-1.044	-3.699
YKL032C	-1.575	-4.426	0.222	-2.299	-3.444
YJL073W	0.392	1.335	0.540	1.498	-0.179
YKL217W	0.044	0.294	0.011	-0.307	-3.198
YDR475C	0.464	-0.362	-0.012	0.308	-2.064
YJR091C	0.139	-1.422	0.112	-0.709	-3.831
YCL055W	1.230	0.424	0.976	0.401	-1.507
YPL269W	0.143	0.163	0.095	-0.107	-1.309
YCL024W	0.474	0.499	0.242	-0.192	-2.829
YHR158C	0.004	2.843	0.089	1.042	-1.610
YGR238C	0.165	1.366	-0.232	-0.363	-2.619
YPL263C	0.193	-0.624	-0.343	-0.818	-3.415
YPL145C	0.003	-0.558	0.231	-0.495	-3.789
YNL238W	-4.313	-3.949	-0.451	-2.971	-4.865
YIL125W	-1.759	-3.192	-1.434	-1.729	-4.241
YLR096W	0.212	-0.203	0.080	-0.919	-3.927
YOR233W	0.178	0.649	-0.102	-0.829	-3.445
YBL063W	0.890	-0.254	0.180	0.901	-1.827
YLL019C	-1.242	-6.286	-0.481	-0.774	-6.139
YNL322C	-1.617	-3.904	0.312	1.764	-0.048
YDR483W	-0.268	-3.148	-0.226	-0.877	-3.263
YIL027C	-0.133	-0.115	0.242	-1.015	-3.660
YHR082C	0.143	-2.601	0.777	3.418	3.252
YKL110C	-1.523	-3.516	-1.721	-3.244	-4.685
YKR061W	0.537	-0.283	0.401	0.327	-1.841
YBR205W	0.621	-0.341	0.295	0.073	-2.821
YBR199W	0.209	0.241	-0.133	0.088	-1.906
YPL053C	0.577	-0.301	0.768	-0.142	-2.672
YIL085C	-0.230	0.354	-0.192	-0.707	-3.266
YKL008C	0.752	0.209	0.444	-0.013	-3.026
YOL025W	0.707	-0.874	0.512	0.083	-2.891
YNL239W	0.273	0.415	0.142	-0.264	-2.482
YKL103C	0.126	-0.292	-0.092	0.164	-2.151
YJL062W	-4.047	-5.268	-0.736	-2.434	-4.814
YNL071W	-0.513	-0.807	-0.604	-2.910	-4.665
YJL134W	1.411	3.211	0.622	2.236	1.128
YOR171C	0.923	1.289	0.369	1.326	-1.456
YPL054W	-0.199	0.227	-0.281	0.378	-2.385
YLR451W	-0.065	-1.557	-0.217	-0.817	-3.536
YNL104C	-1.123	-2.395	0.638	0.446	-3.093
YPL055C	-0.513	-2.662	-0.042	-0.997	-1.870
YDL051W	-1.111	-3.647	-0.009	-1.146	-3.483
YGL090W	0.518	0.638	1.027	0.007	-1.413
YHR156C	-0.089	-0.012	0.108	0.310	-2.243
YKL205W	-0.280	-0.664	-0.145	-1.125	-3.707
YKL183W	0.055	-0.277	0.048	-0.526	-2.671
YFL018C	-4.788	-5.037	-4.955	-3.853	-5.025
YDR503C	0.515	-1.514	0.316	-0.512	-3.533
YDR439W	-0.312	-0.303	-0.573	0.194	-2.658
YGR136W	0.392	-0.101	0.121	-0.118	-2.846
YFR024C-A	0.394	0.324	0.014	-0.301	-3.032
YOR142W	0.087	-0.313	-0.535	-1.807	-5.255
YGR244C	1.027	0.856	0.592	-0.751	-2.560
YJL124C	-2.290	-1.433	-1.485	-0.563	-1.779
YDR378C	-3.637	-4.449	-1.690	-3.978	-5.248
YNL147W	-3.327	-3.873	-0.692	-3.293	-3.932
YPL004C	0.129	-0.123	0.285	-0.057	-2.241
YGR057C	0.048	-0.448	1.902	1.213	-0.713
YAL024C	0.627	-0.452	0.164	-0.926	-2.624
YPR073C	0.394	-0.330	0.044	-0.513	-2.841
YIL094C	0.702	0.447	0.108	-0.146	-2.813
YBR115C	-1.358	-3.389	0.023	-0.475	-3.948
YDL182W	0.862	-0.066	0.783	1.739	0.267
YDL131W	0.878	0.111	0.254	0.149	-1.997
YDR234W	-1.884	-2.728	0.321	-0.281	-2.262
YGL154C	-1.759	-5.112	0.078	-0.560	-3.111
YGL086W	0.585	-1.376	0.360	-0.586	-3.918
YJL030W	0.060	-2.047	0.082	-0.506	-3.150
YJL013C	-0.779	-3.483	-0.885	-1.881	-4.261
YKL029C	0.692	0.724	0.361	0.453	-1.237
YER142C	0.488	-0.141	0.148	-0.334	-2.867
YLR427W	-0.025	0.348	0.140	0.044	-2.154
YPL100W	-1.535	1.351	-0.814	-5.689	-5.968
YEL053C	-4.438	-5.681	-0.571	-1.710	-5.965
YPR051W	-2.368	-3.720	0.055	-1.053	-3.320
YCR019W	-3.145	-5.840	-0.268	1.976	-1.653
YGR292W	0.183	-0.711	-0.149	-0.272	-2.842
YGR288W	0.194	-0.401	0.050	0.150	-2.616
YBR185C	-1.000	-0.639	-2.272	-4.181	-6.173
YOR298C-A	0.399	0.331	0.129	-0.164	-2.312
YDL056W	0.769	2.644	0.363	0.094	-4.214
YKL093W	0.810	-1.309	0.119	-1.797	-4.554
YOR197W	0.357	-0.278	0.243	-0.487	-2.534
YOL119C	-0.541	-0.902	-0.090	-1.353	-3.645
YOR306C	-5.679	-4.668	-3.398	-4.185	-5.396
YNL173C	0.140	-0.282	0.233	0.060	-2.481
YKL085W	-2.815	-4.847	-0.044	-3.511	-5.708
YOL126C	0.099	-3.549	0.270	0.982	-2.032
YDL078C	0.317	-0.479	0.330	0.098	0.742
YML104C	-0.258	-1.535	0.281	-0.407	-2.595
YOL076W	0.525	-4.394	1.384	-2.468	-4.340
YHR194W	-0.001	-0.952	0.226	-1.219	-4.725
YGL219C	-0.232	-2.591	0.222	-0.998	-2.577
YKL053C-A	-0.185	-1.023	0.230	-1.319	-4.356
YPR083W	0.329	0.446	0.249	0.560	-1.692
YGR100W	0.578	-2.161	0.579	1.511	-0.474
YJL112W	-0.084	-1.590	0.060	-0.475	-3.115
YPR070W	-0.680	-1.626	1.285	2.743	-0.658
YOR351C	0.807	0.209	0.768	0.548	-1.590
YGR121C	0.149	0.213	0.277	-0.971	-3.373
YNL142W	0.481	0.697	0.552	0.122	-1.651
YPR138C	0.595	-0.699	0.386	0.598	-1.414
YPR167C	0.764	-0.377	0.498	1.653	-0.255
YNL277W	0.858	-0.068	0.437	0.135	-2.151
YIR017C	0.534	-0.541	0.053	-0.157	-2.909
YJR010W	0.167	-0.894	0.009	-0.718	-3.339
YDR253C	0.262	-0.430	0.137	-0.531	-3.101
YER091C	0.204	-2.034	0.795	1.823	0.297
YLR017W	0.595	-0.003	0.521	0.549	-1.225
YPL187W	0.104	-0.016	-0.155	0.313	-2.762
YGL089C	0.650	0.216	0.716	0.093	-2.606
YNL145W	-1.186	-4.337	-0.632	-1.610	-4.921
YIR033W	0.534	-0.869	0.152	0.383	-1.399
YJL042W	1.197	0.874	-0.252	-1.557	-6.208
YDR296W	-4.024	-3.614	-3.976	-3.593	-5.015
YLL062C	0.836	0.674	0.756	0.461	-2.076
YGL209W	0.558	-0.184	0.769	0.130	-3.509
YER028C	0.183	0.285	-0.216	-0.552	-3.028
YBR084W	-4.651	-6.146	-1.987	-3.024	-5.144
YDR144C	-1.615	-2.996	0.500	0.111	-3.089
YPL140C	-0.269	-1.980	-0.356	-1.295	-4.212
YNL076W	-0.729	1.384	-0.921	-4.091	-5.553
YNL085W	0.617	0.371	0.696	0.355	-0.930
YPR188C	-0.020	-0.143	0.010	-0.061	-3.057
YNL074C	0.244	0.809	0.336	-0.461	-2.807
YMR167W	-1.393	-1.187	-0.142	-1.850	-2.442
YPL164C	-0.693	-1.432	-0.051	0.367	-2.270
YKR095W	0.255	-1.210	0.092	0.903	-1.402
YLL061W	0.209	-0.033	0.139	-0.044	-2.337
YPR164W	-0.558	-0.113	0.956	0.994	-1.712
YGL087C	-0.983	2.505	-0.489	-0.592	-3.738
YBR098W	-0.658	-0.818	-0.383	-2.310	-5.610
YBR100W	0.241	-0.089	0.282	0.022	-2.745
YMR177W	0.057	-0.831	0.272	-0.712	-2.729
YPL224C	0.106	-0.923	-0.714	-2.556	-4.889
YOR350C	-6.208	-6.387	-3.535	-5.461	-6.272
YER001W	0.278	-1.359	0.137	0.167	-2.518
YKL201C	-0.321	-1.551	-0.152	-0.625	-2.756
YJL186W	0.074	-0.767	0.217	0.574	-2.068
YKL064W	0.580	-2.905	0.327	0.322	-1.530
YJR131W	0.869	4.122	0.587	2.066	0.263
YGL257C	0.351	-0.230	0.220	0.304	-1.654
YIL014W	0.225	-0.864	-0.212	-1.588	-2.640
YNR059W	-0.080	-0.429	-0.615	-1.783	-4.441
YBL049W	0.083	-4.066	-0.368	-0.728	-6.761
YCL039W	-1.413	-3.599	-0.212	-3.788	-5.352
YGL124C	-3.386	-3.095	-0.732	-2.773	-3.588
YNL297C	-5.480	-5.082	-3.305	-4.512	-4.963
YMR070W	-1.598	-5.006	-0.587	-5.306	-6.418
YNL249C	0.195	-0.354	-0.057	-0.553	-3.038
YOR177C	0.360	-0.843	-0.147	-0.676	-3.096
YOR288C	-0.012	-0.882	-0.209	0.501	-1.567
YOL088C	0.210	0.006	0.204	-0.729	-4.168
YIR002C	-0.197	-2.227	-0.242	-0.957	-3.100
YCL061C	-0.405	1.347	0.105	0.035	-1.654
YGL064C	-4.037	-3.686	-2.865	-2.896	-3.120
YDL079C	0.060	-0.769	0.004	-0.466	-2.508
YPR079W	0.583	1.757	-0.103	-0.507	-3.583
YGL136C	-1.903	-2.694	-1.598	-2.216	-3.006
YDR347W	-4.225	-3.333	-3.057	-2.456	-3.581
YGR084C	0.453	-0.129	0.494	-0.334	-3.423
YKL167C	-0.290	-1.081	0.059	-0.145	-2.510
YDR036C	0.226	0.515	0.326	-0.139	-2.762
YPL118W	-4.453	-3.986	-4.007	-3.017	-3.989
YDL202W	-3.693	-3.085	-2.903	-3.193	-3.634
YNL177C	-4.576	-4.311	-3.599	-3.130	-4.029
YMR193W	-5.198	-4.956	-4.048	-2.309	-2.221
YCR003W	-5.239	-6.059	-4.941	-4.530	-5.789
YKL170W	-4.575	-4.622	-4.265	-3.433	-4.552
YPL173W	-3.009	-2.660	-2.945	-2.375	-3.448
YMR225C	1.053	1.265	0.485	1.346	-1.030
YNR022C	0.963	0.570	0.159	0.358	-2.546
YJL063C	-2.698	-3.745	-2.906	-2.570	-4.016
YPL013C	-3.086	-2.562	-3.078	-2.600	-3.063
YOR334W	-6.440	-6.446	-2.566	-5.348	-5.908
YJL133W	0.642	0.081	1.020	2.096	-1.204
YKR052C	0.819	0.059	0.185	0.944	-1.257
YOR188W	1.495	0.212	1.388	1.082	-0.869
YGR014W	0.385	-0.091	0.305	-0.314	-2.811
YNL293W	1.193	-0.642	0.101	-1.882	-4.705
YDR205W	-0.776	-5.422	0.133	-0.928	-4.617
YLR219W	0.427	0.007	0.212	-0.063	-2.810
YOR354C	-0.838	-2.642	0.042	-1.342	-5.106
YHR039C	0.916	0.267	1.092	0.405	-2.481
YNL053W	0.534	0.200	-0.081	-0.546	-3.110
YOL090W	-0.428	-1.793	3.357	6.252	7.038
YCR092C	0.027	0.045	0.168	-0.159	-1.458
YFL003C	-0.083	-0.933	0.185	-0.382	-2.773
YDL154W	0.211	-0.328	0.177	-0.563	-2.854
YIR009W	-0.461	-4.136	0.534	-0.604	-3.936
YGR171C	-3.466	-3.725	-3.451	-2.425	-3.791
YOL116W	0.571	0.514	0.091	-0.502	-3.437
YMR037C	-0.271	-1.319	-0.291	-0.544	-4.406
YKL062W	-0.375	-0.109	-0.406	-2.191	-5.461
YDR335W	0.560	-4.807	0.198	-1.033	-4.342
YNR049C	0.285	1.415	0.026	0.061	-1.680
YGR028W	-0.327	-0.759	-0.055	-0.714	-2.749
YMR164C	0.225	-0.585	-0.096	-2.158	-4.870
YDR194C	-5.099	-5.463	-5.433	-4.893	-5.636
YMR287C	-5.412	-4.545	-5.014	-4.504	-5.509
YKR080W	0.030	0.038	0.015	-0.293	-2.864
YMR228W	-3.895	-2.851	-2.839	-2.026	-2.630
YMR097C	-3.995	-2.531	-2.323	-2.005	-3.101
YDR277C	-3.031	-2.492	-0.424	-2.275	-4.924
YGR023W	-0.321	-4.161	0.378	0.010	-2.677
YGL236C	-4.406	-5.573	-3.972	-4.757	-5.710
YIR019C	0.445	1.353	0.001	-0.451	-3.334
YBR119W	0.700	-2.020	0.640	0.211	-1.078
YKL074C	-1.661	-5.713	-0.403	-1.704	-2.789
YPL070W	0.651	-0.243	0.181	-2.718	-5.701
YBR057C	1.225	1.222	0.877	0.647	-1.982
YHL036W	0.941	0.382	1.350	0.531	-2.526
YGR007W	0.005	0.463	0.246	-1.163	-4.403
YDR386W	0.200	-0.820	0.180	-0.468	-3.442
YMR004W	-0.945	-4.316	0.292	0.507	-1.691
YER042W	0.473	-0.552	0.444	-0.272	-3.297
YKL129C	0.419	-0.183	0.251	-0.959	-3.707
YMR109W	0.262	-0.504	0.125	-0.361	-3.952
YML117W	-1.014	-1.601	0.818	2.658	0.662
YLR382C	-3.825	-4.330	-3.877	-2.409	-4.328
YHR086W	-0.582	-1.972	-0.009	-0.512	-2.510
YGR232W	0.389	-0.988	0.101	0.368	-1.784
YPR155C	0.514	0.010	0.492	-0.352	-2.552
YJL116C	0.130	-0.275	0.117	-0.330	-2.737
