ORF	hap a | chronological lifespan | glucose [2%], time [9 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010	hap a | chronological lifespan | glucose [2%], time [21 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010	hap a | chronological lifespan | glucose [0.5%], time [9 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010	hap a | chronological lifespan | glucose [0.5%], time [21 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010	hap a | chronological lifespan | glucose [0.5%], time [33 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010
YEL052W	0.412	0.203	0.041	-1.013	-4.187
YDR085C	0.513	-0.613	0.749	0.251	-3.203
YPL202C	0.309	-0.110	0.009	-0.296	-2.917
YGL032C	0.371	0.069	0.266	0.506	-1.873
YIL044C	-1.115	-5.884	0.025	-0.785	-3.242
YFL055W	0.004	-0.640	0.553	0.330	-2.562
YDR214W	0.525	-0.123	0.319	-0.335	-2.949
YOR023C	0.406	0.469	-0.156	0.411	-0.697
YLR109W	0.246	-0.486	0.544	-0.045	-3.887
YHR093W	0.683	-0.026	0.388	0.028	-2.532
YMR092C	0.331	0.010	0.338	-0.449	-2.981
YIL079C	-0.664	-3.313	0.094	-0.301	-4.610
YOR034C	-0.192	-1.122	-0.311	-0.462	-2.876
YMR169C	0.513	0.325	0.234	-0.104	-2.403
YER073W	0.169	-0.103	0.074	-0.164	-2.238
YPL227C	-2.340	-5.528	-1.348	-3.370	-5.847
YOR002W	-1.781	-3.578	-0.907	-1.907	-3.348
YOR067C	-2.036	-6.277	-0.870	-4.860	-6.185
YNL219C	-0.038	-2.776	-0.775	-1.273	-3.022
YNL270C	1.180	0.839	0.962	1.144	-0.997
YBR158W	0.019	-0.432	0.109	0.110	-2.480
YGL156W	0.891	0.911	0.358	-0.151	-2.081
YPR128C	0.698	0.704	0.511	0.900	-1.126
YBR231C	0.782	1.845	1.496	3.140	-0.460
YCL050C	-2.667	-5.621	0.360	2.189	-1.793
YLR102C	0.188	-1.213	0.137	0.041	-3.047
YBR151W	0.037	0.587	0.176	-0.942	-3.505
YKL157W	0.591	0.202	0.164	0.174	-2.029
YBR286W	-3.115	-5.670	-0.565	0.004	-0.724
YLL042C	-4.943	-6.308	-0.461	-5.305	-6.691
YBR217W	-4.859	-6.317	-0.597	-5.463	-6.088
YPR185W	-4.635	-6.093	-0.925	-5.231	-5.968
YBR128C	-4.975	-6.743	-0.469	-5.690	-6.545
YMR159C	-5.783	-7.122	-0.807	-6.195	-6.584
YNL242W	-4.698	-6.617	-0.769	-5.408	-6.552
YPL149W	-4.915	-5.789	-1.592	-5.431	-6.339
YHR171W	-5.047	-5.008	-0.549	-4.433	-5.506
YDL149W	-3.008	-4.467	-0.096	-3.604	-4.704
YNL077W	0.063	-1.678	-0.131	-1.681	-3.998
YJR005W	0.200	-0.193	0.145	-0.370	-2.055
YBL037W	1.579	1.171	0.793	1.084	-0.088
YPR029C	-0.599	-3.335	0.159	0.395	-2.196
YPL259C	-0.688	-3.991	-0.386	0.411	-1.178
YHL019C	0.015	-1.074	0.246	-0.082	0.409
YBR288C	-1.445	-6.097	-0.229	-5.086	-6.108
YOL062C	-0.202	-0.984	0.230	-0.648	-2.892
YKL114C	0.445	0.248	-0.046	-0.370	-3.299
YBL019W	1.277	0.547	1.035	1.735	-0.528
YMR192W	0.408	-0.893	0.024	-0.424	-2.633
YLR170C	-0.799	-1.684	0.178	0.277	-2.077
YJR058C	0.292	-0.261	0.425	-0.246	-2.058
YJL024C	-1.368	-3.665	-0.466	-2.847	-4.430
YML022W	-4.261	-2.688	2.833	-2.275	-4.133
YNL065W	0.300	-0.355	0.553	-1.216	-3.092
YBR043C	0.050	-0.379	-0.066	-0.437	-3.061
YPR192W	-0.099	-1.890	-0.345	-0.746	-4.111
YLL052C	0.367	0.135	0.164	0.090	-2.107
YHR013C	-4.089	-3.974	-4.146	-3.427	-3.863
YCR048W	-0.413	-0.285	0.010	-0.261	-2.539
YNR019W	0.447	0.126	0.573	0.485	-2.956
YOR094W	0.100	0.366	0.165	0.145	-2.748
YOL058W	0.214	-0.227	-0.013	-0.302	-2.551
YJL071W	0.924	0.774	0.639	0.257	-1.984
YHR018C	0.362	-0.527	0.119	-0.929	-3.825
YER069W	0.668	0.560	0.314	0.376	-2.157
YML099C	0.483	-1.221	0.299	0.132	-2.882
YBR164C	-2.618	-4.598	-0.232	-0.826	-4.891
YHL040C	0.101	-1.109	-0.099	-0.717	-3.098
YHL047C	-0.488	-0.263	-0.617	-2.121	-5.757
YDR380W	0.542	0.887	0.281	-0.314	-2.238
YDR035W	0.445	0.603	0.113	-0.242	-2.630
YDR421W	-0.286	-1.179	0.055	-0.416	-3.149
YHR129C	-0.610	-0.770	-0.388	-1.251	-4.158
YPR199C	0.258	-0.477	0.197	0.131	-3.125
YPR200C	0.126	-0.765	0.038	0.062	-1.961
YPR201W	-0.011	-0.323	-0.042	-0.618	-2.609
YDR101C	0.041	-0.937	0.724	1.356	-0.875
YJL115W	1.357	-1.431	-0.613	-0.052	-3.057
YKL185W	0.139	-0.401	0.033	-0.242	-2.752
YNL159C	0.144	-0.107	-0.126	-0.325	-3.246
YPR145W	0.352	0.134	0.486	0.126	-2.602
YGR124W	0.574	0.007	0.387	0.660	-1.454
YDR321W	0.247	0.367	0.123	-0.638	-2.768
YBL069W	1.167	0.571	0.725	1.613	-0.890
YER101C	-0.038	-1.257	0.030	-0.627	-2.564
YDR184C	0.536	1.380	0.083	0.533	-2.168
YGL017W	-0.028	-1.553	0.185	-1.099	-3.494
YOR377W	0.103	-0.421	-0.035	-0.763	-3.059
YGR177C	0.533	0.209	0.514	0.058	-2.927
YLR393W	-3.486	-2.981	-3.014	-2.563	-3.878
YPR020W	-0.606	-3.500	-0.466	-1.980	-5.316
YNL259C	-0.563	-0.996	0.254	-0.033	-3.483
YOR011W	0.028	0.301	-0.238	-0.069	-2.363
YFR021W	-2.004	-1.775	-0.343	-1.453	-2.612
YCL038C	0.823	-0.442	-0.402	-2.891	-5.012
YBL078C	-0.985	-6.928	-0.022	-5.260	-6.606
YMR068W	0.775	-0.060	0.130	0.075	-2.037
YJR001W	0.468	0.348	0.441	-0.110	-2.339
YEL064C	0.753	-0.399	0.714	-0.147	-3.000
YKL146W	0.739	0.175	0.401	-0.177	-2.605
YNL101W	0.782	0.482	0.644	0.812	-0.221
YER119C	-0.022	-1.735	-0.203	-1.108	-3.013
YIL088C	-0.464	-2.832	-0.242	-0.638	-2.684
YPR122W	0.507	-2.607	-0.004	-0.289	-1.991
YIL140W	0.434	1.688	0.482	0.877	-1.506
YIL124W	-0.654	-0.752	0.702	0.884	-3.622
YLL063C	0.459	0.027	0.395	-0.032	-2.655
YGR224W	1.316	0.720	0.982	0.455	-1.927
YOR134W	0.470	-0.207	0.324	0.092	-2.776
YDR046C	0.511	0.674	0.296	-0.324	-1.751
YJR148W	0.863	0.927	0.544	0.935	-0.718
YJL020C	0.486	1.779	-0.088	-1.293	-3.939
YJL095W	-5.756	-6.592	-2.555	-5.806	-6.367
YDR375C	-1.367	-2.026	-1.673	-1.884	-1.597
YER155C	-2.610	-4.559	0.014	1.544	-1.338
YPL115C	-0.104	-0.303	-0.377	-0.585	-3.971
YJR053W	-0.073	-0.525	0.179	-0.098	-2.883
YOR198C	-0.768	-2.163	-0.161	-0.807	-4.582
YCL029C	0.517	-0.919	0.327	0.021	-2.892
YNR058W	0.074	-0.085	0.200	-0.176	-2.903
YNR057C	0.139	0.012	0.028	-0.301	-2.820
YNR056C	0.128	-0.504	0.191	0.017	-1.997
YJL058C	0.243	0.071	0.355	-0.123	-2.636
YFL007W	-1.005	0.086	-0.280	-1.853	-4.947
YER177W	0.708	-3.439	-0.688	-1.478	-4.248
YDR099W	0.776	0.239	0.166	-0.407	-3.001
YJR078W	0.090	-0.745	0.196	-0.439	-2.643
YJL060W	0.058	-1.019	0.169	-0.008	-2.074
YBL098W	0.324	0.382	-0.355	-1.113	-3.820
YFR047C	-0.588	-1.837	-0.041	-3.027	-4.423
YNL271C	0.418	0.651	-0.349	-0.760	-2.363
YNL233W	-0.303	-1.240	-0.189	-0.829	-2.965
YNL166C	-0.538	-0.362	0.492	2.034	-0.994
YIL159W	-1.090	-1.856	0.131	-0.837	-3.532
YBL085W	1.307	1.583	0.894	2.082	-0.566
YER114C	0.217	0.429	0.269	-0.439	-2.698
YPL221W	0.238	0.359	-0.058	0.220	-2.078
YLR267W	-0.510	0.378	0.089	0.623	-1.299
YCR032W	-3.452	-6.045	-0.584	-4.015	-5.071
YLL015W	-0.279	-0.635	-0.231	-0.284	-2.777
YDL074C	-0.500	-5.108	-0.440	-0.556	-3.389
YLR015W	-1.561	-6.429	-0.391	1.332	1.543
YPR057W	-2.252	-5.185	-0.255	0.687	-1.952
