ORF	hom | growth (relative abundance in pooled culture) | toxaphene [160 uM] | Gaytan BD~Vulpe CD, 2013	hom | growth (relative abundance in pooled culture) | toxaphene [320 uM] | Gaytan BD~Vulpe CD, 2013	hom | growth (relative abundance in pooled culture) | toxaphene [640 uM] | Gaytan BD~Vulpe CD, 2013
YOR153W	-6.300	-5.800	-6.050
YDL020C	-3.150	-3.050	-2.550
YIR023W	-3.100	-3.500	-3.000
YDR354W	-2.900	-4.500	-4.700
YDR126W	-2.900	-3.200	-3.000
YNL229C	-2.750	-2.450	-2.950
YDR463W	-2.500	-3.100	-3.000
YGR153W	-2.500	-2.600	-2.600
YDR008C	-2.300	-2.800	-3.100
YBR171W	-2.300	-2.600	-2.400
YEL045C	-2.200	-2.600	-2.400
YGL013C	-2.150	-2.250	-2.700
YGR063C	-2.000	-1.850	-1.950
YKR019C	-1.750	-2.500	-2.000
YKL077W	-1.750	-1.450	-1.200
YHR167W	-1.650	-2.000	-2.500
YDR203W	-1.600	-1.900	-2.200
YIL090W	-1.500	-1.500	-2.200
YPR074C	-1.500	-1.400	-1.700
YGL005C	-1.500	-1.400	-1.400
YDR231C	-1.450	-1.850	-2.050
YCR071C	-1.400	-1.700	-2.600
YDR455C	-1.400	-1.500	-1.300
YJL130C	-1.300	-1.400	-1.550
YNL032W	-1.300	-1.300	-1.300
YOR070C	-1.250	-1.550	-1.500
YHR155W	-1.250	-1.500	-1.750
YJL120W	-1.250	-1.300	-1.350
YMR264W	-1.200	-1.000	-1.150
YGR178C	-1.200	-0.900	-1.100
YML048W	-1.100	-1.100	-1.400
YHR073W	-1.100	-1.050	-1.700
YNL010W	-1.100	-1.000	-0.800
YKL155C	-1.000	-1.500	-1.650
YDR204W	-1.000	-1.500	-1.400
YML062C	-1.000	-1.300	-1.700
YJL121C	-1.000	-1.200	-1.600
YJL141C	-1.000	-1.000	-1.200
YNR051C	-0.950	-1.350	-1.800
YGR222W	-0.950	-1.300	-1.350
YCR086W	-0.900	-1.100	-1.500
YGL043W	-0.800	-0.800	-1.000
YGL253W	-0.700	-0.900	-1.300
YGR064W	-2.000	0.000	-1.400
YGL020C	-1.900	0.000	-2.100
YEL031W	-1.550	-1.400	0.000
YDR028C	-1.500	0.000	-1.500
YGL054C	-1.400	0.000	-1.700
YLR270W	-1.350	-1.150	0.000
YGR166W	-1.300	-1.500	0.000
YHR189W	-1.300	0.000	-1.600
YNL148C	-1.300	0.000	-1.000
YLR201C	-1.200	-1.500	0.000
YLR126C	-1.200	-1.000	0.000
YHR129C	-1.200	0.000	-0.900
YER084W	-1.000	0.000	-1.100
YAL053W	-0.900	-1.100	0.000
YBR068C	-0.900	-0.800	0.000
YOR067C	-0.800	-0.800	0.000
YGL148W	-0.800	0.000	-1.550
YOR330C	0.000	-1.600	-1.800
YER151C	0.000	-1.500	-2.050
YJL166W	0.000	-1.350	-1.900
YEL062W	0.000	-1.300	-1.400
YER141W	0.000	-1.200	-1.450
YJL004C	0.000	-1.200	-1.400
YPR099C	0.000	-1.200	-1.400
YFR009W	0.000	-1.200	-1.400
YKR026C	0.000	-1.200	-1.300
YIR021W	0.000	-1.200	-1.300
YCR053W	0.000	-1.100	-1.400
YNL329C	0.000	-1.100	-1.400
YJL022W	0.000	-1.100	-1.400
YDR035W	0.000	-1.100	-0.900
YPR100W	0.000	-1.100	-0.900
YHR168W	0.000	-1.000	-1.300
YDR230W	0.000	-1.000	-1.000
YAR031W	0.000	-0.800	-0.900
YJL175W	-3.300	0.000	0.000
YKL037W	-2.500	0.000	0.000
YCR009C	-1.650	0.000	0.000
YGR228W	-1.600	0.000	0.000
YGL025C	-1.500	0.000	0.000
YFR034C	-1.400	0.000	0.000
YNL206C	-1.400	0.000	0.000
YDL100C	-1.300	0.000	0.000
YPL066W	-1.300	0.000	0.000
YMR238W	-1.250	0.000	0.000
YDR377W	-1.200	0.000	0.000
YOL081W	-1.200	0.000	0.000
YOR297C	-1.200	0.000	0.000
YOR052C	-1.200	0.000	0.000
YLR330W	-1.100	0.000	0.000
YLR420W	-1.000	0.000	0.000
YGL007W	-1.000	0.000	0.000
YML009C-A	-1.000	0.000	0.000
YJR059W	-0.900	0.000	0.000
YJR073C	-0.900	0.000	0.000
YKR072C	-0.900	0.000	0.000
YMR070W	-0.800	0.000	0.000
YFL031W	0.000	-2.000	0.000
YLR418C	0.000	-1.300	0.000
YMR151W	0.000	-1.200	0.000
YKL160W	0.000	-1.150	0.000
YMR015C	0.000	-1.000	0.000
YNL099C	0.000	-1.000	0.000
YJL101C	0.000	-1.000	0.000
YKR093W	0.000	-1.000	0.000
YMR286W	0.000	-0.900	0.000
YDR007W	0.000	-0.900	0.000
YMR022W	0.000	-0.700	0.000
YGL149W	0.000	0.000	-1.800
YIL052C	0.000	0.000	-1.750
YDR484W	0.000	0.000	-1.700
YGR171C	0.000	0.000	-1.700
YFL025C	0.000	0.000	-1.700
YER153C	0.000	0.000	-1.650
YGR183C	0.000	0.000	-1.600
YBR106W	0.000	0.000	-1.500
YHR116W	0.000	0.000	-1.400
YOR216C	0.000	0.000	-1.400
YML071C	0.000	0.000	-1.300
YER154W	0.000	0.000	-1.300
YPL132W	0.000	0.000	-1.300
YDR405W	0.000	0.000	-1.300
YBL012C	0.000	0.000	-1.300
YPL172C	0.000	0.000	-1.200
YHR133C	0.000	0.000	-1.200
YIL170W	0.000	0.000	-1.100
YHL038C	0.000	0.000	-1.100
YDR322W	0.000	0.000	-1.100
YNR045W	0.000	0.000	-1.100
YDR439W	0.000	0.000	-1.100
YJR144W	0.000	0.000	-0.900
YER005W	0.000	0.000	-0.800
YML119W	4.800	5.600	5.700
YEL028W	5.700	5.700	5.400
YBR138C	5.200	5.500	5.400
YDL010W	5.500	5.400	5.300
YBL013W	5.400	5.200	5.300
YBL065W	5.200	5.200	5.000
YML009C	5.000	5.200	5.000
YLR203C	3.900	4.400	5.000
YOR092W	4.900	4.900	4.900
YDR291W	4.700	4.700	4.700
YOL118C	4.700	4.700	4.700
YDR122W	4.400	4.400	4.700
YLR036C	4.000	4.000	4.700
YGL114W	4.500	4.500	4.600
YNL047C	4.500	4.700	4.500
YJL046W	4.300	4.600	4.500
YCR007C	4.700	4.500	4.300
YOR258W	3.700	4.200	4.300
YMR284W	3.900	4.300	4.200
YHR029C	4.300	4.200	4.100
YMR119W-A	4.100	4.100	4.000
YKL133C	4.400	3.900	3.800
YDR384C	3.600	3.900	3.800
YMR204C	3.800	3.800	3.800
YLL028W	3.000	3.400	3.800
YBR074W	3.700	3.900	3.700
YMR114C	4.100	3.800	3.700
YBR149W	3.800	3.800	3.700
YMR299C	3.800	3.700	3.700
YKR041W	4.400	4.100	3.600
YNL140C	3.900	4.100	3.600
YOL152W	3.500	3.600	3.600
YIR017C	3.800	3.600	3.500
YOL116W	3.200	3.200	3.500
YLR220W	2.800	2.500	3.500
YDL070W	3.200	3.500	3.400
YJR154W	3.700	3.400	3.400
YLR286C	2.900	3.100	3.400
YLR349W	2.600	2.900	3.400
YIL067C	2.200	2.500	3.400
YNL108C	3.600	3.600	3.300
YFL041W	3.700	3.500	3.300
YOR276W	3.100	3.400	3.300
YPR014C	2.900	3.100	3.300
YLR360W	2.800	2.900	3.300
YLR188W	1.700	2.300	3.200
YCL005W	3.200	3.600	3.100
YKR061W	3.400	3.300	3.100
YGR242W	3.200	3.300	3.100
YNL105W	3.400	3.400	3.000
YGR295C	3.000	3.200	3.000
YGR157W	2.700	2.800	3.000
YBR134W	2.700	2.600	3.000
YER060W-A	3.300	3.200	2.900
YDR221W	2.700	2.800	2.900
YDL241W	2.800	2.700	2.900
YPR012W	2.800	3.100	2.800
YDR400W	3.000	3.000	2.800
YDR124W	2.800	3.000	2.800
YBR026C	2.900	2.900	2.800
YPR096C	2.400	2.800	2.800
YDL082W	2.400	2.800	2.800
YOL115W	2.400	2.700	2.800
YLR386W	2.150	2.300	2.800
YLR341W	1.900	2.100	2.800
YER032W	2.800	2.900	2.700
YJL214W	3.100	2.800	2.700
YBL107C	3.000	2.800	2.700
YOR054C	2.700	2.700	2.700
YLR408C	1.800	2.000	2.700
YIL009C-A	3.200	3.500	2.600
YMR115W	2.700	2.800	2.600
YPR140W	2.700	2.700	2.600
YLR334C	1.300	2.000	2.600
YDR403W	2.300	1.900	2.600
YIL160C	3.100	3.100	2.500
YGR041W	2.300	2.800	2.500
YDR336W	2.600	2.700	2.500
YGR049W	2.300	2.500	2.500
YHR153C	2.900	2.700	2.450
YLR178C	2.900	3.000	2.400
YDR385W	2.150	3.000	2.400
YKL147C	2.800	2.600	2.400
YDR360W	1.900	2.600	2.400
YGL015C	2.400	2.400	2.400
YGR127W	2.300	2.400	2.400
YEL023C	2.500	2.200	2.400
