orf	hom | growth (relative abundance in pooled culture) | toxaphene [160 uM] | Gaytan BD~Vulpe CD, 2013	hom | growth (relative abundance in pooled culture) | toxaphene [320 uM] | Gaytan BD~Vulpe CD, 2013	hom | growth (relative abundance in pooled culture) | toxaphene [640 uM] | Gaytan BD~Vulpe CD, 2013
YDR439W	0.0	0.0	-1.1
YDR440W	1.4	1.5	1.6
YDR443C	1.3	1.15	0.0
YDR444W	1.7000000000000002	1.8	1.8
YDR447C	1.2	0.0	0.0
YDR453C	1.1	1.3	1.3
YDR455C	-1.4	-1.5	-1.3
YDR456W	2.2	0.5	2.3
YDR463W	-2.5	-3.1	-3.0
YDR484W	0.0	0.0	-1.7000000000000002
YDR539W	1.0	1.2	1.0
YEL023C	2.5	2.2	2.4
YEL028W	5.7	5.7	5.4
YEL031W	-1.55	-1.4	0.0
YEL033W	0.0	0.0	1.3
YEL039C	1.4	0.0	0.0
YEL045C	-2.2	-2.6	-2.4
YEL057C	1.8	1.5	0.0
YEL062W	0.0	-1.3	-1.4
YEL071W	1.7000000000000002	1.3	1.2
YER005W	0.0	0.0	-0.8
YER032W	2.8	2.9	2.7
YER050C	1.4	1.2	0.0
YER055C	1.5	1.3	0.0
YER056C	2.6	2.5	2.3
YER060W-A	3.3	3.2	2.9
YER066W	1.6	1.4	1.4
YER084W	-1.0	0.0	-1.1
YER110C	1.35	1.4	0.0
YER111C	0.0	0.0	1.4
YER124C	1.0	0.0	0.0
YER135C	1.2	1.0	0.0
YER141W	0.0	-1.2	-1.45
YER151C	0.0	-1.5	-2.05
YER152C	1.1	0.0	0.0
YER153C	0.0	0.0	-1.65
YER154W	0.0	0.0	-1.3
YER156C	1.7000000000000002	1.65	1.6
YER163C	1.1	0.0	0.0
YER175C	2.3	2.0	1.9
YER180C	0.0	1.0	0.0
YER187W	1.2	1.1	0.0
YFL003C	1.7000000000000002	1.5	0.0
YFL014W	2.2	2.4	1.8
YFL015C	1.9	1.7000000000000002	1.4
YFL023W	0.0	1.8	0.0
YFL025C	0.0	0.0	-1.7000000000000002
YFL031W	0.0	-2.0	0.0
YFL040W	1.8	1.6	0.0
YFL041W	3.7	3.5	3.3
YFL048C	1.2	0.0	0.0
YFL063W	1.1	0.0	0.0
YFR007W	1.2	0.0	0.0
YFR009W	0.0	-1.2	-1.4
YFR016C	2.3	1.9	1.3
YFR017C	1.3	0.0	0.0
YFR018C	1.8	1.6	0.0
YFR026C	2.9	2.7	2.3
YFR031C-A	1.3	0.0	0.0
YFR032C	1.2	1.2	0.0
YFR034C	-1.4	0.0	0.0
YFR036W	1.3	0.0	0.0
YFR044C	2.2	1.9	1.4
YGL005C	-1.5	-1.4	-1.4
YGL007W	-1.0	0.0	0.0
YGL013C	-2.15	-2.25	-2.7
YGL015C	2.4	2.4	2.4
YGL020C	-1.9	0.0	-2.1
YGL025C	-1.5	0.0	0.0
YGL031C	0.0	1.3	1.3
YGL037C	1.8	1.9	1.9
YGL043W	-0.8	-0.8	-1.0
YGL054C	-1.4	0.0	-1.7000000000000002
YGL064C	1.2	0.0	0.0
YGL114W	4.5	4.5	4.6
YGL147C	1.3	1.3	1.2
YGL148W	-0.8	0.0	-1.55
YGL149W	0.0	0.0	-1.8
YGL154C	1.0	0.0	0.0
YGL162W	1.4	1.2	1.2
YGL166W	0.0	1.0	0.0
YGL175C	1.7000000000000002	1.8	1.9
YGL232W	1.4	1.6	1.5
YGL253W	-0.7	-0.9	-1.3
YGL257C	2.4	2.4	2.2
YGR038W	1.5	1.7000000000000002	1.5
YGR040W	1.0	1.1	0.0
YGR041W	2.3	2.8	2.5
YGR043C	1.4	1.7000000000000002	0.0
YGR049W	2.3	2.5	2.5
YGR055W	1.5	1.6	1.7000000000000002
