orf	hap a | growth (spot assay) | propionic acid [18-20 mM] | Mira NP~Sa Correia I, 2009
YAL009W	-4.411235533842789
YAL048C	-4.411235533842789
YAL059W	-4.411235533842789
YAR015W	-4.411235533842789
YBL012C	-4.411235533842789
YBL013W	-4.411235533842789
YBL045C	-2.2056177669213946
YBL071C-B	-4.411235533842789
YBL071W-A	-4.411235533842789
YBL080C	-4.411235533842789
YBL090W	-4.411235533842789
YBR003W	-4.411235533842789
YBR035C	-4.411235533842789
YBR056W	-4.411235533842789
YBR068C	-4.411235533842789
YBR120C	-4.411235533842789
YBR122C	-4.411235533842789
YBR132C	-4.411235533842789
YBR286W	-2.2056177669213946
YBR298C	-2.2056177669213946
YCL005W-A	-4.411235533842789
YCL007C	-4.411235533842789
YCL008C	-4.411235533842789
YCL038C	-4.411235533842789
YCR009C	-4.411235533842789
YCR024C	-4.411235533842789
YCR024C-A	-2.2056177669213946
YCR025C	-2.2056177669213946
YCR026C	-2.2056177669213946
YCR045C	-4.411235533842789
YCR050C	-2.2056177669213946
YCR068W	-4.411235533842789
YCR090C	-2.2056177669213946
YCR092C	-4.411235533842789
YCR094W	-4.411235533842789
YCR100C	-4.411235533842789
YDL005C	-4.411235533842789
YDL049C	-4.411235533842789
YDL063C	-2.2056177669213946
YDL067C	-2.2056177669213946
YDL075W	-2.2056177669213946
YDL077C	-2.2056177669213946
YDL100C	-4.411235533842789
YDL107W	-4.411235533842789
YDL113C	-4.411235533842789
YDL133C-A	-4.411235533842789
YDL135C	-4.411235533842789
YDL142C	-4.411235533842789
YDL160C	-4.411235533842789
YDL168W	-4.411235533842789
YDL173W	-4.411235533842789
YDL179W	-4.411235533842789
YDL180W	-4.411235533842789
YDL181W	-4.411235533842789
YDL183C	-4.411235533842789
YDL185W	-4.411235533842789
YDL190C	-4.411235533842789
YDL202W	-4.411235533842789
YDL226C	-4.411235533842789
YDL241W	-2.2056177669213946
YDR008C	-4.411235533842789
YDR065W	-4.411235533842789
YDR069C	-4.411235533842789
YDR078C	-4.411235533842789
YDR079C-A	-4.411235533842789
YDR079W	-4.411235533842789
YDR114C	-4.411235533842789
YDR115W	-4.411235533842789
YDR129C	-4.411235533842789
YDR138W	-4.411235533842789
YDR148C	-4.411235533842789
YDR195W	-4.411235533842789
YDR204W	-4.411235533842789
YDR230W	-4.411235533842789
YDR231C	-4.411235533842789
YDR255C	-4.411235533842789
YDR257C	-2.2056177669213946
YDR264C	-4.411235533842789
YDR268W	-4.411235533842789
YDR283C	-4.411235533842789
