orf	hap a | growth (relative abundance in pooled culture) | standard [standard] | Breslow DK~Weissman JS, 2008
YBR232C	1.01
YBR233W	1.002
YBR235W	1.002
YBR238C	0.938
YBR239C	1.002
YBR240C	1.002
YBR241C	1.007
YBR242W	0.97
YBR244W	1.01
YBR245C	0.985
YBR246W	0.957
YBR249C	1.005
YBR250W	1.014
YBR255W	0.977
YBR258C	1.008
YBR259W	1.003
YBR260C	1.009
YBR261C	0.995
YBR262C	0.995
YBR263W	0.948
YBR264C	0.928
YBR266C	0.781
YBR267W	0.998
YBR269C	0.99
YBR270C	1.02
YBR271W	0.975
YBR272C	0.99
YBR273C	1.002
YBR274W	1.002
YBR275C	0.986
YBR276C	1.0
YBR277C	0.98
YBR278W	0.972
YBR280C	1.004
YBR281C	0.992
YBR283C	0.978
YBR284W	0.999
YBR285W	1.001
YBR286W	0.996
YBR287W	0.998
YBR288C	0.98
YBR289W	0.993
YBR290W	0.994
YBR291C	0.94
YBR292C	0.975
YBR293W	1.0
YBR294W	1.005
YBR295W	0.992
YBR296C	1.005
YBR297W	0.999
YBR298C	0.995
YBR299W	1.0
YBR300C	1.008
YBR301W	1.004
YCL001W	0.991
YCL001W-A	0.988
YCL002C	1.006
YCL009C	1.022
YCL010C	0.863
YCL011C	0.991
YCL014W	0.9744999999999999
YCL016C	0.863
YCL022C	0.994
YCL023C	1.015
YCL024W	0.969
YCL025C	1.009
YCL026C-A	1.005
YCL027W	1.002
YCL028W	1.014
YCL029C	0.96
YCL032W	0.876
YCL033C	1.023
YCL034W	1.007
YCL035C	0.954
YCL036W	1.011
YCL037C	0.972
YCL038C	0.949
YCL039W	0.979
YCL040W	1.005
YCL042W	1.003
YCL044C	1.018
YCL045C	0.986
YCL046W	0.99
YCL047C	1.001
YCL048W	1.0
YCL050C	1.002
YCL051W	1.005
YCL055W	0.999
YCL056C	1.022
YCL057W	0.977
YCL061C	0.909
YCL063W	0.8445
YCL064C	0.999
YCL069W	0.999
YCR001W	1.028
YCR005C	1.019
YCR006C	1.022
YCR007C	0.966
YCR008W	0.597
YCR009C	0.998
YCR010C	1.019
YCR011C	0.994
YCR014C	0.995
YCR015C	0.995
YCR016W	0.981
YCR017C	0.985
YCR019W	1.03
YCR020C	0.997
YCR020C-A	0.902
YCR021C	1.006
YCR022C	1.009
YCR023C	0.991
YCR024C-A	0.981
YCR025C	1.003
YCR026C	0.993
YCR027C	0.995
YCR028C-A	0.974
YCR030C	1.032
YCR031C	0.87
YCR032W	0.977
YCR033W	0.841
YCR034W	0.911
YCR036W	0.985
YCR037C	0.991
YCR043C	0.966
YCR044C	0.925
YCR045C	0.998
YCR048W	0.932
YCR049C	1.006
YCR050C	0.993
YCR051W	0.942
YCR053W	0.91
YCR059C	1.014
YCR060W	1.004
YCR061W	0.999
YCR063W	0.0
YCR065W	0.953
YCR066W	0.854
YCR067C	0.92
YCR068W	0.997
YCR069W	1.015
YCR071C	0.673
YCR073C	1.012
YCR073W-A	1.008
YCR075C	1.055
YCR076C	1.001
YCR077C	0.829
YCR079W	1.004
YCR081W	0.625
YCR082W	1.011
YCR083W	0.955
YCR085W	0.992
YCR086W	0.896
YCR087C-A	0.99
YCR087W	0.993
YCR088W	0.99
YCR089W	0.873
YCR090C	1.004
YCR091W	1.007
YCR092C	0.997
YCR095C	0.982
YCR098C	1.017
YCR099C	1.0
YCR100C	1.002
YCR101C	1.008
YCR102C	1.003
YCR102W-A	0.941
YCR105W	1.003
YCR106W	1.007
YCR107W	1.001
YDL001W	0.98
YDL002C	0.943
YDL006W	0.961
YDL010W	0.961
YDL011C	0.991
YDL012C	1.019
YDL013W	0.953
YDL018C	1.004
YDL019C	1.002
YDL020C	0.833
YDL023C	0.978
YDL024C	0.962
YDL025C	1.003
YDL026W	1.003
YDL027C	0.998
YDL033C	0.854
YDL034W	1.002
YDL035C	1.016
YDL036C	1.0
YDL037C	1.005
YDL039C	1.0025
YDL040C	0.989
YDL046W	1.003
YDL048C	1.0
YDL050C	1.012
YDL051W	1.021
YDL052C	0.975
YDL053C	1.003
YDL054C	1.009
YDL056W	0.952
YDL059C	0.98
YDL061C	0.94
YDL062W	1.0
YDL065C	0.956
YDL066W	1.002
YDL070W	0.967
YDL071C	0.989
YDL074C	0.828
YDL076C	1.013
YDL077C	0.98
YDL078C	0.994
YDL079C	1.0
YDL080C	0.984
YDL081C	0.79
YDL082W	0.852
YDL083C	0.779
YDL085W	1.005
YDL086W	0.999
YDL088C	0.998
YDL089W	0.999
YDL091C	1.002
YDL093W	1.003
YDL094C	1.004
YDL095W	0.998
YDL096C	0.993
YDL097C	0.941
YDL099W	0.993
YDL100C	0.853
YDL101C	0.963
YDL104C	1.003
YDL106C	1.001
YDL109C	0.999
YDL110C	0.994
YDL112W	0.987
YDL113C	1.008
YDL114W	1.003
YDL115C	0.712
YDL117W	0.88
YDL118W	0.923
YDL119C	0.946
YDL121C	1.003
YDL122W	0.965
YDL123W	1.003
YDL124W	1.005
YDL125C	0.95
YDL127W	1.027
YDL128W	0.969
YDL129W	0.999
YDL130W	0.959
YDL130W-A	0.997
YDL131W	0.948
YDL133C-A	0.9585
YDL133W	0.992
YDL134C	0.908
YDL135C	0.993
YDL136W	0.995
YDL137W	0.994
YDL138W	0.976
YDL142C	0.92
YDL144C	0.951
YDL146W	0.983
YDL149W	1.012
YDL154W	0.999
YDL155W	0.972
YDL156W	1.003
YDL157C	0.99
YDL161W	1.006
YDL162C	0.959
YDL167C	0.918
YDL168W	0.997
YDL169C	1.001
YDL170W	0.995
YDL171C	0.943
YDL172C	0.99
YDL173W	0.946
YDL174C	1.058
YDL175C	1.015
YDL176W	0.984
YDL177C	1.004
YDL178W	1.006
YDL179W	0.943
YDL180W	0.972
YDL181W	0.923
YDL182W	0.974
YDL183C	0.991
YDL184C	0.929
YDL185W	1.014
YDL186W	0.999
YDL187C	1.013
YDL189W	0.997
YDL190C	0.935
YDL191W	0.993
YDL192W	0.957
YDL194W	1.018
YDL197C	0.999
YDL199C	0.97
YDL200C	1.017
YDL201W	0.983
YDL203C	1.002
YDL204W	1.007
YDL206W	1.001
YDL210W	1.006
YDL211C	1.001
YDL213C	0.947
YDL214C	1.002
YDL215C	0.997
YDL216C	0.992
YDL218W	1.003
YDL219W	1.001
YDL222C	0.984
YDL223C	0.998
YDL224C	0.99
YDL226C	0.948
YDL227C	0.999
YDL229W	0.968
YDL230W	0.998
YDL231C	0.997
YDL232W	0.985
YDL233W	1.001
YDL234C	0.996
YDL236W	1.004
YDL237W	1.001
YDL238C	1.001
YDL239C	1.008
YDL240W	0.929
YDL241W	0.96
YDL242W	0.955
YDL243C	0.718
YDR001C	1.016
YDR003W	0.998
YDR004W	0.833
YDR005C	0.996
YDR006C	0.98
YDR007W	0.99
YDR008C	1.003
YDR010C	0.998
YDR011W	0.999
YDR014W	0.941
YDR015C	1.007
YDR018C	1.01
YDR019C	1.005
YDR020C	0.992
YDR022C	1.025
YDR024W	0.789
YDR025W	0.833
YDR026C	0.998
YDR029W	0.988
YDR030C	1.0
YDR031W	1.001
YDR032C	1.002
YDR033W	1.006
YDR035W	0.999
YDR036C	0.998
YDR042C	0.997
YDR043C	1.026
YDR046C	1.003
YDR048C	0.984
YDR049W	0.944
YDR051C	0.994
YDR055W	1.003
YDR056C	0.96
YDR057W	0.987
YDR058C	0.987
YDR059C	0.999
YDR061W	1.011
YDR063W	0.997
YDR066C	1.001
YDR067C	0.987
YDR068W	1.011
YDR070C	1.0
YDR071C	0.915
YDR072C	0.982
YDR073W	0.999
YDR075W	1.015
YDR076W	0.831
YDR077W	0.998
YDR083W	0.8
YDR084C	1.002
YDR085C	1.001
YDR089W	0.996
YDR090C	1.004
YDR092W	1.007
YDR093W	1.013
YDR094W	1.007
YDR095C	1.012
YDR096W	0.992
YDR097C	0.984
YDR098C	0.99
YDR099W	1.016
YDR100W	1.002
YDR101C	0.902
YDR102C	1.003
YDR104C	1.005
YDR105C	0.999
YDR107C	0.998
YDR108W	0.948
YDR109C	0.946
YDR110W	0.981
YDR111C	1.003
YDR112W	0.999
YDR116C	0.98
YDR117C	0.983
YDR119W	0.998
YDR120C	0.996
YDR121W	0.973
YDR122W	1.003
YDR123C	0.541
YDR124W	1.004
YDR125C	1.004
YDR127W	0.988
YDR128W	0.743
YDR130C	1.001
YDR131C	1.0
YDR132C	1.002
YDR133C	0.994
YDR135C	0.995
YDR139C	1.003
YDR142C	0.994
YDR143C	0.995
YDR144C	0.96
YDR146C	0.838
YDR147W	1.009
YDR148C	0.99
YDR149C	0.922
YDR150W	0.932
YDR151C	1.001
YDR152W	0.975
YDR153C	0.999
YDR154C	0.993
YDR155C	0.992
YDR156W	0.875
YDR157W	0.97
YDR158W	0.985
YDR159W	0.668
YDR161W	0.965
YDR162C	0.887
YDR163W	0.961
YDR165W	0.987
YDR169C	0.983
YDR171W	1.002
YDR174W	0.667
YDR178W	0.97
YDR179C	0.993
YDR179W-A	0.969
YDR181C	1.008
YDR183W	0.975
YDR184C	0.923
YDR185C	1.005
YDR186C	0.902
YDR191W	0.995
YDR192C	0.993
YDR193W	0.999
YDR198C	0.997
YDR199W	0.997
YDR200C	0.748
YDR202C	0.935
YDR203W	0.932
YDR205W	0.954
YDR206W	0.985
YDR207C	0.786
YDR209C	0.996
YDR210W	1.004
YDR213W	0.992
YDR214W	1.001
YDR215C	1.003
YDR216W	1.007
YDR217C	0.996
YDR218C	1.0
YDR219C	0.966
YDR220C	1.003
YDR221W	1.011
YDR222W	1.003
YDR223W	1.001
YDR225W	0.933
