ORF	hap a | growth (relative abundance in pooled culture) | standard [standard] | Breslow DK~Weissman JS, 2008
YCR063W	0.000
YDR315C	0.000
YJR073C	0.000
YML012C-A	0.403
YOL108C	0.435
YBR194W	0.450
YPL106C	0.484
YPR024W	0.516
YLR338W	0.517
YGR157W	0.523
YGR105W	0.536
YDR123C	0.541
YNL064C	0.543
YLR410W	0.549
YMR224C	0.550
YGL081W	0.559
YJL029C	0.568
YMR003W	0.572
YGL173C	0.580
YCR008W	0.597
YBR106W	0.598
YDR392W	0.602
YMR123W	0.604
YNL241C	0.604
YKL048C	0.608
YDR276C	0.612
YPR173C	0.614
YCR081W	0.625
YKL139W	0.627
YHR059W	0.631
YOL072W	0.631
YHR021C	0.635
YLR182W	0.637
YKR020W	0.641
YJL175W	0.648
YML063W	0.649
YOR039W	0.649
YFL036W	0.650
YDR455C	0.656
YHR041C	0.656
YOR043W	0.661
YJL115W	0.662
YNL080C	0.662
YDR245W	0.665
YDR174W	0.667
YDR159W	0.668
YGL024W	0.668
YKL041W	0.669
YNL302C	0.670
YBR093C	0.671
YPL041C	0.672
YCR071C	0.673
YLR268W	0.674
YPL261C	0.676
YBR189W	0.677
YOR312C	0.677
YNL107W	0.681
YDR369C	0.684
YMR269W	0.684
YFL001W	0.686
YAL002W	0.690
YLR357W	0.695
YLR402W	0.698
YBR076W	0.699
YLL002W	0.700
YKR007W	0.701
YMR307W	0.706
YPL213W	0.706
YFL023W	0.708
YLR337C	0.708
YLR079W	0.711
YPL256C	0.711
YDL115C	0.712
YGR163W	0.714
YDL243C	0.718
YGL007W	0.718
YGL212W	0.718
YNL315C	0.719
YOR106W	0.719
YOR080W	0.720
YOR014W	0.721
YDR382W	0.722
YNL250W	0.724
YER151C	0.728
YJL204C	0.728
YDR359C	0.729
YMR143W	0.729
YJR032W	0.731
YLR185W	0.731
YGL218W	0.732
YML032C	0.734
YGL019W	0.735
YIL076W	0.735
YLR418C	0.735
YLR373C	0.736
YDR532C	0.737
YHR081W	0.737
YLR087C	0.737
YOL004W	0.737
YGL110C	0.738
YPL239W	0.738
YNL199C	0.739
YLR184W	0.741
YMR116C	0.741
YDR128W	0.743
YGL105W	0.747
YNL198C	0.748
YDR200C	0.748
YGL127C	0.750
YNR010W	0.751
YOL001W	0.751
YLR190W	0.753
YPL178W	0.754
YNR006W	0.755
YPR135W	0.755
YJL053W	0.756
YJL101C	0.756
YLR052W	0.756
YOR073W	0.756
YDR335W	0.757
YIL110W	0.757
YDR443C	0.757
YDR388W	0.761
YOR141C	0.761
YNL141W	0.763
YPR043W	0.763
YIL134W	0.764
YPR045C	0.764
YHR012W	0.765
YPL226W	0.767
YMR312W	0.769
YKR082W	0.772
YER083C	0.773
YGR200C	0.773
YJL165C	0.773
YPR070W	0.774
YIL040W	0.775
YPL062W	0.776
YBL007C	0.777
YKL069W	0.777
YGR188C	0.778
YDL083C	0.779
YPL101W	0.779
YGR101W	0.780
YMR202W	0.780
YBR266C	0.781
YDR508C	0.781
YPR141C	0.782
YGL124C	0.783
YDR207C	0.786
YGL168W	0.786
YML097C	0.787
YOL064C	0.787
YDR024W	0.789
YER095W	0.789
YOR068C	0.789
YPL205C	0.789
YPR044C	0.789
YBR122C	0.790
YDL081C	0.790
YPL086C	0.790
YJR118C	0.792
YKL064W	0.792
YOR026W	0.793
YGL174W	0.794
YKL057C	0.794
YHL033C	0.796
YPL157W	0.797
YJL117W	0.798
YER074W	0.799
YDR083W	0.800
YGL167C	0.800
YOR309C	0.800
YBR131W	0.801
YDR332W	0.803
YGR237C	0.803
YHR203C	0.805
YJR060W	0.806
YOL018C	0.806
YDR378C	0.807
YNL227C	0.807
YPL061W	0.807
YIL008W	0.808
YNL119W	0.808
YLR384C	0.809
YOR132W	0.809
YER155C	0.810
YMR004W	0.811
YEL013W	0.812
YGL219C	0.812
YHR034C	0.815
YPL158C	0.815
