ORF	hap alpha | growth (pooled culture) | gamma-valerolactone [2.3%] | YPGal [2%] | Bottoms S~Piotrowski JS, 2018
YJL083W	4.070
YBR267W	8.956
YHL031C	0.160
YMR274C	0.119
YCL050C	3.617
YDR539W	3.734
YGL180W	3.540
YJL051W	4.926
YGR288W	3.684
YDR538W	4.099
YBR216C	3.967
YDR151C	4.037
YHR034C	0.142
YGL078C	3.717
YLL058W	3.545
YDR515W	3.450
YBR128C	3.726
YER155C	0.077
YLR401C	3.072
YKL151C	4.986
YIL076W	0.079
YAL024C	0.096
YIR020W-A	3.306
YER002W	3.498
YNL316C	3.878
YLR311C	3.065
YGL053W	3.487
YKR035W-A	0.189
YHR066W	3.248
YKR105C	3.673
YJL120W	0.081
YNL298W	0.118
YMR006C	2.899
YER079W	3.131
YKR092C	5.029
YBR090C	3.689
YPR197C	3.723
YLR360W	0.107
YPL257W	3.152
YFL052W	2.851
YER174C	2.834
YCR105W	3.002
YGL079W	3.288
YDR428C	3.237
YMR183C	0.139
YFR056C	0.172
YHR014W	2.880
YDR423C	3.549
YBR226C	3.026
YMR085W	2.766
YOR155C	2.994
YBR263W	3.283
YML119W	2.810
YIL155C	2.867
YOR234C	3.642
YML117W	4.223
YJL070C	2.760
YDL118W	5.108
YNR064C	3.087
YPL197C	2.874
YIL072W	3.545
YER049W	2.965
YDR083W	4.996
YFL021W	2.802
YER048C	2.408
YDL200C	3.459
YFR053C	2.612
YIL013C	2.697
YML104C	2.744
YLR408C	2.890
YOL035C	0.170
YJL073W	2.379
YGL082W	3.148
YGR279C	2.786
YML071C	0.084
YJL037W	2.840
YER046W	2.713
YDR441C	3.097
YOR028C	2.600
YDL239C	2.578
YDR530C	2.591
YIR014W	2.665
YKL090W	3.441
YKR012C	2.712
YBR262C	2.851
YIL111W	0.226
YJL218W	2.732
YIR028W	3.282
YLR178C	3.736
YDR135C	3.476
YLR077W	2.643
YPL216W	3.070
YML101C	2.340
YGL108C	3.459
YJR066W	0.116
YNR032C-A	3.543
YDR482C	2.525
YJL217W	3.156
YGL243W	2.505
YAL059W	2.875
YPL222W	2.694
YMR025W	3.296
YML124C	0.082
YPL181W	2.978
YCL074W	2.723
YIL164C	2.280
YFR018C	2.918
YGL148W	0.057
YJR015W	2.499
YGR281W	2.593
YBL051C	0.200
YPL162C	2.628
YBR145W	3.578
YIL016W	0.361
YML118W	2.850
YGR078C	0.136
YDR122W	3.232
YMR180C	2.400
YBR238C	2.674
YOL131W	3.121
YDR372C	0.183
YKL094W	3.931
YBR278W	2.743
YCL026C	3.013
YMR311C	3.064
YOR286W	2.416
YGR177C	2.395
YOL141W	2.500
YNL140C	0.162
YLR375W	2.774
YAL015C	2.318
YBR092C	3.054
YLR400W	2.561
YML070W	2.518
YGL054C	0.104
YIL160C	0.308
YDL173W	0.311
YLR083C	2.383
YBL095W	3.869
YLR421C	2.334
YIL161W	0.368
YKL205W	2.290
YLL051C	2.343
YCR068W	0.158
YMR322C	2.594
YHR047C	2.414
YBL079W	2.970
YBR264C	2.897
YHR092C	2.570
YNL153C	0.119
YJL100W	2.436
YJL121C	0.053
YOR377W	2.482
YNL171C	0.109
YBR007C	2.372
YLR414C	2.552
YGR187C	2.707
YJL211C	0.330
YJR119C	2.644
YMR042W	2.407
YJL214W	2.813
YPL144W	0.197
YER075C	2.633
YLR228C	2.890
YDR067C	0.358
YNL130C	2.883
YLR188W	2.731
YGR058W	0.159
YOR349W	0.205
YEL001C	2.365
YCR077C	0.157
YPL133C	2.593
YGR154C	2.646
YOR094W	3.076
YML113W	0.368
YDR525W-A	2.312
YFL003C	0.270
YOL138C	2.826
YDR333C	2.853
YDL187C	2.207
YGR228W	2.867
YOR179C	0.278
YER063W	2.490
YLR171W	2.895
YKL133C	2.819
YDR293C	0.106
YER132C	2.396
YER051W	2.376
YML068W	2.356
YKL130C	2.670
YMR219W	3.700
YPL167C	2.547
YFL063W	2.457
YKL029C	2.342
YOR087W	1.304
YIR031C	2.167
YPL183C	2.451
YLR209C	2.253
YIL066C	0.347
YHR003C	2.667
YDL018C	2.665
YOL061W	0.281
YML062C	0.138
YLR123C	3.082
YOR371C	2.170
YFL013C	2.396
YOR297C	0.107
YLR043C	2.604
YMR080C	0.324
YGL166W	2.926
YLR242C	0.097
YML063W	3.070
YPL265W	2.139
YEL016C	2.163
YKL171W	2.261
YLR165C	3.056
YKL077W	2.626
YBR119W	2.176
YBR232C	2.302
YMR187C	2.173
YJL110C	0.386
YNR067C	2.298
YNL297C	0.357
YKR080W	2.910
YIR018W	2.409
YDR098C	2.529
YKL162C	2.106
YGR055W	0.058
YPL226W	2.303
YPR173C	0.004
YBR299W	2.719
YPL262W	0.240
YEL005C	2.260
YLR193C	2.910
YNL200C	2.537
YJL124C	0.135
YAL040C	0.381
YOR355W	2.707
YPL165C	5.276
YOR039W	0.260
YJR148W	2.260
YMR034C	2.031
YAL036C	2.180
YIL130W	2.112
YLR300W	2.544
YLR319C	0.379
YDR247W	3.878
YDR330W	2.120
YGL160W	2.371
YKR067W	2.219
YLL020C	2.860
YML019W	0.442
YOR328W	2.339
YNR063W	2.248
YLR381W	0.285
YBR020W	1.745
YLR348C	0.270
YMR039C	2.074
YGR235C	2.743
YPL110C	2.173
YLR303W	2.745
YOR309C	2.076
YFL034C-A	1.533
YKL064W	2.383
YLL019C	2.134
YDR096W	2.846
YMR252C	0.398
YBL067C	0.388
YHR209W	2.107
YML053C	2.147
YAL056W	2.401
YMR241W	0.402
YML116W	1.971
YGL262W	2.177
YJL154C	0.354
YGL042C	0.152
YKL188C	2.408
YKR077W	0.449
YLR021W	0.238
YOR002W	0.475
YGR196C	2.195
YMR145C	2.866
YIL097W	0.342
YPL156C	2.414
YBR296C	2.475
YPL034W	2.388
YOR313C	2.210
YLR353W	3.356
YMR295C	2.143
YDR354W	0.121
YGL043W	0.220
YHR093W	2.255
YGL117W	0.261
YPL163C	2.199
YBL081W	1.864
YDR108W	0.086
YLR058C	3.023
YOL067C	0.336
YCL026C-A	2.216
YDL216C	2.388
YKL030W	1.942
YJL155C	1.829
YNR006W	0.169
YNL111C	2.385
YLL014W	2.162
YIR033W	0.242
YGL168W	0.173
YCR067C	0.437
YMR189W	2.893
YLR082C	2.026
YGL224C	2.140
YAL010C	0.270
YIR043C	1.949
YLR039C	0.181
YJL148W	0.196
YEL013W	0.431
YDR131C	1.984
YHL033C	1.958
YGL141W	2.277
YCR019W	2.171
YLR325C	2.299
YIL131C	2.327
YML002W	2.061
YLR350W	2.608
YPL139C	0.200
YER151C	0.158
YGL218W	0.386
YPR115W	1.985
YLR040C	2.130
YML003W	0.313
YPR013C	2.243
YKR013W	1.872
YGR234W	1.914
YNL242W	0.333
YLR216C	0.224
YDL088C	1.855
YDR102C	2.410
YDR486C	0.318
YDR363W-A	0.231
YOR072W	2.117
YLR063W	0.239
YDL020C	0.268
YNL099C	0.338
YDL036C	7.958
YMR060C	0.229
YIL163C	0.555
YKL071W	2.113
YDR097C	2.431
YCR100C	1.973
YDR101C	2.367
YGL219C	0.284
YIL101C	0.206
YNL283C	0.483
YIR019C	1.950
YKR009C	0.368
YAL014C	1.796
YOR069W	0.283
YDL136W	2.394
YPR119W	0.340
YMR162C	1.963
YPL134C	0.375
YFR016C	1.852
YBR095C	1.913
YJL169W	0.498
YMR041C	1.778
YPR044C	2.669
YKR084C	2.646
YCR086W	0.336
YPL269W	2.064
YKL198C	1.638
YLR261C	0.082
YMR114C	2.362
YDR315C	0.085
YIL043C	0.351
YNR065C	1.805
YER106W	0.324
YIL124W	0.370
YNL195C	2.304
YER139C	0.352
YBR126C	0.306
YBR078W	0.396
YMR055C	1.857
YAL013W	2.197
YGR109C	2.083
YOR374W	2.322
YDL079C	1.885
YLR247C	2.324
YJL112W	1.848
YOR189W	2.148
YLR292C	2.311
YDR089W	2.019
YJL098W	1.801
YBR086C	2.191
YNL170W	0.111
YLR150W	3.120
YPL090C	0.351
YAL051W	2.043
YJR099W	1.760
YCR005C	0.281
YPL185W	2.038
YKL072W	0.476
YNL098C	0.139
YFL019C	1.872
YPL249C	1.717
YGL173C	0.035
YDR455C	0.227
YPL035C	2.667
YMR282C	0.094
YGR124W	2.601
YER056C-A	1.951
YPR096C	1.838
YGR283C	1.719
YER062C	0.447
YBR157C	1.727
YER173W	1.844
YHR079C-A	2.154
YOR246C	0.397
YPR074C	0.480
YJL133W	2.219
YDR338C	2.291
YOL124C	0.472
YIR044C	2.244
YGR173W	1.876
YOR359W	2.317
YMR275C	0.267
YMR179W	0.488
YKR057W	2.224
YOL162W	1.722
YPR051W	0.293
YDR532C	0.164
YEL061C	0.119
YHL043W	1.692
YBR180W	2.219
YPR066W	0.117
YBR071W	2.491
YGL252C	0.275
YOR134W	2.368
YBR171W	0.225
YML074C	1.688
YGR037C	2.107
YOL075C	0.462
YIL168W	1.616
YML116W-A	1.811
YOR202W	1.642
YMR273C	0.405
YJL204C	0.347
YCR102C	2.217
YGR135W	0.210
YHL039W	2.123
YNL057W	0.426
YOR378W	1.806
YIL117C	2.081
YPL253C	0.506
YGL164C	1.866
YOL163W	1.748
YMR003W	0.484
YPR171W	1.798
YOR180C	2.217
YGR192C	2.203
YGR092W	0.130
YNL226W	2.522
YMR122C	2.273
YOR025W	2.198
YOR093C	2.517
YDR435C	0.230
YOL151W	1.696
YBR218C	1.845
YHR041C	3.087
YKL185W	1.717
YMR023C	0.507
YBL056W	1.854
YGL152C	0.407
YLR427W	0.156
YFL007W	1.426
YIL055C	0.555
YCL001W	0.456
YKL053C-A	1.973
YIL023C	0.491
YPL103C	1.868
YDR426C	0.504
YOL041C	2.465
YDL233W	1.694
YLL045C	1.947
YDR126W	3.029
YKL114C	2.302
YJR094C	1.853
YNL268W	0.428
YKR055W	1.867
YDL191W	0.186
YDL172C	0.365
YNL217W	0.516
YJR043C	0.103
YDR502C	1.802
YGL139W	2.053
YOR040W	1.634
YBL046W	2.030
YPR023C	0.432
YNL076W	0.307
YGR025W	1.884
YGR169C	0.520
YNL070W	1.940
YLR144C	2.442
YPL115C	2.132
YJL168C	0.479
YDR446W	0.367
YPL149W	2.156
YKL167C	0.573
YKR103W	1.862
YBL091C	0.555
YNL142W	1.718
YGL165C	1.737
YER111C	0.258
YOR308C	0.527
YOR135C	0.155
YMR269W	2.658
YMR040W	1.964
YNL320W	0.514
YPL180W	0.143
YDL093W	2.127
YDR035W	0.316
YBL065W	0.498
YPR109W	2.149
YDR368W	0.336
YNL027W	0.409
YER090W	0.243
YPR017C	2.147
YBR033W	1.911
YOR344C	2.078
YJL106W	1.617
YLR455W	1.704
YAR043C	1.786
YOR084W	1.743
YPR057W	1.887
YJR142W	2.030
YFL047W	2.154
YGL136C	0.154
YFL051C	1.875
YPL263C	1.984
YBL021C	0.512
YBL083C	0.135
YKR044W	0.491
YHR200W	2.047
YOR129C	1.896
YJL077C	1.935
YPL106C	6.976
YBR174C	3.524
YCR060W	0.356
YNL254C	0.409
YNL037C	0.221
YBL078C	0.503
YKR061W	1.965
YIL133C	1.766
YLR236C	0.337
YLR368W	0.426
YOL092W	2.029
YIR025W	0.417
YJL038C	0.510
YGR152C	0.442
YHL002W	0.523
YOR300W	0.572
YOR270C	0.233
YAR028W	1.575
YGL023C	0.454
YDR375C	0.141
YPL138C	2.092
YOR026W	6.597
YDR536W	1.679
YDR329C	0.307
YGR182C	0.452
YMR086C-A	1.779
YKR041W	1.792
YNL166C	1.710
YKL050C	1.681
YKL076C	2.626
YGR202C	0.498
YBR175W	2.482
YJL146W	1.663
YLR315W	0.267
YER167W	0.386
YLR046C	0.165
YAR015W	3.146
YBL019W	1.828
YIR017C	0.431
YDL059C	1.949
YOR078W	2.662
YNL309W	0.516
YJL161W	1.780
YHR135C	1.895
YPL120W	0.139
YOR099W	1.718
YHR191C	0.294
YPR123C	0.500
YPR001W	0.406
YDR415C	0.414
YLR364W	1.654
YLR217W	0.548
YKR045C	0.459
YMR058W	1.862
YDL174C	1.769
YER007W	0.496
YKL189W	77.021
YNL218W	2.269
YGR143W	0.324
YOR067C	0.489
YFL028C	0.115
YLR372W	5.418
YLR328W	1.836
YPL079W	1.940
YOR182C	2.028
YDR313C	1.812
YNL127W	0.546
YLR113W	2.815
YLR282C	2.048
YMR120C	2.076
YAL011W	0.404
YLL017W	0.459
YMR223W	0.479
YNL173C	1.765
YNL077W	0.473
YMR004W	0.559
YMR135C	0.470
YJR111C	1.657
YBR032W	1.823
YMR194W	2.158
YGR249W	1.883
YLR219W	2.027
YJL171C	1.825
YNL235C	1.754
YGR121C	2.124
YBR231C	0.259
YCR088W	1.674
YGL090W	1.744
YKL008C	1.760
YPL014W	0.563
YJL108C	0.589
YNL294C	1.794
YPR160W	1.713
YER016W	0.410
YKR048C	0.540
YOR050C	1.969
YJR020W	1.760
YOR152C	1.971
YDR406W	0.468
YMR141C	1.645
YMR255W	1.746
YBR266C	2.771
YGR284C	1.643
YKL191W	0.431
YHR167W	0.048
YGL157W	0.527
YOL068C	0.434
YFL033C	1.741
YNR024W	1.686
YOR053W	0.503
YML057C-A	1.767
YJL030W	0.478
YMR262W	1.828
YKL010C	1.717
YNL237W	0.566
YHR137W	0.424
YLR359W	67.229
YIL107C	0.345
YPR153W	0.252
YPL021W	2.076
YPR060C	0.519
YDR291W	1.782
YBL057C	1.713
YBR116C	1.644
YBR158W	0.455
YOL054W	0.457
YDL096C	0.557
YPL145C	1.663
YDR359C	0.121
YNL047C	0.228
YDR371W	0.321
YOR239W	0.718
YMR021C	0.555
YMR015C	0.408
YCR009C	2.461
YDR316W	0.435
YOL160W	0.122
YAL055W	0.525
YBR025C	1.748
YIL095W	0.555
YIL034C	0.556
YDR334W	0.285
YLR407W	1.934
YNL214W	0.545
YKL146W	1.773
YER092W	1.871
YFL037W	63.832
YMR119W	1.631
YNL167C	0.612
YMR294W	0.426
YKL051W	1.778
YPL112C	0.446
YPL030W	1.833
YBL055C	1.627
YJR135C	0.302
YMR245W	0.603
YLR085C	0.320
YMR075W	0.528
YMR010W	1.579
YOR318C	1.590
YDL236W	1.585
YEL043W	0.537
YER143W	0.601
YNL097C	1.606
YLR434C	1.584
YGR236C	1.627
YLR254C	0.349
YKL220C	1.489
YNL091W	2.191
YCR095C	0.484
YJR033C	0.180
YPR089W	0.631
YPR106W	0.598
YER177W	0.662
YPR189W	0.511
YOR133W	1.904
YML059C	0.561
YDR312W	1.675
YEL049W	1.506
YCR010C	1.792
YLR114C	0.513
YGL104C	0.513
YEL006W	0.531
YDL082W	1.917
YPR121W	1.515
YFR014C	2.187
YEL011W	0.299
YAL042W	1.775
YBR181C	2.423
YIL119C	1.665
YNL101W	2.041
