orf	hap alpha | growth (pooled culture) | gamma-valerolactone [2.3%] | YPGal [2%] | Bottoms S~Piotrowski JS, 2018
YAL001C	0.222525065
YAL003W	1.0
YAL004W	1.497984011
YAL005C	1.620630385
YAL008W	1.097020043
YAL009W	27.74260581
YAL010C	0.269591718
YAL011W	0.404209898
YAL013W	2.196982149
YAL014C	1.796228395
YAL015C	2.3181344
YAL016C-B	1.0
YAL017W	0.925796197
YAL018C	1.661112367
YAL019W	1.315264866
YAL020C	1.597765931
YAL022C	0.861009221
YAL023C	0.960450472
YAL024C	0.096071674
YAL025C	1.0
YAL026C	1.539992432
YAL027W	1.245400043
YAL028W	1.096850878
YAL029C	0.831113857
YAL030W	1.067365439
YAL031C	0.919264164
YAL032C	5.813886257
YAL033W	1.0
YAL034C	0.860361121
YAL034W-A	1.0
YAL036C	2.180498229
YAL037C-A	13.02545889
YAL037W	0.630444553
YAL038W	1.0
YAL040C	0.381026108
YAL041W	15.42872644
YAL042C-A	1.628047577
YAL042W	1.774582121
YAL043C	1.0
YAL045C	0.579368831
YAL046C	0.923207488
YAL048C	0.956781136
YAL049C	0.9949720315
YAL051W	2.042761387
YAL053W	0.738428371
YAL054C	0.993722306
YAL055W	0.525240281
YAL056C-A	1.506883274
YAL056W	2.401439906
YAL058W	1.43490099
YAL059W	2.874813535
YAL060W	1.31191115
YAL061W	1.542151229
YAL062W	0.833770472
YAL064C-A	0.867970977
YAL065C	0.848087371
YAL066W	0.973183175
YAL067C	0.963514678
YAL068C	1.060617965
YAR002C-A	1.409675268
YAR002W	0.07359061
YAR003W	0.651249234
YAR007C	1.0
YAR008W	36.28054853
YAR014C	0.215077174
YAR015W	3.145944473
YAR018C	1.0
YAR020C	1.199675889
YAR023C	1.392282705
YAR027W	1.058700435
YAR028W	1.575274929
YAR029W	0.76325094
YAR030C	0.977240389
YAR031W	1.140835588
YAR035C-A	1.0
YAR035W	1.456404356
YAR042W	0.49772919
YAR047C	0.921997833
YAR050W	1.069575158
YBL001C	26.59675224
YBL002W	1.0
YBL003C	5.81347815
YBL005W	1.0
YBL006C	1.0
YBL007C	0.562305565
