orf	hap alpha | growth (pooled culture) | gamma-valerolactone [2.3%] | YPGal [2%] | Bottoms S~Piotrowski JS, 2018
YAL004W	0.11988957670218496
YAL005C	0.1465117644190193
YAL008W	0.032854488132972405
YAL009W	5.816668252688979
YAL010C	-0.14675092107688997
YAL011W	-0.11753007792290815
YAL013W	0.27161733706429475
YAL014C	0.18462787851565424
YAL015C	0.297915203550254
YAL016C-B	0.01179487003907475
YAL017W	-0.004312149747494689
YAL018C	0.1552989701781844
YAL019W	0.08022771619215081
YAL020C	0.14154870055843652
YAL022C	-0.01837510962495543
YAL023C	0.003210067046625934
YAL024C	-0.18441598228776082
YAL026C	0.12900811835226103
YAL027W	0.06506253542040291
YAL028W	0.032817768397702306
YAL029C	-0.024864335244223167
YAL030W	0.0264175229899476
YAL031C	-0.005730022963204743
YAL034C	-0.018515789200686555
YAL036C	0.2680392613476063
YAL037C-A	2.622096450994534
YAL037W	-0.06842254007214983
YAL040C	-0.12256245832877051
YAL042C-A	0.14812177433057042
YAL042W	0.17992923842542186
YAL045C	-0.07950927190538647
YAL046C	-0.004874066864932344
YAL048C	0.0024135840475595512
YAL049C	0.010703476002090586
YAL051W	0.23814146703329622
YAL053W	-0.04498307440008294
YAL054C	0.010432204819988494
YAL055W	-0.09125866466721451
YAL056C-A	0.12182129178189435
YAL056W	0.31599788097680287
YAL058W	0.10619648515748913
YAL059W	0.418750544593561
YAL060W	0.07949974312626182
YAL061W	0.1294767167877642
YAL062W	-0.024287678137170345
YAL064C-A	-0.016863958752522792
YAL065C	-0.021179985995363054
YAL066W	0.005973886296665066
YAL067C	0.0038751977363848545
YAL068C	0.024952885156932995
YAR002C-A	0.10072087357213007
YAR002W	-0.18929582574633846
YAR003W	-0.06390658004082549
YAR014C	-0.15858409947697563
YAR015W	0.477603476742027
YAR018C	0.01179487003907475
YAR020C	0.055137439624407814
YAR023C	0.09694556361422729
YAR027W	0.024536657249431524
YAR028W	0.1366666999117342
YAR029W	-0.03959497306467718
YAR030C	0.0068545638837201
YAR031W	0.042365292454879286
YAR035C-A	0.01179487003907475
YAR035W	0.11086410497799676
YAR042W	-0.09723034899028232
YAR047C	-0.005136640159456364
YAR050W	0.02689717478967755
YBL001C	5.567943990881249
YBL002W	0.01179487003907475
YBL003C	1.0566306421930935
YBL005W	0.01179487003907475
YBL006C	0.01179487003907475
YBL007C	-0.08321310313739891
YBL008W	3.6651261066464524
YBL008W-A	8.688452949367727
YBL009W	2.487836320253259
YBL010C	-0.07825472374823075
YBL011W	0.08309807270786661
YBL013W	-0.06964944418257255
YBL015W	0.010103154619453106
YBL016W	1.0566465091821797
