orf	hap alpha | mother:daughter asymmetric distribution of proteins (pADH1-PMA1-EGFP) | standard | YPD | Yoon S-Y~Jun Y, 2020
YAL002W	-29.59674838580867
YDR080W	-13.267507897086645
YDR495C	-20.921839376175097
YGL124C	-11.736641601268955
YGL212W	-21.43212814144766
YHR012W	-14.288085427631772
YJL053W	-16.329240488722025
YJL154C	-10.71606407072383
YML001W	-10.205775305451265
YML097C	-30.107037151081236
YOR089C	-23.47328320253791
YOR132W	-17.860106784539717
