orf	hom | growth (culture turbidity) | standard | SC | Tun NM~Wu MJ, 2013	hom | growth (culture turbidity) | diamide [0.8 mM] | SC | Tun NM~Wu MJ, 2013	hom | growth (culture turbidity) | aluminium sulphate [0.4 mM] | SC | Tun NM~Wu MJ, 2013	hom | growth (culture turbidity) | aluminium sulphate [0.4 mM], diamide [0.8 mM] | SC | Tun NM~Wu MJ, 2013
YAL002W	0.8293112829001972	1.0509435203274702	0.9423667537233902	1.0074514708002658
YAL004W	0.7749193326862281	0.9699980163825451	1.2451978082077404	1.3244301148771387
YAL005C	0.8227040618362743	0.884366359265235	1.113115316852951	1.1802472534954087
YAL007C	0.8320422520116966	0.8981533665247706	1.0872828920632207	1.2352859571497934
YAL008W	0.7478780233362445	1.1913887197384347	1.1585064301546808	1.3126888844907423
YAL009W	0.8312003962814262	1.0165929437018477	1.0894377584515247	1.1970271981631384
YAL010C	0.9432458953240284	0.9857627935777286	0.9163934113995235	1.1259623689692926
YAL011W	0.9193318152287576	1.0578181121556176	0.9158022635651023	1.1229949953868668
YAL012W	1.0215415030597121	0.4604602595145076	0.5814109214674607	0.47639289900791415
YAL013W	0.756393473041169	1.144566725974384	1.115116609552453	1.253090174008992
YAL014C	0.779973431255769	0.9078226358415765	1.084012896742363	1.286058808446911
YAL015C	0.7800135950647056	0.8908204597324684	1.0875448026822854	1.0601533952878257
YAL016C-B	0.9656701229789164	0.9669611054711099	1.068629214753535	1.0438592851715207
YAL016W	0.09234015175100116	1.00452680106858	1.691639220118358	1.7139657651366087
YAL017W	0.822787402758582	0.7937850857645189	1.0249897989793926	1.1262963786581948
YAL018C	0.8296828121013868	0.9774905780747812	0.9776495414331206	1.1301976532462057
YAL019W	0.8297448597819639	0.9657037557330678	1.0915579054484512	1.2087506101395695
YAL020C	0.8264122549484673	0.9618129352027681	1.1636699445709897	1.119117598076035
YAL021C	0.816056117622865	1.0177526986992371	0.7920332253660203	0.7330819114741813
YAL022C	0.8300167380384712	0.8503416441505711	1.0177493574266099	0.9466686897133818
YAL023C	1.0172968707755345	0.8701839970722333	0.7704419346688414	0.4650109887938779
YAL024C	0.9605086129785965	1.0453485977570596	0.8659310462462612	1.0635059541372183
YAL026C	0.8498510302051605	0.9747941726916238	0.9195159919955873	0.9830734457009923
YAL027W	0.8293279650232055	0.9680241976822967	1.0714818779501887	1.2282324354508891
YAL028W	0.8498697084550358	0.9571828828969271	1.1964765935367858	0.9416229040806101
YAL029C	0.7572384682090353	0.9199872773072132	1.4063129675267378	1.2918022728118894
YAL030W	0.7553649189470301	0.9468734158343353	1.3990242421177232	1.3469255782219776
YAL031C	0.7806550364913468	1.042048919945422	1.3053351883677395	1.3568847434224043
YAL034C	0.7739766221359187	1.0604111987110485	1.4132177222633704	1.4431355669607386
YAL035W	1.0131293009797486	0.9440296836448994	0.9492086567614655	0.8585955726530953
YAL036C	0.7566834993672011	1.0634799069981504	1.0585923487024114	1.3250788477652318
YAL037C-A	0.9160308580297247	1.0906902599885864	1.0399418431809258	0.9241756315162621
YAL037W	0.7828516809459012	0.9479001911222107	0.9059144208981216	1.2603595556057603
YAL039C	0.9721891514094163	0.8559471449917591	0.8052960523515099	1.0619506014783775
YAL040C	0.82933231344935	0.90699287831871	0.9664514078238493	1.356407388880255
YAL042W	0.7886340897043266	0.9987038102115332	1.2194135600570069	1.2906802129906763
YAL043C-A	0.7960807848982674	0.9050507598900106	1.2421496411825703	1.252721967771745
YAL044C	0.8447216532795601	0.9965696652321475	0.9965375151180405	1.306567890263635
YAL044W-A	0.8263204885423958	0.8829426017528194	1.0935155026274392	0.8451613895973795
YAL045C	0.778626359667391	1.1209598448144484	1.08828239286124	1.3278080802259153
YAL046C	0.7733010228392895	1.124822634077107	1.1702287739644326	1.3756088571160916
YAL047C	0.8227224800835515	0.6880333018212654	0.6821668378001701	0.3018081305643251
YAL048C	0.8502521077599166	1.0864501074516777	1.0429585436786106	1.2138803191056295
YAL049C	0.7751904522751875	0.9487865588397322	0.8146720127335798	1.1117785788069505
YAL051W	0.7929141005639433	0.9933192880783652	1.0562459056935427	1.3998136260160279
YAL053W	0.769831357687188	0.9580294596618231	0.9371675472693708	1.2682506654557473
YAL054C	0.9645686723329857	1.0188666016932626	1.1324455979546426	0.9750703810468719
YAL055W	0.8674141885629859	0.9732292546367985	1.002072319887647	1.2912043950133942
YAL056W	0.7695678889903821	1.0342858909482482	1.0154420737496967	1.1405590972673656
YAL058C-A	0.9710112762539831	1.0391829187858799	1.1235765709257621	1.0851806710948142
YAL058W	0.8389319682145686	0.8172012506417072	0.9372110635436265	1.1099091240156544
YAL059W	0.8021086842107206	1.0514935819841764	1.2042264142287356	1.2006646318410275
YAL060W	0.7935921929405463	0.9830875760958816	1.2052278736658466	1.274088922824641
YAL061W	0.822035454678104	0.9148702318012873	1.018827433197878	1.1691513149142616
YAL062W	0.82251730177792	0.9426708184143195	0.9784534733815857	1.1640372478615113
YAL064C-A	1.0140802829671942	0.9672976877471684	1.0787297865733108	1.011550194490899
YAL065C	0.8300555474921724	0.9318758286250519	0.9034646454864561	1.16398105561279
YAL066W	0.7548371078703021	0.9598421484387094	0.9825625970905955	1.2418931913379019
YAL067C	0.8927124876503474	0.8218962252536182	1.0772461640363336	0.9357367392668281
YAL067W-A	0.9832028026288077	0.9527463401957438	1.1129289556385216	0.9196449792060222
YAL068C	0.8506046691333679	0.9259493845500882	1.0748811071953452	1.1395222767225732
YAR002C-A	0.8349321963187506	0.9208201285618182	1.1932171828391283	1.1827405777988542
YAR002W	0.8505325339168293	1.0622338541724847	0.9318879814351095	1.0823625753361474
YAR003W	0.7564877982030397	1.1523347768187204	1.1780168441942025	1.2543573870850888
YAR014C	0.7571784318632288	0.9800401421405053	1.22408349685854	1.2776502339250808
YAR015W	0.829739229753912	1.044115001849906	1.1629186896077321	1.1983323195557019
YAR018C	0.8340015808036212	0.790410406609965	1.1110594862168448	1.2269446774930692
YAR020C	0.7886464736983756	1.0057449887787973	1.160715477751192	1.2231582321468695
YAR023C	0.7732118166429007	0.8880972055534011	1.1665560943048825	1.1923647598230913
YAR027W	0.8365908744810548	0.8979168122374376	1.0045542048666878	1.158463709125635
YAR028W	0.8365995795178834	0.8651714459460118	0.7129618358330014	0.9496060184242537
YAR029W	0.7927179538406858	0.8309184375009293	1.2045343745489412	1.1878487331884053
YAR030C	0.8293285821082431	0.7946471778060933	1.067524554622388	1.159140290634352
YAR031W	0.8255979704834677	0.8542235462256498	1.0491205367230265	1.2323435456430778
YAR035C-A	1.0170227906563656	0.9735921343302223	1.003417186203012	0.9116127409036573
YAR035W	0.7740896763622117	0.9479286825970071	1.2497503902895708	1.2660514871710398
YAR037W	0.7826426596120403	0.9098609989526173	1.228351243044224	1.19406768964324
YAR040C	0.7572201932575404	0.9224490297989764	1.2178395722364723	1.2591531390296014
YAR042W	0.8404471699183481	0.9797165620853514	1.1423761010680271	1.2066760818702962
YAR043C	0.8358637300036524	0.9442094379285895	1.1622348444229287	1.1134386525255193
YAR047C	0.7735711510978868	1.0705390725439519	1.1521323850519951	1.2714924595172075
YAR050W	1.0254303499100534	0.9903364385207788	1.0362358065667834	0.9913473373710456
YBL001C	0.8730329701648911	1.1571558827025683	1.06971668707354	0.9047429749183085
YBL002W	1.0118027872827262	1.0001935578150123	0.9499376359289995	0.689828863876631
YBL003C	1.0172547449772233	0.9555351093825575	0.7613489066442952	0.8693796915660774
YBL005W	1.009459391916426	0.9281711486587254	0.7177823423467535	0.8569834838462898
YBL006C	0.9440079195544723	1.0304627013594356	0.9640193702696597	0.7399793931085837
YBL007C	1.0169673787717384	0.9441250930207018	0.8939567995557862	0.7585069344639912
YBL008W	0.9158973217645281	1.0644321929857319	0.9198191067178841	0.7454740693584954
YBL008W-A	1.011703589359985	0.9930437715160749	1.024733298740238	0.9850612871227609
YBL009W	0.7834098256969265	1.0221122893429013	1.0662303441166143	1.0437982072302705
YBL010C	0.7842727379801506	0.9177604958839101	1.0731186790580212	0.8384928213496172
YBL011W	0.9430532129720598	1.076028239949458	1.01148908726879	0.7752343840737149
YBL012C	0.981536169926604	0.9487608375683356	0.7215124068362934	0.8611568161916081
YBL013W	0.941385688837279	1.0710714775012062	1.0830748871223792	0.8545450141727295
YBL015W	1.0160782546977254	0.9982660962195045	0.6651462093078904	0.7473476970908671
YBL017C	0.8498305750846432	1.1602134420517565	0.985763788446136	0.8117395779619391
YBL019W	0.9524954845703609	1.028680705531301	0.7574811187403631	0.8352703789008815
YBL021C	0.8950056992789076	1.0028285297386503	0.9747520241143367	0.8988221229017307
YBL022C	0.7760503651492141	1.0291744915233818	1.0646611828851404	1.0602729076162045
YBL024W	0.9436340180119128	1.0473509621964614	1.0032674594166202	1.0563365475087438
YBL027W	0.9694013853392799	0.9996670692550763	0.9921244783162968	0.9802729915293622
YBL028C	0.8503177910763026	1.1218550660890045	1.1047659406269186	0.8414579715174534
YBL029C-A	1.0170227906563656	0.9987933055777939	1.0207174825168577	1.0642825694638325
YBL029W	0.8506933115801267	1.101286886188036	1.1709578904377533	0.8850356063611117
YBL031W	0.9239102127137065	1.0682731596573523	1.0425773969023553	0.8945096740300336
YBL032W	0.7918887767294179	1.0840536723029486	1.2571420837010052	0.801987281302428
YBL033C	0.9240918202020454	0.913745388728344	1.1793850861393036	0.8849768691051273
YBL036C	0.9721890854293351	0.9788527745140069	1.062760306639335	1.0351245543818668
YBL037W	0.8721693777257634	1.1071918146848716	1.1139256411050829	1.2535368145366543
YBL038W	1.016787985642	0.9652773068687314	1.0765290927254114	1.045986255715338
YBL039C	0.9435852939671466	1.0096080882209397	1.1496862395481713	1.0411790619562746
YBL039W-B	0.9174772682258623	1.0219226756607254	0.9703661343311636	1.1191546670048351
YBL042C	0.9665027711081604	1.0034821294609981	1.025049034262912	1.0377591768297862
YBL043W	0.869461178111847	1.066846451385643	1.1585809406835188	1.2170330710630959
YBL044W	0.8386638792247961	0.9702838479404469	1.1569956050016783	1.3096802549195052
YBL045C	0.9607687338057289	0.9757697645466996	1.1394909547406966	1.1624056621410503
YBL046W	0.8358624207873133	0.9378339091800922	1.2286384636907164	1.0532620141417695
YBL047C	0.969381253652172	0.966545261037741	1.0531334446587082	0.7824736016830672
YBL048W	0.9193540615094228	1.0867431607022169	1.0566396454606335	1.0655476984078747
YBL049W	0.9230344073937073	1.101786689676649	1.185526562346358	1.1233629647295973
YBL051C	0.7572628908263674	1.3146455806355628	1.416326658328846	1.017338371416809
YBL052C	0.774519728069716	1.2638622036744607	1.3227046372968065	0.9191682592182533
YBL053W	0.8301211580842401	1.172687192346051	1.2974564648758826	0.942365497687797
YBL054W	0.7478102290134022	1.0665057890335825	1.4638260693398704	1.0234807497232998
YBL055C	0.7760867358983239	0.8888140212276329	1.3072422997935098	0.9087192438207987
YBL056W	0.8301547700572528	0.8491934522533633	1.1693642491619016	1.0206380537405357
YBL057C	0.7969663123686782	0.7973108602596061	1.1261645410525434	1.151317604318083
YBL058W	0.835862496818466	0.941684609662657	1.2993519873723802	1.1442884166110023
YBL059W	0.8724772965338573	1.1231314450525156	1.1069110806173172	1.009295933327687
YBL060W	1.012736256689229	0.9837178192226484	0.9423698259427848	0.7939524028416868
YBL061C	0.9434468717921034	1.0316645403779727	1.0722915614941986	0.7664460935925305
YBL062W	1.0177624204194267	0.9556223929297268	1.073852796583261	0.7949252686293098
YBL063W	0.9175230354553898	1.0783602217618586	1.1931985818865127	0.7605460398143952
YBL064C	0.9366488573760827	1.0207034413722718	1.1630466994740507	0.7386422525434283
YBL065W	0.8319479276996022	0.9934612350029008	1.314737077799923	0.8072091943942482
YBL066C	0.8306174174809723	0.9936850513082619	1.29126766999602	0.9059919799775608
YBL067C	0.8244019147499462	1.0245491975467513	1.0679049707643204	1.103427598789556
