orf	hom | growth (culture turbidity) | S-{2-[4-(dihydroxyarsino)phenylamino]-2-oxoethyl}-glutathione [0.5-2 mM] | Dilda PJ~Hogg PJ, 2005
YAL011W	-7.1992739532917795
YAL012W	-7.1992739532917795
YAL021C	-7.1992739532917795
YAL024C	-7.1992739532917795
YAR015W	-7.1992739532917795
YBL033C	-7.1992739532917795
YBL058W	-7.1992739532917795
YBR011C	-7.1992739532917795
YBR036C	-7.1992739532917795
YBR058C	-7.1992739532917795
YBR077C	-7.1992739532917795
YBR126C	-7.1992739532917795
YBR162C	-7.1992739532917795
YBR213W	-7.1992739532917795
YCR086W	-7.1992739532917795
YDL023C	-7.1992739532917795
YDL039C	-7.1992739532917795
YDL041W	-7.1992739532917795
YDL074C	-7.1992739532917795
YDR017C	-7.1992739532917795
YDR135C	-7.1992739532917795
YDR158W	-7.1992739532917795
YDR173C	-7.1992739532917795
YDR176W	-7.1992739532917795
YDR207C	-7.1992739532917795
YDR281C	-7.1992739532917795
YDR293C	-7.1992739532917795
YDR486C	-7.1992739532917795
YDR516C	-7.1992739532917795
YER052C	-7.1992739532917795
YER117W	-7.1992739532917795
YER151C	-7.1992739532917795
YFR030W	-7.1992739532917795
YFR048W	-7.1992739532917795
YGL025C	-7.1992739532917795
YGL070C	-7.1992739532917795
YGL129C	-7.1992739532917795
YGL211W	-7.1992739532917795
YGL236C	-7.1992739532917795
YGR155W	-7.1992739532917795
YGR163W	-7.1992739532917795
YHL031C	-7.1992739532917795
YHR005C	-7.1992739532917795
YHR178W	-7.1992739532917795
YIL008W	-7.1992739532917795
YIL017C	-7.1992739532917795
YIL018W	-7.1992739532917795
YIL029C	-7.1992739532917795
YIL039W	-7.1992739532917795
YIL053W	-7.1992739532917795
YIL065C	-7.1992739532917795
YIL070C	-7.1992739532917795
YIL077C	-7.1992739532917795
YIL098C	-7.1992739532917795
YIL110W	-7.1992739532917795
YIR017C	-7.1992739532917795
YJL080C	-7.1992739532917795
YJL101C	-7.1992739532917795
YJL120W	-7.1992739532917795
YJL201W	-7.1992739532917795
YJR060W	-7.1992739532917795
YJR104C	-7.1992739532917795
YJR137C	-7.1992739532917795
YJR139C	-7.1992739532917795
YKL001C	-7.1992739532917795
YKL048C	-7.1992739532917795
YKL051W	-7.1992739532917795
YKL204W	-7.1992739532917795
YLL043W	-7.1992739532917795
YLR148W	-7.1992739532917795
YLR303W	-7.1992739532917795
YLR304C	-7.1992739532917795
YLR320W	-7.1992739532917795
YLR322W	-7.1992739532917795
YLR455W	-7.1992739532917795
YML007W	-7.1992739532917795
YML094C-A	-7.1992739532917795
YMR021C	-7.1992739532917795
YNL046W	-7.1992739532917795
YNL064C	-7.1992739532917795
YOL050C	-7.1992739532917795
YOL064C	-7.1992739532917795
YOR305W	-7.1992739532917795
YPL031C	-7.1992739532917795
YPL208W	-7.1992739532917795
YPR044C	-7.1992739532917795
YPR067W	-7.1992739532917795
YPR167C	-7.1992739532917795
