orf	hap a | cytosolic pH | standard [standard] | Orij R~Smits GJ, 2012
YAL002W	-0.0150203818503403
YAL004W	-0.00032836841686121416
YAL005C	0.016226210967486096
YAL007C	-0.008038075526313321
YAL008W	0.014244240371581222
YAL010C	-8.47080985736373e-05
YAL011W	0.010141867596809882
YAL013W	-0.006659572689056129
YAL014C	-0.0003777841207107743
YAL015C	-0.007876732092975701
YAL017W	-0.0053138356415886896
YAL018C	0.012070595634507405
YAL019W	0.011653847623683532
YAL020C	0.001749864321953522
YAL022C	0.0068279712604665845
YAL023C	0.006135665852076275
YAL024C	0.005890163491514778
YAL026C	-0.00244214355339947
YAL027W	-0.001990422456825411
YAL028W	-0.0024715696987243694
YAL029C	0.004860257891968734
YAL030W	-0.008862571289296763
YAL031C	-0.001512238029163159
YAL034C	0.01036631366406532
YAL036C	0.0074050888329290415
YAL037W	0.01493982598211738
YAL040C	0.037346658918614405
YAL042C-A	0.01396915126338216
YAL042W	0.09667121342478328
YAL045C	0.005742360657718667
YAL046C	0.006116814111412122
YAL048C	0.00485869847458493
YAL049C	0.002996672050470215
YAL051W	-0.005018869544327487
YAL053W	-0.004875476848910621
YAL054C	-0.002235925747404015
YAL055W	0.013293823096136257
YAL056C-A	-0.003671325214231847
YAL056W	0.0071335796834601835
YAL058W	0.0005160604295761004
YAL059W	-0.0007542094162973472
YAL060W	0.0070149386208839875
YAL061W	0.0019376684074492948
YAL062W	0.0038472802930415257
YAL064C-A	-0.005989400153511287
YAL065C	0.0012827830644117572
YAL066W	-0.007692223613818956
YAL067C	-0.00268017275719465
YAL068C	0.009372038812020905
YAR002C-A	-0.0018175036498879837
YAR002W	0.008944168609483272
YAR003W	-0.004349567235298534
YAR014C	-0.0022233215074083544
YAR015W	0.008947408664673653
YAR018C	0.004860343930936002
YAR020C	0.00444004547384969
YAR023C	-0.002991360966226445
YAR027W	-0.00023357090890001596
YAR028W	0.007485342045744104
YAR029W	0.01886943958572025
YAR030C	0.015450414501879516
YAR031W	0.011956777858785687
YAR035W	-0.0021134314234377742
YAR042W	0.0015909611708584688
YAR047C	0.002044031134248065
YAR050W	0.011427391112804391
YBL001C	0.005894671409435363
YBL003C	0.004543116176303599
YBL005W	0.0021033316507140676
YBL007C	0.008514432168164424
YBL008W	0.00452102946452916
YBL009W	0.0019530627387690802
YBL010C	0.007516363320652502
YBL011W	-0.018057306581088284
YBL013W	0.012162299747390068
YBL015W	0.020878505781952793
YBL016W	0.046629481106309614
YBL017C	0.019226138465441387
YBL019W	0.01487251255988191
YBL021C	0.03577155597064456
YBL024W	0.020406539557154865
YBL025W	-0.1443934965064418
YBL027W	0.0030958772035618977
YBL028C	0.0238477328962914
YBL029W	0.014769413379065842
YBL031W	0.014531330649784006
YBL032W	0.01179284481013331
YBL036C	0.01182462492507615
YBL037W	0.021680435886744773
YBL039C	0.010446196394592867
YBL042C	0.14965402958988902
YBL043W	0.01857118744180609
YBL046W	0.010282734253791104
YBL047C	0.022663175434588657
YBL048W	0.018779617790509778
YBL049W	0.02539262761704464
YBL051C	0.11311315982813279
YBL052C	0.011949875239198911
YBL053W	0.012108825749944463
YBL054W	0.018546699133080595
YBL055C	0.017064911268913824
YBL056W	0.013132314053560468
YBL057C	0.02367924977738474
YBL059W	0.0239023091653366
YBL060W	0.021022769586392945
YBL061C	0.011879997095702735
YBL062W	0.011090564992209626
YBL063W	0.02394936942162398
YBL064C	0.01918008242791138
YBL065W	0.023194739424250554
YBL066C	0.027393274680969044
YBL067C	0.026214733967288986
YBL068W	0.025067135267864773
YBL069W	0.016772801747892783
YBL070C	0.021869727400789213
YBL071C	0.018495263201172896
YBL072C	0.011642084548910496
YBL075C	0.010140593702961515
YBL078C	0.023800744378694637
YBL079W	0.01685801208240292
YBL081W	0.021150189036973122
YBL082C	0.036797007619045106
YBL083C	0.04009264798505981
YBL085W	0.012841679364328952
YBL086C	0.03143193572266225
YBL087C	0.01483626577357372
YBL088C	0.03191444174817336
YBL089W	0.045486726664313776
