orf	hap a | cytosolic pH | standard [standard] | Orij R~Smits GJ, 2012
YBR108W	10.665966871161265
YBR111C	6.9652495863265
YBR113W	6.971974994112505
YBR114W	7.028888478207666
YBR115C	6.08011450830512
YBR116C	6.88631298603522
YBR118W	7.07528252695687
YBR119W	6.98436965610918
YBR121C	6.958498647371336
YBR122C	6.9759248218409144
YBR125C	6.948934211361481
YBR126C	6.995745765465835
YBR128C	6.981732536137285
YBR129C	6.949278805308975
YBR130C	6.94724365502545
YBR131W	6.920087996682475
YBR132C	6.98427840557291
YBR134W	6.95102380765093
YBR137W	7.02146533625784
YBR138C	6.908820423352076
YBR139W	6.98726827686393
YBR141C	6.954168888250541
YBR144C	6.890923016884935
YBR145W	6.99956535129857
YBR146W	6.92418468142453
YBR147W	6.975804009926019
YBR148W	6.998698841465325
YBR149W	6.984622324925705
YBR150C	6.97652547564927
YBR151W	7.017697829693425
YBR156C	7.022557145767595
YBR157C	7.041393381378735
YBR158W	6.986154394278675
YBR159W	7.004611738147835
YBR161W	7.03646890598759
YBR162C	7.031251852311095
YBR162W-A	7.035702334799815
YBR164C	7.042863054976335
YBR165W	7.02562077077396
YBR166C	7.02040698145965
YBR168W	7.011622070851085
YBR169C	7.026778590003075
YBR170C	6.90982081260963
YBR171W	6.925646394713195
YBR172C	7.018351868001915
YBR174C	6.935086251577915
YBR175W	6.944925840442665
YBR176W	6.949228511355095
YBR177C	7.01626238380799
YBR178W	6.98975650264049
YBR180W	6.982089571528575
YBR181C	6.93853837195889
YBR182C	6.943548743690205
YBR183W	6.98246406099091
YBR184W	7.028515688518465
YBR185C	7.0088301669363595
YBR186W	7.005110755769856
YBR187W	6.98182149821895
YBR188C	7.00197762223351
YBR189W	5.4033308691185
YBR194W	6.83028699743987
YBR195C	7.006299487255645
YBR197C	7.05702735851228
YBR199W	7.01437460423329
YBR200W	6.83239615293512
YBR201W	6.967946344524044
YBR203W	7.070386539713905
YBR204C	7.021335405243265
YBR205W	6.92930318153791
YBR206W	7.07184372565316
YBR207W	7.02505934691906
YBR208C	7.047161322051025
YBR209W	7.047258339690725
YBR210W	6.9945140421969
YBR212W	7.02003428160644
YBR213W	7.05979021725208
YBR214W	7.00656903885106
YBR215W	7.082592304975945
YBR216C	6.968343364900305
YBR217W	6.96450767444248
YBR218C	6.988797618189565
YBR219C	7.01458110250203
YBR220C	7.076675291785615
YBR221C	7.017621409057265
YBR222C	7.08892952136619
YBR223C	7.02425270872426
YBR224W	7.089361402411225
YBR225W	7.061581356998155
YBR226C	7.0490488247547844
YBR227C	7.1041161170498555
YBR228W	7.04962005036577
YBR229C	7.02576305041596
YBR230C	7.057340838488225
YBR231C	7.012665399670086
YBR232C	7.057036599182295
YBR233W	7.0479223389503804
YBR235W	7.033745060600305
YBR238C	6.935323091767691
YBR239C	7.04354986524002
YBR240C	7.042602456316775
YBR241C	7.084093811028184
YBR242W	7.05084614066386
YBR244W	7.02092491234506
YBR245C	7.018762826090475
YBR246W	7.05019187303007
YBR248C	6.292278623752225
YBR249C	7.035515477450265
YBR250W	7.0472267940058995
YBR255W	7.00671220948445
YBR258C	6.9863958767301
YBR259W	7.067796166353895
YBR260C	7.104777243946195
YBR261C	6.99779147010899
YBR262C	7.02496295253106
YBR263W	7.0859081522532
YBR264C	7.05620538034986
YBR266C	7.05822355829606
YBR267W	7.016019046980685
YBR269C	7.043508080666105
YBR270C	7.043755811807316
YBR271W	7.074272015745924
YBR272C	7.116595874663725
YBR273C	7.0610418305487155
