ORF	hap a | cytosolic pH | standard [standard] | Orij R~Smits GJ, 2012
YOR202W	7.106
YAL002W	6.837
YAL004W	6.946
YAL005C	7.069
YAL007C	6.889
YAL008W	7.054
YAL010C	6.948
YAL011W	7.024
YAL013W	6.899
YAL014C	6.946
YAL015C	6.890
YAL017W	6.909
YAL018C	7.038
YAL019W	7.035
YAL020C	6.962
YAL022C	6.999
YAL023C	6.994
YAL024C	6.992
YAL026C	6.931
YAL027W	6.934
YAL028W	6.930
YAL029C	6.985
YAL030W	6.883
YAL031C	6.937
YAL034C	7.025
YAL036C	7.003
YAL037W	7.059
YAL040C	7.225
YAL042W	7.664
YAL042C-A	7.052
YAL045C	6.991
YAL046C	6.994
YAL048C	6.985
YAL049C	6.971
YAL051W	6.911
YAL053W	6.913
YAL054C	6.932
YAL055W	7.047
YAL056W	7.001
YAL056C-A	6.921
YAL058W	6.952
YAL059W	6.943
YAL060W	7.001
YAL061W	6.963
YAL062W	6.977
YAL064C-A	6.904
YAL065C	6.958
YAL066W	6.892
YAL067C	6.929
YAL068C	7.018
YAR002C-A	6.935
YAR002W	7.015
YAR003W	6.916
YAR014C	6.932
YAR015W	7.015
YAR018C	6.985
YAR020C	6.981
YAR023C	6.926
YAR027W	6.947
YAR028W	7.004
YAR029W	7.088
YAR030C	7.063
YAR031W	7.037
YAR035W	6.933
YAR037W	6.995
YAR040C	6.882
YAR042W	6.960
YAR043C	6.814
YAR047C	6.964
YAR050W	7.033
YBL001C	6.992
YBL003C	6.982
YBL005W	6.964
YBL007C	7.012
YBL008W	6.982
YBL009W	6.963
YBL010C	7.004
YBL011W	6.815
YBL013W	7.039
YBL015W	7.103
YBL016W	7.294
YBL017C	7.091
YBL019W	7.059
YBL021C	7.213
YBL024W	7.100
YBL025W	5.880
YBL027W	6.972
YBL028C	7.125
YBL029W	7.058
YBL031W	7.056
YBL032W	7.036
YBL036C	7.036
YBL037W	7.109
YBL039C	7.026
YBL042C	8.056
YBL043W	7.086
YBL046W	7.025
YBL047C	7.116
YBL048W	7.088
YBL049W	7.137
YBL051C	7.786
YBL052C	7.037
YBL053W	7.038
YBL054W	7.086
YBL055C	7.075
YBL056W	7.046
YBL057C	7.124
YBL059W	7.126
YBL060W	7.104
YBL061C	7.037
YBL062W	7.031
YBL063W	7.126
YBL064C	7.091
YBL065W	7.120
YBL066C	7.151
YBL067C	7.143
YBL068W	7.134
YBL069W	7.073
YBL070C	7.110
YBL071C	7.086
YBL072C	7.035
YBL075C	7.024
YBL078C	7.125
YBL079W	7.073
YBL081W	7.105
YBL082C	7.221
YBL083C	7.245
YBL085W	7.044
YBL086C	7.181
YBL087C	7.058
YBL088C	7.185
YBL089W	7.285
YBL091C	7.728
YBL091C-A	7.202
YBL094C	7.148
YBL095W	7.003
YBL096C	7.219
YBL098W	7.112
YBL100C	7.157
YBL101C	7.207
YBL102W	7.118
YBL103C	7.027
YBL104C	7.110
YBL106C	7.185
YBL107C	7.039
YBR001C	7.089
YBR005W	6.995
YBR006W	7.024
YBR007C	7.041
YBR008C	7.138
YBR009C	7.093
YBR010W	7.098
YBR012C	7.107
YBR013C	7.122
YBR014C	7.106
YBR015C	7.070
YBR016W	7.038
YBR018C	6.984
YBR019C	6.977
YBR020W	6.995
YBR022W	6.979
YBR023C	6.959
YBR024W	6.966
YBR025C	6.967
YBR026C	6.904
YBR027C	6.925
YBR028C	6.984
YBR030W	6.890
YBR031W	7.032
YBR032W	7.016
YBR033W	6.969
YBR034C	6.944
YBR036C	6.988
YBR040W	6.943
YBR041W	6.813
YBR042C	6.906
YBR043C	7.030
YBR044C	6.987
YBR045C	6.934
YBR046C	7.032
YBR047W	6.981
YBR048W	6.942
YBR050C	6.996
YBR051W	6.981
YBR052C	7.008
YBR053C	6.922
YBR054W	7.001
YBR056W	6.965
YBR057C	6.952
YBR058C	6.935
YBR059C	7.152
YBR061C	7.363
YBR062C	7.893
YBR063C	7.620
YBR064W	7.358
YBR065C	7.645
YBR066C	6.949
YBR067C	6.965
YBR068C	6.767
YBR069C	4.018
YBR071W	-2.410
YBR072W	7.025
YBR073W	6.950
YBR074W	7.012
YBR076W	7.039
YBR077C	6.912
YBR078W	6.938
YBR082C	7.007
YBR083W	6.933
YBR084C-A	6.956
YBR084W	6.987
YBR085W	7.093
YBR086C	6.997
YBR090C	6.851
YBR089C-A	7.102
YBR092C	7.074
YBR093C	7.077
YBR094W	6.976
YBR095C	6.978
YBR098W	6.968
YBR099C	7.045
YBR101C	6.983
YBR103W	6.964
YBR104W	6.988
YBR105C	7.009
YBR106W	6.965
YBR107C	7.049
YBR108W	10.666
YBR111C	6.965
YBR113W	6.972
YBR114W	7.029
YBR115C	6.080
YBR116C	6.886
YBR118W	7.075
YBR119W	6.984
YBR121C	6.958
YBR122C	6.976
YBR125C	6.949
YBR126C	6.996
YBR128C	6.982
YBR129C	6.949
YBR130C	6.947
YBR131W	6.920
YBR132C	6.984
YBR134W	6.951
YBR137W	7.021
YBR138C	6.909
YBR139W	6.987
YBR141C	6.954
YBR144C	6.891
YBR145W	7.000
YBR146W	6.924
YBR147W	6.976
YBR148W	6.999
YBR149W	6.985
YBR150C	6.977
YBR151W	7.018
YBR156C	7.023
YBR157C	7.041
YBR158W	6.986
YBR159W	7.005
YBR161W	7.036
YBR162C	7.031
YBR162W-A	7.036
YBR164C	7.043
YBR165W	7.026
YBR166C	7.020
YBR168W	7.012
YBR169C	7.027
YBR170C	6.910
YBR171W	6.926
YBR172C	7.018
YBR174C	6.935
YBR175W	6.945
YBR176W	6.949
YBR177C	7.016
YBR178W	6.990
YBR180W	6.982
YBR181C	6.939
YBR182C	6.944
YBR183W	6.982
YBR184W	7.029
YBR185C	7.009
