ORF	hom | growth (spot assay) | cumene hydroperoxide [0.0350.11 mM] | Thorpe GW~Dawes IW, 2004	hom | growth (spot assay) | diamide (1,1'-azobis(N,N-dimethylformamide) [0.81.2 mM]) | Thorpe GW~Dawes IW, 2004	hom | growth (spot assay) | hydrogen peroxide [0.751.6 mM] | Thorpe GW~Dawes IW, 2004	hom | growth (spot assay) | linoleic acid hydroperoxide [0.0450.08 mM] | Thorpe GW~Dawes IW, 2004	hom | growth (spot assay) | menadione [0.51.2 mM] | Thorpe GW~Dawes IW, 2004
YFL056C	0.000	-4.000	0.000	0.000	0.000
YMR072W	0.000	1.000	-6.000	0.000	0.000
YLR304C	0.000	-1.000	0.000	0.000	0.000
YDR448W	-7.000	-4.000	-1.000	-1.000	0.000
YGL234W	0.000	-3.000	-1.000	-1.000	0.000
YGR061C	0.000	0.000	0.000	0.000	-7.000
YDR226W	0.000	-2.000	-1.000	0.000	0.000
YJR105W	-7.000	0.000	0.000	0.000	-1.000
YMR064W	0.000	1.000	-7.000	0.000	0.000
YLR109W	-1.000	0.000	0.000	0.000	0.000
YDR264C	-7.000	-2.000	0.000	-7.000	0.000
YMR169C	0.000	-4.000	0.000	-5.000	0.000
YOR002W	0.000	-3.000	0.000	0.000	0.000
YML035C	0.000	0.000	-1.000	-1.000	0.000
YKL157W	-1.000	-1.000	-1.000	0.000	-1.000
YGR261C	0.000	0.000	0.000	0.000	-1.000
YBR288C	0.000	-4.000	0.000	0.000	0.000
YOL062C	0.000	-1.000	0.000	0.000	0.000
YBR149W	0.000	-4.000	0.000	0.000	0.000
YGL105W	-1.000	-3.000	0.000	-5.000	0.000
YLR370C	0.000	-3.000	-1.000	0.000	0.000
YOL058W	-6.000	0.000	0.000	0.000	0.000
YJL088W	-5.000	0.000	0.000	0.000	0.000
YDR173C	0.000	0.000	0.000	-1.000	0.000
YBR164C	0.000	-3.000	-1.000	0.000	0.000
YLR085C	0.000	0.000	0.000	-1.000	-1.000
YDL100C	0.000	-4.000	0.000	-1.000	0.000
YLR242C	-7.000	-2.000	-6.000	-7.000	0.000
YJL115W	0.000	-4.000	0.000	-5.000	0.000
YBL099W	0.000	0.000	-1.000	0.000	0.000
YJL180C	0.000	0.000	-5.000	0.000	0.000
YML081C-A	0.000	-4.000	0.000	0.000	0.000
YDR298C	0.000	0.000	-5.000	0.000	0.000
YKL016C	0.000	0.000	-1.000	-7.000	0.000
YNR007C	0.000	-4.000	0.000	-5.000	0.000
YCL038C	0.000	-4.000	0.000	0.000	0.000
YIL124W	0.000	-4.000	0.000	-1.000	0.000
YBR068C	-6.000	0.000	-7.000	-2.000	0.000
YER167W	0.000	0.000	0.000	-1.000	0.000
YDL070W	0.000	-1.000	-1.000	0.000	0.000
YER155C	0.000	-1.000	-1.000	0.000	0.000
YOR198C	0.000	0.000	-1.000	-1.000	0.000
YNR058W	0.000	0.000	-1.000	-1.000	0.000
YER177W	0.000	-4.000	-1.000	-5.000	0.000
YDL074C	0.000	-4.000	-1.000	-1.000	0.000
YBR290W	-1.000	-3.000	0.000	0.000	0.000
YFL025C	0.000	-3.000	0.000	0.000	0.000
YPL069C	0.000	-3.000	-1.000	0.000	0.000
YJL188C	-1.000	-3.000	-1.000	-5.000	0.000
YOR078W	0.000	-3.000	0.000	-7.000	-1.000
YCR047C	-1.000	0.000	0.000	0.000	0.000
YLR062C	0.000	-3.000	0.000	0.000	-1.000
YPL178W	0.000	0.000	0.000	-1.000	-1.000
YJL209W	0.000	0.000	-1.000	0.000	0.000
YHL038C	0.000	0.000	-1.000	0.000	0.000
YPL215W	0.000	1.000	-6.000	0.000	0.000
YGR174C	0.000	0.000	-1.000	0.000	0.000
