orf	hom | growth (spot assay) | cumene hydroperoxide [0.035-0.11 mM] | SC | Thorpe GW~Dawes IW, 2004	hom | growth (spot assay) | diamide | SC | Thorpe GW~Dawes IW, 2004	hom | growth (spot assay) | hydrogen peroxide [0.75-1.6 mM] | SC | Thorpe GW~Dawes IW, 2004	hom | growth (spot assay) | linoleic acid hydroperoxide [0.045-0.08 mM] | SC | Thorpe GW~Dawes IW, 2004	hom | growth (spot assay) | menadione [0.5-1.2 mM] | SC | Thorpe GW~Dawes IW, 2004
YAL002W	0.0	-3.328420006692352	-1.0213082703655076	0.0	0.0
YAL009W	0.0	-3.328420006692352	-1.0213082703655076	-1.1417333408271362	0.0
YAL011W	0.0	0.01124466218477178	-0.030038478540162818	0.0	-2.1847864713664444
YAL013W	0.0	-3.328420006692352	-0.030038478540162818	-1.1417333408271362	0.0
YAL021C	0.0	-3.328420006692352	-0.030038478540162818	0.0	0.0
YAL022C	0.0	0.01124466218477178	-0.030038478540162818	0.0	-2.1847864713664444
YAL026C	0.0	-4.441641562984726	-1.0213082703655076	0.0	0.0
YAR002W	-1.3280792850420304	-4.441641562984726	-1.0213082703655076	-1.1417333408271362	0.0
YAR003W	0.0	1.1244662184771463	-1.0213082703655076	0.0	0.0
YBL007C	0.0	0.01124466218477178	-5.977657229492232	0.0	0.0
YBL027W	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YBL038W	0.0	0.01124466218477178	-5.977657229492232	0.0	0.0
YBL045C	0.0	1.1244662184771463	-5.977657229492232	0.0	0.0
YBL047C	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YBL067C	0.0	0.01124466218477178	-0.030038478540162818	0.0	-2.1847864713664444
YBL072C	0.0	-4.441641562984726	-0.030038478540162818	-1.1417333408271362	0.0
YBL080C	0.0	0.01124466218477178	-5.977657229492232	0.0	0.0
YBL090W	0.0	0.01124466218477178	-1.0213082703655076	0.0	0.0
YBL093C	-7.968475710252183	-3.328420006692352	-6.968927021317577	0.0	0.0
YBL099W	0.0	0.01124466218477178	-1.0213082703655076	0.0	0.0
YBL100C	0.0	0.01124466218477178	-1.0213082703655076	0.0	0.0
YBL104C	0.0	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YBR003W	0.0	0.01124466218477178	-6.968927021317577	-7.992133385789954	0.0
YBR006W	0.0	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YBR027C	0.0	-4.441641562984726	-0.030038478540162818	-1.1417333408271362	0.0
YBR035C	0.0	0.01124466218477178	-0.030038478540162818	-3.425200022481409	0.0
YBR036C	0.0	0.01124466218477178	-0.030038478540162818	-2.2834666816542724	-6.554359414099332
YBR041W	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YBR048W	0.0	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YBR064W	0.0	0.01124466218477178	-1.0213082703655076	0.0	0.0
YBR068C	-7.968475710252183	0.01124466218477178	-6.968927021317577	-2.2834666816542724	0.0
YBR069C	-1.3280792850420304	-3.328420006692352	-0.030038478540162818	-3.425200022481409	-10.923932356832221
YBR077C	0.0	0.01124466218477178	-1.0213082703655076	-7.992133385789954	0.0
YBR078W	-9.296554995294214	-3.328420006692352	-0.030038478540162818	-1.1417333408271362	0.0
YBR084W	0.0	0.01124466218477178	-1.0213082703655076	0.0	0.0
YBR106W	0.0	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YBR126C	0.0	0.01124466218477178	-1.0213082703655076	-2.2834666816542724	0.0
YBR127C	-6.640396425210152	-4.441641562984726	-1.0213082703655076	-4.566933363308545	-2.1847864713664444
YBR130C	0.0	0.01124466218477178	-1.0213082703655076	0.0	0.0
YBR134W	0.0	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YBR137W	0.0	-1.1019768941076027	-0.030038478540162818	0.0	0.0
YBR147W	0.0	-1.1019768941076027	-0.030038478540162818	0.0	0.0
YBR148W	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YBR149W	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YBR156C	0.0	-1.1019768941076027	-0.030038478540162818	0.0	0.0
YBR159W	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YBR161W	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YBR163W	0.0	0.01124466218477178	-6.968927021317577	0.0	0.0
YBR164C	0.0	-3.328420006692352	-1.0213082703655076	0.0	0.0
YBR168W	-1.3280792850420304	0.01124466218477178	-0.030038478540162818	0.0	0.0
YBR170C	0.0	-1.1019768941076027	-0.030038478540162818	0.0	0.0
YBR171W	0.0	-2.2151984503999773	-0.030038478540162818	-1.1417333408271362	0.0
YBR172C	0.0	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YBR173C	0.0	0.01124466218477178	-1.0213082703655076	-1.1417333408271362	0.0
YBR174C	0.0	0.01124466218477178	-1.0213082703655076	0.0	0.0
YBR175W	0.0	-3.328420006692352	-1.0213082703655076	0.0	0.0
YBR179C	0.0	0.01124466218477178	-1.0213082703655076	-1.1417333408271362	0.0
YBR191W	-9.296554995294214	-3.328420006692352	-6.968927021317577	-1.1417333408271362	0.0
YBR194W	0.0	-4.441641562984726	-1.0213082703655076	0.0	0.0
YBR213W	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YBR216C	-7.968475710252183	-4.441641562984726	-1.0213082703655076	0.0	0.0
YBR266C	0.0	-3.328420006692352	-0.030038478540162818	0.0	0.0
YBR268W	-1.3280792850420304	0.01124466218477178	-6.968927021317577	-1.1417333408271362	0.0
YBR272C	-1.3280792850420304	0.01124466218477178	-0.030038478540162818	0.0	0.0
YBR279W	-6.640396425210152	-3.328420006692352	-6.968927021317577	-1.1417333408271362	0.0
YBR283C	0.0	0.01124466218477178	-1.0213082703655076	-1.1417333408271362	0.0
YBR284W	-1.3280792850420304	0.01124466218477178	-1.0213082703655076	-1.1417333408271362	0.0
YBR285W	-1.3280792850420304	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YBR288C	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YBR289W	-6.640396425210152	0.01124466218477178	-0.030038478540162818	-2.2834666816542724	-6.554359414099332
YBR290W	-1.3280792850420304	-3.328420006692352	-0.030038478540162818	0.0	0.0
YBR291C	-1.3280792850420304	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YCL001W	-1.3280792850420304	0.01124466218477178	-0.030038478540162818	0.0	0.0
YCL002C	0.0	-3.328420006692352	-0.030038478540162818	0.0	0.0
YCL007C	-3.9842378551260915	-3.328420006692352	-0.030038478540162818	-4.566933363308545	0.0
YCL008C	0.0	-3.328420006692352	-0.030038478540162818	0.0	0.0
YCL037C	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YCL038C	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YCL044C	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YCL045C	0.0	-1.1019768941076027	-0.030038478540162818	0.0	0.0
YCL046W	0.0	-1.1019768941076027	-0.030038478540162818	0.0	0.0
YCL061C	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YCR008W	0.0	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YCR028C-A	-1.3280792850420304	0.01124466218477178	-5.977657229492232	0.0	0.0
YCR030C	-1.3280792850420304	0.01124466218477178	-0.030038478540162818	0.0	0.0
YCR033W	-1.3280792850420304	-1.1019768941076027	-0.030038478540162818	0.0	0.0
YCR046C	-1.3280792850420304	0.01124466218477178	-5.977657229492232	0.0	0.0
YCR047C	-1.3280792850420304	0.01124466218477178	-0.030038478540162818	0.0	0.0
YCR050C	-1.3280792850420304	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YCR053W	0.0	0.01124466218477178	-0.030038478540162818	-4.566933363308545	-2.1847864713664444
YCR061W	-1.3280792850420304	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YCR067C	-1.3280792850420304	0.01124466218477178	-0.030038478540162818	0.0	0.0
YCR068W	-1.3280792850420304	-1.1019768941076027	-1.0213082703655076	-5.708666704135681	0.0
YCR077C	-1.3280792850420304	-4.441641562984726	-0.030038478540162818	-1.1417333408271362	0.0
YCR079W	-1.3280792850420304	-4.441641562984726	-0.030038478540162818	-7.992133385789954	0.0
YCR086W	-1.3280792850420304	0.01124466218477178	-1.0213082703655076	-1.1417333408271362	0.0
YCR087C-A	-1.3280792850420304	0.01124466218477178	-1.0213082703655076	-1.1417333408271362	0.0
YCR094W	0.0	-3.328420006692352	-0.030038478540162818	0.0	0.0
YCR095C	-1.3280792850420304	-3.328420006692352	-0.030038478540162818	-1.1417333408271362	0.0
YDL001W	0.0	-3.328420006692352	-0.030038478540162818	0.0	0.0
YDL006W	0.0	-3.328420006692352	-1.0213082703655076	-7.992133385789954	0.0
YDL020C	0.0	-3.328420006692352	-1.0213082703655076	-3.425200022481409	0.0
YDL023C	-7.968475710252183	-3.328420006692352	-1.0213082703655076	-7.992133385789954	0.0
YDL032W	0.0	0.01124466218477178	-6.968927021317577	0.0	0.0
YDL033C	0.0	-4.441641562984726	-6.968927021317577	0.0	0.0
YDL039C	-4.648277497647107	0.01124466218477178	-1.0213082703655076	-0.5708666704135681	0.0
YDL041W	-1.3280792850420304	-3.328420006692352	-1.0213082703655076	-6.850400044962818	0.0
YDL044C	0.0	0.01124466218477178	-6.968927021317577	0.0	0.0
YDL045W-A	0.0	0.01124466218477178	-6.968927021317577	0.0	-2.1847864713664444
YDL056W	0.0	0.01124466218477178	-6.968927021317577	0.0	-2.1847864713664444
YDL057W	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YDL065C	0.0	0.01124466218477178	-0.030038478540162818	-7.992133385789954	0.0
YDL066W	0.0	0.01124466218477178	-6.968927021317577	-1.1417333408271362	0.0
YDL068W	0.0	0.01124466218477178	-6.968927021317577	0.0	0.0
YDL069C	0.0	0.01124466218477178	-6.968927021317577	0.0	0.0
YDL070W	0.0	-1.1019768941076027	-1.0213082703655076	0.0	0.0
YDL074C	0.0	-4.441641562984726	-1.0213082703655076	-1.1417333408271362	0.0
YDL077C	0.0	-4.441641562984726	-1.0213082703655076	0.0	0.0
YDL079C	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YDL080C	0.0	-4.441641562984726	-1.0213082703655076	-7.992133385789954	0.0
YDL082W	0.0	0.01124466218477178	-1.0213082703655076	0.0	0.0
YDL083C	0.0	-3.328420006692352	-0.030038478540162818	-1.1417333408271362	0.0
YDL100C	0.0	-4.441641562984726	-0.030038478540162818	-1.1417333408271362	0.0
YDL101C	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YDL104C	0.0	0.01124466218477178	-1.0213082703655076	0.0	0.0
YDL106C	-1.3280792850420304	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YDL115C	0.0	-3.328420006692352	-0.030038478540162818	-5.708666704135681	0.0
YDL116W	-1.3280792850420304	-4.441641562984726	-1.0213082703655076	-1.1417333408271362	0.0
YDL130W	0.0	-3.328420006692352	-0.030038478540162818	-1.1417333408271362	0.0
YDL151C	-7.968475710252183	-2.2151984503999773	-0.030038478540162818	-2.2834666816542724	-8.739145885465778
YDL172C	0.0	0.01124466218477178	-0.030038478540162818	-5.708666704135681	0.0
YDL173W	0.0	0.01124466218477178	-0.030038478540162818	-4.566933363308545	0.0
YDL187C	-1.3280792850420304	-4.441641562984726	-1.0213082703655076	-1.1417333408271362	0.0
YDL191W	0.0	-1.1019768941076027	-0.030038478540162818	0.0	0.0
YDL198C	-1.3280792850420304	1.1244662184771463	-5.977657229492232	0.0	-2.1847864713664444
YDL202W	0.0	1.1244662184771463	-6.968927021317577	0.0	-2.1847864713664444
YDR007W	0.0	-4.441641562984726	-0.030038478540162818	0.0	-2.1847864713664444
YDR017C	-1.3280792850420304	0.01124466218477178	-1.0213082703655076	-1.1417333408271362	-2.1847864713664444
YDR024W	0.0	-3.328420006692352	-0.030038478540162818	-1.1417333408271362	0.0
YDR025W	0.0	-3.328420006692352	-0.030038478540162818	0.0	0.0
YDR027C	-1.3280792850420304	-3.328420006692352	-1.0213082703655076	-7.992133385789954	0.0
YDR028C	-7.968475710252183	0.01124466218477178	-6.968927021317577	-6.850400044962818	-15.29350529956511
YDR043C	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YDR048C	-1.3280792850420304	-1.1019768941076027	-0.030038478540162818	0.0	0.0
YDR071C	0.0	-4.441641562984726	-1.0213082703655076	-7.992133385789954	0.0
YDR074W	0.0	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YDR159W	0.0	-3.328420006692352	-0.030038478540162818	0.0	0.0
YDR161W	0.0	-3.328420006692352	-0.030038478540162818	0.0	0.0
YDR173C	0.0	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YDR174W	-1.3280792850420304	-3.328420006692352	-1.0213082703655076	-4.566933363308545	-15.29350529956511
YDR175C	0.0	1.1244662184771463	-6.968927021317577	0.0	0.0
YDR176W	-1.3280792850420304	0.01124466218477178	-1.0213082703655076	0.0	0.0
YDR194C	0.0	0.01124466218477178	-6.968927021317577	0.0	0.0
YDR195W	0.0	-3.328420006692352	-0.030038478540162818	0.0	0.0
YDR197W	0.0	0.01124466218477178	-6.968927021317577	0.0	0.0
YDR203W	0.0	-3.328420006692352	-0.030038478540162818	0.0	0.0
YDR207C	0.0	-3.328420006692352	-0.030038478540162818	-1.1417333408271362	0.0
YDR209C	0.0	0.01124466218477178	-6.968927021317577	0.0	0.0
YDR226W	0.0	-2.2151984503999773	-1.0213082703655076	0.0	0.0
YDR230W	0.0	1.1244662184771463	-0.030038478540162818	0.0	0.0
YDR231C	0.0	1.1244662184771463	-0.030038478540162818	0.0	0.0
YDR237W	0.0	1.1244662184771463	-6.968927021317577	0.0	0.0
YDR255C	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YDR264C	-9.296554995294214	-2.2151984503999773	-0.030038478540162818	-7.992133385789954	0.0
YDR268W	0.0	1.1244662184771463	-0.030038478540162818	0.0	0.0
YDR289C	0.0	-4.441641562984726	-0.030038478540162818	-5.708666704135681	0.0
YDR293C	-7.968475710252183	-3.328420006692352	-0.030038478540162818	0.0	0.0
YDR294C	0.0	-1.1019768941076027	-0.030038478540162818	0.0	0.0
YDR297W	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YDR298C	0.0	0.01124466218477178	-4.986387437666887	0.0	0.0
YDR315C	0.0	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YDR322W	0.0	0.01124466218477178	-5.977657229492232	0.0	0.0
YDR323C	0.0	-3.328420006692352	-0.030038478540162818	0.0	0.0
YDR330W	0.0	-1.1019768941076027	-0.030038478540162818	0.0	0.0
YDR332W	0.0	0.01124466218477178	-5.977657229492232	0.0	0.0
YDR335W	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YDR363W-A	0.0	-3.328420006692352	-0.030038478540162818	-4.566933363308545	0.0
YDR439W	0.0	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YDR448W	-9.296554995294214	-4.441641562984726	-1.0213082703655076	-1.1417333408271362	0.0
YDR462W	0.0	0.01124466218477178	-4.986387437666887	0.0	0.0
YDR469W	0.0	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YDR484W	0.0	-3.328420006692352	-0.030038478540162818	0.0	0.0
YDR486C	0.0	-1.1019768941076027	-1.0213082703655076	0.0	0.0
YDR493W	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YDR495C	0.0	-2.2151984503999773	-1.0213082703655076	0.0	0.0
YDR496C	0.0	-3.328420006692352	-1.0213082703655076	-1.1417333408271362	0.0
YDR508C	0.0	-3.328420006692352	-0.030038478540162818	0.0	0.0
YDR509W	0.0	-3.328420006692352	-0.030038478540162818	0.0	0.0
YDR512C	0.0	1.1244662184771463	-0.030038478540162818	0.0	0.0
YDR518W	0.0	0.01124466218477178	-4.986387437666887	-1.1417333408271362	0.0
YDR529C	0.0	0.01124466218477178	-4.986387437666887	0.0	0.0
YDR533C	0.0	0.01124466218477178	-4.986387437666887	-7.992133385789954	0.0
YEL024W	0.0	0.01124466218477178	-1.0213082703655076	0.0	0.0
YEL031W	0.0	-3.328420006692352	-0.030038478540162818	0.0	0.0
YEL033W	0.0	-3.328420006692352	-0.030038478540162818	0.0	0.0
YEL047C	0.0	-4.441641562984726	-0.030038478540162818	0.0	0.0
YEL049W	0.0	-4.441641562984726	-1.0213082703655076	0.0	0.0
YER010C	0.0	0.01124466218477178	-1.0213082703655076	0.0	0.0
YER037W	0.0	-1.1019768941076027	-0.030038478540162818	0.0	0.0
YER050C	0.0	0.01124466218477178	-1.0213082703655076	0.0	0.0
YER077C	0.0	0.01124466218477178	-1.0213082703655076	0.0	0.0
YER087W	0.0	0.01124466218477178	-1.0213082703655076	0.0	0.0
YER090W	0.0	0.01124466218477178	-0.030038478540162818	-1.1417333408271362	0.0
YER116C	-9.296554995294214	0.01124466218477178	-1.0213082703655076	-4.566933363308545	0.0
