orf	hom | growth (pooled culture) | iron limitation | YPD | Jo WJ~Vulpe CD, 2009
YAL024C	-2.0
YBL027W	0.8
YBL038W	1.7
YBL039C	-1.0
YBL051C	-0.7
YBL080C	0.7
YBR031W	0.6
YBR035C	-2.4
YBR058C	-2.0
YBR078W	1.3
YBR089C-A	-0.7
YBR101C	-0.7
YBR103W	-1.3
YBR105C	-1.3
YBR106W	-0.8
YBR164C	-2.9
YBR174C	-1.2
YBR195C	-1.0
YBR208C	-0.7
YBR227C	-1.5
YBR231C	-1.7
YBR246W	0.9
YBR277C	0.7
YBR278W	1.6
YBR288C	-1.6
YBR290W	-1.4
YBR291C	-1.0
YCL008C	-3.4
YCL010C	-1.0
YCL064C	-1.0
YCR003W	1.3
YCR007C	-1.0
YCR008W	0.5
YCR015C	0.6
YCR028C	1.5
YCR033W	-2.1
YCR045C	-0.9
YCR050C	-1.2
YCR051W	1.3
YCR065W	-1.2
YCR066W	0.7
YCR068W	-2.1
YCR079W	-2.1
YCR087C-A	-1.1
YCR087W	-1.2
YDL002C	1.1
YDL023C	-0.6
YDL041W	-1.0
YDL052C	-1.2
YDL059C	1.1
YDL065C	-2.5
YDL074C	-1.1
YDL076C	-1.0
YDL077C	-1.2
YDL091C	-0.6
YDL100C	-1.6
YDL106C	0.6
YDL118W	-2.6
YDL119C	-2.4
YDL167C	-0.7
YDL226C	-2.0
YDL229W	-0.9
YDL234C	-0.8
YDL240W	-0.8
YDR005C	-0.8
YDR035W	-0.6
YDR048C	-1.9
YDR049W	-1.7
YDR072C	0.7
YDR075W	-0.7
YDR098C	-1.4
YDR101C	1.1
YDR120C	-0.9
YDR121W	2.2
YDR143C	-0.8
YDR149C	-1.2
YDR156W	1.2
YDR162C	-1.3
YDR179C	0.9
YDR202C	-2.6
YDR203W	-2.6
YDR237W	1.4
YDR244W	-1.5
YDR254W	-1.2
YDR265W	-2.6
YDR269C	-4.8
YDR270W	-1.7
YDR271C	-2.6
YDR276C	-1.6
YDR295C	-1.6
YDR297W	-1.1
YDR314C	-1.0
YDR329C	-2.3
YDR334W	-1.8
