ORF	hom | growth (pooled culture) | iron limitation | YPD | Jo WJ~Vulpe CD, 2009
YDR269C	-4.800
YER145C	-4.700
YNL259C	-4.600
YPL170W	-4.300
YDR455C	-4.300
YMR058W	-3.900
YPL182C	-3.700
YPL181W	-3.700
YJR040W	-3.600
YKR052C	-3.500
YJR033C	-3.500
YCL008C	-3.400
YPL065W	-3.300
YHL020C	-3.300
YMR054W	-3.200
YLR025W	-3.200
YIR033W	-3.100
YKR019C	-3.000
YGL045W	-2.750
YBR164C	-2.900
YPL139C	-2.900
YHR045W	-2.700
YJL211C	-2.700
YLR417W	-2.700
YJR102C	-2.700
YHL027W	-2.600
YDR203W	-2.600
YJL004C	-2.600
YDR202C	-2.600
YNL294C	-2.100
YCR033W	-2.100
YGL212W	-2.100
YDR456W	-2.100
YNL041C	-2.100
YKR029C	-2.100
YLR191W	-2.100
YCR079W	-2.100
YAL024C	-2.000
YPL051W	-2.000
YGR077C	-2.000
YOL081W	-2.000
YLR176C	-2.000
YLR085C	-2.000
YDL226C	-2.000
YHR200W	-2.000
YBR058C	-2.000
YLR119W	-2.000
YJL204C	-2.000
YIL065C	-1.900
YDR048C	-1.900
YDR349C	-1.900
YJL095W	-1.900
YJL024C	-1.900
YGL005C	-1.800
YPR173C	-1.800
YMR258C	-1.800
YDR484W	-1.800
YDR334W	-1.800
YMR183C	-1.800
YOR123C	-1.800
YLR027C	-1.700
YMR077C	-1.700
YDR049W	-1.700
YOR030W	-1.700
YBR231C	-1.700
YOR323C	-1.700
YDR335W	-1.700
YPL120W	-1.700
YGR133W	-1.700
YJL155C	-1.700
YDR270W	-1.700
YJL027C	-1.600
YMR214W	-1.600
YHR206W	-1.300
YEL037C	-1.300
YJL164C	-1.300
YBR103W	-1.300
YJL130C	-1.300
YER073W	-1.300
YDR162C	-1.300
YBR105C	-1.300
YJL209W	-1.300
YIR009W	-1.300
YGL012W	-1.300
YDR149C	-1.200
YFL049W	-1.200
YCR050C	-1.200
YJR043C	-1.200
YHR004C	-1.200
YLR087C	-1.200
YLR056W	-1.200
YLR204W	-1.200
YBR174C	-1.200
YDL077C	-1.200
YER019W	-1.200
YOR297C	-1.200
YDR254W	-1.200
YGR092W	-1.200
YGL194C	-1.200
YOR002W	-1.200
YOL096C	-1.200
YMR219W	-1.200
YPL265W	-1.200
YCR065W	-1.200
YJR120W	-1.200
YCR087W	-1.200
YDL052C	-1.200
YGR252W	-1.200
YPR070W	-1.200
YLR238W	-1.200
YER093C	-1.100
YGL054C	-1.100
YNL016W	-1.100
YEL031W	-1.100
YMR099C	-1.100
YKL126W	-1.100
YDR297W	-1.100
YER007C-A	-1.000
YDR435C	-1.000
YDL076C	-1.000
YIL029C	-1.000
YBL039C	-1.000
YDR485C	-1.000
YGL250W	-1.000
YCR007C	-1.000
YNL001W	-1.000
YDR314C	-1.000
YPR089W	-1.000
YPL144W	-1.000
YCR045C	-0.900
YDR120C	-0.900
YMR311C	-0.900
YHR012W	-0.900
YGR171C	-0.900
YOR139C	-0.900
YER087C-B	-0.900
YLR292C	-0.900
YIL038C	-0.900
YJL124C	-0.900
YJL154C	-0.900
YER031C	-0.900
YOR039W	-0.900
YEL064C	-0.900
YKL220C	-0.900
YOR068C	-0.900
YOR191W	-0.900
YDL229W	-0.900
YJL206C	-0.900
YOR366W	-0.900
YNL206C	-0.900
YDR395W	-0.900
YNL107W	-0.900
YKL053C-A	-0.900
YNL299W	-0.900
YKR077W	-0.900
YPL213W	-0.900
YMR246W	-0.900
YOR014W	-0.900
YMR135C	-0.800
YJR060W	-0.800
YGR261C	-0.800
YIL053W	-0.600
YOR322C	-0.600
YIL016W	-0.600
YDL091C	-0.600
YEL056W	-0.600
YHR153C	-0.600
YHL014C	-0.600
YLL001W	-0.600
YHR017W	-0.600
YOR345C	-0.600
YPL137C	-0.600
YEL060C	-0.600
YOR008C-A	-0.600
YDR035W	-0.600
YMR276W	-0.600
YNL105W	-0.600
YDL023C	-0.600
YJL215C	-0.500
YOL027C	-0.500
YMR274C	-0.500
YHL040C	-0.500
YHR104W	-0.500
YNL104C	-0.400
YOR005C	-0.400
YOR059C	-0.400
YPL110C	-0.400
YLR131C	-0.300
YDR457W	3.400
YFR036W	2.300
YDR121W	2.200
YGL136C	2.200
YGR220C	2.000
YGR102C	1.900
YGL072C	1.900
YPR166C	1.800
YOR158W	1.700
YBL038W	1.700
YLR368W	1.700
YDR363W-A	1.600
YOR295W	1.600
YBR278W	1.600
YJL023C	1.600
YLL044W	1.100
YNL025C	1.100
YLR315W	1.100
YLR032W	1.100
YGL149W	1.100
YPR057W	1.000
YOR349W	1.000
YLR304C	1.000
YKR048C	1.000
YMR269W	1.000
YDR385W	1.000
YOR235W	1.000
YLR221C	1.000
YOR189W	1.000
YLR344W	1.000
YGL060W	1.000
YGR034W	1.000
YNR032C-A	1.000
YPL158C	1.000
YNL096C	1.000
YGR076C	1.000
YFR031C	1.000
YPL241C	1.000
YNL071W	0.900
YKR072C	0.900
YJR077C	0.900
YDR179C	0.900
YKL138C	0.900
YBR246W	0.900
YPL104W	0.900
YIL103W	0.900
YNR042W	0.900
YNL248C	0.900
YFL012W-A	0.900
YNL056W	0.900
YOR230W	0.900
YKL008C	0.900
YDR442W	0.900
YOR330C	0.800
YMR207C	0.800
YIL121W	0.800
YIL101C	0.800
YHR057C	0.800
YOR027W	0.800
YDL118W	-2.600
YGL153W	-2.600
YMR057C	-2.600
YDR271C	-2.600
YDR265W	-2.600
YJL094C	-2.500
YDL065C	-2.500
YGR122W	-2.500
YDL119C	-2.400
YBR035C	-2.400
YML071C	-2.400
YLL043W	-2.400
YMR063W	-2.300
YPL002C	-2.300
YDR329C	-2.300
YOR089C	-2.300
YOR275C	-2.300
YGL148W	-2.200
YPR024W	-2.200
YLR214W	-2.200
YGL152C	-2.200
YKL041W	-2.200
YKL213C	-2.200
YNR006W	-2.200
YMR202W	-2.100
YKL197C	-2.100
YCR068W	-2.100
YMR154C	-2.100
YDR389W	-1.600
YDL100C	-1.600
YML041C	-1.600
YDR295C	-1.600
YGR184C	-1.600
YBR288C	-1.600
YLR111W	-1.600
YMR216C	-1.600
YER040W	-1.600
YGL066W	-1.600
YDR276C	-1.600
YGL007W	-1.500
YBR227C	-1.500
YJL179W	-1.500
YGR270W	-1.500
YIL005W	-1.500
YNR051C	-1.500
YNR005C	-1.500
YIL077C	-1.500
YGR206W	-1.500
YNL084C	-1.500
YHR031C	-1.500
YFR010W	-1.500
YHR179W	-1.500
YER151C	-1.500
YNL097C	-1.500
YPR179C	-1.500
YIL153W	-1.500
YDR244W	-1.500
YDR098C	-1.400
YPL055C	-1.400
YPL195W	-1.400
YOL044W	-1.400
YIL041W	-1.400
YER084W	-1.400
YKL216W	-1.400
YMR263W	-1.400
YLR110C	-1.400
YPL154C	-1.400
YKR042W	-1.400
YNL323W	-1.400
YGR182C	-1.400
YBR290W	-1.400
YNL329C	-1.300
YDR393W	-1.100
YJL166W	-1.100
YGR181W	-1.100
YHR204W	-1.100
YLR360W	-1.100
YJL185C	-1.100
YDR469W	-1.100
YLR330W	-1.100
YIL097W	-1.100
YDL074C	-1.100
YOL004W	-1.100
YPR124W	-1.100
YDR495C	-1.100
YCR087C-A	-1.100
YMR052C-A	-1.100
YFL025C	-1.100
YOR106W	-1.100
YKL046C	-1.100
YLR268W	-1.100
YKR094C	-1.100
YOR360C	-1.100
YPL138C	-1.100
YOR069W	-1.100
YCL064C	-1.000
YDL041W	-1.000
YGL025C	-1.000
YLR015W	-1.000
YOR140W	-1.000
YPL178W	-1.000
YBR291C	-1.000
YMR070W	-1.000
YML097C	-1.000
YPL270W	-1.000
YBR195C	-1.000
YJL149W	-1.000
YOL012C	-1.000
YOL018C	-1.000
YIR034C	-1.000
YOR043W	-1.000
YGR132C	-1.000
YCL010C	-1.000
YLR420W	-1.000
YPR052C	-1.000
YHR077C	-1.000
YDL240W	-0.800
YNR032W	-0.800
YOR025W	-0.800
YER032W	-0.800
YBR106W	-0.800
YGR135W	-0.800
YPR083W	-0.800
YLR133W	-0.800
YDR005C	-0.800
YLR213C	-0.800
YOL115W	-0.800
YLR451W	-0.800
YJL145W	-0.800
YOR085W	-0.800
YDR143C	-0.800
YDR537C	-0.800
YGL253W	-0.800
YDR363W	-0.800
YOL020W	-0.800
YIL002C	-0.800
YOR379C	-0.800
YOL064C	-0.800
YDL234C	-0.800
YEL062W	-0.800
YKR035W-A	-0.800
YDR075W	-0.700
YDL167C	-0.700
YMR291W	-0.700
YJR117W	-0.700
YER075C	-0.700
YMR052W	-0.700
YER019C-A	-0.700
YMR123W	-0.700
YJL217W	-0.700
YDR391C	-0.700
YHL037C	-0.700
YBR101C	-0.700
YLR036C	-0.700
YBL051C	-0.700
YHL042W	-0.700
YBR089C-A	-0.700
YLR126C	-0.700
YBR208C	-0.700
YIL039W	-0.700
YER110C	1.500
YKR092C	1.500
YCR028C	1.500
YER017C	1.500
YJR050W	1.400
YHR167W	1.400
YDR237W	1.400
YML094C-A	1.400
YGL064C	1.400
YER139C	1.400
YBR078W	1.300
YCR051W	1.300
YCR003W	1.300
YKL056C	1.300
YIR005W	1.300
YPR087W	1.300
YJR139C	1.200
YKL074C	1.200
YOR141C	1.200
YOR182C	1.200
YNL215W	1.200
YOL039W	1.200
YLL045C	1.200
YGR078C	1.200
YGR192C	1.200
YML122C	1.200
YNR037C	1.200
YER002W	1.200
YER153C	1.200
YHR134W	1.200
YDR156W	1.200
YOR150W	1.200
YLR450W	1.100
YDR447C	1.100
YER092W	1.100
YFR032C-A	1.100
YLR373C	1.100
YKL110C	1.100
YDR101C	1.100
YNL198C	1.100
YDL002C	1.100
YGR233C	1.100
YDL059C	1.100
YER156C	1.100
YJR097W	0.800
YPL202C	0.800
YGR035C	0.800
YKR074W	0.800
YLL006W	0.800
YDR399W	0.800
YBL027W	0.800
YPL239W	0.700
YJL093C	0.700
YDR414C	0.700
YCR066W	0.700
YIL112W	0.700
YIL043C	0.700
YBR277C	0.700
YDR403W	0.700
YLR233C	0.700
YBL080C	0.700
YDR072C	0.700
YGR118W	0.700
YKL087C	0.700
YGR228W	0.700
YJL192C	0.700
YDL106C	0.600
YKR047W	0.600
YNL183C	0.600
YHR094C	0.600
YDR431W	0.600
YCR015C	0.600
YBR031W	0.600
YNL285W	0.600
YDR490C	0.600
YOR327C	0.600
YKL068W	0.600
YOL079W	0.600
YML107C	0.600
YPL172C	0.500
YCR008W	0.500
YDR493W	0.500
YIL069C	0.500
YOL070C	0.500
YNR067C	0.400
YPL057C	0.400
YHR108W	0.400
YGR221C	0.300
