orf	hom | growth (pooled culture) | iron limitation | YPD | Jo WJ~Vulpe CD, 2009
YAL024C	-4.0626422647288
YBL027W	1.6135897704668833
YBL038W	3.438092924636924
YBL039C	-2.0354165378731985
YBL051C	-1.4272488198165183
YBL080C	1.4108671977813232
YBR031W	1.208144625095763
YBR035C	-4.87353255547104
YBR058C	-4.0626422647288
YBR078W	2.627202633894684
YBR089C-A	-1.4272488198165183
YBR101C	-1.4272488198165183
YBR103W	-2.6435842559298792
YBR105C	-2.6435842559298792
YBR106W	-1.6299713925020785
YBR164C	-5.88714541889884
YBR174C	-2.440861683244319
YBR195C	-2.0354165378731985
YBR208C	-1.4272488198165183
YBR227C	-3.049029401300999
YBR231C	-3.4544745466721194
YBR246W	1.8163123431524435
YBR277C	1.4108671977813232
YBR278W	3.235370351951364
YBR288C	-3.2517519739865595
YBR290W	-2.8463068286154387
YBR291C	-2.0354165378731985
YCL008C	-6.900758282326641
YCL010C	-2.0354165378731985
YCL064C	-2.0354165378731985
YCR003W	2.627202633894684
YCR007C	-2.0354165378731985
YCR008W	1.0054220524102029
YCR015C	1.208144625095763
YCR028C	3.032647779265804
YCR033W	-4.26536483741436
YCR045C	-1.8326939651876386
YCR050C	-2.440861683244319
YCR051W	2.627202633894684
YCR065W	-2.440861683244319
YCR066W	1.4108671977813232
YCR068W	-4.26536483741436
YCR079W	-4.26536483741436
YCR087C-A	-2.238139110558759
YCR087W	-2.440861683244319
YDL002C	2.2217574885235636
YDL023C	-1.2245262471309581
YDL041W	-2.0354165378731985
YDL052C	-2.440861683244319
YDL059C	2.2217574885235636
YDL065C	-5.076255128156601
YDL074C	-2.238139110558759
YDL076C	-2.0354165378731985
YDL077C	-2.440861683244319
YDL091C	-1.2245262471309581
YDL100C	-3.2517519739865595
YDL106C	1.208144625095763
YDL118W	-5.278977700842161
YDL119C	-4.87353255547104
YDL167C	-1.4272488198165183
YDL226C	-4.0626422647288
YDL229W	-1.8326939651876386
YDL234C	-1.6299713925020785
YDL240W	-1.6299713925020785
