orf	hom | growth (relative abundance in pooled culture) | time [14 generations] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | time [21 generations] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | time [14 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | time [21 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [14 generations] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [21 generations] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [14 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [21 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015	het | growth (relative abundance in pooled culture) | time [21 generations] | Nislow C~Hammond TG, 2015	het | growth (relative abundance in pooled culture) | time [21 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015	het | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [14 generations] | Nislow C~Hammond TG, 2015	het | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [21 generations] | Nislow C~Hammond TG, 2015	het | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [14 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015	het | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [21 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015
YAL002W	-0.742743484143549	-3.17317035916652	0.928156874484715	0.414254826778055	-1.08524164062109	1.01479950670241	-1.47138206832765	-0.967316410530995						
YAL004W	-0.63637980299409	-0.192794870874224	1.18830764355121	0.739977350035778	-0.922251198111139	-2.00786188131119	-1.21013220200869	-0.554925018449152					0.419885312681657	-0.172162271031815
YAL005C	0.324101567102788	0.761777005404468	1.5092004200089	1.05402423249641	-0.0105772811587226	-0.608062383125057	-0.0789352732633795	0.287202476299944		0.136481789480595				
YAL007C	0.0826581075370196	-0.264513890320398	-0.146597587151071	-0.135114693209934	-0.0165274756541649	0.902276519550879	0.18622353155504	-0.0107918691159909		-0.455654744128294			-0.435724777983166	-0.912295144276696
YAL008W	-0.121100534643549	-0.55929341860878	0.587158638430534	0.52278852330687	-0.648085267346117	0.209181115138907	-0.691597063026512	-0.0757028034917955		-0.601332199323933			0.767808616101966	-0.502310872724136
YAL009W	0.143506254001066	1.66525133916031	-1.04272012840271	-0.552130301680918	0.339130306113299	-2.12021790412206	0.722503925319803	0.592051257921069		-0.133607373887147			-0.383932145304742	-0.334433699930685
YAL011W	0.0398425013856532	-2.57940202453888	-0.464832976663658	-0.992315683684906	-0.26934432095662	1.32037732682279	-0.444345654433651	-1.47031628685457		-0.516296095468133			0.189765529320601	-0.0428792540868379
YAL012W	-0.592985756754888	-0.592985756754888	0.823533482076193	-0.159245592392164	-0.334637937362228	-0.747173541962848	-0.656497106070441	-0.656497106070441		-0.0308692682978933				
YAL013W	-0.0679638231282969	1.57022318049225	-0.454324367074208	-0.272746157584865	-0.0662420843852445	-2.15953623845814	0.0690916747085097	0.19019980422024		0.301112491253397			0.70737276223999	1.08585406003536
YAL014C	0.110853497030748	-0.367746529884878	-0.0673038300748878	-0.100412139075608	-0.0782494938603104	0.577392963198859	0.654924702764557	0.135085793999485		-0.435853102912811			-0.114745512489353	-0.32828147294909
YAL015C	0.0734479687951719	-1.04293013926552	-0.281058414566688	-0.43057086707157	-0.198886539753467	0.242055848022071	0.100613604511397	-0.490535940557551		0.449756572608528			-0.132162565566761	0.143339554696123
YAL016W	0.569450922119921	-0.131011045661245							-0.0	-0.311708702831986	0.0807767878650605	-0.493799383393901	-0.60000164664844	-1.09180348071155
YAL017W	0.27111573351138	0.518205725813923	0.264787640161993	0.0985294620935573	0.139419382034978	0.106200047156692	0.322116425332256	-0.154084922136731		-0.421138862427792			-0.848708618494035	-1.3648073489742
YAL018C	0.356520252666376	0.530442906546408	-0.179010206577287	0.0132444816037154	0.501912065144305	0.7986975984656	0.0801626976945791	0.0105369671050894		0.753624695950903			0.941838015877016	0.050230150304639
YAL019W	-0.144483856551961	-0.729380139813887	0.265447669744324	0.119859271040985	0.0227713543119705	0.315295129927081	-0.75393411862318	0.0317816231746075		-0.890838816518919			0.652331398682032	1.08265162799702
YAL020C	-0.15344146143469	-0.397258059651675	-0.152497583811169	-0.594716939072617	0.103033538565406	0.514572799975632	0.117021018069426	-0.471943352715044		0.586514710115646			-0.201897461584435	-0.900860249214411
YAL021C	-0.451995318410819	-0.894428224191767	-0.0945418602149077	-0.459572372353332			-0.473232864015592	-0.748127581536007		0.509699113064816			0.806908435790906	-1.17216227103181
