ORF	hom | growth (relative abundance in pooled culture) | time [14 generations] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | time [21 generations] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | time [14 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | time [21 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [14 generations] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [21 generations] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [14 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [21 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015	het | growth (relative abundance in pooled culture) | time [21 generations] | Nislow C~Hammond TG, 2015	het | growth (relative abundance in pooled culture) | time [21 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015	het | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [14 generations] | Nislow C~Hammond TG, 2015	het | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [21 generations] | Nislow C~Hammond TG, 2015	het | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [14 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015	het | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [21 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015
YAL001C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.352	NaN	NaN	-0.580	0.735
YAL002W	-0.743	-3.173	0.928	0.414	-1.085	1.015	-1.471	-0.967	NaN	NaN	NaN	NaN	NaN	NaN
YAL003W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.338	NaN	NaN	-0.046	-0.223
YAL004W	-0.636	-0.193	1.188	0.740	-0.922	-2.008	-1.210	-0.555	NaN	NaN	NaN	NaN	0.420	-0.172
YAL005C	0.324	0.762	1.509	1.054	-0.011	-0.608	-0.079	0.287	NaN	0.136	NaN	NaN	NaN	NaN
YAL007C	0.083	-0.265	-0.147	-0.135	-0.017	0.902	0.186	-0.011	NaN	-0.456	NaN	NaN	-0.436	-0.912
YAL008W	-0.121	-0.559	0.587	0.523	-0.648	0.209	-0.692	-0.076	NaN	-0.601	NaN	NaN	0.768	-0.502
YAL009W	0.144	1.665	-1.043	-0.552	0.339	-2.120	0.723	0.592	NaN	-0.134	NaN	NaN	-0.384	-0.334
YAL010C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.446	NaN	NaN	0.591	-0.365
YAL011W	0.040	-2.579	-0.465	-0.992	-0.269	1.320	-0.444	-1.470	NaN	-0.516	NaN	NaN	0.190	-0.043
YAL012W	-0.593	-0.593	0.824	-0.159	-0.335	-0.747	-0.656	-0.656	NaN	-0.031	NaN	NaN	NaN	NaN
YAL013W	-0.068	1.570	-0.454	-0.273	-0.066	-2.160	0.069	0.190	NaN	0.301	NaN	NaN	0.707	1.086
YAL014C	0.111	-0.368	-0.067	-0.100	-0.078	0.577	0.655	0.135	NaN	-0.436	NaN	NaN	-0.115	-0.328
YAL015C	0.073	-1.043	-0.281	-0.431	-0.199	0.242	0.101	-0.491	NaN	0.450	NaN	NaN	-0.132	0.143
YAL016W	0.569	-0.131	NaN	NaN	NaN	NaN	NaN	NaN	-0.000	-0.312	0.081	-0.494	-0.600	-1.092
YAL017W	0.271	0.518	0.265	0.099	0.139	0.106	0.322	-0.154	NaN	-0.421	NaN	NaN	-0.849	-1.365
YAL018C	0.357	0.530	-0.179	0.013	0.502	0.799	0.080	0.011	NaN	0.754	NaN	NaN	0.942	0.050
YAL019W	-0.144	-0.729	0.265	0.120	0.023	0.315	-0.754	0.032	NaN	-0.891	NaN	NaN	0.652	1.083
YAL020C	-0.153	-0.397	-0.152	-0.595	0.103	0.515	0.117	-0.472	NaN	0.587	NaN	NaN	-0.202	-0.901
YAL021C	-0.452	-0.894	-0.095	-0.460	NaN	NaN	-0.473	-0.748	NaN	0.510	NaN	NaN	0.807	-1.172
YAL022C	0.055	-0.319	0.057	0.361	0.063	0.889	-0.482	-0.344	NaN	-0.561	NaN	NaN	-0.225	-1.502
