orf	hom | growth (relative abundance in pooled culture) | Nannocystin A [75 uM] | Krastel P~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | Nannocystin A [75 uM] | Krastel P~Hoepfner D, 2015
YAL001C	-1.5052755938452587	0.21189718782286354
YAL002W	-7.571392962721875	-0.3150454529493398
YAL003W		-7.376453883635283
YAL004W	-0.1732658780937786	0.42028534109041915
YAL005C	-0.07504501064702858	-7.564719360357982
YAL007C	-0.06533260737073411	0.10844972766999678
YAL008W	0.04534619268509196	-0.2510155119579186
YAL009W	-1.712887940872849	-0.5868472527052115
YAL010C		-0.39422960821204317
YAL011W	-1.3953172701778151	0.41663496008507755
YAL012W		-0.1530309000244442
YAL013W	-0.9806917040467332	0.44765187633098635
YAL014C	-0.6802914178764428	-0.7236438500046658
YAL015C	-0.12085396692038229	0.6980848515350404
YAL016W		-0.02326651846308477
YAL017W	-0.08224003284164598	0.021795591048841934
YAL018C	-0.04318190082635203	-0.11344647443732506
YAL019W	-0.02739610746318215	0.26302831469674254
YAL020C	0.4002639862599406	0.18843065384369134
YAL021C	-3.506276877531883	1.13404403467937
YAL022C	-0.07436213447800291	0.0843164183525954
YAL023C	-5.421823031304495	-1.4564451899582553
YAL024C	-0.24007256622994413	-0.33676722693018535
YAL025C		0.6160078380593507
YAL026C	-3.211850923028448	-0.11260696396797067
YAL027W	-0.1093027840565557	0.17689255283886282
YAL028W	-0.1565649289619222	-1.1078500214819076
YAL029C	0.42975523373024627	0.7942102472410131
YAL030W	-0.07302856754251996	-0.11255276032378955
YAL031C	-0.03567872963075	-0.07071909746240368
YAL032C		-0.4952209333852373
YAL033W		0.7388111024416578
YAL034C	0.14484125526499345	0.9039588400495924
YAL034C-B		-1.0242889290117567
YAL034W-A		-0.3176056674651057
YAL035W	0.9240693012531686	-4.425881872972074
YAL036C	-0.1438325503465693	-0.09430898902317914
YAL037W	-0.26330416178209154	0.06155816282762637
YAL038W		0.6344543621587421
YAL039C	0.3659121650716117	0.18738478819337717
YAL040C	-1.006783811378726	-0.19302035050028815
YAL041W		0.7907873695317468
YAL042C-A	-0.41387455015052516	0.003544983371472798
YAL042W	-0.4092674715175897	-0.7202116806477583
YAL043C		-0.01329800462884579
YAL044C	0.5039675684247255	-1.0914531849750462
YAL045C	0.09011078390055778	1.3272762572252623
YAL046C	0.05350334277855822	-0.09117526540583193
YAL047C	-0.7489651803120881	0.336894657954753
YAL048C	0.029284951291436795	-0.009420396883586
YAL049C	0.4057430682929285	-0.05968921429588719
YAL051W	0.08150517120312913	0.11746082217381729
YAL053W	-0.8978969384857393	-0.12104548710155294
YAL054C	0.07812047182426234	-0.18733592536355492
YAL055W	0.1430238205727556	-0.1088080380133853
YAL056C-A	-1.7357097802844552	0.20068365788742815
YAL056W	0.04889193525153566	0.3977270868321672
YAL058W	-1.7696258293258347	0.06380392971682729
YAL059W	0.0948888619981932	-0.1005747216436866
YAL060W	0.08885000731536322	-0.030240077568359527
YAL061W	-0.042989140436099804	0.0975451277481631
YAL062W	0.01967431919977073	-0.03382309925334513
YAL064C-A	0.015908519974586043	-0.057532654707517436
YAL065C	0.04164372533745499	0.15849241227113225
YAL066W	0.2936699469131515	0.5416546686839607
YAL067C	0.044609057171466265	0.7615368623523449
YAL068C	0.14519975336648433	0.26461349250519534
YAR002C-A	-0.0793016007852591	-0.11588421767624929
YAR002W	-0.42552011332881445	-7.364363014098571
YAR003W	-0.07454852088440073	-0.09183055957814289
YAR007C		-0.10597625501041502
YAR008W		1.0542874094839028
YAR014C	-2.036548176000389	-0.21755893123900744
YAR015W		-0.6794777165583912
YAR018C	-1.6859049900979604	-3.29347748409272
YAR019C		0.04748369483832038
YAR020C	-0.146872780301433	-0.4058669640431767
YAR023C	-0.06127258751247829	0.1452936208707453
YAR027W	-0.18950678654042682	0.13024850984546318
YAR028W	0.21000418878905683	-0.12810979862601318
YAR029W	0.15281940785521456	-0.08021447565677825
YAR030C	-0.01616804290046349	0.34922349260324237
YAR031W	-0.3257930024523216	-0.15720733691290417
YAR035W	-0.028463110486663973	-0.06055731809673814
YAR042W	-0.824653584550582	-0.05688705129318543
YAR047C	0.005429147275605197	-5.948949609553742
YAR050W	0.08282596881587384	-0.07113655986109915
YBL001C	-0.21116266059385916	3.324207402515708
YBL002W	-0.21826138456538	3.17800708787091
YBL003C	0.001821481034323298	
YBL004W		0.26762989144998767
YBL005W	-0.06353970398670514	
YBL006C	0.1906132096071995	0.17927329534823863
YBL007C	-2.782994878561636	-0.3865678157091309
YBL008W	0.22178042469231793	-0.06547878337948955
